上櫃股票融資融券餘額  日期: 96年04月23日
代號,  名稱,  前資餘額(張),  資買,  資賣,  現償,  資餘額,  資屬證金,  資限額,  資使用率(%), 前券餘額(張),   券賣,  券買,  券償,  券餘額,  券屬證金,  券使用率(%),  資券相抵(張),  備註 
6244,茂迪,"12,999","595","361","12","13,221","1,684","36,098","36.63","87","0","4","0","83","1","0.23","0","       "
6245,立端,"8,261","830","650","0","8,441","1,170","12,089","69.82","1,081","173","0","182","1,072","148","8.87","48","       "
6246,臺龍,"360","0","0","0","360","12","28,101","1.28","0","0","0","0","0","0","0.0","0"," OX    "
6248,沛波,"7,381","493","180","5","7,689","1,584","12,090","63.6","0","3","0","0","3","0","0.02","25","       "
6261,久元,"6,548","340","393","2","6,493","973","18,217","35.64","15","3","0","0","18","0","0.1","38","       "
6263,普萊德,"4,508","42","72","0","4,478","368","11,791","37.98","2","0","0","0","2","0","0.02","52","       "
6264,德士通,"8,212","167","41","0","8,338","1,448","14,758","56.5","18","0","0","0","18","3","0.12","1","       "
6265,方土昶,"10,681","350","231","0","10,800","2,074","14,877","72.6","1,062","62","1","0","1,123","2","7.55","29","       "
6266,泰詠,"9,130","182","175","0","9,137","2,183","15,005","60.89","108","1","6","0","103","0","0.69","356","       "
6270,倍微,"6,628","704","792","0","6,540","1,030","17,202","38.02","198","2","8","0","192","120","1.12","20","       "
6274,台燿,"28,080","1,520","1,238","71","28,291","3,499","52,562","53.82","1,331","0","3","0","1,328","8","2.53","572","       "
6276,名鐘,"2,302","0","130","0","2,172","580","11,852","18.33","0","0","0","0","0","0","0.0","0"," OX    "
6278,台表科,"7,064","687","712","3","7,036","828","29,527","23.83","126","14","11","2","127","27","0.43","56","       "
6279,胡連,"1,864","34","158","0","1,740","227","15,831","10.99","0","0","0","0","0","0","0.0","0","       "
6283,淳安,"10,419","480","748","0","10,151","2,067","17,216","58.96","39","2","32","0","9","0","0.05","91","       "
6284,佳邦,"10,229","0","164","6","10,059","1,548","16,987","59.22","0","0","0","0","0","0","0.0","0"," OX    "
6287,元隆,"0","0","0","0","0","0","33,847","0.0","0","0","0","0","0","0","0.0","0"," OX    "
6290,良維,"15,416","245","437","20","15,204","2,108","24,999","60.82","69","52","0","1","120","0","0.48","0","       "
6291,沛亨,"7,250","109","141","20","7,198","1,642","11,345","63.45","227","3","0","0","230","0","2.03","4","       "
6292,迅德,"2,136","6","41","0","2,101","400","12,071","17.41","0","0","0","0","0","0","0.0","0"," OX    "
6298,崴強,"9,630","914","649","60","9,835","1,837","33,730","29.16","83","3","2","0","84","2","0.25","165","       "
6402,基泰營,"3,337","498","475","0","3,360","560","15,750","21.33","67","3","33","0","37","1","0.23","16","       "
6508,惠光,"285","0","22","0","263","19","15,245","1.73","0","0","0","0","0","0","0.0","0"," OX    "
6509,聚和,"7,923","614","260","0","8,277","912","26,298","31.47","0","0","0","0","0","0","0.0","50","       "
6603,富強鑫,"2,462","25","87","0","2,400","213","15,775","15.21","10","0","0","0","10","0","0.06","0","       "
6609,瀧澤科,"2,305","38","44","0","2,299","498","13,895","16.55","0","1","0","0","1","0","0.01","0","       "
8021,尖點,"4,145","197","48","0","4,294","455","19,084","22.5","0","2","0","0","2","2","0.01","20","       "
8024,佑華,"3,050","558","1,052","0","2,556","402","13,961","18.31","14","0","6","0","8","2","0.06","19","       "
8032,光菱,"4,152","0","284","4","3,864","954","12,952","29.83","0","0","0","0","0","0","0.0","0"," OX    "
8033,雷虎,"8,111","123","176","4","8,054","924","19,376","41.57","22","0","0","0","22","0","0.11","0","       "
8034,榮群,"12,241","197","303","0","12,135","2,076","16,929","71.68","861","9","12","0","858","20","5.07","10","       "
8039,台虹,"13,358","878","459","0","13,777","1,676","33,250","41.43","3,422","208","5","1","3,624","64","10.9","80","       "
8042,金山電,"9,343","97","140","0","9,300","831","18,779","49.52","13","0","0","0","13","0","0.07","3","       "
8043,蜜望實,"11,614","592","662","0","11,544","1,847","17,278","66.81","90","6","9","0","87","7","0.5","102","       "
8044,網家,"2,108","677","404","0","2,381","356","13,995","17.01","10","5","2","0","13","0","0.09","34","       "
8049,晶采,"9,623","0","509","0","9,114","1,403","12,727","71.61","0","0","0","0","0","0","0.0","0"," OX    "
8050,廣積,"9,586","588","781","0","9,393","1,356","11,682","80.41","125","14","6","0","133","18","1.14","214"," @     "
8054,安國,"4,082","398","784","0","3,696","584","11,953","30.92","113","81","12","0","182","36","1.52","416","       "
8064,東捷,"602","367","88","0","881","198","28,125","3.13","0","2","0","0","2","0","0.01","77","       "
8069,元太,"48,075","1,758","1,902","5","47,926","10,663","137,034","34.97","657","17","188","5","481","223","0.35","222","       "
8070,長華,"4,098","46","97","0","4,047","625","13,684","29.57","0","1","0","0","1","0","0.01","2","       "
8071,豐聲,"43","0","0","0","43","0","9,972","0.43","0","0","0","0","0","0","0.0","0"," OX A  "
8074,鉅橡,"7,957","1,304","1,259","0","8,002","1,466","10,795","74.13","191","0","128","0","63","20","0.58","711","       "
8076,伍豐,"5,859","567","597","0","5,829","740","14,025","41.56","161","63","12","0","212","36","1.51","126","       "
8079,誠遠,"8,499","111","182","4","8,424","1,553","12,408","67.89","0","0","0","0","0","0","0.0","2","       "
8080,奧斯特,"5,841","90","71","0","5,860","1,442","10,983","53.36","5","0","0","0","5","0","0.05","2","       "
8081,致新,"1,671","88","140","0","1,619","106","12,273","13.19","41","26","2","0","65","7","0.53","122","       "
8082,捷超,"9,357","446","373","0","9,430","1,176","14,775","63.82","59","7","20","0","46","0","0.31","46","       "
8085,福華,"12,306","1,857","1,710","0","12,453","1,870","32,554","38.25","1,451","40","81","34","1,376","17","4.23","44","       "
8088,品安,"7,903","323","241","0","7,985","1,404","10,369","77.01","131","4","5","0","130","7","1.25","10","       "
8091,翔名,"3,050","91","75","0","3,066","476","7,849","39.06","10","0","7","0","3","0","0.04","2","       "
8093,保銳,"2,543","51","24","0","2,570","523","12,594","20.41","0","0","0","0","0","0","0.0","4","       "
8096,擎亞,"12,196","0","420","0","11,776","1,872","18,722","62.9","0","0","0","0","0","0","0.0","0"," OX    "
8097,鴻松,"6,776","142","127","4","6,787","1,269","11,899","57.04","55","0","2","0","53","53","0.45","0","       "
8099,大世科,"7,521","100","83","5","7,533","887","15,000","50.22","0","10","0","0","10","0","0.07","2","       "
8103,瀚荃,"5,269","264","612","0","4,921","770","11,235","43.8","90","51","0","0","141","0","1.26","48","       "
8107,大億科,"11,315","4,802","3,713","2","12,402","2,294","35,500","34.94","71","154","1","0","224","85","0.63","1,803","       "
8109,博大,"3,514","12","5","0","3,521","295","9,111","38.65","0","0","0","0","0","0","0.0","0","       "
8110,華東,"16,597","1,388","1,903","0","16,082","2,393","113,781","14.13","3","0","3","0","0","0","0.0","0","       "
8111,立碁,"13,881","425","602","2","13,702","1,985","18,079","75.79","93","4","10","0","87","15","0.48","76","       "
8112,至上,"24,330","1,157","917","5","24,565","2,838","34,592","71.01","1,868","61","13","120","1,796","104","5.19","41","       "
8114,振樺電,"1,746","105","62","0","1,789","363","12,192","14.67","0","1","0","0","1","0","0.01","20","       "
8121,越峰,"9,948","612","332","0","10,228","1,729","21,579","47.4","58","0","1","0","57","0","0.26","12","       "
8182,加高,"7,441","678","485","0","7,634","901","19,913","38.34","3","0","2","0","1","0","0.01","2","       "
8183,精星,"11,838","473","1,001","0","11,310","860","30,139","37.53","21","0","0","0","21","0","0.07","58","       "
8210,勤誠,"6,532","672","621","0","6,583","1,306","20,492","32.12","0","11","0","0","11","0","0.05","404","       "
8240,華宏,"7,375","0","384","0","6,991","1,024","16,877","41.42","0","0","0","0","0","0","0.0","0"," OX    "
8255,朋程,"5,342","90","68","0","5,364","1,212","11,493","46.67","5","7","1","0","11","0","0.1","168","       "
8261,富鼎,"19,678","2,975","2,897","4","19,752","2,383","25,808","76.53","73","13","3","0","83","1","0.32","400","       "
8266,中日新,"4,543","167","96","0","4,614","506","13,654","33.79","3","0","2","0","1","0","0.01","0","       "
8277,商丞,"12,880","1,041","1,425","0","12,496","1,451","14,944","83.62","1,008","107","145","1","969","59","6.48","18"," @     "
8299,群聯,"9,009","386","304","0","9,091","1,421","17,644","51.52","289","64","38","8","307","41","1.74","141","       "
8349,友信,"1,675","0","38","0","1,637","316","13,254","12.35","0","0","0","0","0","0","0.0","0"," OX    "
8354,冠郝,"3,450","1,084","863","0","3,671","637","12,110","30.31","0","0","0","0","0","0","0.0","401","       "
8374,羅昇,"3,933","19","20","0","3,932","616","9,291","42.32","2","1","0","0","3","0","0.03","3","       "
8383,千附,"9,363","934","901","0","9,396","1,347","19,556","48.05","1,242","70","53","0","1,259","110","6.44","134","       "
8705,東隆,"2,103","57","30","0","2,130","238","18,837","11.31","8","0","0","0","8","0","0.04","0","       "
8905,裕國,"39","0","0","0","39","34","27,360","0.14","0","0","0","0","0","0","0.0","0","$OX   C"
8906,花王,"683","0","10","0","673","220","12,830","5.25","0","0","0","0","0","0","0.0","0"," OX    "
8908,欣雄,"15","0","0","0","15","0","16,269","0.09","0","0","0","0","0","0","0.0","0","$     C"
8916,光隆,"1,020","157","149","0","1,028","153","20,648","4.98","4","0","0","0","4","0","0.02","0","$    B "
8917,欣泰,"1","0","0","0","1","0","20,045","0.0","0","0","0","0","0","0","0.0","0","$    BC"
8923,時報,"127","96","5","0","218","31","7,593","2.87","0","0","0","0","0","0","0.0","8","$      "
8924,大田,"1,815","8","24","0","1,799","237","29,516","6.09","28","0","0","0","28","8","0.09","0","       "
8925,偉盟,"35,045","783","488","0","35,340","9,802","38,486","91.83","779","36","18","0","797","116","2.07","146"," @     "
8927,北基,"104","2","0","0","106","21","22,184","0.48","0","0","0","0","0","0","0.0","0","$    BC"
8928,鉅明,"4,589","115","64","17","4,623","460","16,309","28.35","0","0","0","0","0","0","0.0","0","       "
8930,青鋼,"2,030","34","21","0","2,043","836","9,500","21.51","1","0","0","0","1","1","0.01","0","       "
8931,大汽電,"3,196","309","438","0","3,067","1,033","26,655","11.51","25","0","25","0","0","0","0.0","1","       "
8933,愛地雅,"10,189","604","952","100","9,741","603","27,610","35.28","288","0","4","0","284","260","1.03","49","       "
8935,邦泰,"23,139","1,487","1,596","0","23,030","3,785","35,740","64.44","40","105","20","0","125","0","0.35","36","       "
8936,國統,"6,134","1,699","427","0","7,406","982","14,961","49.5","85","410","6","0","489","78","3.27","1,180","       "
