上櫃股票融資融券餘額  日期: 96年04月23日
代號,  名稱,  前資餘額(張),  資買,  資賣,  現償,  資餘額,  資屬證金,  資限額,  資使用率(%), 前券餘額(張),   券賣,  券買,  券償,  券餘額,  券屬證金,  券使用率(%),  資券相抵(張),  備註 
3219,倚強,"356","0","0","0","356","167","9,303","3.83","0","0","0","0","0","0","0.0","0"," OX    "
3221,台嘉碩,"4,850","60","30","18","4,862","679","14,514","33.5","75","0","0","0","75","0","0.52","0","       "
3224,三顧,"3,449","82","137","0","3,394","504","9,394","36.13","126","2","0","0","128","0","1.36","7","       "
3226,至寶電,"4,618","39","26","0","4,631","1,084","8,326","55.62","5","0","0","0","5","0","0.06","0","       "
3227,原相,"11,346","0","218","0","11,128","1,792","26,119","42.61","0","0","0","0","0","0","0.0","0"," OX    "
3229,晟鈦,"5,963","904","824","0","6,043","1,089","11,470","52.69","93","5","1","0","97","1","0.85","280","       "
3230,錦明,"3,291","200","108","0","3,383","294","19,687","17.18","0","0","0","0","0","0","0.0","0","       "
3236,千如,"4,117","192","215","0","4,094","1,056","9,870","41.48","0","0","0","0","0","0","0.0","26","       "
3252,宏連科,"16,460","106","159","2","16,405","2,899","21,082","77.82","392","5","0","0","397","4","1.88","13","       "
3260,威剛,"24,935","529","579","0","24,885","3,525","37,612","66.16","386","22","2","0","406","19","1.08","101","       "
3264,欣銓,"51,373","1,349","1,800","63","50,859","7,193","95,049","53.51","83","27","2","0","108","25","0.11","96","       "
3265,台曜電,"17,610","393","720","6","17,277","1,859","66,051","26.16","41","0","24","0","17","3","0.03","109","       "
3284,太普高,"3,645","465","413","0","3,697","397","10,348","35.73","21","0","10","0","11","1","0.11","92","       "
3289,宜特,"5,748","82","75","1","5,754","955","11,571","49.73","1","0","0","0","1","0","0.01","0","       "
3290,東浦,"835","0","0","0","835","462","14,829","5.63","0","0","0","0","0","0","0.0","0"," OX    "
3293,鈊象,"1,868","326","308","0","1,886","134","11,811","15.97","49","18","6","0","61","14","0.52","125","       "
3296,勝德,"5,806","50","132","0","5,724","594","22,862","25.04","19","0","6","0","13","3","0.06","2","       "
3297,杭特,"2,645","81","121","2","2,603","629","7,810","33.33","0","0","0","0","0","0","0.0","10","       "
3298,圓創,"8,188","910","949","0","8,149","1,067","10,972","74.27","254","4","25","0","233","18","2.12","69","       "
3299,帛漢,"2,604","45","106","0","2,543","387","10,861","23.41","0","0","0","0","0","0","0.0","0","       "
3305,昇貿,"7,979","101","155","1","7,924","1,258","15,902","49.83","8","3","1","0","10","2","0.06","2","       "
3306,鼎天,"6,430","72","67","0","6,435","1,391","16,569","38.84","21","2","0","0","23","11","0.14","17","       "
3312,弘憶股,"2,100","106","94","0","2,112","289","13,465","15.69","0","0","0","0","0","0","0.0","0","       "
3313,斐成,"4,014","334","147","2","4,199","525","14,037","29.91","0","0","0","0","0","0","0.0","14","       "
3324,雙鴻,"4,134","149","190","0","4,093","693","10,925","37.46","22","0","0","0","22","0","0.2","17","       "
3325,旭品,"7,364","0","500","0","6,864","933","12,016","57.12","0","0","0","0","0","0","0.0","0"," OX    "
3339,泰谷,"3,495","56","63","0","3,488","555","18,008","19.37","13","41","0","0","54","19","0.3","0","       "
3360,尚立,"3,834","1,874","1,204","0","4,504","674","9,896","45.51","28","119","23","0","124","3","1.25","9","       "
3369,鐵研,"8,419","87","54","0","8,452","2,227","15,664","53.96","0","0","0","0","0","0","0.0","0","       "
3372,典範,"16,949","412","463","0","16,898","2,876","47,020","35.94","31","13","2","0","42","3","0.09","49","       "
3376,新日興,"1,335","14","52","0","1,297","60","22,152","5.86","2","1","0","0","3","0","0.01","4","       "
3388,崇越電,"3,290","120","97","0","3,313","277","10,498","31.56","3","2","0","0","5","0","0.05","11","       "
3390,旭軟,"1,279","12","26","0","1,265","195","8,424","15.02","0","0","0","0","0","0","0.0","0","       "
3419,譁裕,"4,341","283","312","0","4,312","744","14,562","29.61","14","67","0","0","81","0","0.56","61","       "
3431,長天,"5,287","77","134","0","5,230","976","8,275","63.2","24","3","0","0","27","0","0.33","6","       "
3452,益通,"1,982","165","98","4","2,045","281","10,065","20.32","66","0","57","0","9","1","0.09","0","       "
3454,晶睿,"7,248","0","141","0","7,107","454","12,063","58.92","1","0","1","0","0","0","0.0","0"," OX    "
3466,致振,"3,248","136","150","1","3,233","468","13,935","23.2","37","0","0","0","37","0","0.27","32","       "
3499,環天科,"0","191","0","0","191","29","8,500","2.25","0","0","0","0","0","0","0.0","11","       "
4102,永日,"1,187","770","334","0","1,623","228","8,262","19.64","7","16","0","0","23","0","0.28","167","       "
4103,百略,"982","22","12","18","974","98","28,990","3.36","1","0","0","0","1","0","0.0","1","       "
4104,東貿,"16,457","1,351","1,477","0","16,331","2,101","25,035","65.23","74","33","10","0","97","6","0.39","661","       "
4105,東洋,"976","183","112","0","1,047","309","19,547","5.36","0","0","0","0","0","0","0.0","31","       "
4107,邦拓,"6,858","0","431","0","6,427","684","18,017","35.67","0","0","0","0","0","0","0.0","0"," OX    "
4109,加捷,"3,461","408","289","128","3,452","279","10,232","33.74","51","0","0","0","51","0","0.5","49","       "
4111,濟生,"665","629","167","0","1,127","244","11,962","9.42","0","0","0","0","0","0","0.0","144","       "
4114,健喬,"2,614","84","87","0","2,611","138","11,712","22.29","43","16","2","0","57","0","0.49","29","       "
4120,友華,"1,074","537","81","0","1,530","257","11,464","13.35","0","1","0","0","1","1","0.01","51","       "
4121,優盛,"3,321","398","184","0","3,535","195","13,522","26.14","13","0","0","0","13","0","0.1","42","       "
4126,太醫,"4,140","343","636","0","3,847","458","10,360","37.13","6","1","0","0","7","1","0.07","264","       "
4127,天良,"1,976","144","239","0","1,881","285","11,000","17.1","0","11","0","0","11","0","0.1","35","       "
4205,恆義,"56","0","11","0","45","2","15,021","0.3","0","0","0","0","0","0","0.0","0","$     C"
4207,環泰,"7,131","462","491","0","7,102","1,152","21,465","33.09","1,728","0","27","0","1,701","0","7.92","9","       "
4304,琨詰,"580","0","0","0","580","52","12,073","4.8","0","0","0","0","0","0","0.0","0","$OX A  "
4306,炎洲,"12,657","315","520","0","12,452","1,720","28,057","44.38","855","0","11","0","844","0","3.01","0","       "
4401,東隆興,"2,468","71","28","0","2,511","462","30,071","8.35","0","0","0","0","0","0","0.0","0","       "
4416,福纖,"150","0","0","0","150","29","10,890","1.38","0","0","0","0","0","0","0.0","0","$    BC"
4417,金洲,"7,490","1,785","2,024","0","7,251","757","13,284","54.58","123","0","1","0","122","13","0.92","19","       "
4502,源恆,"6,905","520","735","2","6,688","791","32,296","20.71","1","6","0","0","7","6","0.02","30","       "
4506,崇友,"10,645","963","631","0","10,977","1,233","71,250","15.41","47","1","33","0","15","3","0.02","2","       "
4510,高鋒,"4,067","8","15","4","4,056","556","22,044","18.4","0","0","0","0","0","0","0.0","0","       "
4513,福裕,"7,365","62","38","0","7,389","2,124","16,845","43.86","0","0","0","0","0","0","0.0","0","       "
4523,永彰,"2,005","111","28","5","2,083","301","13,500","15.43","2","0","0","0","2","2","0.01","0","       "
4527,方土霖,"1,171","369","173","0","1,367","349","10,759","12.71","0","5","0","0","5","0","0.05","40","       "
4528,江興鍛,"1,366","69","74","0","1,361","252","11,628","11.7","0","0","0","0","0","0","0.0","20","       "
4529,力武,"5,700","27","21","0","5,706","475","11,729","48.65","0","0","0","0","0","0","0.0","0","$    B "
4530,宏易,"5,144","0","332","0","4,812","692","13,758","34.98","0","0","0","0","0","0","0.0","0"," OX    "
4533,協易機,"11,554","596","336","0","11,814","1,976","22,647","52.17","0","0","0","0","0","0","0.0","23","       "
4534,三林,"5,720","0","714","0","5,006","727","8,629","58.01","0","0","0","0","0","0","0.0","0"," OX    "
4535,至興,"891","42","58","0","875","175","15,900","5.5","2","0","0","1","1","0","0.01","0","       "
4609,唐鋒,"313","9","6","0","316","28","11,986","2.64","0","0","0","0","0","0","0.0","0","       "
4706,大恭,"1,291","17","51","0","1,257","75","19,757","6.36","0","0","0","0","0","0","0.0","0","       "
4707,磐亞,"2,845","108","132","0","2,821","815","47,422","5.95","0","0","0","0","0","0","0.0","0","$    B "
4711,永純,"3,296","140","66","0","3,370","485","15,264","22.08","0","0","0","0","0","0","0.0","0","       "
4712,南璋,"4,259","66","68","0","4,257","444","16,021","26.57","8","0","0","0","8","8","0.05","3","       "
4714,永捷,"4,444","290","296","0","4,438","532","10,611","41.82","5","0","4","1","0","0","0.0","0","       "
4716,大立,"7,822","119","90","0","7,851","694","12,404","63.29","285","4","11","0","278","27","2.24","5","       "
4720,德淵,"1,097","8","43","0","1,062","225","11,400","9.32","0","1","0","0","1","0","0.01","5","       "
4721,美琪瑪,"1,221","23","22","0","1,222","214","15,487","7.89","4","0","4","0","0","0","0.0","0","       "
4722,國精化,"1,301","69","13","0","1,357","372","14,721","9.22","247","0","13","0","234","68","1.59","0","       "
4905,台聯電,"7,973","321","212","0","8,082","1,708","14,770","54.72","0","0","0","0","0","0","0.0","8","       "
4908,前鼎,"4,147","141","63","0","4,225","651","9,934","42.53","14","3","0","0","17","1","0.17","3","       "
4909,新復興,"2,279","281","177","0","2,383","220","17,869","13.34","271","0","0","0","271","21","1.52","25","       "
5007,三星,"2,042","31","3","0","2,070","513","54,989","3.76","0","1","0","0","1","0","0.0","0","       "
5009,榮剛,"13,603","224","116","0","13,711","1,342","73,910","18.55","10","10","0","0","20","0","0.03","2","       "
5013,強新,"5,970","715","711","0","5,974","716","17,957","33.27","48","12","5","0","55","4","0.31","116","       "
5014,建錩,"14,774","2,077","1,223","0","15,628","2,176","28,168","55.48","90","1","0","0","91","0","0.32","110","       "
5015,華祺,"7,131","699","703","15","7,112","863","12,538","56.72","444","10","22","25","407","35","3.25","255","       "
5017,新泰伸,"7,098","0","1","0","7,097","6,358","101,750","6.97","11","0","3","8","0","0","0.0","0"," OX    "
5102,富強,"156","0","5","0","151","3","11,839","1.28","0","0","0","0","0","0","0.0","0","$OX  B "
5202,力新,"10,824","286","416","0","10,694","1,821","15,673","68.23","75","0","0","0","75","60","0.48","487","       "
5210,寶碩,"5,910","554","758","0","5,706","576","17,153","33.27","0","0","0","0","0","0","0.0","119","       "
5211,蒙恬,"7,690","341","583","0","7,448","191","9,361","79.56","7","9","2","0","14","3","0.15","211","       "
