"1809","5,244,611","10:25:18"
"1810","11,311,608","      "
"1813","1,233,393","      "
"1815","7,726,543","      "
"1902","10,073,025","      "
"1903","7,801,174","      "
"1904","30,962,545","      "
"1905","17,850,203","11:58:38"
"1907","49,075,020","      "
"1909","20,913,399","      "
"2002","405,816,027","13:26:55"
"2006","29,203,352","12:53:48"
"2007","5,923,570","      "
"2008","12,714,798","      "
"2009","10,788,665","      "
"2010","17,799,512","09:43:04"
"2012","8,633,220","      "
"2013","4,827,115","      "
"2014","50,537,119","      "
"2015","17,447,983","      "
"2017","10,142,866","      "
"2020","7,634,930","11:18:29"
"2022","10,764,622","      "
"2023","43,626,577","      "
"2024","2,793,000","      "
"2025","9,685,022","      "
"2027","15,400,128","12:11:40"
"2028","7,950,000","      "
"2029","9,635,400","      "
"2030","8,186,458","      "
"2031","8,165,718","      "
"2032","3,800,860","      "
"2033","2,420,836","      "
"2034","11,095,748","11:26:32"
"2035","10,500,000","      "
"2038","5,220,000","      "
"2049","6,814,726","09:08:54"
"2059","2,762,605","09:16:57"
"2062","4,930,020","      "
"2101","20,261,343","13:26:55"
"2102","10,062,726","09:39:04"
"2103","19,487,284","12:53:48"
"2104","16,476,723","      "
"2105","61,771,890","12:29:43"
"2106","18,618,000","      "
"2107","15,109,573","13:24:53"
"2108","9,484,636","      "
"2109","9,670,702","      "
"2114","1,806,073","      "
"2201","47,161,597","12:29:43"
"2204","41,583,026","13:26:55"
"2206","25,369,155","      "
"2207","16,385,376","      "
"2208","21,657,238","      "
"2221","1,272,750","      "
"2231","1,800,000","      "
"2301","68,539,821","11:37:35"
"2302","2,188,643","10:51:24"
"2303","389,637,369","      "
"2305","5,082,625","      "
"2308","71,673,699","13:19:53"
"2311","181,559,615","      "
"2312","43,746,996","      "
"2313","35,754,618","      "
"2314","12,342,046","11:37:35"
"2315","46,051,172","13:26:55"
"2316","11,703,172","10:07:14"
"2317","288,958,446","13:27:55"
"2321","8,919,955","      "
"2323","85,216,624","12:53:48"
"2324","132,620,745","12:39:46"
"2325","93,376,834","13:07:50"
"2327","65,845,869","      "
"2328","15,099,224","13:26:55"
"2329","13,798,697","      "
"2330","776,934,318","13:27:55"
"2331","36,995,811","      "
"2332","19,393,408","13:26:55"
"2337","100,659,331","      "
"2338","8,642,178","      "
"2340","15,844,594","11:37:35"
"2342","20,282,010","09:43:06"
"2344","109,694,916","      "
"2345","15,070,408","09:02:52"
"2347","45,084,790","13:26:55"
"2348","2,061,156","      "
"2349","79,359,483","13:26:55"
"2351","5,203,747","10:51:24"
"2352","50,491,527","12:53:48"
"2353","80,862,579","13:26:55"
"2354","33,368,705","13:26:55"
"2355","11,918,863","11:48:35"
"2356","88,666,920","13:23:52"
"2357","18,807,499","09:00:51"
"2358","1,950,000","10:51:23"
"2359","5,638,732","11:37:35"
"2360","10,854,323","13:26:55"
"2361","2,173,901","      "
"2362","19,095,010","12:08:40"
"2363","21,410,234","11:37:35"
"2364","8,318,426","      "
"2365","8,734,098","10:51:24"
"2367","12,904,126","10:24:18"
"2368","17,075,275","      "
"2369","11,254,546","13:24:53"
"2371","166,190,281","11:24:30"
"2373","10,117,965","11:37:35"
"2374","13,219,422","      "
"2375","10,933,622","      "
"2376","19,299,597","      "
"2377","31,858,046","13:25:53"
"2379","14,545,754","13:26:55"
"2380","6,723,918","10:51:24"
"2382","114,951,003","13:20:54"
"2383","8,506,404","11:37:35"
"2384","37,340,624","13:26:55"
"2385","18,715,432","13:26:55"
"2387","11,182,180","10:51:24"
"2388","20,598,206","      "
"2390","6,455,101","11:37:35"
"2392","13,887,280","13:26:55"
"2393","12,328,080","13:03:48"
"2395","15,484,012","      "
"2397","3,630,846","10:51:24"
"2399","5,341,000","10:51:24"
"2401","17,853,298","13:13:51"
"2402","10,220,101","09:45:08"
"2403","12,485,077","      "
"2404","7,519,171","09:55:12"
"2405","6,060,749","10:51:24"
"2406","6,751,671","13:20:54"
"2408","72,611,036","13:23:52"
"2409","257,868,645","13:20:54"
"2412","290,904,245","      "
"2413","3,967,566","13:18:53"
"2414","4,925,587","10:51:24"
"2415","2,493,372","10:51:23"
