================================================
 date:20140926 - 0 open:8957.5595703125 close:8989.8203125 high:9001.98046875 low:8913.509765625 volume:4999150.0 money:820.42
 date:20140929 - 0 open:9018.4599609375 close:8960.759765625 high:9018.4599609375 low:8948.08984375 volume:4418790.0 money:831.76
 date:20140930 - 0 open:8954.580078125 close:8966.919921875 high:8998.830078125 low:8860.169921875 volume:6155860.0 money:1002.3
 date:20141001 - 0 open:8958.8701171875 close:8990.259765625 high:9014.259765625 low:8918.9599609375 volume:5093720.0 money:778.79
 date:20141002 - 0 open:8959.3701171875 close:8975.1904296875 high:9010.26953125 low:8913.009765625 volume:4863660.0 money:754.44
 date:20141003 - 0 open:9010.2998046875 close:9106.2802734375 high:9113.7998046875 low:8998.26953125 volume:5133830.0 money:818.66
 date:20141007 - 0 open:9065.669921875 close:9040.8095703125 high:9074.7998046875 low:8993.4501953125 volume:4516920.0 money:746.84
 date:20141008 - 0 open:8989.990234375 close:8955.1796875 high:9038.6103515625 low:8955.1796875 volume:4418670.0 money:693.76
 date:20141009 - 0 open:9021.3095703125 close:8966.4404296875 high:9054.669921875 low:8946.16015625 volume:4811790.0 money:829.35
 date:20141013 - 0 open:8767.419921875 close:8711.3896484375 high:8795.76953125 low:8711.3896484375 volume:5672880.0 money:999.86
9532.66015625|8711.3896484375
================================================


================================================
 date:20140828 - 0 open:9499.2197265625 close:9478.3701171875 high:9502.419921875 low:9453.490234375 volume:6342460.0 money:997.99
 date:20140829 - 0 open:9459.8095703125 close:9436.26953125 high:9470.150390625 low:9425.349609375 volume:5184980.0 money:888.23
 date:20140901 - 0 open:9474.41015625 close:9513.0595703125 high:9532.66015625 low:9472.9599609375 volume:5131290.0 money:865.65
 date:20140902 - 0 open:9503.650390625 close:9399.7197265625 high:9503.650390625 low:9388.1298828125 volume:5462650.0 money:878.29
 date:20140903 - 0 open:9434.8798828125 close:9450.349609375 high:9455.7802734375 low:9396.7900390625 volume:5316560.0 money:884.21
 date:20140904 - 0 open:9439.759765625 close:9428.8896484375 high:9439.759765625 low:9389.2900390625 volume:4614590.0 money:731.68
