Rate:1.54921 snum:2426 鼎元
Rate:2.45559 snum:2427 三商電
Rate:1.36640 snum:2430 燦坤
Rate:1.62445 snum:2436 偉詮電
Rate:1.01575 snum:2441 超豐
Rate:1.83656 snum:2443 新利虹
Rate:1.01097 snum:2448 晶電
Rate:1.00414 snum:2449 京元電
Rate:1.76995 snum:2453 凌群
Rate:0.81198 snum:2454 聯發科
Rate:1.61300 snum:2456 奇力新
Rate:1.36630 snum:2457 飛宏
Rate:1.13260 snum:2458 義隆
Rate:2.20481 snum:2461 光群雷
Rate:1.15428 snum:2465 麗臺
Rate:1.25574 snum:2467 志聖
Rate:1.81917 snum:2468 華經
Rate:2.05680 snum:2471 資通
Rate:1.49987 snum:2472 立隆電
Rate:1.25037 snum:2474 可成
Rate:2.14181 snum:2475 華映
Rate:1.78025 snum:2476 鉅祥
Rate:1.04386 snum:2478 大毅
Rate:2.63803 snum:2480 敦陽科
Rate:1.63869 snum:2481 強茂
Rate:0.64464 snum:2485 兆赫
Rate:1.14406 snum:2486 一詮
Rate:1.77318 snum:2489 瑞軒
Rate:1.84337 snum:2492 華新科
Rate:1.37360 snum:2493 揚博
Rate:1.80611 snum:2498 宏達電
Rate:2.04371 snum:2499 東貝
Rate:1.29208 snum:2501 國建
Rate:2.04755 snum:2504 國產
Rate:1.64082 snum:2505 國揚
Rate:1.40667 snum:2511 太子
Rate:1.37091 snum:2515 中工
Rate:1.24640 snum:2520 冠德
Rate:1.58998 snum:2527 宏璟
Rate:1.50277 snum:2530 華建
Rate:1.57352 snum:2534 宏盛
Rate:1.27176 snum:2538 基泰
Rate:0.98447 snum:2542 興富發
Rate:1.62896 snum:2545 皇翔
Rate:1.76171 snum:2547 日勝生
Rate:1.47550 snum:2548 華固
Rate:2.00416 snum:2601 益航
Rate:1.48244 snum:2603 長榮
Rate:0.64252 snum:2605 新興
Rate:1.04744 snum:2606 裕民
Rate:1.92918 snum:2607 榮運
Rate:2.66414 snum:2609 陽明
Rate:1.99569 snum:2610 華航
Rate:1.86229 snum:2614 東森
Rate:1.91358 snum:2615 萬海
Rate:2.21212 snum:2618 長榮航
Rate:1.99236 snum:2704 國賓
Rate:1.53828 snum:2705 六福
Rate:1.71055 snum:2801 彰銀
Rate:2.25866 snum:2812 台中銀
Rate:0.69500 snum:2820 華票
Rate:1.45727 snum:2823 中壽
Rate:1.39896 snum:2833 台壽保
Rate:1.16822 snum:2834 臺企銀
Rate:1.87753 snum:2841 台開
Rate:1.92700 snum:2845 遠東銀
Rate:1.40663 snum:2847 大眾銀
Rate:1.48585 snum:2850 新產
Rate:0.97848 snum:2854 寶來證
Rate:0.72825 snum:2856 元富證
Rate:0.88337 snum:2880 華南金
Rate:1.35838 snum:2881 富邦金
Rate:0.95207 snum:2882 國泰金
Rate:1.09589 snum:2883 開發金
Rate:1.61167 snum:2884 玉山金
Rate:1.02900 snum:2885 元大金
Rate:0.74369 snum:2886 兆豐金
Rate:0.90639 snum:2887 台新金
Rate:1.11965 snum:2888 新光金
Rate:0.95974 snum:2889 國票金
Rate:1.10644 snum:2890 永豐金
Rate:1.08006 snum:2891 中信金
Rate:1.06219 snum:2892 第一金
Rate:1.30683 snum:2903 遠百
Rate:1.86475 snum:2908 特力
Rate:1.52858 snum:2912 統一超
Rate:2.00316 snum:2913 農林
Rate:1.69151 snum:2915 潤泰全
Rate:2.54823 snum:3003 健和興
Rate:1.44597 snum:3005 神基
Rate:2.22725 snum:3006 晶豪科
Rate:1.17226 snum:3010 華立
Rate:2.34306 snum:3013 晟銘電
Rate:1.04140 snum:3014 聯陽
Rate:2.01972 snum:3017 奇鋐
Rate:1.21237 snum:3019 亞光
Rate:1.73221 snum:3022 威達電
Rate:1.33561 snum:3024 憶聲
Rate:1.04622 snum:3026 禾伸堂
Rate:2.19436 snum:3029 零壹
Rate:1.87095 snum:3030 德律
Rate:0.90931 snum:3034 聯詠
Rate:1.11089 snum:3035 智原
Rate:1.96246 snum:3036 文曄
Rate:1.68319 snum:3037 欣興
Rate:1.87369 snum:3038 全台
Rate:1.12204 snum:3041 揚智
Rate:1.03761 snum:3042 晶技
Rate:2.50701 snum:3043 科風
Rate:0.96133 snum:3045 台灣大
Rate:1.39718 snum:3047 訊舟
Rate:1.69106 snum:3049 和鑫
Rate:1.98860 snum:3050 鈺德
Rate:2.07983 snum:3051 力特
Rate:1.14544 snum:3052 夆典
Rate:1.46676 snum:3057 喬鼎
Rate:0.75065 snum:3059 華晶科
Rate:1.30481 snum:3060 銘異
Rate:1.81326 snum:3061 璨圓
Rate:1.39432 snum:3062 建漢
Rate:2.49724 snum:3094 聯傑
Rate:1.45156 snum:3164 景岳
Rate:1.11022 snum:3189 景碩
Rate:0.63184 snum:3231 緯創
Rate:1.29305 snum:3380 明泰
Rate:2.69002 snum:3406 玉晶光
Rate:1.50416 snum:3450 聯鈞
Rate:0.64850 snum:3474 華亞科
Rate:0.60476 snum:3481 奇美電
Rate:2.02463 snum:3494 誠研
Rate:1.53462 snum:3504 揚明光
Rate:1.12032 snum:3514 昱晶
Rate:1.46372 snum:3534 雷凌
Rate:1.51614 snum:3535 晶彩科
Rate:1.78304 snum:3536 誠創
Rate:1.43158 snum:3557 嘉威
Rate:1.63791 snum:3559 全智科
Rate:1.33903 snum:3561 昇陽科
Rate:1.49314 snum:3573 穎台
Rate:1.42795 snum:3576 新日光
Rate:0.79350 snum:3622 洋華
Rate:1.50766 snum:3702 大聯大
Rate:1.11360 snum:4306 炎洲
Rate:1.75075 snum:4532 瑞智
Rate:0.79618 snum:4904 遠傳
Rate:1.81611 snum:5305 敦南
Rate:1.00418 snum:5522 遠雄
Rate:1.29031 snum:5854 合庫
Rate:1.10455 snum:6005 群益證
Rate:1.20851 snum:6012 金鼎證
Rate:1.01888 snum:6108 競國
Rate:0.72539 snum:6116 彩晶
Rate:1.49584 snum:6120 輔祥
Rate:1.10155 snum:6145 勁永
Rate:2.41342 snum:6153 嘉聯益
Rate:1.60253 snum:6168 宏齊
Rate:1.26990 snum:6172 互億
Rate:1.56101 snum:6176 瑞儀
Rate:0.92894 snum:6191 精成科
Rate:1.16114 snum:6197 佳必琪
Rate:1.91579 snum:6202 盛群
Rate:3.08403 snum:6209 今國光
Rate:1.78454 snum:6213 聯茂
Rate:1.38365 snum:6235 華孚
Rate:0.79226 snum:6239 力成
