期貨商代號,名稱,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計
Date,,20140102,,,,,,,,,,,,20140103,,,,,,,,,,,,20140106,,,,,,,,,,,,20140107,,,,,,,,,,,,20140108,,,,,,,,,,,,20140109,,,,,,,,,,,,20140110,,,,,,,,,,,,20140113,,,,,,,,,,,,20140114,,,,,,,,,,,,20140115,,,,,,,,,,,
F021000,元大寶來期貨,0,17174,0,1667,2312,33544,0,66,4,38,3518,58323,0,21876,0,1918,1696,39267,0,60,0,22,3400,68239,0,21409,0,1737,2341,39306,0,31,0,15,3477,68316,0,17956,0,1686,1709,37652,0,19,0,9,3800,62831,0,16067,0,1589,1491,32371,0,28,6,21,3347,54920,0,23106,0,2663,2119,46451,0,83,7,15,4515,78959,0,14919,0,1481,1396,29466,0,28,1,44,4141,51476,0,19593,0,3063,2049,53890,0,357,6,28,4005,82991,0,16564,0,2115,1852,45815,0,173,32,53,4968,71572,0,18704,0,2490,2768,56711,0,59,26,33,7074,87865
S980999,元大寶來證券自營,0,7032,0,163,32,10274,0,52,0,142,12486,30181,0,7424,0,198,43,12682,0,79,0,59,11819,32304,0,9482,0,114,109,12741,0,78,0,59,13388,35971,0,7369,0,143,23,9314,0,253,0,24,12281,29407,0,11478,0,118,25,9503,0,184,0,123,12825,34256,0,16694,0,257,20,13352,0,104,0,44,20618,51089,0,13102,0,110,10,7471,0,57,0,72,15102,35924,0,17826,0,114,30,14415,0,117,0,57,15371,47930,0,12537,0,193,20,9893,0,221,0,51,15402,38317,0,15471,0,146,164,11391,0,610,0,40,15888,43710
F004000,凱基期貨,0,8158,0,598,898,19591,0,37,0,32,5833,35147,0,10644,0,591,471,20595,0,100,0,24,3954,36379,0,10095,0,583,571,25028,0,15,0,49,4339,40680,0,10109,0,674,261,23164,0,12,0,20,4167,38407,0,9695,0,815,314,20649,0,13,0,24,5057,36567,0,13716,0,1148,363,31714,0,79,0,2,7325,54347,0,8467,0,594,367,19915,0,32,0,10,5245,34630,0,10088,0,628,330,19439,0,31,0,13,5426,35955,0,8053,0,784,295,19391,0,42,0,12,5417,33994,0,11268,0,1007,1021,19174,0,51,0,24,5755,38300
F020000,群益期貨,0,8174,0,193,364,10696,0,17,0,18,2473,21935,0,10412,0,227,428,13477,0,45,6,10,1898,26503,0,8827,0,211,450,12711,0,15,3,6,2019,24242,0,8142,0,157,256,12055,0,3,0,2,2319,22934,0,7457,0,348,312,11782,0,25,1,0,2197,22122,0,9467,0,414,335,15262,0,27,0,1,3826,29332,0,5405,0,202,243,9368,0,24,1,1,2387,17631,0,9009,0,249,380,13909,0,36,1,14,2943,26541,0,7137,0,257,179,12422,0,13,10,0,2765,22783,0,9750,0,639,491,17551,0,13,1,4,5177,33626
F002000,永豐期貨,0,9126,0,480,467,8670,0,24,0,12,1439,20218,0,10554,0,655,515,12386,0,43,0,10,1565,25728,0,9488,0,422,385,11294,0,7,0,7,962,22565,0,8963,0,440,442,11737,0,23,0,3,1263,22871,0,7812,0,546,450,10884,0,8,2,13,1217,20932,0,11051,0,752,482,20239,0,56,1,1,1893,34475,0,5715,0,372,353,12668,0,37,0,4,1588,20737,0,7780,0,416,415,17531,0,39,0,7,1859,28047,0,7592,0,610,465,12590,0,71,0,5,1820,23153,0,9436,0,1379,923,13782,0,201,1,4,2066,27792
F008000,統一期貨,0,2977,0,164,188,6305,0,0,0,18,1826,11478,0,3802,0,372,256,5809,0,0,0,9,1592,11840,0,3279,0,168,176,6183,0,0,0,1,2381,12188,0,3116,0,165,205,6534,0,0,0,8,1803,11831,0,3133,0,206,115,6044,0,0,0,53,1377,10928,0,4084,0,362,185,7047,0,0,1,7,2510,14196,0,2268,0,195,139,4963,0,0,0,36,2280,9881,0,3709,0,219,156,6762,0,0,0,20,2535,13401,0,3287,0,247,164,5004,0,2,18,28,1629,10379,0,3733,0,405,378,6289,0,0,8,66,3375,14254
F029000,康和期貨,0,3725,0,102,147,5700,0,0,0,1,431,10106,0,4376,0,121,133,6453,0,1,0,3,415,11502,0,3939,0,72,189,6279,0,0,0,2,256,10737,0,3953,0,104,164,5745,0,0,0,0,547,10513,0,3519,0,85,111,5072,0,0,0,1,537,9325,0,4726,0,174,118,6707,0,0,0,0,560,12285,0,2894,0,110,108,4994,0,0,0,0,469,8575,0,4026,0,129,117,4589,0,2,0,1,440,9304,0,3392,0,156,87,5934,0,0,0,1,610,10180,0,4097,0,215,176,8371,0,4,0,1,588,13452
F007000,日盛期貨,0,3294,0,121,232,5049,0,7,0,5,562,9270,0,4125,0,103,114,4507,0,18,0,3,499,9369,0,3280,0,109,180,6328,0,2,5,4,526,10434,0,3492,0,139,161,5518,0,20,1,3,430,9764,0,3279,0,281,144,4421,0,20,0,4,432,8581,0,4642,0,242,138,6594,0,4,0,1,648,12269,0,2578,0,151,73,4738,0,0,0,1,384,7925,0,3793,0,302,107,6327,0,4,0,2,415,10950,0,3153,0,286,157,6227,0,20,0,5,684,10532,0,4350,0,381,246,6553,0,2,11,6,843,12392
F026000,富邦期貨,0,2552,0,155,308,5072,0,6,2,17,1654,9766,0,3369,0,179,192,5733,0,6,2,15,1703,11199,0,2644,0,160,243,5455,0,7,2,8,1562,10081,0,2680,0,101,176,5364,0,21,2,2,1490,9836,0,2701,0,243,200,4965,0,7,7,5,1822,9950,0,3541,0,263,235,6842,0,20,1,4,2327,13233,0,2185,0,190,163,4257,0,15,0,10,1132,7952,0,2866,0,105,210,5538,0,5,7,13,1262,10006,0,2593,0,179,162,4706,0,2,5,0,1867,9514,0,3754,0,366,322,5916,0,16,4,4,2735,13117
