期貨商代號,名稱,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計
Date,,20140205,,,,,,,,,,,,20140206,,,,,,,,,,,,20140207,,,,,,,,,,,,20140210,,,,,,,,,,,,20140211,,,,,,,,,,,,20140212,,,,,,,,,,,,20140213,,,,,,,,,,,,20140214,,,,,,,,,,,
F021000,元大寶來期貨,0,33437,0,2333,2933,57934,0,102,0,11,4479,101229,0,19822,0,1585,1500,39690,0,219,32,7,5668,68523,0,22850,0,1585,1535,41896,0,82,4,6,3786,71744,0,19093,0,1564,2032,37702,0,39,3,10,4838,65281,0,17744,0,1016,1441,30569,0,30,6,14,3399,54219,0,20272,0,1663,1522,42662,0,54,3,12,3150,69338,0,16154,0,1252,1511,28874,0,52,7,12,3686,51548,0,22996,0,1427,2205,60883,0,70,9,28,4084,91702
F004000,凱基期貨,0,16929,0,1189,601,37442,0,53,0,8,4076,60298,0,12795,0,806,259,24146,0,64,0,10,4816,42896,0,13190,0,705,400,24585,0,62,8,8,3521,42479,0,10109,0,682,436,22505,0,95,1,20,3301,37149,0,9523,0,499,419,18515,0,4,0,37,3570,32567,0,11496,0,626,241,20307,0,28,2,7,3641,36348,0,8803,0,685,308,16085,0,36,0,15,3698,29630,0,13710,0,1032,643,30020,0,102,0,31,3985,49523
S980999,元大寶來證券自營,0,10288,0,132,132,19986,0,98,0,29,10768,41433,0,7534,0,117,51,10555,0,143,0,13,16497,34910,0,9615,0,139,58,12078,0,135,0,59,11642,33726,0,8176,0,231,53,10569,0,139,0,22,11230,30420,0,6842,0,142,61,8684,0,121,0,166,9893,25909,0,7712,0,165,47,12260,0,226,0,43,11036,31489,0,3441,0,182,68,4998,0,91,0,35,10990,19805,0,6441,0,108,81,11514,0,216,0,82,12605,31047
F002000,永豐期貨,0,12354,0,553,374,13747,0,71,0,4,1406,28509,0,8598,0,373,180,9365,0,43,0,1,781,19341,0,10171,0,309,249,9970,0,13,2,3,917,21634,0,7615,0,541,434,9595,0,43,0,5,1126,19359,0,7831,0,898,359,9908,0,27,0,1,1999,21023,0,11049,0,475,301,9944,0,23,0,20,1928,23740,0,8605,0,253,281,9770,0,19,0,20,4895,23843,0,13286,0,390,616,21469,0,26,0,29,3340,39156
F020000,群益期貨,0,14034,0,233,745,19590,0,4,2,7,2527,37142,0,8139,0,204,121,12330,0,2,3,3,2143,22945,0,9350,0,242,234,11719,0,6,4,0,2709,24264,0,8401,0,187,323,10667,0,12,4,8,2491,22093,0,8164,0,134,190,11001,0,35,0,11,2244,21779,0,9551,0,321,203,12986,0,9,0,9,2353,25432,0,7126,0,187,196,9762,0,16,1,5,2199,19492,0,10629,0,317,451,17580,0,25,2,8,2831,31843
F008000,統一期貨,0,4233,0,253,163,8091,0,0,0,29,1917,14686,0,3000,0,103,92,6187,0,0,0,2,2340,11724,0,3567,0,196,142,6815,0,0,3,30,2757,13510,0,4234,0,161,152,5899,0,0,0,13,1952,12411,0,4049,0,207,89,5563,0,0,0,38,2902,12848,0,3934,0,221,120,5842,0,0,0,5,2821,12943,0,3103,0,80,85,4533,0,0,1,0,1955,9757,0,4515,0,250,149,8243,0,1,2,27,2526,15713
F029000,康和期貨,0,4453,0,178,135,8110,0,0,0,3,437,13316,0,3649,0,77,134,6290,0,1,0,1,498,10650,0,4274,0,140,112,6425,0,1,0,1,422,11375,0,3681,0,147,155,5224,0,2,1,4,454,9668,0,3477,0,97,83,5056,0,0,0,4,324,9041,0,3719,0,83,76,5577,0,0,0,2,370,9827,0,3315,0,150,66,4589,0,0,0,1,696,8817,0,4320,0,159,172,7784,0,1,0,3,394,12833
F007000,日盛期貨,0,4310,0,133,177,5764,0,6,0,5,347,10742,0,2940,0,105,88,4289,0,9,0,0,371,7802,0,3717,0,94,120,7053,0,3,0,1,518,11506,0,3278,0,110,146,4869,0,11,0,2,430,8846,0,3183,0,97,86,4844,0,5,0,0,394,8609,0,3687,0,167,138,5088,0,3,0,10,504,9597,0,3435,0,106,137,4515,0,5,0,9,328,8535,0,5128,0,173,185,6974,0,8,0,7,427,12902
F026000,富邦期貨,0,4884,0,230,241,5204,0,27,6,14,1522,12128,0,2631,0,106,112,4400,0,17,2,0,1493,8761,0,3948,0,135,187,4545,0,13,3,7,1757,10595,0,3021,0,101,233,4285,0,24,0,26,1277,8967,0,2736,0,81,123,3738,0,5,1,15,1820,8519,0,3258,0,138,133,4983,0,4,0,4,1767,10287,0,2541,0,105,224,4324,0,4,4,13,1407,8622,0,3833,0,174,279,6095,0,16,1,14,1674,12086
