期貨商代號,名稱,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計
Date,,20140603,,,,,,,,,,,,20140604,,,,,,,,,,,,20140605,,,,,,,,,,,,20140606,,,,,,,,,,,,20140609,,,,,,,,,,,,20140610,,,,,,,,,,,,20140611,,,,,,,,,,,,20140612,,,,,,,,,,,,20140613,,,,,,,,,,,
F021000,元大寶來期貨,0,18778,0,2591,2817,39437,0,253,0,32,3236,67144,0,12056,0,2380,2265,23786,0,337,3,17,2825,43669,0,14546,0,2097,2082,30897,0,131,2,11,3651,53417,0,13840,0,1842,1901,27114,0,164,3,38,4080,48982,0,10273,0,1604,1688,21713,0,86,6,7,3117,38494,0,14225,0,1873,3086,32369,0,113,6,8,4695,56375,0,8325,0,1640,1345,19022,0,87,4,11,3735,34169,0,9560,0,1578,1206,19999,0,181,1,10,4132,36667,0,13517,0,2130,1910,34815,0,150,3,15,3929,56469
F004000,凱基期貨,0,12114,2,1565,899,19490,0,86,0,22,3873,38051,0,6306,2,1073,671,11107,0,34,2,9,3426,22630,0,8747,0,1270,780,16880,0,34,0,8,3810,31529,0,7115,0,1057,533,13817,0,14,0,27,3866,26429,0,5318,0,700,484,11197,0,17,0,3,4151,21870,0,8015,0,898,952,18510,0,19,0,13,5018,33425,0,4426,0,591,654,10221,0,18,0,13,5377,21300,0,5651,0,618,455,11123,0,19,0,7,4438,22311,0,8977,0,1023,531,17609,0,74,0,14,4825,33053
S980999,元大寶來證券自營,0,4143,0,351,402,11743,0,150,0,51,11858,28698,0,1576,0,209,306,5586,0,146,0,33,10506,18362,0,3122,0,223,359,7242,0,104,0,44,12547,23641,0,2881,0,224,301,6959,0,99,0,80,14160,24704,0,1786,0,155,250,5216,0,96,0,4,10708,18215,0,3133,0,193,231,8974,0,106,0,100,14060,26797,0,1141,0,145,184,4836,0,78,0,65,10465,16914,0,1326,0,140,178,4926,0,90,0,8,12731,19399,0,2617,0,208,218,6746,0,207,0,113,12332,22441
F020000,群益期貨,0,8566,0,289,475,15484,0,29,1,5,3198,28047,0,4797,0,254,497,8938,0,36,2,2,3269,17795,0,6230,0,306,240,11005,0,34,4,1,3585,21405,0,6160,0,199,316,10344,0,19,2,8,3226,20274,0,4903,0,388,294,6378,0,27,0,0,3566,15556,0,6644,0,354,479,11047,0,23,6,2,3515,22070,0,3440,0,206,264,8269,0,23,3,6,4102,16313,0,4629,0,193,189,8518,0,0,4,0,3642,17175,0,6306,0,403,204,11476,0,16,4,3,3795,22207
F002000,永豐期貨,0,7279,0,538,513,9947,0,15,0,13,1178,19483,0,4572,0,574,348,8471,0,7,0,14,985,14971,0,5330,0,356,446,8549,0,13,3,18,1288,16003,0,5842,0,313,396,8631,0,2,2,46,1219,16451,0,3934,0,314,332,7163,0,2,0,7,1251,13003,0,6730,0,323,875,10951,0,7,1,6,1419,20312,0,3642,0,368,303,5609,0,3,2,23,1396,11346,0,4804,0,358,322,6751,0,1,0,15,1221,13472,0,6537,0,421,290,9109,0,3,2,6,1558,17926
F008000,統一期貨,0,3335,1,402,315,7770,0,3,2,4,2442,14274,0,2436,1,293,210,4450,0,0,2,2,2627,10021,0,3090,0,293,376,7340,0,38,1,1,2654,13793,0,2772,0,288,193,5191,0,29,4,0,2323,10800,0,1886,0,308,310,3240,0,6,1,0,3856,9607,0,2607,0,411,443,7701,0,3,2,2,3925,15094,0,1788,0,299,224,3743,0,0,0,1,3354,9409,0,2096,0,271,249,4031,0,34,1,4,3028,9714,0,2870,0,388,210,5529,0,0,0,10,2961,11968
F026000,富邦期貨,0,2886,0,333,342,4120,0,16,0,9,1909,9615,0,1942,0,260,225,4640,0,13,0,3,1962,9045,0,2174,0,208,216,4240,0,13,0,0,2005,8856,0,2553,0,220,228,3489,0,14,0,39,1487,8030,0,1669,0,247,125,2542,0,3,0,8,1910,6504,0,2654,0,213,393,4068,0,10,0,2,1992,9332,0,1545,0,179,136,2091,0,0,0,8,2016,5975,0,1988,0,166,262,2958,0,8,0,1,1600,6983,0,2475,0,283,196,4425,0,18,2,10,1015,8424
F007000,日盛期貨,0,3955,0,170,177,4915,0,0,0,11,445,9673,0,2504,0,154,131,3396,0,4,5,9,379,6582,0,3014,0,164,151,4187,0,1,0,15,483,8015,0,3085,0,150,143,4323,0,1,1,8,460,8171,0,2187,0,115,99,2985,0,3,2,5,498,5894,0,3615,0,199,283,4361,0,1,0,6,559,9024,0,2035,0,182,138,3037,0,0,0,2,670,6064,0,2475,0,200,147,3183,0,0,1,2,553,6561,0,3638,0,282,164,4805,0,4,0,3,618,9514
F029000,康和期貨,0,4061,0,219,309,6173,0,2,1,3,510,11278,0,2677,0,171,140,4284,0,0,1,2,380,7655,0,3065,0,168,208,4616,0,2,0,0,637,8696,0,3012,0,175,197,4476,0,0,0,4,510,8374,0,2237,0,135,112,3902,0,0,1,1,449,6837,0,3317,0,196,310,6714,0,1,3,5,494,11040,0,1871,0,153,181,3739,0,0,0,1,534,6479,0,2394,0,152,242,4910,0,0,0,4,363,8065,0,3436,0,158,121,5135,0,2,0,5,433,9290
