6279|胡連|寶來證券|69.9607309194712|0.0123|
6279|胡連|元富證券|67.22796757019|0.0170|
6278|台表科|瑞士信貸|86.8126976847166|0.0192|
6278|台表科|港商上海匯豐證券|88.6625349335219|0.0045|
6278|台表科|大和國泰證券|87.4047039779777|0.0037|
6277|宏正|港商野村|70.1548751493983|0.0254|
6277|宏正|法銀巴黎證券|71.4175993546196|0.0077|
6277|宏正|台灣摩根士丹利|70.848934638791|0.0055|
6276|名鐘|東興證券|11.098102658294|0.0010|
6270|倍微|石橋證券|22.0659939801251|0.0007|
6269|台郡|福勝證券|77.0593196768802|0.0022|
6269|台郡|新百王|75.0394337972005|0.0003|
6269|台郡|港商上海匯豐證券|75.2243580537684|0.0032|
6269|台郡|法銀巴黎證券|75.9513883938755|0.0017|
6269|台郡|玉山證券|81.5700422306125|0.0038|
6266|泰詠|亞東證券|13.039249509573|0.0037|
6266|泰詠|合庫|13.1088309087871|0.0116|
6264|德士通|鼎富證券|21.9075899832589|0.0016|
6264|德士通|富順證券|21.6283563923191|0.0014|
6261|久元|豐興證券|91.1411966596331|0.0005|
6261|久元|德信證券|90.8356874254015|0.0028|
6261|久元|萬通|93.7158699035645|0.0002|
6261|久元|港商麥格里|89.9805587212092|0.0100|
6261|久元|合庫|89.0083185179621|0.0089|
6248|沛波|金豐證券|7.23342005411784|0.0005|
6246|臺龍|日盛證券|21.091369570275|0.0062|
6245|立端|陽信證券|23.4707438151042|0.0010|
6245|立端|致和證券|22.8995296223958|0.0023|
6237|驊訊|石橋證券|32.7393984587296|0.0006|
6236|凌越|中信銀證|6.08215974506579|0.0332|
6231|系微|寶盛證券|151.797077525746|0.0003|
6231|系微|光和證券|156.390199267175|0.0032|
6231|系微|大展證券|144.210405985514|0.0010|
6227|茂綸|日茂|14.288809155661|0.0008|
6226|光鼎|光隆|12.0262750244141|0.0023|
6226|光鼎|大眾證券|11.7845807590643|0.0041|
6223|旺矽|聯邦商銀|90.4251200712516|0.0037|
6223|旺矽|華南永昌證券|100.183444459411|0.0055|
6223|旺矽|富順證券|94.6581242448192|0.0015|
6223|旺矽|富邦證券|97.719968355619|0.0106|
6223|旺矽|凱基證券|102.122796906084|0.0096|
6223|旺矽|元大證券|97.0607464130108|0.0212|
6223|旺矽|(牛牛牛)亞證券|103.801987519135|0.0014|
6221|晉泰|渣打商銀|18.1916244506836|0.0014|
6220|岳豐|光和證券|18.9652390590934|0.0015|
6220|岳豐|中農證券|17.777994131113|0.0007|
6216|居易|富星證券|18.5060768875421|0.0014|
6213|聯茂|第一金證券|38.1609463386451|0.0063|
6213|聯茂|國泰證券|37.1522794313069|0.0033|
6209|今國光|大展證券|48.5321566298482|0.0023|
6208|日揚|港商法國興業|17.3595196063702|0.0023|
6208|日揚|日進|16.6269392856332|0.0004|
6208|日揚|大華證券|15.6313172542688|0.0047|
6207|雷科|新百王|46.6688741048177|0.0002|
6203|海韻|石橋證券|39.6158485412598|0.0005|
6196|帆宣|福邦證券|25.4636207863137|0.0010|
6196|帆宣|新光證券|25.792327202691|0.0028|
6195|詩肯|光和證券|62.8658858079177|0.0031|
6192|巨路|富星證券|79.2399198091947|0.0020|
6192|巨路|光和證券|80.6296106557377|0.0018|
6187|萬潤|台灣工銀證券|21.1289707414256|0.0046|
6187|萬潤|土銀|20.1937457084656|0.0025|
6186|晶磊|新光證券|14.9730986858385|0.0073|
6186|晶磊|永全證券|15.0461204648018|0.0021|
6183|關貿|福勝證券|17.6594996776396|0.0007|
6183|關貿|石橋證券|18.9244995117188|0.0005|
