期貨商代號,名稱,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計MSO,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20110401,,,,,,,,,20110406,,,,,,,,,20110407,,,,,,,,,20110408,,,,,,,,,20110411,,,,,,,,,20110412,,,,,,,,,20110413,,,,,,,,,20110414,,,,,,,,,20110415,,,,,,,,,20110418,,,,,,,,,20110419,,,,,,,,,20110420,,,,,,,,,20110421,,,,,,,,,20110422,,,,,,,,,20110425,,,,,,,,,20110426,,,,,,,,,20110427,,,,,,,,,20110428,,,,,,,,,20110429,,,,,,,,,99999999,,,,,,,,
S970999,寶來證券自營,326.0000000000000000,395.0000000000000000,102808.0000000000000,90.00000000000000000,0,10.00000000000000000,58.00000000000000000,263.0000000000000000,103950.0000000000000,799.0000000000000000,432.0000000000000000,210256.0000000000000,88.00000000000000000,0,0,166.0000000000000000,456.0000000000000000,212197.0000000000000,398.0000000000000000,699.0000000000000000,120159.0000000000000,185.0000000000000000,0,558.0000000000000000,177.0000000000000000,21.00000000000000000,122197.0000000000000,536.0000000000000000,828.0000000000000000,125352.0000000000000,207.0000000000000000,0,710.0000000000000000,114.0000000000000000,62.00000000000000000,127809.0000000000000,858.0000000000000000,1053.000000000000000,117526.0000000000000,135.0000000000000000,0,649.0000000000000000,24.00000000000000000,31.00000000000000000,120276.0000000000000,787.0000000000000000,790.0000000000000000,273047.0000000000000,195.0000000000000000,0,1865.000000000000000,262.0000000000000000,15.00000000000000000,276961.0000000000000,297.0000000000000000,370.0000000000000000,139005.0000000000000,165.0000000000000000,0,399.0000000000000000,106.0000000000000000,3.000000000000000000,140345.0000000000000,1316.000000000000000,1215.000000000000000,225941.0000000000000,19.00000000000000000,0,457.0000000000000000,414.0000000000000000,27.00000000000000000,229389.0000000000000,899.0000000000000000,942.000000000000000,199042.0000000000000,68.00000000000000000,0,114.0000000000000000,40.00000000000000000,44.00000000000000000,201149.0000000000000,926.000000000000000,1279.000000000000000,174669.0000000000000,110.0000000000000000,0,451.0000000000000000,670.0000000000000000,14.00000000000000000,178119.0000000000000,1922.000000000000000,2343.000000000000000,287838.0000000000000,145.0000000000000000,0,3621.000000000000000,1292.000000000000000,15.00000000000000000,297176.0000000000000,706.0000000000000000,397.0000000000000000,238278.0000000000000,54.00000000000000000,0,76.00000000000000000,0,52.00000000000000000,239563.0000000000000,119.0000000000000000,793.0000000000000000,97014.0000000000000,0,0,414.0000000000000000,122.0000000000000000,5.000000000000000000,98467.0000000000000,368.0000000000000000,317.0000000000000000,60087.00000000000000,51.00000000000000000,0,109.0000000000000000,60.00000000000000000,9.000000000000000000,61001.00000000000000,183.0000000000000000,452.0000000000000000,70299.00000000000000,38.00000000000000000,0,468.0000000000000000,102.0000000000000000,4.000000000000000000,71546.00000000000000,544.0000000000000000,312.0000000000000000,120531.0000000000000,51.00000000000000000,0,276.0000000000000000,315.0000000000000000,71.00000000000000000,122100.0000000000000,171.0000000000000000,427.0000000000000000,104058.0000000000000,72.00000000000000000,0,235.0000000000000000,168.0000000000000000,5.000000000000000000,105136.0000000000000,333.0000000000000000,411.0000000000000000,97113.0000000000000,72.00000000000000000,0,435.0000000000000000,104.0000000000000000,202.0000000000000000,98670.0000000000000,294.0000000000000000,183.0000000000000000,142864.0000000000000,55.00000000000000000,0,210.0000000000000000,293.0000000000000000,0,143899.0000000000000,11782.00000000000000,13638.00000000000000,2905887.000000000000,1800.000000000000000,0,11057.00000000000000,4487.000000000000000,1299.000000000000000,2949950.000000000000,13.72000000000000000
S157999,香港商法國興業證券,4.000000000000000000,80.00000000000000000,87304.00000000000000,5.000000000000000000,0,0,100.0000000000000000,0,87493.00000000000000,10.00000000000000000,240.0000000000000000,174165.0000000000000,35.00000000000000000,0,571.0000000000000000,2.000000000000000000,0,175023.0000000000000,5.000000000000000000,67.00000000000000000,94274.0000000000000,70.00000000000000000,0,41.00000000000000000,0,0,94457.0000000000000,6.000000000000000000,28.00000000000000000,122180.0000000000000,10.00000000000000000,0,292.0000000000000000,0,0,122516.0000000000000,15.00000000000000000,565.0000000000000000,111679.0000000000000,86.00000000000000000,0,152.0000000000000000,100.0000000000000000,0,112597.0000000000000,2.000000000000000000,127.0000000000000000,229037.0000000000000,239.0000000000000000,0,579.0000000000000000,110.0000000000000000,0,230094.0000000000000,84.00000000000000000,129.0000000000000000,120756.0000000000000,377.0000000000000000,0,464.0000000000000000,111.0000000000000000,0,121921.0000000000000,440.0000000000000000,300.0000000000000000,222569.0000000000000,197.0000000000000000,0,268.0000000000000000,397.0000000000000000,0,224171.0000000000000,496.0000000000000000,561.0000000000000000,208477.0000000000000,5.000000000000000000,0,50.00000000000000000,40.00000000000000000,0,209629.0000000000000,430.0000000000000000,430.0000000000000000,142630.0000000000000,0,0,275.0000000000000000,464.0000000000000000,0,144229.0000000000000,0,110.0000000000000000,235113.0000000000000,115.0000000000000000,0,84.00000000000000000,61.00000000000000000,0,235483.0000000000000,2.000000000000000000,2.000000000000000000,102168.0000000000000,1.000000000000000000,0,2.000000000000000000,0,0,102175.0000000000000,2.000000000000000000,139.0000000000000000,106735.0000000000000,10.00000000000000000,0,74.00000000000000000,0,0,106960.0000000000000,0,33.00000000000000000,49820.00000000000000,5.000000000000000000,0,2.000000000000000000,0,0,49860.00000000000000,105.0000000000000000,0,79239.00000000000000,0,0,0,0,0,79344.00000000000000,0,1.000000000000000000,111740.0000000000000,0,0,20.00000000000000000,0,0,111761.0000000000000,0,3.000000000000000000,82692.00000000000000,2.000000000000000000,0,0,0,0,82697.00000000000000,0,0,86372.00000000000000,0,0,0,0,0,86372.00000000000000,0,40.00000000000000000,153139.0000000000000,0,0,0,0,0,153179.0000000000000,1601.000000000000000,2855.000000000000000,2520089.000000000000,1157.000000000000000,0,2874.000000000000000,1385.000000000000000,0,2529961.000000000000,11.77000000000000000
F034999,澳帝華期貨自營,111.0000000000000000,479.0000000000000000,90591.00000000000000,48.00000000000000000,0,81.00000000000000000,53.00000000000000000,156.0000000000000000,91519.00000000000000,805.0000000000000000,1276.000000000000000,205403.0000000000000,210.0000000000000000,0,354.0000000000000000,136.0000000000000000,238.0000000000000000,208422.0000000000000,203.0000000000000000,1085.000000000000000,97318.0000000000000,184.0000000000000000,0,567.0000000000000000,142.0000000000000000,62.00000000000000000,99561.0000000000000,552.0000000000000000,891.0000000000000000,128708.0000000000000,102.0000000000000000,0,955.000000000000000,51.00000000000000000,110.0000000000000000,131369.0000000000000,148.0000000000000000,1127.000000000000000,90247.00000000000000,127.0000000000000000,0,212.0000000000000000,488.0000000000000000,67.00000000000000000,92416.0000000000000,429.0000000000000000,962.000000000000000,195036.0000000000000,115.0000000000000000,0,445.0000000000000000,328.0000000000000000,242.0000000000000000,197557.0000000000000,140.0000000000000000,548.0000000000000000,121462.0000000000000,67.00000000000000000,0,974.000000000000000,440.0000000000000000,53.00000000000000000,123684.0000000000000,804.0000000000000000,1387.000000000000000,149047.0000000000000,35.00000000000000000,0,114.0000000000000000,278.0000000000000000,57.00000000000000000,151722.0000000000000,1336.000000000000000,1241.000000000000000,126378.0000000000000,55.00000000000000000,0,75.00000000000000000,0,576.0000000000000000,129661.0000000000000,433.0000000000000000,1337.000000000000000,107668.0000000000000,182.0000000000000000,0,116.0000000000000000,74.00000000000000000,165.0000000000000000,109975.0000000000000,358.0000000000000000,1987.000000000000000,203269.0000000000000,158.0000000000000000,0,51.00000000000000000,21.00000000000000000,327.0000000000000000,206171.0000000000000,515.0000000000000000,588.0000000000000000,148840.0000000000000,52.00000000000000000,0,257.0000000000000000,0,105.0000000000000000,150357.0000000000000,261.0000000000000000,579.0000000000000000,103292.0000000000000,76.00000000000000000,0,341.0000000000000000,152.0000000000000000,37.00000000000000000,104738.0000000000000,395.0000000000000000,707.0000000000000000,36054.00000000000000,34.00000000000000000,0,61.00000000000000000,24.00000000000000000,60.00000000000000000,37335.00000000000000,268.0000000000000000,668.0000000000000000,58392.00000000000000,20.00000000000000000,0,177.0000000000000000,72.00000000000000000,242.0000000000000000,59839.00000000000000,672.0000000000000000,1068.000000000000000,83131.00000000000000,14.00000000000000000,0,154.0000000000000000,249.0000000000000000,126.0000000000000000,85414.00000000000000,155.0000000000000000,1030.000000000000000,64265.00000000000000,129.0000000000000000,0,154.0000000000000000,158.0000000000000000,49.00000000000000000,65940.00000000000000,225.0000000000000000,493.0000000000000000,67462.00000000000000,49.00000000000000000,0,12.00000000000000000,140.0000000000000000,5.000000000000000000,68386.00000000000000,304.0000000000000000,866.0000000000000000,116322.0000000000000,75.00000000000000000,0,82.00000000000000000,224.0000000000000000,1.000000000000000000,117874.0000000000000,8114.000000000000000,18319.00000000000000,2192885.000000000000,1732.000000000000000,0,5182.000000000000000,3030.000000000000000,2678.000000000000000,2231940.000000000000,10.38000000000000128
F004000,凱基期貨,5.000000000000000000,81.00000000000000000,73328.00000000000000,3.000000000000000000,0,2.000000000000000000,0,7.000000000000000000,73426.00000000000000,9.000000000000000000,319.0000000000000000,145784.0000000000000,9.000000000000000000,0,4.000000000000000000,1.000000000000000000,6.000000000000000000,146132.0000000000000,5.000000000000000000,188.0000000000000000,75589.00000000000000,11.00000000000000000,0,2.000000000000000000,1.000000000000000000,6.000000000000000000,75802.00000000000000,47.00000000000000000,68.00000000000000000,89770.00000000000000,4.000000000000000000,0,2.000000000000000000,0,7.000000000000000000,89898.00000000000000,2.000000000000000000,311.0000000000000000,54190.00000000000000,4.000000000000000000,0,7.000000000000000000,0,5.000000000000000000,54519.00000000000000,22.00000000000000000,43.00000000000000000,111638.0000000000000,6.000000000000000000,0,0,1.000000000000000000,8.000000000000000000,111718.0000000000000,37.00000000000000000,24.00000000000000000,75900.00000000000000,17.00000000000000000,0,0,0,3.000000000000000000,75981.00000000000000,11.00000000000000000,51.00000000000000000,76647.00000000000000,1.000000000000000000,0,0,0,2.000000000000000000,76712.00000000000000,7.000000000000000000,62.00000000000000000,65646.00000000000000,16.00000000000000000,0,0,0,9.000000000000000000,65740.00000000000000,11.00000000000000000,134.0000000000000000,60217.00000000000000,10.00000000000000000,0,0,0,40.00000000000000000,60412.00000000000000,3.000000000000000000,32.00000000000000000,117668.0000000000000,8.000000000000000000,0,1.000000000000000000,0,11.00000000000000000,117723.0000000000000,11.00000000000000000,13.00000000000000000,102515.0000000000000,9.000000000000000000,0,2.000000000000000000,0,2.000000000000000000,102552.0000000000000,17.00000000000000000,31.00000000000000000,89753.00000000000000,8.000000000000000000,0,0,0,1.000000000000000000,89810.00000000000000,12.00000000000000000,52.00000000000000000,34405.00000000000000,6.000000000000000000,0,0,0,20.00000000000000000,34495.00000000000000,17.00000000000000000,37.00000000000000000,44571.00000000000000,6.000000000000000000,0,1.000000000000000000,0,6.000000000000000000,44638.00000000000000,5.000000000000000000,44.00000000000000000,66650.00000000000000,9.000000000000000000,0,1.000000000000000000,1.000000000000000000,14.00000000000000000,66724.00000000000000,3.000000000000000000,38.00000000000000000,59565.00000000000000,19.00000000000000000,0,0,0,1.000000000000000000,59626.00000000000000,5.000000000000000000,57.00000000000000000,66435.00000000000000,19.00000000000000000,0,0,0,24.00000000000000000,66540.00000000000000,2.000000000000000000,29.00000000000000000,62082.00000000000000,21.00000000000000000,0,1.000000000000000000,0,15.00000000000000000,62150.00000000000000,231.0000000000000000,1614.000000000000000,1472353.000000000000,186.0000000000000000,0,23.00000000000000000,4.000000000000000000,187.0000000000000000,1474598.000000000000,6.860000000000000000
F002000,永豐期貨,33.00000000000000000,91.00000000000000000,35654.00000000000000,0,0,2.000000000000000000,0,24.00000000000000000,35804.00000000000000,16.00000000000000000,174.0000000000000000,105981.0000000000000,3.000000000000000000,0,8.000000000000000000,0,88.00000000000000000,106270.0000000000000,23.00000000000000000,62.00000000000000000,47847.00000000000000,3.000000000000000000,0,2.000000000000000000,0,22.00000000000000000,47959.00000000000000,136.0000000000000000,83.00000000000000000,65747.00000000000000,51.00000000000000000,0,7.000000000000000000,0,0,66024.00000000000000,84.00000000000000000,15.00000000000000000,48866.00000000000000,1.000000000000000000,0,34.00000000000000000,0,40.00000000000000000,49040.00000000000000,25.00000000000000000,8.000000000000000000,75057.00000000000000,0,0,10.00000000000000000,0,30.00000000000000000,75130.00000000000000,15.00000000000000000,1.000000000000000000,48491.00000000000000,3.000000000000000000,0,6.000000000000000000,0,0,48516.00000000000000,2.000000000000000000,28.00000000000000000,69243.00000000000000,1.000000000000000000,0,6.000000000000000000,0,0,69280.00000000000000,1.000000000000000000,74.00000000000000000,76044.00000000000000,19.00000000000000000,0,9.000000000000000000,0,0,76147.00000000000000,9.000000000000000000,68.00000000000000000,48948.00000000000000,0,0,3.000000000000000000,0,0,49028.00000000000000,10.00000000000000000,71.00000000000000000,95220.0000000000000,0,0,9.000000000000000000,0,0,95310.0000000000000,8.000000000000000000,76.00000000000000000,81726.00000000000000,0,0,8.000000000000000000,0,0,81818.00000000000000,0,120.0000000000000000,59908.00000000000000,1.000000000000000000,0,44.00000000000000000,0,0,60073.00000000000000,0,19.00000000000000000,30553.00000000000000,5.000000000000000000,0,3.000000000000000000,0,4.000000000000000000,30584.00000000000000,3.000000000000000000,118.0000000000000000,35244.00000000000000,3.000000000000000000,0,1.000000000000000000,0,5.000000000000000000,35374.00000000000000,347.0000000000000000,179.0000000000000000,49342.00000000000000,2.000000000000000000,0,6.000000000000000000,0,11.00000000000000000,49887.00000000000000,3.000000000000000000,56.00000000000000000,40692.00000000000000,10.00000000000000000,0,2.000000000000000000,0,11.00000000000000000,40774.00000000000000,240.0000000000000000,29.00000000000000000,43048.00000000000000,4.000000000000000000,0,4.000000000000000000,0,5.000000000000000000,43330.00000000000000,4.000000000000000000,11.00000000000000000,50139.00000000000000,0,0,2.000000000000000000,0,3.000000000000000000,50159.00000000000000,959.000000000000000,1283.000000000000000,1107750.000000000000,106.0000000000000000,0,166.0000000000000000,0,243.0000000000000000,1110507.000000000000,5.170000000000000000
B224999,中國信託商業銀行,272.0000000000000000,335.0000000000000000,37233.00000000000000,57.00000000000000000,0,51.00000000000000000,30.00000000000000000,65.00000000000000000,38043.00000000000000,529.0000000000000000,305.0000000000000000,66087.00000000000000,98.0000000000000000,0,44.00000000000000000,90.00000000000000000,89.00000000000000000,67242.00000000000000,305.0000000000000000,187.0000000000000000,45650.00000000000000,169.0000000000000000,0,212.0000000000000000,115.0000000000000000,17.00000000000000000,46655.00000000000000,458.0000000000000000,604.0000000000000000,64933.00000000000000,99.0000000000000000,0,178.0000000000000000,94.0000000000000000,72.00000000000000000,66438.00000000000000,217.0000000000000000,457.0000000000000000,44386.00000000000000,130.0000000000000000,0,64.00000000000000000,21.00000000000000000,78.00000000000000000,45353.00000000000000,447.0000000000000000,334.0000000000000000,93197.0000000000000,25.00000000000000000,0,213.0000000000000000,53.00000000000000000,44.00000000000000000,94313.0000000000000,146.0000000000000000,161.0000000000000000,61721.00000000000000,82.00000000000000000,0,194.0000000000000000,63.00000000000000000,11.00000000000000000,62378.00000000000000,289.0000000000000000,156.0000000000000000,84566.00000000000000,52.00000000000000000,0,117.0000000000000000,61.00000000000000000,15.00000000000000000,85256.00000000000000,324.0000000000000000,281.0000000000000000,68640.00000000000000,47.00000000000000000,0,132.0000000000000000,0,86.00000000000000000,69510.00000000000000,458.0000000000000000,550.0000000000000000,55562.00000000000000,53.00000000000000000,0,132.0000000000000000,132.0000000000000000,58.00000000000000000,56945.00000000000000,178.0000000000000000,95.0000000000000000,77740.00000000000000,58.00000000000000000,0,1160.000000000000000,740.0000000000000000,111.0000000000000000,80082.00000000000000,886.0000000000000000,1126.000000000000000,62481.00000000000000,33.00000000000000000,0,215.0000000000000000,0,115.0000000000000000,64856.00000000000000,142.0000000000000000,439.0000000000000000,29113.00000000000000,39.00000000000000000,0,156.0000000000000000,10.00000000000000000,211.0000000000000000,30110.00000000000000,109.0000000000000000,396.0000000000000000,17154.00000000000000,105.0000000000000000,0,124.0000000000000000,0,136.0000000000000000,18024.00000000000000,212.0000000000000000,506.0000000000000000,27247.00000000000000,64.00000000000000000,0,296.0000000000000000,70.00000000000000000,214.0000000000000000,28609.00000000000000,535.0000000000000000,505.0000000000000000,43235.00000000000000,60.00000000000000000,0,252.0000000000000000,82.00000000000000000,149.0000000000000000,44818.00000000000000,82.00000000000000000,674.0000000000000000,30077.00000000000000,51.00000000000000000,0,104.0000000000000000,32.00000000000000000,32.00000000000000000,31052.00000000000000,266.0000000000000000,218.0000000000000000,30962.00000000000000,70.00000000000000000,0,448.0000000000000000,0,105.0000000000000000,32069.00000000000000,433.0000000000000000,460.0000000000000000,50280.00000000000000,128.0000000000000000,0,247.0000000000000000,111.0000000000000000,126.0000000000000000,51785.00000000000000,6288.000000000000000,7789.000000000000000,990264.000000000000,1420.000000000000000,0,4339.000000000000000,1704.000000000000000,1734.000000000000000,1013538.000000000000,4.710000000000000000
F006000,元大期貨,31.00000000000000000,24.00000000000000000,38894.00000000000000,1.000000000000000000,0,11.00000000000000000,0,4.000000000000000000,38965.00000000000000,69.00000000000000000,38.00000000000000000,109575.0000000000000,0,0,26.00000000000000000,0,0,109708.0000000000000,51.00000000000000000,38.00000000000000000,42867.00000000000000,1.000000000000000000,0,60.00000000000000000,0,0,43017.00000000000000,18.00000000000000000,73.00000000000000000,58910.00000000000000,0,0,28.00000000000000000,0,0,59029.00000000000000,13.00000000000000000,60.00000000000000000,36200.00000000000000,0,0,8.000000000000000000,0,4.000000000000000000,36285.00000000000000,44.00000000000000000,70.00000000000000000,96774.0000000000000,7.000000000000000000,0,10.00000000000000000,0,1.000000000000000000,96906.0000000000000,0,27.00000000000000000,60970.00000000000000,1.000000000000000000,0,0,2.000000000000000000,0,61000.00000000000000,30.00000000000000000,62.00000000000000000,61049.00000000000000,4.000000000000000000,0,17.00000000000000000,0,0,61162.00000000000000,5.000000000000000000,96.0000000000000000,49464.00000000000000,4.000000000000000000,0,10.00000000000000000,0,2.000000000000000000,49581.00000000000000,34.00000000000000000,18.00000000000000000,37743.00000000000000,0,0,0,0,1.000000000000000000,37796.00000000000000,34.00000000000000000,135.0000000000000000,80892.00000000000000,1.000000000000000000,0,29.00000000000000000,0,0,81091.00000000000000,32.00000000000000000,51.00000000000000000,71600.00000000000000,3.000000000000000000,0,0,0,9.000000000000000000,71695.00000000000000,3.000000000000000000,137.0000000000000000,51177.00000000000000,4.000000000000000000,0,11.00000000000000000,0,3.000000000000000000,51335.00000000000000,12.00000000000000000,71.00000000000000000,27839.00000000000000,3.000000000000000000,0,20.00000000000000000,0,12.00000000000000000,27957.00000000000000,13.00000000000000000,72.00000000000000000,30524.00000000000000,1.000000000000000000,0,18.00000000000000000,0,6.000000000000000000,30634.00000000000000,2.000000000000000000,187.0000000000000000,42475.00000000000000,1.000000000000000000,0,2.000000000000000000,0,5.000000000000000000,42672.00000000000000,11.00000000000000000,174.0000000000000000,41011.00000000000000,0,0,22.00000000000000000,0,1.000000000000000000,41219.00000000000000,48.00000000000000000,32.00000000000000000,32274.00000000000000,10.00000000000000000,0,10.00000000000000000,0,1.000000000000000000,32375.00000000000000,15.00000000000000000,43.00000000000000000,39746.00000000000000,6.000000000000000000,0,8.000000000000000000,0,0,39818.00000000000000,465.0000000000000000,1408.000000000000000,1009984.000000000000,47.00000000000000000,0,290.0000000000000000,2.000000000000000000,49.00000000000000000,1012245.000000000000,4.710000000000000000
S585999,統一證券自營,185.0000000000000000,304.0000000000000000,40526.00000000000000,0,0,2.000000000000000000,0,0,41017.00000000000000,319.0000000000000000,139.0000000000000000,84796.00000000000000,0,0,48.00000000000000000,0,0,85302.00000000000000,22.00000000000000000,220.0000000000000000,23507.00000000000000,0,0,161.0000000000000000,0,0,23910.00000000000000,103.0000000000000000,273.0000000000000000,32000.00000000000000,0,0,0,0,0,32376.00000000000000,0,434.0000000000000000,23853.00000000000000,0,0,0,0,0,24287.00000000000000,80.00000000000000000,239.0000000000000000,64781.00000000000000,2.000000000000000000,0,0,0,0,65102.00000000000000,0,102.0000000000000000,79989.00000000000000,0,0,0,0,0,80091.00000000000000,0,400.0000000000000000,49075.00000000000000,0,0,0,0,0,49475.00000000000000,140.0000000000000000,423.0000000000000000,57441.00000000000000,0,0,20.00000000000000000,0,0,58024.00000000000000,12.00000000000000000,226.0000000000000000,64339.00000000000000,0,0,0,0,0,64577.00000000000000,45.00000000000000000,167.0000000000000000,126182.0000000000000,0,0,0,0,0,126394.0000000000000,182.0000000000000000,356.0000000000000000,71110.00000000000000,0,0,0,0,0,71648.00000000000000,0,22.00000000000000000,26522.00000000000000,0,0,0,0,2.000000000000000000,26546.00000000000000,0,0,23916.00000000000000,0,0,0,0,0,23916.00000000000000,62.00000000000000000,118.0000000000000000,13781.00000000000000,0,0,0,0,0,13961.00000000000000,0,1.000000000000000000,30864.00000000000000,0,0,0,0,0,30865.00000000000000,0,23.00000000000000000,17596.00000000000000,0,0,0,0,0,17619.00000000000000,0,40.00000000000000000,36146.00000000000000,0,0,0,0,0,36186.00000000000000,0,20.00000000000000000,35902.00000000000000,0,0,0,0,0,35922.00000000000000,1150.000000000000000,3507.000000000000000,902326.0000000000000,2.000000000000000000,0,231.0000000000000000,0,2.000000000000000000,907218.0000000000000,4.220000000000000000
F021999,寶來曼氏期貨自營,8.000000000000000000,22.00000000000000000,42555.00000000000000,0,0,0,0,20.00000000000000000,42605.00000000000000,40.00000000000000000,0,112670.0000000000000,10.00000000000000000,0,0,0,10.00000000000000000,112730.0000000000000,0,111.0000000000000000,43467.00000000000000,30.00000000000000000,0,22.00000000000000000,0,0,43630.00000000000000,40.00000000000000000,0,44516.00000000000000,10.00000000000000000,0,0,0,11.00000000000000000,44577.00000000000000,0,2.000000000000000000,25567.00000000000000,50.00000000000000000,0,0,0,18.00000000000000000,25637.00000000000000,8.000000000000000000,51.00000000000000000,49520.00000000000000,79.00000000000000000,0,20.00000000000000000,60.00000000000000000,30.00000000000000000,49768.00000000000000,2.000000000000000000,40.00000000000000000,44703.00000000000000,60.00000000000000000,0,0,0,0,44805.00000000000000,40.00000000000000000,11.00000000000000000,32688.00000000000000,0,0,0,0,10.00000000000000000,32749.00000000000000,0,0,28967.00000000000000,27.00000000000000000,0,0,0,0,28994.00000000000000,0,0,31826.00000000000000,0,0,0,0,0,31826.00000000000000,0,0,40489.00000000000000,50.00000000000000000,0,0,0,2.000000000000000000,40541.00000000000000,0,0,61419.00000000000000,0,0,0,0,0,61419.00000000000000,0,104.0000000000000000,46679.00000000000000,24.00000000000000000,0,0,0,0,46807.00000000000000,0,12.00000000000000000,39645.00000000000000,0,0,6.000000000000000000,0,9.000000000000000000,39672.00000000000000,36.00000000000000000,40.00000000000000000,15878.00000000000000,5.000000000000000000,0,0,0,8.000000000000000000,15967.00000000000000,0,0,33004.00000000000000,0,0,0,0,0,33004.00000000000000,80.00000000000000000,114.0000000000000000,28602.00000000000000,10.00000000000000000,0,20.00000000000000000,0,0,28826.00000000000000,80.00000000000000000,52.00000000000000000,28895.00000000000000,0,0,0,0,0,29027.00000000000000,0,44.00000000000000000,34963.00000000000000,0,0,0,0,6.000000000000000000,35013.00000000000000,334.0000000000000000,603.0000000000000000,786053.0000000000000,355.0000000000000000,0,68.00000000000000000,60.00000000000000000,124.0000000000000000,787597.0000000000000,3.660000000000000000
