期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20111003,,,,,,,,20111004,,,,,,,,20111005,,,,,,,,20111006,,,,,,,,20111007,,,,,,,,20111011,,,,,,,,20111012,,,,,,,,20111013,,,,,,,,20111014,,,,,,,,20111017,,,,,,,,20111018,,,,,,,,20111019,,,,,,,,20111020,,,,,,,,20111021,,,,,,,,20111024,,,,,,,,20111025,,,,,,,,20111026,,,,,,,,20111027,,,,,,,,20111028,,,,,,,,99999999,,,,,,,
F034999,澳帝華期貨自營,218.0000000000000000,654.0000000000000000,73605.00000000000000,46.00000000000000000,0,0,146.0000000000000000,74669.00000000000000,120.0000000000000000,316.0000000000000000,86391.00000000000000,91.00000000000000000,0,0,113.0000000000000000,87031.00000000000000,178.0000000000000000,151.0000000000000000,61842.00000000000000,78.00000000000000000,0,0,32.00000000000000000,62281.00000000000000,237.0000000000000000,397.0000000000000000,85403.00000000000000,57.00000000000000000,0,0,76.00000000000000000,86170.00000000000000,330.0000000000000000,227.0000000000000000,79873.00000000000000,88.00000000000000000,0,0,53.00000000000000000,80571.00000000000000,400.0000000000000000,498.0000000000000000,92873.0000000000000,144.0000000000000000,0,0,57.00000000000000000,93972.0000000000000,38.00000000000000000,423.0000000000000000,80594.00000000000000,175.0000000000000000,0,0,56.00000000000000000,81286.00000000000000,41.00000000000000000,7.000000000000000000,79936.00000000000000,137.0000000000000000,0,0,346.0000000000000000,80467.00000000000000,64.00000000000000000,36.00000000000000000,73249.00000000000000,153.0000000000000000,0,0,70.00000000000000000,73572.00000000000000,35.00000000000000000,5.000000000000000000,125175.0000000000000,170.0000000000000000,0,0,63.00000000000000000,125448.0000000000000,99.0000000000000000,35.00000000000000000,106237.0000000000000,297.0000000000000000,0,0,93.0000000000000000,106761.0000000000000,73.00000000000000000,131.0000000000000000,80591.00000000000000,190.0000000000000000,0,0,77.00000000000000000,81062.00000000000000,222.0000000000000000,616.0000000000000000,101616.0000000000000,196.0000000000000000,0,0,299.0000000000000000,102949.0000000000000,190.0000000000000000,288.0000000000000000,79290.00000000000000,35.00000000000000000,0,0,140.0000000000000000,79943.00000000000000,120.0000000000000000,147.0000000000000000,89978.00000000000000,102.0000000000000000,0,0,45.00000000000000000,90392.00000000000000,28.00000000000000000,161.0000000000000000,71710.00000000000000,44.00000000000000000,0,0,156.0000000000000000,72099.00000000000000,288.0000000000000000,298.0000000000000000,84044.00000000000000,37.00000000000000000,0,0,45.00000000000000000,84712.00000000000000,168.0000000000000000,673.0000000000000000,106099.0000000000000,46.00000000000000000,0,0,22.00000000000000000,107008.0000000000000,181.0000000000000000,603.0000000000000000,159660.0000000000000,66.00000000000000000,0,0,20.00000000000000000,160530.0000000000000,3030.000000000000000,5666.000000000000000,1718166.000000000000,2152.000000000000000,0,0,1909.000000000000000,1730923.000000000000,12.35000000000000000
S970999,寶來證券自營,0,0,68981.00000000000000,120.0000000000000000,0,0,169.0000000000000000,69270.00000000000000,134.0000000000000000,240.0000000000000000,95676.0000000000000,116.0000000000000000,0,0,37.00000000000000000,96203.0000000000000,156.0000000000000000,212.0000000000000000,56666.00000000000000,102.0000000000000000,0,0,36.00000000000000000,57172.00000000000000,129.0000000000000000,156.0000000000000000,70513.00000000000000,130.0000000000000000,0,0,33.00000000000000000,70961.00000000000000,175.0000000000000000,199.0000000000000000,83120.00000000000000,45.00000000000000000,0,0,32.00000000000000000,83571.00000000000000,302.0000000000000000,477.0000000000000000,74650.00000000000000,123.0000000000000000,0,0,139.0000000000000000,75691.00000000000000,71.00000000000000000,384.0000000000000000,62669.00000000000000,182.0000000000000000,0,0,337.0000000000000000,63643.00000000000000,120.0000000000000000,81.00000000000000000,92028.00000000000000,252.0000000000000000,0,0,105.0000000000000000,92586.0000000000000,888.0000000000000000,1041.000000000000000,75525.00000000000000,152.0000000000000000,0,0,25.00000000000000000,77631.00000000000000,703.0000000000000000,1011.000000000000000,109817.0000000000000,162.0000000000000000,0,0,24.00000000000000000,111717.0000000000000,215.0000000000000000,305.0000000000000000,91618.00000000000000,186.0000000000000000,0,0,89.00000000000000000,92413.0000000000000,25.00000000000000000,73.00000000000000000,65996.00000000000000,166.0000000000000000,0,0,82.00000000000000000,66342.00000000000000,13.00000000000000000,540.0000000000000000,67367.00000000000000,0,0,0,60.00000000000000000,67980.00000000000000,246.0000000000000000,490.0000000000000000,37158.00000000000000,82.00000000000000000,0,0,109.0000000000000000,38085.00000000000000,77.00000000000000000,297.0000000000000000,73123.00000000000000,52.00000000000000000,0,0,0,73549.00000000000000,22.00000000000000000,107.0000000000000000,53850.00000000000000,72.00000000000000000,0,0,54.00000000000000000,54105.00000000000000,281.0000000000000000,273.0000000000000000,67130.00000000000000,40.00000000000000000,0,0,95.0000000000000000,67819.00000000000000,172.0000000000000000,409.0000000000000000,90171.00000000000000,79.00000000000000000,0,0,73.00000000000000000,90904.00000000000000,233.0000000000000000,565.0000000000000000,57464.00000000000000,0,0,0,20.00000000000000000,58282.00000000000000,3962.000000000000000,6860.000000000000000,1393522.000000000000,2061.000000000000000,0,0,1519.000000000000000,1407924.000000000000,10.03999999999999872
S157999,香港商法國興業證券,123.0000000000000000,417.0000000000000000,37612.00000000000000,25.00000000000000000,0,0,0,38177.00000000000000,124.0000000000000000,251.0000000000000000,52892.00000000000000,110.0000000000000000,0,0,0,53377.00000000000000,25.00000000000000000,75.00000000000000000,33172.00000000000000,7.000000000000000000,0,0,0,33279.00000000000000,8.000000000000000000,201.0000000000000000,39178.00000000000000,15.00000000000000000,0,0,0,39402.00000000000000,26.00000000000000000,106.0000000000000000,25536.00000000000000,10.00000000000000000,0,0,0,25678.00000000000000,38.00000000000000000,82.00000000000000000,48144.00000000000000,219.0000000000000000,0,0,0,48483.00000000000000,2.000000000000000000,197.0000000000000000,61799.00000000000000,5.000000000000000000,0,0,0,62003.00000000000000,40.00000000000000000,901.0000000000000000,85233.00000000000000,392.0000000000000000,0,0,0,86566.00000000000000,190.0000000000000000,626.0000000000000000,73428.00000000000000,215.0000000000000000,0,0,0,74459.00000000000000,400.0000000000000000,350.0000000000000000,120565.0000000000000,10.00000000000000000,0,0,0,121325.0000000000000,0,0,119789.0000000000000,40.00000000000000000,0,0,0,119829.0000000000000,0,0,71792.00000000000000,0,0,0,0,71792.00000000000000,40.00000000000000000,0,43953.00000000000000,0,0,0,0,43993.00000000000000,0,0,56661.00000000000000,5.000000000000000000,0,0,0,56666.00000000000000,0,0,77983.00000000000000,0,0,0,0,77983.00000000000000,0,0,56995.00000000000000,0,0,0,0,56995.00000000000000,0,0,70677.00000000000000,0,0,0,0,70677.00000000000000,0,10.00000000000000000,103406.0000000000000,0,0,0,0,103416.0000000000000,0,0,166545.0000000000000,0,0,0,0,166545.0000000000000,1016.000000000000000,3216.000000000000000,1345360.000000000000,1053.000000000000000,0,0,0,1350645.000000000000,9.63000000000000128
F021000,寶來曼氏期貨,17.00000000000000000,10.00000000000000000,57727.00000000000000,1.000000000000000000,0,0,132.0000000000000000,57887.00000000000000,11.00000000000000000,46.00000000000000000,58503.00000000000000,2.000000000000000000,0,0,147.0000000000000000,58709.00000000000000,14.00000000000000000,16.00000000000000000,49045.00000000000000,1.000000000000000000,0,0,88.00000000000000000,49164.00000000000000,15.00000000000000000,61.00000000000000000,61244.00000000000000,1.000000000000000000,0,0,141.0000000000000000,61462.00000000000000,5.000000000000000000,43.00000000000000000,64136.00000000000000,0,0,0,129.0000000000000000,64313.00000000000000,14.00000000000000000,23.00000000000000000,73261.00000000000000,0,0,0,138.0000000000000000,73436.00000000000000,1.000000000000000000,13.00000000000000000,52898.00000000000000,4.000000000000000000,0,0,101.0000000000000000,53017.00000000000000,0,17.00000000000000000,44889.00000000000000,2.000000000000000000,0,0,104.0000000000000000,45012.00000000000000,30.00000000000000000,7.000000000000000000,28461.00000000000000,1.000000000000000000,0,0,86.00000000000000000,28585.00000000000000,0,12.00000000000000000,50246.00000000000000,0,0,0,52.00000000000000000,50310.00000000000000,24.00000000000000000,15.00000000000000000,43311.00000000000000,3.000000000000000000,0,0,148.0000000000000000,43501.00000000000000,15.00000000000000000,16.00000000000000000,37535.00000000000000,2.000000000000000000,0,0,235.0000000000000000,37803.00000000000000,8.000000000000000000,19.00000000000000000,43587.00000000000000,3.000000000000000000,0,0,284.0000000000000000,43901.00000000000000,2.000000000000000000,40.00000000000000000,27022.00000000000000,5.000000000000000000,0,0,86.00000000000000000,27155.00000000000000,11.00000000000000000,49.00000000000000000,43960.00000000000000,15.00000000000000000,0,0,60.00000000000000000,44095.00000000000000,0,16.00000000000000000,27786.00000000000000,7.000000000000000000,0,0,137.0000000000000000,27946.00000000000000,0,73.00000000000000000,30674.00000000000000,0,0,0,194.0000000000000000,30941.00000000000000,0,36.00000000000000000,40393.00000000000000,2.000000000000000000,0,0,37.00000000000000000,40468.00000000000000,1.000000000000000000,62.00000000000000000,58316.00000000000000,1.000000000000000000,0,0,3.000000000000000000,58383.00000000000000,168.0000000000000000,574.0000000000000000,892994.0000000000000,50.00000000000000000,0,0,2302.000000000000000,896088.0000000000000,6.390000000000000000
F002000,永豐期貨,3.000000000000000000,8.000000000000000000,40861.00000000000000,18.00000000000000000,0,0,265.0000000000000000,41155.00000000000000,7.000000000000000000,94.0000000000000000,45403.00000000000000,0,0,0,69.00000000000000000,45573.00000000000000,0,88.00000000000000000,47009.00000000000000,5.000000000000000000,0,0,5.000000000000000000,47107.00000000000000,0,6.000000000000000000,35280.00000000000000,0,0,0,3.000000000000000000,35289.00000000000000,1.000000000000000000,61.00000000000000000,46396.00000000000000,0,0,0,3.000000000000000000,46461.00000000000000,2.000000000000000000,35.00000000000000000,55076.00000000000000,0,0,0,23.00000000000000000,55136.00000000000000,0,95.0000000000000000,59072.00000000000000,0,0,0,4.000000000000000000,59171.00000000000000,0,48.00000000000000000,48798.00000000000000,20.00000000000000000,0,0,3.000000000000000000,48869.00000000000000,42.00000000000000000,83.00000000000000000,39859.00000000000000,33.00000000000000000,0,0,1.000000000000000000,40018.00000000000000,1.000000000000000000,60.00000000000000000,50369.00000000000000,3.000000000000000000,0,0,5.000000000000000000,50438.00000000000000,14.00000000000000000,66.00000000000000000,52355.00000000000000,24.00000000000000000,0,0,0,52459.00000000000000,1.000000000000000000,80.00000000000000000,45143.00000000000000,0,0,0,5.000000000000000000,45229.00000000000000,10.00000000000000000,69.00000000000000000,46331.00000000000000,0,0,0,12.00000000000000000,46422.00000000000000,2.000000000000000000,59.00000000000000000,47476.00000000000000,0,0,0,4.000000000000000000,47541.00000000000000,0,120.0000000000000000,59546.00000000000000,8.000000000000000000,0,0,15.00000000000000000,59689.00000000000000,0,144.0000000000000000,33113.00000000000000,0,0,0,91.00000000000000000,33348.00000000000000,24.00000000000000000,63.00000000000000000,29344.00000000000000,1.000000000000000000,0,0,38.00000000000000000,29470.00000000000000,0,26.00000000000000000,38159.00000000000000,2.000000000000000000,0,0,15.00000000000000000,38202.00000000000000,6.000000000000000000,49.00000000000000000,58485.00000000000000,2.000000000000000000,0,0,3.000000000000000000,58545.00000000000000,113.0000000000000000,1254.000000000000000,878075.0000000000000,116.0000000000000000,0,0,564.0000000000000000,880122.0000000000000,6.280000000000000000
F004000,凱基期貨,2.000000000000000000,23.00000000000000000,44062.00000000000000,5.000000000000000000,0,0,89.00000000000000000,44181.00000000000000,1.000000000000000000,48.00000000000000000,46104.00000000000000,2.000000000000000000,0,0,14.00000000000000000,46169.00000000000000,0,9.000000000000000000,35229.00000000000000,2.000000000000000000,0,0,15.00000000000000000,35255.00000000000000,23.00000000000000000,22.00000000000000000,48312.00000000000000,3.000000000000000000,0,0,1.000000000000000000,48361.00000000000000,17.00000000000000000,35.00000000000000000,49191.00000000000000,0,0,0,9.000000000000000000,49252.00000000000000,15.00000000000000000,23.00000000000000000,51494.00000000000000,6.000000000000000000,0,0,0,51538.00000000000000,7.000000000000000000,13.00000000000000000,41275.00000000000000,1.000000000000000000,0,0,0,41296.00000000000000,2.000000000000000000,6.000000000000000000,36047.00000000000000,17.00000000000000000,0,0,0,36072.00000000000000,2.000000000000000000,25.00000000000000000,31163.00000000000000,3.000000000000000000,0,0,0,31193.00000000000000,2.000000000000000000,4.000000000000000000,48999.00000000000000,7.000000000000000000,0,336.0000000000000000,10.00000000000000000,49358.00000000000000,10.00000000000000000,33.00000000000000000,49443.00000000000000,1.000000000000000000,0,0,1.000000000000000000,49488.00000000000000,5.000000000000000000,0,40341.00000000000000,30.00000000000000000,0,0,120.0000000000000000,40496.00000000000000,4.000000000000000000,5.000000000000000000,37249.00000000000000,13.00000000000000000,0,0,2.000000000000000000,37273.00000000000000,5.000000000000000000,11.00000000000000000,29866.00000000000000,5.000000000000000000,0,0,13.00000000000000000,29900.00000000000000,4.000000000000000000,17.00000000000000000,43196.00000000000000,245.0000000000000000,0,0,1.000000000000000000,43463.00000000000000,4.000000000000000000,9.000000000000000000,29822.00000000000000,4.000000000000000000,0,0,4.000000000000000000,29843.00000000000000,15.00000000000000000,22.00000000000000000,33439.00000000000000,245.0000000000000000,0,0,30.00000000000000000,33751.00000000000000,1.000000000000000000,16.00000000000000000,63636.00000000000000,13.00000000000000000,0,0,11.00000000000000000,63677.00000000000000,2.000000000000000000,27.00000000000000000,72242.00000000000000,195.0000000000000000,0,0,0,72466.00000000000000,121.0000000000000000,348.0000000000000000,831110.0000000000000,797.0000000000000000,0,336.0000000000000000,320.0000000000000000,833032.0000000000000,5.940000000000000000
F006000,元大期貨,5.000000000000000000,17.00000000000000000,43080.00000000000000,3.000000000000000000,0,0,7.000000000000000000,43112.00000000000000,2.000000000000000000,20.00000000000000000,42952.00000000000000,9.000000000000000000,0,0,1.000000000000000000,42984.00000000000000,4.000000000000000000,11.00000000000000000,44494.00000000000000,5.000000000000000000,0,0,2.000000000000000000,44516.00000000000000,5.000000000000000000,12.00000000000000000,35035.00000000000000,5.000000000000000000,0,0,4.000000000000000000,35061.00000000000000,3.000000000000000000,24.00000000000000000,39801.00000000000000,3.000000000000000000,0,0,2.000000000000000000,39833.00000000000000,9.000000000000000000,37.00000000000000000,51629.00000000000000,3.000000000000000000,0,0,4.000000000000000000,51682.00000000000000,10.00000000000000000,28.00000000000000000,49740.00000000000000,6.000000000000000000,0,0,0,49784.00000000000000,7.000000000000000000,27.00000000000000000,42826.00000000000000,1.000000000000000000,0,0,0,42861.00000000000000,3.000000000000000000,15.00000000000000000,30984.00000000000000,3.000000000000000000,0,0,2.000000000000000000,31007.00000000000000,20.00000000000000000,21.00000000000000000,46429.00000000000000,0,0,0,1.000000000000000000,46471.00000000000000,5.000000000000000000,20.00000000000000000,41461.00000000000000,1.000000000000000000,0,0,2.000000000000000000,41489.00000000000000,7.000000000000000000,25.00000000000000000,36090.00000000000000,2.000000000000000000,0,0,4.000000000000000000,36128.00000000000000,5.000000000000000000,35.00000000000000000,40486.00000000000000,3.000000000000000000,0,0,1.000000000000000000,40530.00000000000000,12.00000000000000000,30.00000000000000000,27904.00000000000000,3.000000000000000000,0,0,2.000000000000000000,27951.00000000000000,10.00000000000000000,40.00000000000000000,38087.00000000000000,1.000000000000000000,0,0,1.000000000000000000,38139.00000000000000,1.000000000000000000,14.00000000000000000,22345.00000000000000,6.000000000000000000,0,0,0,22366.00000000000000,14.00000000000000000,24.00000000000000000,30187.00000000000000,1.000000000000000000,0,0,1.000000000000000000,30227.00000000000000,0,20.00000000000000000,40252.00000000000000,4.000000000000000000,0,0,0,40276.00000000000000,9.000000000000000000,40.00000000000000000,51076.00000000000000,12.00000000000000000,0,0,2.000000000000000000,51139.00000000000000,131.0000000000000000,460.0000000000000000,754858.0000000000000,71.00000000000000000,0,0,36.00000000000000000,755556.0000000000000,5.390000000000000000
F020000,群益期貨,0,3.000000000000000000,27343.00000000000000,25.00000000000000000,0,0,2.000000000000000000,27373.00000000000000,0,1.000000000000000000,34945.00000000000000,44.00000000000000000,0,0,6.000000000000000000,34996.00000000000000,0,3.000000000000000000,26676.00000000000000,11.00000000000000000,0,0,4.000000000000000000,26694.00000000000000,16.00000000000000000,0,33220.00000000000000,1.000000000000000000,0,0,0,33237.00000000000000,21.00000000000000000,3.000000000000000000,40966.00000000000000,18.00000000000000000,0,0,1.000000000000000000,41009.00000000000000,2.000000000000000000,4.000000000000000000,44258.00000000000000,7.000000000000000000,0,0,2.000000000000000000,44273.00000000000000,1.000000000000000000,3.000000000000000000,35219.00000000000000,7.000000000000000000,0,0,0,35230.00000000000000,0,1.000000000000000000,37859.00000000000000,12.00000000000000000,0,0,1.000000000000000000,37873.00000000000000,0,1.000000000000000000,29159.00000000000000,0,0,0,8.000000000000000000,29168.00000000000000,0,3.000000000000000000,42109.00000000000000,2.000000000000000000,0,0,0,42114.00000000000000,0,88.00000000000000000,36159.00000000000000,1.000000000000000000,0,0,4.000000000000000000,36252.00000000000000,0,1.000000000000000000,35416.00000000000000,4.000000000000000000,0,0,6.000000000000000000,35427.00000000000000,0,4.000000000000000000,20318.00000000000000,30.00000000000000000,0,0,6.000000000000000000,20358.00000000000000,0,2.000000000000000000,24037.00000000000000,1.000000000000000000,0,0,4.000000000000000000,24044.00000000000000,2.000000000000000000,4.000000000000000000,42403.00000000000000,1.000000000000000000,0,0,2.000000000000000000,42412.00000000000000,0,3.000000000000000000,17526.00000000000000,3.000000000000000000,0,0,3.000000000000000000,17535.00000000000000,0,3.000000000000000000,27348.00000000000000,7.000000000000000000,0,0,8.000000000000000000,27366.00000000000000,0,4.000000000000000000,36397.00000000000000,10.00000000000000000,0,0,7.000000000000000000,36418.00000000000000,0,8.000000000000000000,50979.00000000000000,0,0,0,1.000000000000000000,50988.00000000000000,42.00000000000000000,139.0000000000000000,642337.0000000000000,184.0000000000000000,0,0,65.00000000000000000,642767.0000000000000,4.580000000000000000
S585999,統一證券自營,0,0,20047.00000000000000,0,0,0,0,20047.00000000000000,0,0,22068.00000000000000,0,0,0,0,22068.00000000000000,0,11.00000000000000000,23323.00000000000000,0,0,0,0,23334.00000000000000,0,102.0000000000000000,42146.00000000000000,0,0,0,0,42248.00000000000000,0,0,29858.00000000000000,0,0,0,0,29858.00000000000000,0,0,33118.00000000000000,0,0,0,0,33118.00000000000000,0,0,41666.00000000000000,0,0,0,0,41666.00000000000000,0,20.00000000000000000,21597.00000000000000,0,0,0,0,21617.00000000000000,0,0,24230.00000000000000,0,0,0,0,24230.00000000000000,0,0,31723.00000000000000,0,0,0,0,31723.00000000000000,0,0,40284.00000000000000,0,0,0,0,40284.00000000000000,0,0,19964.00000000000000,0,0,0,0,19964.00000000000000,0,100.0000000000000000,4483.000000000000000,0,0,0,0,4583.000000000000000,0,0,3420.000000000000000,0,0,0,0,3420.000000000000000,0,0,7788.000000000000000,0,0,0,0,7788.000000000000000,0,0,12129.00000000000000,0,0,0,0,12129.00000000000000,2.000000000000000000,0,15491.00000000000000,0,0,0,0,15493.00000000000000,0,0,20580.00000000000000,0,0,0,0,20580.00000000000000,0,0,49860.00000000000000,0,0,0,0,49860.00000000000000,2.000000000000000000,233.0000000000000000,463775.0000000000000,0,0,0,0,464010.0000000000000,3.310000000000000000
