期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20120402,,,,,,,,20120403,,,,,,,,99999999,,,,,,,
S157999,香港商法國興業證券,14.00000000000000000,52.00000000000000000,73110.00000000000000,290.0000000000000000,0,0,0,73466.00000000000000,25.00000000000000000,197.0000000000000000,157318.0000000000000,137.0000000000000000,0,0,0,157677.0000000000000,39.00000000000000000,249.0000000000000000,230428.0000000000000,427.0000000000000000,0,0,0,231143.0000000000000,13.87000000000000000
F021000,寶來曼氏期貨,42.00000000000000000,45.00000000000000000,62971.00000000000000,7.000000000000000000,0,0,10.00000000000000000,63075.00000000000000,29.00000000000000000,159.0000000000000000,166138.0000000000000,2.000000000000000000,0,0,14.00000000000000000,166342.0000000000000,71.00000000000000000,204.0000000000000000,229109.0000000000000,9.000000000000000000,0,0,24.00000000000000000,229417.0000000000000,13.76000000000000000
F034999,澳帝華期貨自營,74.00000000000000000,82.00000000000000000,56394.00000000000000,68.00000000000000000,0,0,34.00000000000000000,56652.00000000000000,77.00000000000000000,325.0000000000000000,111461.0000000000000,91.00000000000000000,0,0,52.00000000000000000,112006.0000000000000,151.0000000000000000,407.0000000000000000,167855.0000000000000,159.0000000000000000,0,0,86.00000000000000000,168658.0000000000000,10.11999999999999872
S980999,元大寶來證券自營,13.00000000000000000,97.0000000000000000,13224.00000000000000,93.0000000000000000,0,0,0,13427.00000000000000,93.0000000000000000,372.0000000000000000,107264.0000000000000,128.0000000000000000,0,0,39.00000000000000000,107896.0000000000000,106.0000000000000000,469.0000000000000000,120488.0000000000000,221.0000000000000000,0,0,39.00000000000000000,121323.0000000000000,7.280000000000000000
F004000,凱基期貨,2.000000000000000000,45.00000000000000000,33789.00000000000000,24.00000000000000000,0,0,0,33860.00000000000000,11.00000000000000000,29.00000000000000000,74313.00000000000000,4.000000000000000000,0,0,5.000000000000000000,74362.00000000000000,13.00000000000000000,74.00000000000000000,108102.0000000000000,28.00000000000000000,0,0,5.000000000000000000,108222.0000000000000,6.490000000000000000
F002000,永豐期貨,11.00000000000000000,47.00000000000000000,30599.00000000000000,18.00000000000000000,0,0,14.00000000000000000,30689.00000000000000,9.000000000000000000,69.00000000000000000,62157.00000000000000,4.000000000000000000,0,0,2.000000000000000000,62241.00000000000000,20.00000000000000000,116.0000000000000000,92756.0000000000000,22.00000000000000000,0,0,16.00000000000000000,92930.0000000000000,5.570000000000000000
F020000,群益期貨,3.000000000000000000,18.00000000000000000,20159.00000000000000,15.00000000000000000,0,0,3.000000000000000000,20198.00000000000000,0,95.0000000000000000,48652.00000000000000,9.000000000000000000,0,0,3.000000000000000000,48759.00000000000000,3.000000000000000000,113.0000000000000000,68811.00000000000000,24.00000000000000000,0,0,6.000000000000000000,68957.00000000000000,4.139999999999999488
S551999,永豐金證券自營,0,0,19296.00000000000000,10.00000000000000000,0,0,0,19306.00000000000000,0,44.00000000000000000,36898.00000000000000,20.00000000000000000,0,0,0,36962.00000000000000,0,44.00000000000000000,56194.00000000000000,30.00000000000000000,0,0,0,56268.00000000000000,3.380000000000000000
F026000,富邦期貨,0,16.00000000000000000,16575.00000000000000,202.0000000000000000,0,0,1.000000000000000000,16794.00000000000000,0,53.00000000000000000,35274.00000000000000,81.00000000000000000,0,0,0,35408.00000000000000,0,69.00000000000000000,51849.00000000000000,283.0000000000000000,0,0,1.000000000000000000,52202.00000000000000,3.130000000000000000
S572999,大華證券自營,0,36.00000000000000000,16612.00000000000000,29.00000000000000000,0,0,0,16677.00000000000000,0,0,30665.00000000000000,52.00000000000000000,0,0,0,30717.00000000000000,0,36.00000000000000000,47277.00000000000000,81.00000000000000000,0,0,0,47394.00000000000000,2.840000000000000000
F008000,統一期貨,0,1.000000000000000000,12876.00000000000000,2.000000000000000000,0,0,36.00000000000000000,12915.00000000000000,2.000000000000000000,43.00000000000000000,31578.00000000000000,25.00000000000000000,0,0,83.00000000000000000,31731.00000000000000,2.000000000000000000,44.00000000000000000,44454.00000000000000,27.00000000000000000,0,0,119.0000000000000000,44646.00000000000000,2.680000000000000000
B224999,中國信託商業銀行,43.00000000000000000,23.00000000000000000,14336.00000000000000,103.0000000000000000,0,0,35.00000000000000000,14540.00000000000000,158.0000000000000000,191.0000000000000000,25822.00000000000000,81.00000000000000000,0,0,40.00000000000000000,26292.00000000000000,201.0000000000000000,214.0000000000000000,40158.00000000000000,184.0000000000000000,0,0,75.00000000000000000,40832.00000000000000,2.450000000000000000
