期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F001000,國泰期貨,8,16,7192,5,0,0,0,7221,0,22,8430,3,0,0,0,8455,2,10,5548,1,0,0,0,5561,1,0,4309,11,0,0,1,4322,11,48,25479,20,0,0,1,25559,0.46
S856000,新光證券,20,15,3560,0,0,0,0,3595,0,1,7347,0,0,0,0,7348,7,0,10257,0,0,0,2,10266,0,0,3979,0,0,0,0,3979,27,16,25143,0,0,0,2,25188,0.45
F002999,永豐期貨自營,0,0,2322,0,0,0,0,2322,0,0,7907,0,0,0,0,7907,0,0,11660,0,0,0,0,11660,0,0,2301,0,0,0,0,2301,0,0,24190,0,0,0,0,24190,0.43
S126999,宏遠證券自營,0,0,8095,0,0,0,0,8095,0,0,7308,0,0,0,0,7308,0,0,3186,0,0,0,0,3186,0,0,3811,0,0,0,0,3811,0,0,22400,0,0,0,0,22400,0.4
S653000,大眾證券,0,0,6639,0,0,0,0,6639,0,0,6720,0,0,0,0,6720,0,0,2668,0,0,0,0,2668,4,0,1345,0,0,0,0,1349,4,0,17372,0,0,0,0,17376,0.31
F004999,凱基期貨自營,0,0,2822,0,0,0,0,2822,0,0,1350,0,0,0,0,1350,0,0,7318,0,0,0,0,7318,0,0,5024,0,0,0,0,5024,0,0,16514,0,0,0,0,16514,0.29
S779999,國票證券自營,0,0,3508,10,0,0,0,3518,0,0,3382,5,0,0,0,3387,0,0,5344,16,0,0,0,5360,0,0,1861,0,0,0,0,1861,0,0,14095,31,0,0,0,14126,0.25
S616000,中國信託證券,0,0,3233,1,0,0,0,3234,0,0,5415,0,0,0,0,5415,0,0,2986,1,0,0,1,2988,0,0,2300,2,0,0,0,2302,0,0,13934,4,0,0,1,13939,0.25
F007999,日盛期貨自營,0,0,3296,0,0,0,0,3296,0,0,4627,0,0,0,0,4627,0,0,2703,0,0,0,0,2703,0,0,1672,0,0,0,0,1672,0,0,12298,0,0,0,0,12298,0.22
S144000,美林證券,0,0,5125,0,0,0,0,5125,0,0,1252,0,0,0,0,1252,0,0,816,0,0,0,0,816,0,0,5090,0,0,0,0,5090,0,0,12283,0,0,0,0,12283,0.22
S653999,大眾證券自營,0,0,1196,0,0,0,0,1196,0,0,3781,0,0,0,0,3781,0,0,4814,0,0,0,0,4814,0,0,1575,0,0,0,0,1575,0,0,11366,0,0,0,0,11366,0.2
S116999,日盛證券自營,0,0,2437,0,0,0,0,2437,0,0,2999,0,0,0,0,2999,0,0,3896,0,0,0,0,3896,0,0,1494,0,0,0,0,1494,0,0,10826,0,0,0,0,10826,0.19
S109000,台灣工銀證券,0,0,1179,0,0,0,0,1179,0,0,4042,0,0,0,0,4042,0,0,3457,0,0,0,0,3457,0,0,644,0,0,0,0,644,0,0,9322,0,0,0,0,9322,0.17
S526000,大慶證券,0,845,1731,0,0,0,2,2578,0,0,2194,0,0,0,0,2194,0,0,1763,0,0,0,0,1763,0,0,692,0,0,0,0,692,0,845,6380,0,0,0,2,7227,0.13
S616999,中國信託證券自營,0,360,1365,0,0,0,0,1725,100,170,1773,0,0,0,0,2043,0,3,1514,0,0,0,0,1517,0,0,900,0,0,0,0,900,100,533,5552,0,0,0,0,6185,0.11
F018999,元富期貨自營,0,0,1907,0,0,0,0,1907,0,0,2512,0,0,0,0,2512,0,0,1259,0,0,0,0,1259,0,0,423,0,0,0,0,423,0,0,6101,0,0,0,0,6101,0.11
S147000,台灣摩根士丹利證券,0,0,0,0,0,0,0,0,0,0,1850,0,0,0,0,1850,0,0,2950,0,0,0,0,2950,0,0,100,0,0,0,0,100,0,0,4900,0,0,0,0,4900,0.09
F021999,元大寶來期貨自營,0,0,205,0,0,0,0,205,0,0,320,0,0,0,0,320,0,0,2955,0,0,0,0,2955,0,0,808,30,0,0,0,838,0,0,4288,30,0,0,0,4318,0.08
S509999,華南永昌證券自營,0,0,394,0,0,0,0,394,0,0,1249,0,0,0,0,1249,0,0,1496,0,0,0,0,1496,0,0,720,0,0,0,0,720,0,0,3859,0,0,0,0,3859,0.0700000000000000128
F034000,澳帝華期貨,0,0,593,0,0,0,0,593,0,0,1057,0,0,0,0,1057,0,0,618,0,0,0,0,618,0,0,1467,0,0,0,0,1467,0,0,3735,0,0,0,0,3735,0.0700000000000000128
