期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20140303,,,,,,,,20140304,,,,,,,,20140305,,,,,,,,20140306,,,,,,,,20140307,,,,,,,,20140310,,,,,,,,20140311,,,,,,,,20140312,,,,,,,,20140313,,,,,,,,20140314,,,,,,,,20140317,,,,,,,,20140318,,,,,,,,20140319,,,,,,,,20140320,,,,,,,,20140321,,,,,,,,20140324,,,,,,,,20140325,,,,,,,,20140326,,,,,,,,20140327,,,,,,,,20140328,,,,,,,,20140331,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,0,40,104592,56,0,0,0,104688,0,52,70339,49,0,0,0,70440,1,113,43328,67,0,0,0,43509,41,0,105797,53,0,0,0,105891,26,90,167745,65,0,0,0,167926,0,40,89139,162,0,0,0,89341,0,4,64050,184,0,0,0,64238,0,41,72585,151,0,0,0,72777,641,5,102228,125,0,0,0,102999,3060,13,89488,155,0,0,0,92716,0,0,85885,155,0,0,0,86040,0,7,84726,170,0,0,0,84903,0,132,73090,55,0,0,0,73277,205,20,93836,15,0,0,0,94076,0,107,80956,25,0,0,0,81088,0,40,123525,25,0,0,0,123590,0,0,116213,31,0,0,0,116244,0,0,80627,25,0,0,0,80652,0,0,112375,15,0,0,0,112390,0,0,110255,75,0,0,0,110330,0,40,120015,110,0,0,0,120165,3974,744,1990794,1768,0,0,0,1997280,10.2899999999999984
F021000,元大寶來期貨,333,251,89938,6,0,0,41,90569,12,174,58452,3,0,0,46,58687,87,220,72028,5,0,0,29,72369,343,177,131190,1,1,0,46,131758,370,178,143513,0,0,0,28,144089,6,136,82356,0,0,0,25,82523,82,63,68759,0,2,0,53,68959,163,275,94917,3,0,0,39,95397,617,267,103257,2,0,0,53,104196,650,88,81465,0,2,0,14,82219,488,71,64419,0,2,0,70,65050,491,277,79459,3,0,0,46,80276,316,166,89223,8,2,0,19,89734,175,262,105198,23,0,0,38,105696,370,417,64401,5,2,0,9,65204,607,560,107229,7,2,0,33,108438,379,183,85648,5,0,0,38,86253,316,237,94522,8,0,0,28,95111,329,395,75612,13,0,0,13,76362,366,104,94196,3,5,0,5,94679,47,147,69813,0,0,0,5,70012,6547,4648,1855595,95,18,0,678,1867581,9.63000000000000128
F034999,澳帝華期貨自營,57,163,94589,50,0,0,21,94880,85,474,59414,110,0,0,54,60137,21,107,64616,11,0,0,20,64775,272,149,94826,25,0,0,24,95296,248,411,127571,22,0,0,15,128267,49,630,71558,311,0,0,23,72571,15,173,67173,23,0,0,25,67409,75,140,88066,34,0,0,138,88453,130,368,102136,12,0,0,62,102708,251,210,55989,13,0,0,22,56485,60,138,67852,15,0,0,71,68136,218,226,57806,35,0,0,15,58300,5,180,71232,40,0,0,28,71485,52,139,81071,44,0,0,55,81361,52,574,55856,17,0,0,27,56526,92,623,105790,10,0,0,14,106529,60,73,89314,3,0,0,92,89542,1,125,98006,17,0,0,37,98186,0,2,70450,211,0,0,66,70729,0,1,69210,6,0,0,0,69217,26,40,85642,0,0,0,0,85708,1769,4946,1678167,1009,0,0,809,1686700,8.69
S980999,元大寶來證券自營,235,246,90531,99,0,0,37,91148,44,762,58469,109,0,0,7,59391,278,470,49646,95,0,0,0,50489,379,219,80535,135,0,0,36,81304,555,453,99130,128,0,0,33,100299,131,558,59346,136,0,0,18,60189,257,195,52163,157,0,0,8,52780,101,344,80184,139,0,0,134,80902,1178,698,68956,0,0,0,56,70888,3961,223,43232,6,0,0,14,47436,602,213,41557,0,0,0,88,42460,1076,299,46347,8,0,0,62,47792,5,792,53887,0,0,0,62,54746,646,331,91702,58,0,0,119,92856,441,1000,67389,48,0,0,10,68888,611,1207,74549,0,0,0,60,76427,588,344,89866,31,0,0,57,90886,1282,243,88499,30,0,0,18,90072,2271,155,82997,108,0,0,19,85550,319,106,82365,108,0,0,15,82913,130,162,74180,105,0,0,0,74577,15090,9020,1475530,1500,0,0,853,1501993,7.74
F004000,凱基期貨,10,66,70947,0,0,0,2,71025,11,90,55460,2,0,0,3,55566,8,105,73469,10,0,0,3,73595,28,155,85758,5,1,0,1,85948,16,34,101824,10,0,0,0,101884,11,261,56764,0,0,0,1,57037,4,37,58458,6,2,0,0,58507,7,29,73901,16,0,0,4,73957,16,38,89087,14,0,0,8,89163,14,91,57472,0,0,0,5,57582,2,66,48640,2,0,0,10,48720,6,91,62170,40,0,0,13,62320,7,35,98568,8,2,0,0,98620,10,44,79571,48,0,0,11,79684,7,45,50025,26,0,0,5,50108,10,73,68744,6,0,0,2,68835,0,30,84869,15,0,0,10,84924,10,67,84779,6,0,0,3,84865,1,35,69038,1,0,0,14,69089,17,17,60673,1,1,0,14,60723,9,11,67855,319,0,0,1,68195,204,1420,1498072,535,6,0,110,1500347,7.73
F002000,永豐期貨,6,24,69027,3,0,0,76,69136,7,22,48312,10,0,0,15,48366,7,75,66080,5,0,0,19,66186,50,76,87384,4,0,0,1,87515,31,48,94824,17,0,0,2,94922,5,55,58303,14,0,0,4,58381,4,34,57857,8,0,0,1,57904,34,11,72336,6,0,0,6,72393,53,290,78163,1,0,0,14,78521,60,39,51267,11,0,0,18,51395,21,31,39673,49,0,0,36,39810,44,71,58299,3,0,0,95,58512,17,31,79134,42,0,0,0,79224,48,5,58585,54,0,0,35,58727,50,46,55062,39,0,0,6,55203,21,30,75652,14,0,0,5,75722,18,69,88374,6,0,0,33,88500,25,30,74209,15,0,0,3,74282,6,14,66962,11,0,0,23,67016,5,20,44180,4,0,0,11,44220,4,59,52326,6,0,0,3,52398,516,1080,1376009,322,0,0,406,1378333,7.1
B224999,中國信託商業銀行自營,374,212,51866,80,0,0,94,52626,130,330,39751,134,0,0,19,40364,335,218,49363,75,0,0,16,50007,990,278,73635,45,0,0,37,74985,715,158,94310,34,0,0,12,95229,178,142,47854,45,0,0,7,48226,210,160,46311,124,0,0,47,46852,272,335,79134,108,0,0,133,79982,1959,607,82768,53,0,0,21,85408,712,78,55702,53,0,0,34,56579,594,337,48706,152,0,0,27,49816,1036,406,55148,128,0,0,32,56750,365,280,69713,192,0,0,27,70577,707,279,46605,194,0,0,31,47816,661,541,43665,178,0,0,40,45085,1076,821,38229,98,0,0,64,40288,779,203,46244,95,0,0,70,47391,943,176,69049,101,0,0,14,70283,1781,205,55025,58,0,0,61,57130,406,108,39248,34,0,0,64,39860,70,474,45600,107,0,0,86,46337,14293,6348,1177926,2088,0,0,936,1201591,6.19
F020000,群益期貨,9,6,47387,1,0,0,2,47405,0,15,31409,65,0,0,11,31500,1,12,42403,0,0,0,14,42430,15,31,50188,0,0,0,0,50234,5,14,67008,5,0,0,4,67036,0,2,43511,1,0,0,1,43515,0,1,32879,5,0,0,6,32891,0,18,39921,5,0,0,10,39954,79,24,46646,2,0,0,21,46772,20,6,33804,8,0,0,3,33841,31,41,37039,2,0,0,15,37128,71,44,39135,0,0,0,3,39253,11,16,42996,3,0,0,4,43030,13,20,51443,11,0,0,3,51490,4,54,32383,5,0,0,1,32447,12,8,51790,2,0,0,3,51815,3,16,57260,1,0,0,11,57291,12,26,41697,2,0,0,0,41737,12,11,30302,0,0,0,0,30325,24,9,35704,6,0,0,21,35764,8,2,42207,28,0,0,1,42246,330,376,897112,152,0,0,134,898104,4.63
F029000,康和期貨,7,4,43326,0,0,0,8,43345,0,20,44337,0,0,0,1,44358,2,16,45649,0,0,0,1,45668,3,17,52689,0,0,0,1,52710,54,3,60351,0,0,0,0,60408,8,5,27572,0,0,0,0,27585,2,13,42683,0,0,0,0,42698,4,15,45127,0,0,0,0,45146,25,55,45508,0,0,0,0,45588,29,19,41404,0,2,0,1,41455,4,6,30150,0,2,0,15,30177,1,31,29971,0,0,0,4,30007,5,30,51121,0,0,0,0,51156,0,9,48417,0,0,0,85,48511,1,3,39719,0,2,0,23,39748,2,50,38587,0,2,0,2,38643,5,14,33999,0,0,0,23,34041,20,34,57482,0,0,0,2,57538,13,44,41005,0,0,0,0,41062,5,30,37152,0,4,0,52,37243,3,8,37923,0,0,0,2,37936,193,426,894172,0,12,0,220,895023,4.61
