期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20131101,,,,,,,,20131104,,,,,,,,20131105,,,,,,,,20131106,,,,,,,,20131107,,,,,,,,20131108,,,,,,,,20131111,,,,,,,,20131112,,,,,,,,20131113,,,,,,,,20131114,,,,,,,,20131115,,,,,,,,20131118,,,,,,,,20131119,,,,,,,,20131120,,,,,,,,20131121,,,,,,,,20131122,,,,,,,,20131125,,,,,,,,20131126,,,,,,,,20131127,,,,,,,,20131128,,,,,,,,20131129,,,,,,,,99999999,,,,,,,
F021000,元大寶來期貨,75,72,91305,4,4,0,3,91463,178,36,75623,1,0,0,41,75879,144,73,110381,0,1,0,24,110623,15,51,78973,0,0,0,8,79047,43,229,50907,0,0,0,15,51194,69,113,84042,0,0,0,12,84236,147,25,66480,0,0,0,16,66668,269,96,76383,2,0,0,12,76762,33,105,134850,0,8,0,5,135001,158,131,87912,0,0,0,4,88205,76,21,113134,20,8,0,6,113265,13,29,74542,5,0,0,5,74594,62,8,108181,5,0,0,34,108290,32,350,81676,3,8,0,25,82094,185,106,122988,7,8,4,40,123338,56,46,50634,5,0,0,31,50772,88,78,84047,6,8,0,23,84250,280,42,110007,8,0,0,16,110353,242,30,98062,9,2,0,24,98369,194,228,99742,20,0,0,21,100205,297,40,81874,4,18,0,4,82237,2656,1909,1881743,99,65,4,369,1886845,11.41
S157999,港商法國興業證券自營,0,40,101521,35,0,0,0,101596,212,16,82727,50,0,0,0,83005,1,39,100649,35,0,0,0,100724,1,0,56290,35,0,0,0,56326,60,2,51872,175,0,0,0,52109,80,117,72478,215,0,0,0,72890,272,43,82006,80,0,0,0,82401,885,421,67562,195,0,0,0,69063,140,200,76484,102,0,0,0,76926,0,65,85539,80,0,0,0,85684,20,107,109884,107,0,0,0,110118,640,520,86374,115,0,0,0,87649,0,4,87179,185,0,0,0,87368,221,22,46577,145,0,0,0,46965,0,40,93232,75,0,0,0,93347,0,0,55321,75,0,0,0,55396,0,40,100158,130,0,0,0,100328,0,0,111584,40,0,0,0,111624,0,0,51671,100,0,0,0,51771,0,0,98959,125,0,0,0,99084,0,40,91400,125,0,0,0,91565,2532,1716,1709467,2224,0,0,0,1715939,10.38
F034999,澳帝華期貨自營,180,240,78582,12,0,0,228,79242,236,225,63354,255,0,0,60,64130,10,192,101362,76,0,0,24,101664,41,52,85598,28,0,0,62,85781,153,99,59962,25,0,0,53,60292,80,83,64707,15,0,0,44,64929,75,167,44542,40,0,0,89,44913,526,501,68959,55,0,0,38,70079,120,162,91005,15,0,0,122,91424,131,166,64706,10,0,0,198,65211,1,0,74295,28,0,0,131,74455,585,398,64796,43,0,0,43,65865,13,12,66813,41,0,0,143,67022,40,207,50422,45,0,0,87,50801,319,329,96892,32,0,0,513,98085,92,145,44366,49,0,0,241,44893,168,120,74571,268,0,0,0,75127,0,41,105465,35,0,0,0,105541,0,21,78254,15,0,0,0,78290,0,20,73407,32,0,0,2,73461,0,85,62099,3,0,0,5,62192,2770,3265,1514157,1122,0,0,2083,1523397,9.22
F004000,凱基期貨,12,4,63314,0,0,0,36,63366,13,11,58226,6,0,0,10,58266,11,10,82738,1,0,0,0,82760,10,6,75685,23,0,0,5,75729,3,7,47800,5,0,0,3,47818,10,10,59856,0,0,0,0,59876,11,27,57592,5,0,0,39,57674,9,8,63561,16,0,0,11,63605,7,21,110895,2,0,0,14,110939,5,10,63256,0,0,0,28,63299,7,14,74507,11,0,0,27,74566,1,17,52783,5,0,0,1,52807,2,18,70219,7,0,0,36,70282,6,19,67436,10,0,0,14,67485,7,39,74881,20,0,0,185,75132,6,10,38383,21,0,0,5,38425,15,40,66549,1,0,0,143,66748,25,19,83217,11,0,0,27,83299,6,35,92656,0,0,0,9,92706,15,44,80319,1,0,0,0,80379,12,13,78387,0,0,0,31,78443,193,382,1462260,145,0,0,624,1463604,8.85
F002000,永豐期貨,11,18,63418,18,0,0,40,63505,11,23,45494,3,0,0,43,45574,3,24,69283,5,0,0,2,69317,0,4,68255,3,0,0,1,68263,2,7,35353,5,0,0,17,35384,0,1,47961,7,0,0,39,48008,4,9,52439,13,0,0,54,52519,4,4,55607,0,0,0,18,55633,1,20,85241,10,0,0,65,85337,10,5,55605,33,0,0,112,55765,11,50,57694,15,0,0,121,57891,2,18,48347,28,0,0,0,48395,7,14,65486,13,0,0,33,65553,0,6,61109,52,0,0,1,61168,6,15,66077,61,0,0,187,66346,4,40,33896,2,0,0,150,34092,1,40,49507,8,0,0,7,49563,15,46,75385,24,0,0,43,75513,18,9,67031,12,0,0,6,67076,14,47,61294,9,0,0,5,61369,5,42,51210,3,0,0,25,51285,129,442,1215692,324,0,0,969,1217556,7.37
S980999,元大寶來證券自營,124,427,54460,57,0,0,13,55081,308,382,38168,45,0,0,27,38930,93,495,68685,70,0,0,13,69356,124,151,57587,70,0,0,44,57976,149,368,25830,65,0,0,8,26420,101,413,30881,60,0,0,6,31461,302,169,39846,90,0,0,1,40408,277,381,50727,110,0,0,30,51525,205,180,63067,70,0,0,31,63553,157,356,41206,96,0,0,90,41905,134,223,43782,105,0,0,68,44312,216,262,30637,110,0,0,13,31238,48,262,38377,150,0,0,22,38859,20,362,36052,145,0,0,45,36624,433,935,76475,70,0,0,0,77913,152,180,33853,96,0,0,224,34505,194,220,41509,77,0,0,213,42213,202,276,51031,70,0,0,62,51641,199,155,39397,77,0,0,109,39937,317,542,60516,98,0,0,27,61500,152,486,43498,86,0,0,33,44255,3907,7225,965584,1817,0,0,1079,979612,5.93
F029000,康和期貨,4,7,40249,0,4,0,0,40264,0,20,33630,0,0,0,0,33650,8,145,43687,0,0,0,2,43842,12,57,45944,0,0,0,2,46015,4,6,29242,0,0,0,0,29252,8,1,38332,0,0,0,0,38341,25,2,35058,0,0,0,3,35088,32,0,44727,0,0,0,1,44760,3,1,56239,0,8,0,0,56251,2,12,48154,0,0,0,1,48169,0,0,41909,0,4,0,0,41913,0,100,32053,0,0,0,1,32154,0,0,35092,0,0,0,3,35095,0,2,41613,0,8,0,1,41624,99,94,54911,4,8,0,0,55116,40,14,42348,0,0,0,4,42406,94,76,35558,0,8,0,2,35738,213,226,58839,0,0,0,3,59281,41,32,40439,0,2,0,7,40521,0,8,43489,0,0,0,0,43497,216,2,49698,0,8,0,0,49924,801,805,891211,4,50,0,30,892901,5.40000000000000064
F020000,群益期貨,9,37,32619,8,0,0,11,32684,0,9,30479,0,0,0,4,30492,21,10,44629,0,0,0,1,44661,7,0,37389,2,0,0,1,37399,19,80,21195,11,0,0,0,21305,45,6,32121,0,0,0,0,32172,33,2,32063,0,0,0,2,32100,15,0,38746,113,0,0,0,38874,9,18,58684,2,0,0,7,58720,10,20,33322,0,0,0,34,33386,16,10,45610,3,0,0,14,45653,61,31,35506,12,0,0,0,35610,16,29,50110,6,0,0,4,50165,11,10,33052,8,0,0,2,33083,4,12,44020,8,0,0,6,44050,0,26,26650,0,0,0,9,26685,15,49,39999,44,0,0,3,40110,12,60,54194,3,0,0,5,54274,13,82,44832,2,0,0,1,44930,55,23,47493,0,0,0,2,47573,2,32,39448,5,0,0,10,39497,373,546,822161,227,0,0,116,823423,4.98000000000000064
B224999,中國信託商業銀行自營,71,205,27441,77,0,0,139,27933,80,90,28978,88,0,0,85,29321,89,291,44015,58,0,0,21,44474,41,122,40465,103,0,0,21,40752,129,193,17322,115,0,0,22,17781,44,247,21782,41,0,0,61,22175,174,318,21654,58,0,0,63,22267,237,179,30893,135,0,0,27,31471,180,112,60266,53,0,0,8,60619,116,192,39575,102,0,0,161,40146,108,208,47461,117,0,0,24,47918,207,340,29608,149,0,0,24,30328,70,139,37353,116,0,0,94,37772,266,441,40588,191,0,0,59,41545,320,399,23987,197,0,0,381,25284,74,83,14642,73,0,0,286,15158,199,99,21327,133,0,0,327,22085,171,137,35526,134,0,0,56,36024,150,46,40534,60,0,0,91,40881,172,293,32285,61,0,0,21,32832,178,98,20492,0,0,0,29,20797,3076,4232,676194,2061,0,0,2000,687563,4.16
