期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20130301,,,,,,,,20130304,,,,,,,,20130305,,,,,,,,20130306,,,,,,,,20130307,,,,,,,,20130308,,,,,,,,20130311,,,,,,,,20130312,,,,,,,,20130313,,,,,,,,20130314,,,,,,,,20130315,,,,,,,,20130318,,,,,,,,20130319,,,,,,,,20130320,,,,,,,,20130321,,,,,,,,20130322,,,,,,,,20130325,,,,,,,,20130326,,,,,,,,20130327,,,,,,,,20130328,,,,,,,,20130329,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,79,204,69168,0,0,0,0,69451,40,326,122489,5,0,0,0,122860,30,271,92618,35,0,0,0,92954,31,316,94651,41,0,0,0,95039,62,127,81053,30,0,0,0,81272,48,608,119053,18,0,0,0,119727,111,440,124090,26,0,0,0,124667,28,747,122046,80,0,0,0,122901,79,322,135791,35,0,0,0,136227,28,62,126776,17,0,0,0,126883,0,10,174774,36,0,0,0,174820,0,197,194298,31,0,0,0,194526,0,82,136911,650,0,0,0,137643,123,554,105388,45,0,0,0,106110,48,785,75149,10,0,0,0,75992,55,190,79528,15,0,0,0,79788,30,220,76166,10,0,0,0,76426,32,98,64193,15,0,0,0,64338,10,119,70741,20,0,0,0,70890,0,40,65288,20,0,0,0,65348,81,178,82719,10,0,0,0,82988,915,5896,2212890,1149,0,0,0,2220850,11.41
F021000,元大寶來期貨,113,94,53449,8,0,0,111,53775,23,52,104204,25,3,0,6,104313,28,137,90320,10,0,0,0,90495,48,269,135973,0,15,0,3,136308,62,71,62422,13,1,0,5,62574,139,254,98442,27,0,0,71,98933,76,370,97412,34,8,0,56,97956,107,306,111208,10,7,0,2,111640,107,191,147331,10,1,0,10,147650,43,159,71430,9,8,0,3,71652,47,261,122671,2,6,0,74,123061,33,88,154847,17,0,0,13,154998,97,51,98809,12,1,0,22,98992,57,150,136001,12,1,0,28,136249,33,98,66757,1,6,0,3,66898,10,227,70648,5,0,0,169,71059,27,57,67711,8,0,0,15,67818,23,27,59283,1,1,0,8,59343,7,86,84161,2,1,0,5,84262,29,52,59437,0,2,0,38,59558,224,95,90520,9,0,0,26,90874,1333,3095,1983036,215,61,0,668,1988408,10.22
S980999,元大寶來證券自營,230,143,41324,80,0,0,62,41839,238,346,78667,107,0,0,60,79418,101,192,64399,135,0,0,2,64829,86,353,78459,139,0,0,26,79063,45,264,65378,145,0,0,5,65837,193,1078,78955,90,0,0,3,80319,365,836,82623,163,0,0,41,84028,108,1149,86444,143,0,0,62,87906,165,774,118334,134,0,0,31,119438,145,458,72998,154,0,0,42,73797,234,547,111178,4,0,0,53,112016,777,1050,234983,0,0,0,236,237046,88,552,154157,0,0,0,187,154984,100,443,164705,0,0,0,48,165296,239,528,50534,10,0,0,71,51382,45,291,69623,6,0,0,52,70017,52,448,58079,5,0,0,49,58633,154,64,54289,5,0,0,50,54562,11,169,69538,15,0,0,16,69749,605,805,62599,25,0,0,49,64083,375,636,87737,20,0,0,0,88768,4356,11126,1885003,1380,0,0,1145,1903010,9.78
F034999,澳帝華期貨自營,255,131,43898,28,0,0,87,44399,61,298,85764,55,0,0,50,86228,112,188,98449,53,0,0,17,98819,91,297,123101,27,0,0,0,123516,103,233,62823,25,0,0,14,63198,95,638,79037,87,0,0,40,79897,320,742,82113,46,0,0,74,83295,93,1000,96711,88,0,0,36,97928,141,664,125466,55,0,0,30,126356,25,105,54972,55,0,0,38,55195,9,27,92611,41,0,0,82,92770,30,251,130837,40,0,0,282,131440,5,109,89084,36,0,0,219,89453,23,379,88045,16,0,0,201,88664,180,477,73887,53,0,0,43,74640,75,245,62498,69,0,0,89,62976,73,450,73737,147,0,0,91,74498,192,231,68678,15,0,0,33,69149,15,123,103829,53,0,0,25,104045,239,606,68773,26,0,0,83,69727,458,995,107383,119,0,0,0,108955,2595,8189,1811696,1134,0,0,1534,1825148,9.38000000000000128
F002000,永豐期貨,1,108,43320,12,0,0,15,43456,2,84,78022,2,0,0,4,78114,2,64,64017,3,0,0,0,64086,1,48,75084,4,0,0,5,75142,1,101,39608,12,0,0,2,39724,3,288,63973,4,0,0,0,64268,0,561,74924,4,0,0,0,75489,2,340,66852,3,0,0,19,67216,0,56,99158,3,0,0,3,99220,3,62,51953,47,2,0,0,52067,6,105,79594,17,1,0,3,79726,4,119,106362,42,0,0,0,106527,7,102,61875,71,0,0,30,62085,6,58,102294,30,0,0,0,102388,0,130,51110,35,0,0,0,51275,1,53,47012,3,0,0,6,47075,2,4,48421,20,0,0,0,48447,4,21,44253,5,0,0,0,44283,0,31,57552,9,0,0,0,57592,0,8,39245,0,0,0,0,39253,3,46,72548,4,0,0,0,72601,48,2389,1367177,330,3,0,87,1370034,7.04
F004000,凱基期貨,0,127,38988,1,0,0,14,39130,4,79,67359,11,0,0,41,67494,8,45,69607,38,0,0,2,69700,1,121,87044,3,0,0,9,87178,1,77,37631,0,0,0,5,37714,2,296,70412,79,0,0,3,70792,6,536,59886,39,0,0,5,60472,9,620,68042,65,1,0,10,68747,10,367,96321,21,0,0,3,96722,1,76,51595,65,0,0,8,51745,7,105,79074,39,1,0,16,79242,2,21,116564,19,0,0,19,116625,2,10,58820,1,0,0,32,58865,2,176,87879,32,0,0,43,88132,5,159,38767,29,0,0,1,38961,3,8,47813,24,0,0,11,47859,4,31,49446,15,0,0,25,49521,2,2,47529,7,1,0,2,47543,5,254,62990,8,0,0,15,63272,7,69,41161,11,0,0,5,41253,9,48,67543,17,0,0,1,67618,90,3227,1344471,524,3,0,270,1348585,6.93
F020000,群益期貨,0,18,40531,0,0,0,8,40557,3,37,51256,1,0,0,20,51317,0,144,44508,2,0,0,1,44655,2,28,60632,0,0,0,4,60666,3,56,27242,23,0,0,3,27327,4,80,48796,2,0,0,3,48885,10,25,47927,0,0,0,2,47964,4,131,51715,6,0,0,2,51858,1,14,54530,6,1,0,11,54563,5,29,31546,0,0,0,2,31582,0,42,45818,0,0,0,12,45872,14,63,74857,7,0,0,13,74954,125,50,47961,0,0,0,18,48154,8,137,68470,0,0,0,32,68647,6,36,38174,0,4,0,4,38224,9,12,35724,1,0,0,4,35750,8,25,38420,23,0,0,8,38484,4,21,34678,2,0,0,1,34706,11,22,42152,0,0,0,2,42187,8,35,29172,1,0,0,0,29216,23,67,45635,0,0,0,0,45725,248,1072,959744,74,5,0,150,961293,4.94000000000000064
F008000,統一期貨,143,32,23391,5,0,0,22,23593,186,94,32511,2,0,0,2,32795,138,143,30632,22,0,0,2,30937,28,1,37500,5,12,0,8,37554,19,15,16395,0,0,0,0,16429,57,370,29818,15,0,0,10,30270,497,236,30948,2,0,0,21,31704,44,344,35063,0,0,0,52,35503,3,17,60853,1,0,0,26,60900,6,37,23720,1,0,0,32,23796,11,114,32339,10,0,0,71,32545,178,397,49135,7,0,0,26,49743,16,70,32994,20,0,0,134,33234,17,138,47180,9,0,0,157,47501,9,71,17492,5,0,0,23,17600,1,36,19161,22,0,0,22,19242,3,98,23342,3,0,0,37,23483,5,8,19497,12,0,0,57,19579,1,1,32946,11,0,0,5,32964,0,3,18988,10,0,0,52,19053,2,48,26777,1,0,0,33,26861,1364,2273,640682,163,12,0,792,645286,3.32
F018000,元富期貨,0,0,19378,0,0,0,22,19400,2,4,34639,6,0,0,1,34652,3,2,34879,1,0,0,0,34885,0,3,27181,6,0,0,0,27190,0,5,23746,1,0,0,1,23753,0,14,27860,0,0,0,0,27874,3,7,30491,5,0,0,0,30506,26,16,29147,1,0,0,0,29190,1,12,40292,0,0,0,1,40306,0,7,35715,0,0,0,0,35722,9,10,37431,0,0,0,1,37451,3,19,29155,1,0,0,4,29182,1,2,36745,0,0,0,0,36748,1,34,41996,0,0,0,15,42046,0,5,22728,0,0,0,0,22733,2,2,31153,2,0,0,0,31159,2,1,17838,3,0,0,0,17844,2,7,33776,1,0,0,10,33796,2,7,32675,0,0,0,9,32693,1,5,22239,0,0,0,1,22246,10,8,28002,0,0,0,0,28020,68,170,637066,27,0,0,65,637396,3.28
