期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20140701,,,,,,,,20140702,,,,,,,,20140703,,,,,,,,20140704,,,,,,,,20140707,,,,,,,,20140708,,,,,,,,20140709,,,,,,,,20140710,,,,,,,,20140711,,,,,,,,20140714,,,,,,,,20140715,,,,,,,,20140716,,,,,,,,20140717,,,,,,,,20140718,,,,,,,,20140721,,,,,,,,20140722,,,,,,,,20140724,,,,,,,,20140725,,,,,,,,20140728,,,,,,,,20140729,,,,,,,,20140730,,,,,,,,20140731,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,22,0,331750,100,0,0,0,331872,80,20,434059,65,0,0,0,434224,60,2,252260,123,0,0,0,252445,0,90,279092,102,0,0,0,279284,0,24,217566,97,0,0,0,217687,20,99,181867,155,0,0,0,182141,42,4,152439,115,0,0,0,152600,36,287,222104,50,0,0,0,222477,42,145,366556,123,0,0,0,366866,5680,8,165051,135,0,0,0,170874,0,102,233357,142,0,0,0,233601,822,47,141066,50,0,0,0,141985,88,212,201919,15,0,0,0,202234,160,23,182570,20,0,0,0,182773,2,18,146628,30,0,0,0,146678,66,27,150003,30,0,0,0,150126,61,21,157033,30,0,0,0,157145,0,110,234599,25,0,0,0,234734,0,0,212544,55,0,0,0,212599,0,20,278036,45,0,0,0,278101,0,0,145350,40,0,0,0,145390,0,0,228520,45,0,0,0,228565,7181,1259,4914369,1592,0,0,0,4924401,14.73
F021000,元大寶來期貨,551,241,196602,8,2,0,92,197496,1767,404,321468,3,8,0,1,323651,630,209,146124,3,2,0,11,146979,425,210,165325,53,12,0,10,166035,391,68,125088,11,9,0,2,125569,98,322,103720,1,2,0,4,104147,393,411,111002,1,21,0,39,111867,813,1525,168779,23,2,0,31,171173,872,950,216006,28,29,0,2,217887,421,1587,104828,4,0,0,23,106863,340,1721,150341,18,4,0,27,152451,69,242,221479,0,0,0,20,221810,784,288,160883,37,0,0,11,162003,156,178,140005,16,0,0,18,140373,135,199,110114,21,0,0,8,110477,98,126,122764,41,4,0,32,123065,52,540,157495,11,1,0,27,158126,304,855,140823,11,1,0,12,142006,287,379,117798,3,134,0,37,118638,559,775,150403,19,165,0,1,151922,362,418,142865,5,59,0,1,143710,431,736,182951,22,56,0,1,184197,9938,12384,3456863,339,511,0,410,3480445,10.41
F034999,澳帝華期貨自營,200,291,150915,39,0,0,33,151478,304,476,359028,47,0,0,8,359863,335,186,153840,100,0,0,19,154480,262,164,135094,113,0,0,11,135644,119,114,147413,56,0,0,12,147714,131,231,124094,30,0,0,2,124488,71,287,129542,35,0,0,41,129976,277,1321,114803,53,0,0,37,116491,216,323,164077,24,0,0,22,164662,54,281,74029,46,0,0,84,74494,75,42,106425,30,0,0,82,106654,45,62,147484,26,0,0,82,147699,279,341,103613,25,0,0,0,104258,278,579,121329,54,0,0,108,122348,79,410,92096,30,0,0,47,92662,0,20,99170,32,0,0,15,99237,27,2,126600,26,0,0,105,126760,21,45,99342,17,0,0,84,99509,7,0,103416,35,0,0,86,103544,24,50,131303,325,0,0,0,131702,20,0,126844,35,0,0,0,126899,0,0,156643,5,0,0,49,156697,2824,5225,2967100,1183,0,0,927,2977259,8.9
S980999,元大寶來證券自營,573,354,115702,0,0,0,44,116673,1988,859,240290,0,0,0,113,243250,592,230,142094,0,0,0,13,142929,784,269,144895,0,0,0,20,145968,311,55,85167,0,0,0,0,85533,167,189,94463,0,0,0,15,94834,226,668,109576,135,0,0,40,110645,328,1233,167161,120,0,0,78,168920,472,1170,297859,140,0,0,16,299657,3998,1076,118836,116,0,0,71,124097,13,2860,192602,174,0,0,102,195751,634,593,218848,232,0,0,73,220380,550,2006,119430,87,0,0,15,122088,390,777,87476,57,0,0,72,88772,179,1052,69176,60,0,0,0,70467,77,630,84473,62,0,0,33,85275,62,1133,65320,38,0,0,1,66554,386,1704,123197,35,0,0,10,125332,252,868,105446,80,0,0,51,106697,434,2104,106503,35,0,0,2,109078,338,678,88903,35,0,0,0,89954,458,1067,136314,91,0,0,73,138003,13212,21575,2913731,1497,0,0,842,2950857,8.82
F004000,凱基期貨,34,19,164491,43,0,0,3,164590,0,141,256787,16,2,0,3,256949,44,2,108997,20,0,0,1,109064,84,12,122516,60,2,0,1,122675,17,28,86854,30,0,0,6,86935,2,47,77347,45,0,0,0,77441,0,47,106595,6,0,0,2,106650,26,130,114657,20,0,0,2,114835,19,18,158887,5,1,0,3,158933,2,185,76693,45,0,0,2,76927,45,96,108604,35,1,0,10,108791,6,115,180431,35,0,0,10,180597,12,15,101942,50,0,0,0,102019,1,5,99243,57,0,0,1,99307,1,108,70443,53,0,0,10,70615,1,83,98249,73,0,0,0,98406,10,17,125785,10,1,0,6,125829,15,125,100836,49,1,0,0,101026,49,29,87955,48,2,0,2,88085,8,56,111561,40,46,0,6,111717,3,11,111008,35,25,0,5,111087,9,41,104439,25,27,0,8,104549,388,1330,2574320,800,108,0,81,2577027,7.71
F002000,永豐期貨,66,104,144756,18,0,0,0,144944,111,224,249886,31,0,0,8,250260,25,265,80508,66,0,0,2,80866,46,28,87220,38,0,0,0,87332,43,33,79798,45,0,0,0,79919,45,90,70995,21,0,0,2,71153,99,354,109648,24,0,0,0,110125,74,313,94211,63,0,0,0,94661,75,190,132494,72,0,0,0,132831,8,1032,62306,21,0,0,0,63367,165,1279,101255,23,0,0,22,102744,112,132,212978,20,0,0,24,213266,94,213,94910,84,0,0,4,95305,23,81,91957,82,0,0,9,92152,14,242,86410,12,0,0,0,86678,23,38,81970,13,0,0,0,82044,15,266,134282,30,0,0,0,134593,124,688,105655,123,0,0,1,106591,12,175,80661,52,119,0,1,81020,62,354,118848,28,137,0,0,119429,31,171,137176,6,18,0,0,137402,39,135,112252,8,41,0,2,112477,1306,6407,2470176,880,315,0,75,2479159,7.41
F029000,康和期貨,2,5,86232,0,0,0,4,86243,5,2,123767,0,0,0,4,123778,7,4,68830,0,0,0,0,68841,4,1,54847,0,0,0,0,54852,4,4,56322,0,0,0,0,56330,6,15,58449,0,0,0,0,58470,12,285,56348,0,0,0,1,56646,6,27,71828,0,0,0,0,71861,18,23,81513,0,0,0,1,81555,4,16,40909,10,0,0,0,40939,11,61,54003,0,0,0,0,54075,0,29,98341,5,0,0,0,98375,9,21,88048,1,0,0,2,88081,68,12,62070,5,0,0,1,62156,0,8,42147,0,0,0,0,42155,15,0,46194,1,0,0,0,46210,10,35,61889,2,0,0,2,61938,12,101,113592,5,0,0,0,113710,58,21,62271,1,0,0,1,62352,8,58,78572,2,14,0,0,78654,4,9,71656,5,0,0,0,71674,10,14,95504,5,12,0,0,95545,273,751,1573332,42,26,0,16,1574440,4.71
F020000,群益期貨,41,59,89835,2,0,0,2,89939,54,58,139624,20,5,0,7,139768,15,33,67469,10,2,0,10,67539,10,20,66427,0,10,0,0,66467,27,14,59863,2,9,0,0,59915,28,38,50105,1,2,0,0,50174,7,41,53955,0,21,0,0,54024,9,246,76186,83,2,0,0,76526,12,53,97117,32,28,0,1,97243,2,155,50782,0,0,0,0,50939,41,132,70055,6,2,0,12,70248,12,82,92351,0,0,0,1,92446,28,35,62918,64,0,0,0,63045,8,13,56703,6,0,0,2,56732,0,18,50768,7,0,0,0,50793,4,4,66585,28,0,0,0,66621,8,55,67259,95,0,0,1,67418,14,112,59056,25,0,0,2,59209,92,35,52060,31,12,0,2,52232,1,80,75120,71,0,0,10,75282,0,3,72503,0,8,0,0,72514,14,46,64144,176,9,0,0,64389,427,1332,1540885,659,110,0,50,1543463,4.62
F008000,統一期貨,4,0,63762,3,0,0,6,63775,4,3,148590,0,0,0,0,148597,2,0,39410,1,0,0,0,39413,2,0,40258,3,0,0,1,40264,4,0,42242,3,0,0,0,42249,13,32,35968,3,0,0,2,36018,11,38,56748,3,0,0,1,56801,2,47,39412,13,0,0,11,39485,5,22,61056,10,0,0,15,61108,4,114,38550,18,0,0,0,38686,0,147,42110,11,0,0,18,42286,0,37,97279,24,0,0,8,97348,21,21,48199,27,0,0,26,48294,0,6,46054,14,0,0,1,46075,2,2,36714,90,0,0,1,36809,2,10,45138,4,0,0,10,45164,4,11,71298,32,0,0,0,71345,5,66,46979,29,0,0,14,47093,61,11,41854,3,0,0,14,41943,29,85,55245,3,0,0,9,55371,1,11,78553,0,0,0,0,78565,64,99,52482,33,0,0,1,52679,240,762,1227901,327,0,0,138,1229368,3.68
