期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
S585999,統一證券自營,20,4,29485,0,0,0,0,29509,0,0,23727,0,0,0,0,23727,0,120,37642,0,0,0,0,37762,0,40,49449,0,0,0,0,49489,0,40,54259,0,0,0,0,54299,20,36,66903,0,0,0,0,66959,0,0,44108,0,0,0,0,44108,0,40,50095,0,0,0,0,50135,0,0,59451,0,0,0,0,59451,0,0,17560,0,0,0,0,17560,0,0,13577,0,0,0,0,13577,0,0,10737,0,0,0,0,10737,0,0,7857,0,0,0,0,7857,0,124,11334,0,0,0,0,11458,0,0,30077,0,0,0,0,30077,10,20,23952,0,0,0,0,23982,0,1,40888,0,0,0,0,40889,0,22,35125,0,0,0,0,35147,0,1,16435,0,0,0,0,16436,0,0,14779,0,0,0,0,14779,2,34,26030,0,0,0,0,26066,0,236,35426,0,0,0,0,35662,0,40,31032,0,0,0,0,31072,52,758,729928,0,0,0,0,730738,3.35
F008000,統一期貨,75,115,37612,1,0,0,165,37968,0,1,17753,4,0,0,26,17784,4,256,44675,5,0,0,81,45021,1,25,13761,0,0,0,144,13931,0,5,28169,22,0,0,80,28276,6,11,36887,1,0,0,174,37079,1,241,39511,0,0,0,85,39838,3,28,59018,0,0,0,80,59129,62,38,46546,3,0,0,138,46787,20,49,17580,0,0,0,76,17725,1,4,29798,8,0,0,42,29853,0,8,20869,6,0,0,95,20978,1,6,35395,15,0,0,23,35440,4,8,20214,66,0,0,38,20330,106,18,42958,7,0,0,65,43154,7,2,20420,2,0,0,34,20465,54,3,33052,1,0,0,438,33548,8,7,30111,0,0,0,98,30224,5,2,21582,1,0,0,180,21770,13,0,23798,11,0,0,72,23894,12,4,30523,1,0,0,69,30609,29,1,26718,7,0,0,2,26757,0,1,24731,0,0,0,59,24791,412,833,701681,161,0,0,2264,705351,3.23
F039000,大昌期貨,0,21,41911,6,0,0,24,41962,1,30,18884,18,0,0,10,18943,0,69,31888,8,0,0,4,31969,5,1,18195,10,0,0,5,18216,1,1,35602,15,0,0,5,35624,0,84,30299,1,0,0,19,30403,0,93,32159,1,0,0,31,32284,0,112,44713,3,0,0,26,44854,8,1,52214,11,0,0,8,52242,0,10,23717,10,0,0,0,23737,0,0,39398,0,0,0,8,39406,0,4,20197,5,0,0,3,20209,0,10,32487,11,0,0,6,32514,0,12,20426,4,0,0,5,20447,0,8,35112,4,0,0,8,35132,0,10,19500,0,0,0,12,19522,2,11,34504,1,0,0,6,34524,0,9,20725,7,0,0,9,20750,0,0,16380,3,0,0,14,16397,0,14,22697,6,0,0,7,22724,0,11,25690,3,0,0,9,25713,0,12,23686,4,0,0,0,23702,0,6,19980,0,0,0,7,19993,17,529,660364,131,0,0,226,661267,3.03
F026000,富邦期貨,45,26,32301,83,0,0,9,32464,1,41,17243,94,0,0,18,17397,1,72,26697,109,0,0,2,26881,0,63,20102,80,1,0,20,20266,0,28,34834,139,0,0,4,35005,10,23,27541,180,0,0,7,27761,2,25,32606,140,0,0,16,32789,4,193,38374,95,9,0,0,38675,16,205,48513,118,2,0,16,48870,13,87,26959,128,0,0,1,27188,10,35,32741,418,2,0,3,33209,8,5,18147,530,2,0,1,18693,7,202,30920,310,0,0,1,31440,42,434,23412,60,0,0,1,23949,23,25,36942,156,0,0,10,37156,16,19,18794,6,1,0,20,18856,30,114,32056,13,1,0,5,32219,7,1,18397,5,0,0,24,18434,17,4,21983,10,2,0,9,22025,10,17,18179,11,0,0,27,18244,21,14,29203,45,0,0,2,29285,14,42,18115,40,0,0,32,18243,19,9,24536,60,0,0,3,24627,316,1684,628595,2830,20,0,231,633676,2.91
F007000,日盛期貨,1,26,30712,7,0,0,14,30760,0,1,11642,1,0,0,3,11647,5,7,24188,1,0,0,8,24209,0,3,14067,0,0,0,3,14073,3,5,27099,0,0,0,10,27117,5,3,24462,0,0,0,23,24493,6,27,19582,1,0,0,28,19644,0,7,30699,2,0,0,6,30714,8,46,48367,2,0,0,7,48430,4,21,16819,0,0,0,5,16849,0,42,25208,0,0,0,16,25266,0,8,12422,1,0,0,10,12441,6,20,15817,7,0,0,10,15860,15,383,14198,0,0,0,8,14604,5,275,26475,0,0,0,44,26799,6,13,10936,1,0,0,18,10974,9,264,28696,1,0,0,40,29010,2,20,15683,1,0,0,19,15725,0,390,14857,0,0,0,13,15260,0,2,16146,2,0,0,3,16153,3,402,22607,3,0,0,5,23020,2,466,25841,0,0,0,8,26317,0,343,16051,1,0,0,41,16436,80,2774,492574,31,0,0,342,495801,2.27
F018000,元富期貨,0,2,26256,1,0,0,5,26264,0,0,15265,8,0,0,6,15279,26,18,22098,4,0,0,0,22146,3,1,12217,0,0,0,1,12222,12,4,21970,7,0,0,0,21993,12,4,21712,3,0,0,13,21744,20,9,18579,3,0,0,1,18612,17,17,29600,2,0,0,6,29642,29,4,32439,9,0,0,36,32517,8,4,11931,5,0,0,10,11958,12,12,22350,1,0,0,2,22377,40,21,13386,1,0,0,5,13453,24,22,20710,2,0,0,0,20758,20,2,12575,1,0,0,1,12599,44,47,23718,5,0,0,4,23818,20,16,13229,0,0,0,47,13312,60,65,23384,2,0,0,6,23517,10,30,14573,0,0,0,4,14617,21,3,12123,0,0,0,11,12158,3,10,13782,0,0,0,3,13798,0,16,16951,0,0,0,0,16967,4,11,15966,0,0,0,0,15981,0,12,12835,0,0,0,2,12849,385,330,427649,54,0,0,163,428581,1.97
F005000,國票期貨,0,4,19198,17,0,0,4,19223,0,0,10253,50,0,0,0,10303,0,4,18853,38,0,0,2,18897,0,2,12349,10,0,0,1,12362,0,20,14410,7,0,0,12,14449,0,0,17247,16,0,0,17,17280,4,12,19592,10,0,0,5,19623,0,22,16993,1,0,0,0,17016,0,62,22102,19,0,0,7,22190,0,11,9985,35,0,0,1,10032,1,0,19632,30,0,0,0,19663,8,16,10729,25,0,0,1,10779,0,5,15595,11,0,0,4,15615,0,4,7279,2,0,0,3,7288,42,1,14443,15,0,0,1,14502,0,9,7555,5,0,0,38,7607,3,6,15457,8,0,0,48,15522,0,2,9856,15,0,0,4,9877,1,0,10030,3,0,0,0,10034,8,8,8670,0,0,0,0,8686,3,6,12544,10,0,0,10,12573,0,14,12428,10,0,0,1,12453,1,1,9716,0,0,0,66,9784,71,209,314916,337,0,0,225,315758,1.45
F020999,群益期貨自營,0,0,4163,0,0,0,0,4163,0,0,4102,5,0,0,0,4107,0,0,10849,0,0,0,20,10869,0,0,11445,0,0,0,20,11465,0,60,14978,15,0,0,2,15055,0,20,21901,25,0,0,0,21946,0,0,19451,5,0,0,10,19466,0,0,21352,5,0,0,0,21357,40,22,16320,0,0,0,4,16386,0,0,6979,5,0,0,0,6984,0,0,11719,0,0,0,0,11719,0,0,8320,0,0,0,0,8320,0,0,6853,10,0,0,0,6863,0,84,13868,0,0,0,0,13952,68,48,20159,5,0,0,0,20280,0,112,10823,0,0,0,0,10935,0,0,18303,0,0,0,20,18323,0,0,11560,5,0,0,2,11567,0,0,12148,15,0,0,0,12163,0,0,15347,0,0,0,0,15347,0,0,14286,10,0,0,20,14316,0,0,14059,10,0,0,20,14089,0,0,14966,70,0,0,0,15036,108,346,303951,185,0,0,118,304708,1.39999999999999984
F014000,華南期貨,2,1,10913,18,0,0,9,10943,0,1,5192,1,0,0,21,5215,0,1,12439,0,0,0,5,12445,0,43,5940,0,0,0,6,5989,0,1,11813,7,0,0,6,11827,0,1,12132,0,0,0,8,12141,0,0,9739,0,0,0,6,9745,0,172,15178,0,0,0,0,15350,0,60,20928,6,0,0,4,20998,0,5,7586,4,0,0,0,7595,0,5,9633,21,0,0,1,9660,0,22,8132,0,0,0,0,8154,0,34,12443,27,0,0,0,12504,0,10,5407,35,0,0,0,5452,0,6,11589,0,0,0,2,11597,0,63,6444,0,0,0,0,6507,0,130,10405,1,0,0,2,10538,0,37,6757,0,0,0,14,6808,0,12,6415,0,0,0,1,6428,0,28,7176,5,0,0,7,7216,2,2,8427,0,0,0,0,8431,0,40,7942,0,0,0,1,7983,1,60,8317,0,0,0,1,8379,5,734,220947,125,0,0,94,221905,1.02
F030000,兆豐期貨,0,9,11510,0,0,0,1,11520,0,5,6914,5,0,0,4,6928,2,5,10884,0,0,0,4,10895,0,5,6577,12,0,0,2,6596,0,19,10719,0,0,0,0,10738,12,4,9704,0,0,0,3,9723,2,8,9712,0,0,0,3,9725,1,10,17469,0,0,0,1,17481,3,25,20997,16,0,0,4,21045,3,98,8128,24,0,0,32,8285,3,5,13687,0,0,0,37,13732,9,8,8984,1,0,0,0,9002,0,0,9589,0,0,0,16,9605,2,20,6019,0,0,0,0,6041,5,13,10321,5,0,0,12,10356,0,1,5711,0,0,0,13,5725,7,27,9263,1,0,0,8,9306,0,0,8140,0,0,0,2,8142,2,13,6888,0,0,0,0,6903,1,2,6530,0,0,0,73,6606,1,1,7209,0,0,0,0,7211,0,10,8593,0,0,0,0,8603,0,4,6154,0,0,0,1,6159,53,292,219702,64,0,0,216,220327,1.01
