期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
S538000,第一金證券,0,0,9327,0,0,0,3,9330,0,0,5234,0,0,0,7,5241,0,8,12813,0,0,0,0,12821,0,8,4294,0,0,0,34,4336,0,38,9598,0,0,0,1,9637,0,20,8319,0,0,0,2,8341,0,4,9200,0,0,0,3,9207,0,0,15802,0,0,0,0,15802,0,5,12367,2,0,0,4,12378,0,0,5514,0,0,0,1,5515,0,10,7810,0,0,0,0,7820,0,0,4040,0,0,0,0,4040,0,10,7100,0,0,0,0,7110,0,0,5412,0,0,0,1,5413,0,0,10795,0,0,0,4,10799,0,0,3563,0,0,0,0,3563,0,5,7535,0,0,0,1,7541,0,1,4219,0,0,0,2,4222,0,0,5881,0,0,0,0,5881,1,4,6421,0,0,0,1,6427,0,0,6210,0,0,0,1,6211,0,0,8039,0,0,0,0,8039,0,4,5377,0,0,0,2,5383,1,117,174870,2,0,0,67,175057,0.8
S592999,元富證券自營,0,0,6829,0,0,0,0,6829,0,0,4913,0,0,0,0,4913,0,0,6635,0,0,0,0,6635,0,0,4430,0,0,0,0,4430,0,0,17892,0,0,0,0,17892,0,0,8338,0,0,0,0,8338,0,0,7798,0,0,0,0,7798,0,0,9611,0,0,0,0,9611,0,0,20072,0,0,0,0,20072,0,0,7275,0,0,0,0,7275,0,0,6577,0,0,0,0,6577,0,0,5164,0,0,0,0,5164,0,0,5446,0,0,0,0,5446,0,0,2139,0,0,0,0,2139,0,0,5815,0,0,0,0,5815,0,0,1258,0,0,0,0,1258,0,0,5052,0,0,0,0,5052,0,0,2988,0,0,0,0,2988,0,0,1608,0,0,0,0,1608,0,0,2005,0,0,0,0,2005,0,0,3073,0,0,0,0,3073,0,0,3606,0,0,0,0,3606,0,0,4186,0,0,0,0,4186,0,0,142710,0,0,0,0,142710,0.65
S126999,宏遠證券自營,0,0,6597,0,0,0,0,6597,0,0,3336,0,0,0,0,3336,0,0,5874,0,0,0,0,5874,0,0,3505,0,0,0,0,3505,0,0,1804,0,0,0,0,1804,0,0,3670,0,0,0,0,3670,0,0,3741,0,0,0,0,3741,0,0,3094,0,0,0,0,3094,0,0,10914,0,0,0,0,10914,0,0,7836,0,0,0,0,7836,0,0,2370,0,0,0,0,2370,0,0,5370,0,0,0,0,5370,0,0,3643,0,0,0,0,3643,0,0,7527,0,0,0,0,7527,0,0,13909,0,0,0,0,13909,0,0,9194,0,0,0,0,9194,0,0,15395,0,0,0,0,15395,0,0,1624,0,0,0,0,1624,0,0,4139,0,0,0,0,4139,0,0,5369,0,0,0,0,5369,0,0,5963,0,0,0,0,5963,0,0,9217,0,0,0,0,9217,0,0,2871,0,0,0,0,2871,0,0,136962,0,0,0,0,136962,0.63
S144000,美林證券,0,0,6762,0,0,0,0,6762,0,0,1515,0,0,0,0,1515,0,0,5874,0,0,0,0,5874,0,0,0,0,0,0,0,0,0,0,5665,0,0,0,0,5665,0,0,3590,0,0,0,0,3590,0,0,5301,0,0,0,0,5301,0,0,3538,0,0,0,0,3538,0,0,7027,0,0,0,0,7027,0,0,1703,0,0,0,0,1703,0,0,5976,0,0,0,0,5976,0,0,3186,0,0,0,0,3186,0,0,1214,0,0,0,0,1214,0,0,7267,0,0,0,0,7267,0,0,26163,0,0,0,0,26163,0,0,3291,0,0,0,0,3291,0,0,8914,0,0,0,0,8914,0,0,5583,0,0,0,70,5653,0,0,4272,0,0,0,0,4272,0,0,8831,0,0,0,0,8831,0,0,4481,0,0,0,0,4481,0,0,4894,0,0,0,0,4894,0,0,7417,0,0,0,0,7417,0,0,132464,0,0,0,70,132534,0.61
S884000,玉山證券,0,1,5692,0,0,0,5,5698,0,0,3213,0,0,0,11,3224,0,0,5992,0,0,0,4,5996,0,0,4102,0,0,0,0,4102,0,0,6393,0,0,0,3,6396,0,0,6223,0,0,0,10,6233,0,0,6204,0,0,0,10,6214,0,17,8668,0,0,0,2,8687,0,23,11432,0,0,0,10,11465,1,0,3674,0,0,0,0,3675,1,0,5999,0,0,0,3,6003,0,0,3001,0,0,0,10,3011,0,11,5566,0,0,0,30,5607,0,0,3237,0,0,0,0,3237,0,0,5948,0,0,0,0,5948,0,0,4348,0,0,0,1,4349,0,0,6383,18,0,0,2,6403,0,0,4402,0,0,0,1,4403,0,1,4017,18,0,0,0,4036,7,0,4915,0,0,0,0,4922,7,1,4027,0,0,0,0,4035,0,0,3887,0,0,0,0,3887,0,0,6419,0,0,0,0,6419,16,54,123742,36,0,0,102,123950,0.569999999999999936
S616999,中國信託證券自營,0,64,5467,0,0,0,0,5531,0,118,3634,0,0,0,0,3752,0,245,6738,0,0,0,0,6983,0,201,1518,5,0,0,0,1724,0,29,7367,0,0,0,0,7396,0,2,6179,0,0,0,0,6181,0,1,5806,0,0,0,0,5807,0,260,16659,0,0,0,0,16919,0,0,7883,0,0,0,0,7883,0,1,3698,0,0,0,0,3699,0,0,1867,0,0,0,0,1867,0,40,888,0,0,0,0,928,0,103,7409,0,0,0,0,7512,0,580,3102,0,0,0,0,3682,0,0,7494,0,0,0,0,7494,0,0,2320,0,0,0,0,2320,0,0,8852,0,0,0,0,8852,0,118,10219,0,0,0,0,10337,0,0,530,0,0,0,0,530,0,0,2213,0,0,0,0,2213,0,442,3100,0,0,0,0,3542,0,5,2618,0,0,0,0,2623,0,0,4870,0,0,0,0,4870,0,2209,120431,5,0,0,0,122645,0.560000000000000064
F002999,永豐期貨自營,0,0,8186,0,0,0,0,8186,0,0,4111,0,0,0,0,4111,0,0,5903,0,0,0,0,5903,0,0,2652,0,0,0,0,2652,0,0,11988,0,0,0,0,11988,0,0,8252,0,0,0,0,8252,0,0,7523,0,0,0,0,7523,0,0,11636,0,0,0,0,11636,0,0,14189,0,0,0,0,14189,0,0,4066,0,0,0,0,4066,0,0,3522,0,0,0,0,3522,0,0,1131,0,0,0,0,1131,0,11,2702,0,0,0,0,2713,0,2,1783,0,0,0,0,1785,0,0,4877,0,0,0,0,4877,0,0,1365,0,0,0,0,1365,0,74,5714,0,0,0,0,5788,0,0,7570,0,0,0,0,7570,0,0,1698,0,0,0,0,1698,0,0,3445,0,0,0,0,3445,0,0,2343,0,0,0,0,2343,0,77,2132,0,0,0,0,2209,0,0,1844,0,0,0,0,1844,0,164,118632,0,0,0,0,118796,0.540000000000000064
S920999,凱基證券自營,40,20,3636,10,0,0,1,3707,0,0,2714,11,0,0,0,2725,0,91,4169,20,0,0,10,4290,1,40,3745,0,0,0,0,3786,0,0,10591,5,0,0,0,10596,0,0,4972,20,0,0,0,4992,0,0,5595,25,0,0,0,5620,0,20,7286,5,0,0,0,7311,0,40,14091,5,0,0,12,14148,0,0,9034,0,0,0,0,9034,0,0,4985,3,0,0,0,4988,0,0,4977,5,0,0,0,4982,0,22,2719,15,0,0,0,2756,0,183,2567,22,0,0,0,2772,128,21,3267,16,0,0,14,3446,0,20,2647,5,0,0,4,2676,0,60,4447,5,0,0,3,4515,0,24,2639,0,0,0,0,2663,3,0,3960,15,0,0,0,3978,0,0,3742,5,0,0,1,3748,0,2,4688,16,0,0,10,4716,0,20,4477,11,0,0,0,4508,0,0,4274,55,0,0,8,4337,172,563,115222,274,0,0,63,116294,0.53
F021999,元大寶來期貨自營,0,82,1483,0,0,0,8,1573,0,0,800,0,0,0,0,800,0,130,8460,0,0,0,28,8618,0,42,2611,0,0,0,32,2685,0,8,2426,0,0,0,2,2436,104,38,1925,0,0,0,10,2077,0,0,3330,0,0,0,37,3367,0,64,9577,0,0,0,11,9652,40,0,2007,0,0,0,2,2049,0,0,1554,0,0,0,0,1554,0,0,7942,0,0,0,0,7942,0,8,9945,0,0,0,0,9953,0,8,10109,0,0,0,20,10137,0,158,6477,0,0,0,40,6675,56,40,12709,0,0,0,40,12845,0,0,4830,0,0,0,20,4850,0,0,5657,0,0,0,64,5721,0,0,7186,0,0,0,60,7246,0,0,4053,0,0,0,42,4095,40,0,816,0,0,0,20,876,0,100,1977,0,0,0,20,2097,0,16,6231,0,0,0,2,6249,0,0,2335,0,0,0,76,2411,240,694,114440,0,0,0,534,115908,0.53
F001000,國泰期貨,10,0,4062,0,0,0,2,4074,1,0,3084,0,0,0,2,3087,2,0,4259,0,0,0,2,4263,5,8,2614,0,0,0,0,2627,7,12,5664,0,0,0,0,5683,2,0,5597,0,0,0,3,5602,4,0,5597,0,0,0,0,5601,4,0,8463,0,0,0,0,8467,3,1,9680,0,0,0,2,9686,6,1,3966,23,0,0,0,3996,6,0,5941,4,0,0,14,5965,7,2,3178,0,0,0,0,3187,26,8,4126,0,0,0,10,4170,1,0,3707,4,0,0,2,3714,21,10,5325,0,0,0,0,5356,1,0,2796,5,0,0,1,2803,1,1,5027,0,0,0,0,5029,1,0,3379,1,0,0,0,3381,1,0,4261,0,0,0,2,4264,0,0,3318,0,0,0,0,3318,3,0,4699,0,0,0,0,4702,1,0,3688,0,0,0,0,3689,1,0,4443,0,0,0,0,4444,114,43,106874,37,0,0,40,107108,0.49
S856000,新光證券,0,0,5191,0,0,0,0,5191,0,0,2281,0,0,0,0,2281,0,0,5250,0,0,0,1,5251,0,0,3526,0,0,0,0,3526,0,0,4683,0,0,0,0,4683,9,0,4772,0,0,0,1,4782,0,0,4142,0,0,0,0,4142,2,0,6358,0,0,0,0,6360,0,0,7884,0,0,0,0,7884,0,0,2863,0,0,0,0,2863,2,3,4002,0,0,0,1,4008,0,0,2574,0,0,0,0,2574,4,1,2646,0,0,0,2,2653,1,0,1880,0,0,0,0,1881,0,4,4593,0,0,0,0,4597,0,1,2629,0,0,0,1,2631,15,5,4377,0,0,0,0,4397,0,5,2237,0,0,0,0,2242,0,0,3379,0,0,0,0,3379,2,0,3409,0,0,0,0,3411,0,0,3954,0,0,0,0,3954,0,0,4643,0,0,0,0,4643,0,0,4384,0,0,0,0,4384,35,19,91657,0,0,0,6,91717,0.42
F004999,凱基期貨自營,0,0,3263,0,0,0,0,3263,0,0,2746,0,0,0,0,2746,0,0,4975,0,0,0,0,4975,0,0,582,0,0,0,0,582,0,0,4930,0,0,0,0,4930,0,0,6610,0,0,0,0,6610,0,0,3480,0,0,0,0,3480,0,0,7260,0,0,0,0,7260,0,0,6152,0,0,0,0,6152,0,0,1704,0,0,0,0,1704,0,0,2781,0,0,0,0,2781,0,0,2049,0,0,0,0,2049,0,0,2884,0,0,0,0,2884,0,0,2154,0,0,0,0,2154,0,0,3526,0,0,0,0,3526,0,0,2088,0,0,0,0,2088,0,0,7104,0,0,0,0,7104,0,0,1940,0,0,0,0,1940,0,0,2296,0,0,0,0,2296,0,0,2854,0,0,0,0,2854,0,0,6134,0,0,0,0,6134,0,0,5230,0,0,0,0,5230,0,0,3600,0,0,0,0,3600,0,0,86342,0,0,0,0,86342,0.4
F018999,元富期貨自營,0,0,3859,0,0,0,0,3859,0,0,2191,0,0,0,0,2191,0,0,4397,0,0,0,0,4397,0,0,1598,0,0,0,0,1598,0,0,4542,0,0,0,0,4542,0,0,3445,0,0,0,0,3445,0,0,1527,0,0,0,0,1527,0,0,1848,0,0,0,0,1848,0,0,5406,0,0,0,0,5406,0,0,2035,0,0,0,0,2035,0,0,4335,0,0,0,0,4335,0,0,2940,0,0,0,0,2940,0,0,2186,0,0,0,0,2186,0,0,3119,0,0,0,0,3119,0,0,7413,0,0,0,0,7413,0,0,1137,0,0,0,0,1137,0,0,8684,0,0,0,0,8684,0,0,2781,0,0,0,0,2781,0,0,3971,0,0,0,0,3971,0,0,3156,0,0,0,0,3156,0,0,3392,0,0,0,0,3392,0,0,4452,0,0,0,0,4452,0,0,781,0,0,0,0,781,0,0,79195,0,0,0,0,79195,0.36
F034000,澳帝華期貨,0,0,1556,0,0,0,0,1556,0,0,171,0,0,0,0,171,0,0,276,0,0,0,0,276,0,0,629,0,0,0,0,629,0,0,2698,0,0,0,0,2698,0,0,2549,0,0,0,0,2549,0,0,1812,0,0,0,0,1812,0,0,2746,0,0,0,0,2746,0,0,7278,0,0,0,0,7278,0,0,5891,0,0,0,0,5891,0,0,2907,0,0,0,0,2907,0,0,2303,0,0,0,0,2303,0,0,6235,0,0,0,0,6235,0,0,1585,0,0,0,0,1585,0,0,5953,0,0,0,0,5953,0,0,1815,0,0,0,0,1815,0,0,8217,0,0,0,0,8217,0,0,2996,0,0,0,0,2996,0,0,715,0,0,0,0,715,0,0,1311,0,0,0,0,1311,0,0,2093,0,0,0,0,2093,0,0,3518,0,0,0,0,3518,0,0,4139,0,0,0,0,4139,0,0,69393,0,0,0,0,69393,0.32
S653000,大眾證券,0,0,2480,0,0,0,0,2480,0,1,2681,0,0,0,0,2682,1,8,2746,0,0,0,0,2755,0,1,1552,0,0,0,0,1553,0,0,2373,0,0,0,0,2373,1,8,2293,0,0,0,0,2302,0,0,2463,0,0,0,0,2463,1,0,3469,0,0,0,0,3470,1,3,4246,0,0,0,0,4250,0,0,2299,0,0,0,0,2299,0,3,2870,0,0,0,0,2873,0,1,2387,0,0,0,0,2388,2,5,2113,2,0,0,0,2122,0,4,2186,0,0,0,0,2190,0,4,2558,0,0,0,0,2562,0,2,1316,0,0,0,0,1318,0,3,3007,0,0,0,0,3010,0,2,1791,0,0,0,0,1793,0,1,1446,0,0,0,0,1447,0,0,1596,0,0,0,0,1596,0,0,1560,0,0,0,0,1560,0,1,2961,0,0,0,0,2962,1,0,1970,0,0,0,0,1971,7,47,54363,2,0,0,0,54419,0.25
S888999,國泰證券自營,0,0,806,0,0,0,0,806,0,0,206,0,0,0,0,206,0,0,821,0,0,0,0,821,0,0,1282,0,0,0,0,1282,0,0,2876,0,0,0,0,2876,0,0,1866,0,0,0,0,1866,0,0,1572,0,0,0,0,1572,0,0,2569,0,0,0,0,2569,0,0,7486,0,0,0,0,7486,0,0,1458,0,0,0,0,1458,0,0,1901,0,0,0,0,1901,0,0,2439,0,0,0,0,2439,0,0,2299,0,0,0,0,2299,0,0,3234,0,0,0,0,3234,0,0,4183,0,0,0,0,4183,0,0,1670,0,0,0,0,1670,0,0,2113,0,0,0,0,2113,0,0,1655,0,0,0,0,1655,0,0,1298,0,0,0,0,1298,0,0,1277,0,0,0,0,1277,0,0,2736,0,0,0,0,2736,0,0,823,0,0,0,0,823,0,0,1737,0,0,0,0,1737,0,0,48307,0,0,0,0,48307,0.22
S616000,中國信託證券,0,0,2148,0,0,0,0,2148,0,0,960,0,0,0,0,960,0,0,1900,0,0,0,0,1900,0,0,919,0,0,0,0,919,0,0,1388,0,0,0,0,1388,5,5,1705,0,0,0,0,1715,0,1,1480,0,0,0,0,1481,3,4,1605,0,0,0,0,1612,0,2,2191,0,0,0,0,2193,0,1,1259,0,0,0,0,1260,0,1,3835,0,0,0,2,3838,0,0,1069,0,0,0,0,1069,0,4,2849,5,0,0,0,2858,0,1,1742,6,0,0,0,1749,0,1,2140,1,0,0,2,2144,0,0,1201,0,0,0,0,1201,0,0,1147,0,0,0,0,1147,0,0,1563,16,0,0,0,1579,0,0,1466,0,0,0,0,1466,0,1,2364,0,0,0,0,2365,0,0,1498,2,0,0,0,1500,0,1,1284,0,0,0,0,1285,0,0,3353,0,0,0,0,3353,8,22,41066,30,0,0,4,41130,0.19
S109999,台灣工銀證券自營,0,0,2310,0,0,0,0,2310,0,0,1813,0,0,0,0,1813,0,0,2455,0,0,0,0,2455,0,0,1328,0,0,0,0,1328,0,0,5255,0,0,0,0,5255,0,0,1584,0,0,0,0,1584,0,0,1467,0,0,0,0,1467,0,0,2624,0,0,0,0,2624,0,0,4735,0,0,0,0,4735,0,0,1826,0,0,0,0,1826,0,0,2025,0,0,0,0,2025,0,0,1558,0,0,0,0,1558,0,0,1833,0,0,0,0,1833,0,0,750,0,0,0,0,750,0,0,983,0,0,0,0,983,0,0,320,0,0,0,0,320,0,0,965,0,0,0,0,965,0,0,1258,0,0,0,0,1258,0,0,800,0,0,0,0,800,0,0,511,0,0,0,0,511,0,0,1050,0,0,0,0,1050,0,0,799,0,0,0,0,799,0,0,1046,0,0,0,0,1046,0,0,39295,0,0,0,0,39295,0.18
S526000,大慶證券,0,1,1672,0,0,0,0,1673,0,0,923,0,0,0,0,923,0,3,2048,0,0,0,0,2051,0,2,1194,0,0,0,0,1196,0,1,1900,0,0,0,0,1901,0,3,1798,0,0,0,0,1801,0,11,1391,0,0,0,0,1402,0,6,2482,0,0,0,0,2488,0,5,2200,0,0,0,0,2205,0,2,1538,0,0,0,0,1540,0,0,1631,0,0,0,0,1631,0,16,978,0,0,0,0,994,0,8,2447,0,0,0,0,2455,0,2,1007,0,0,0,0,1009,0,8,1980,0,0,0,0,1988,0,0,732,0,0,0,0,732,0,1,2154,0,0,0,0,2155,0,0,1086,0,0,0,0,1086,0,0,923,0,0,0,0,923,0,0,1373,0,0,0,0,1373,0,7,1358,0,0,0,0,1365,0,3,1029,0,0,0,0,1032,0,1,1294,0,0,0,0,1295,0,80,35138,0,0,0,0,35218,0.16
F038999,大眾期貨自營,0,0,1561,0,0,0,0,1561,0,0,726,0,0,0,0,726,0,0,1764,0,0,0,0,1764,0,0,1546,0,0,0,0,1546,0,0,1637,0,0,0,0,1637,0,0,918,0,0,0,0,918,0,0,1330,0,0,0,0,1330,0,0,1781,0,0,0,0,1781,0,0,3202,0,0,0,0,3202,0,0,1511,0,0,0,0,1511,0,0,1953,0,0,0,0,1953,0,0,926,0,0,0,0,926,0,0,1672,0,0,0,0,1672,0,0,1150,0,0,0,0,1150,0,0,1750,0,0,0,0,1750,0,0,785,0,0,0,0,785,0,0,1976,0,0,0,0,1976,0,0,741,0,0,0,0,741,0,0,620,0,0,0,0,620,0,0,524,0,0,0,0,524,0,0,762,0,0,0,0,762,0,0,1144,0,0,0,0,1144,0,0,528,0,0,0,0,528,0,0,30507,0,0,0,0,30507,0.140000000000000016
S653999,大眾證券自營,0,0,1476,0,0,0,0,1476,0,0,648,0,0,0,0,648,0,0,978,0,0,0,0,978,0,0,1091,0,0,0,0,1091,0,0,2095,0,0,0,0,2095,0,0,1470,0,0,0,0,1470,0,0,364,0,0,0,0,364,0,0,1546,0,0,0,0,1546,0,0,2305,0,0,0,0,2305,0,0,1267,0,0,0,0,1267,0,0,677,0,0,0,0,677,0,0,329,0,0,0,0,329,0,0,1697,0,0,0,0,1697,0,0,1683,0,0,0,0,1683,0,0,1060,0,0,0,0,1060,0,0,929,0,0,0,0,929,0,0,1064,0,0,0,0,1064,0,0,1282,0,0,0,0,1282,0,0,1552,0,0,0,0,1552,0,0,1447,0,0,0,0,1447,0,0,1231,0,0,0,0,1231,0,0,853,0,0,0,0,853,0,0,1767,0,0,0,0,1767,0,0,28811,0,0,0,0,28811,0.13
S116999,日盛證券自營,0,0,1173,0,0,0,0,1173,0,0,451,0,0,0,0,451,0,0,1023,0,0,0,0,1023,0,0,498,0,0,0,0,498,0,0,1782,0,0,0,0,1782,0,0,1396,0,0,0,0,1396,0,0,841,0,0,0,0,841,0,0,1750,0,0,0,0,1750,0,0,4035,0,0,0,0,4035,0,0,886,0,0,0,0,886,0,0,2244,0,0,0,0,2244,0,0,702,0,0,0,0,702,0,0,1683,0,0,0,0,1683,0,0,284,0,0,0,0,284,0,0,1294,0,0,0,0,1294,0,0,686,0,0,0,0,686,0,0,2266,0,0,0,0,2266,0,0,1092,0,0,0,0,1092,0,0,147,0,0,0,0,147,0,0,224,0,0,0,0,224,0,0,1210,0,0,0,0,1210,0,0,1122,0,0,0,0,1122,0,0,813,0,0,0,0,813,0,0,27602,0,0,0,0,27602,0.13
S845999,康和證券自營,0,0,1460,0,0,0,0,1460,0,0,703,0,0,0,0,703,0,0,758,0,0,0,0,758,0,0,1523,0,0,0,0,1523,0,0,1765,0,0,0,0,1765,0,0,813,0,0,0,0,813,0,0,714,0,0,0,0,714,0,0,3389,0,0,0,0,3389,0,0,1689,0,0,0,0,1689,0,0,632,0,0,0,0,632,0,0,548,0,0,0,0,548,0,0,454,0,0,0,0,454,0,0,1406,0,0,0,0,1406,0,0,956,0,0,0,0,956,0,0,1489,0,0,0,0,1489,0,0,305,0,0,0,0,305,0,0,1923,0,0,0,0,1923,0,0,357,0,0,0,0,357,0,0,938,0,0,0,0,938,0,0,368,0,0,0,0,368,0,0,675,0,0,0,0,675,0,0,410,0,0,0,0,410,0,0,650,0,0,0,0,650,0,0,23925,0,0,0,0,23925,0.11
S844000,摩根大通證券,0,0,160,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,1572,0,0,0,0,1572,0,0,0,0,0,0,0,0,0,0,3150,0,0,0,0,3150,0,0,1021,0,0,0,0,1021,0,0,1445,0,0,0,0,1445,0,0,1,0,0,0,0,1,0,0,2500,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,360,0,0,1440,0,0,0,0,1440,0,0,1800,0,0,0,0,1800,0,0,160,0,0,0,0,160,0,0,220,0,0,0,0,220,0,0,777,0,0,0,0,777,0,0,1072,0,0,0,0,1072,0,0,180,0,0,0,0,180,0,0,1024,0,0,0,0,1024,0,0,900,0,0,0,0,900,0,0,2580,0,0,0,0,2580,0,0,444,0,0,0,0,444,0,0,500,0,0,0,0,500,0,0,21306,0,0,0,0,21306,0.1
S109000,台灣工銀證券,0,0,619,0,0,0,0,619,0,0,880,0,0,0,0,880,0,0,807,0,0,0,0,807,0,0,417,0,0,0,0,417,0,0,1123,0,0,0,0,1123,0,0,1694,0,0,0,0,1694,0,0,1004,0,0,0,0,1004,0,3,2796,0,0,0,0,2799,1,5,980,0,0,0,0,986,0,0,358,0,0,0,0,358,1,0,644,0,0,0,0,645,0,0,533,0,0,0,0,533,1,1,745,0,0,0,0,747,1,0,541,0,0,0,0,542,0,0,450,0,0,0,0,450,0,0,514,0,0,0,0,514,1,3,893,0,0,0,0,897,0,0,406,0,0,0,0,406,1,0,1403,0,0,0,0,1404,1,0,314,0,0,0,0,315,1,0,787,0,0,0,0,788,0,0,638,0,0,0,0,638,0,0,652,0,0,0,0,652,8,12,19198,0,0,0,0,19218,0.09
S218000,亞東證券,0,0,622,0,0,0,1,623,0,0,356,0,0,0,1,357,0,0,830,0,0,0,0,830,0,0,381,0,0,0,0,381,0,0,834,0,0,0,0,834,0,0,1397,0,0,0,0,1397,0,0,605,0,0,0,0,605,0,0,1002,0,0,0,0,1002,0,0,1382,0,0,0,1,1383,0,0,500,0,0,0,0,500,0,0,1549,0,0,0,0,1549,0,0,457,0,0,0,0,457,0,0,640,0,0,0,0,640,0,0,961,0,0,0,0,961,0,0,1241,0,0,0,1,1242,0,0,606,0,0,0,1,607,0,0,756,0,0,0,2,758,0,0,534,0,0,0,0,534,0,0,630,0,0,0,0,630,0,0,444,0,0,0,0,444,0,0,911,0,0,0,0,911,0,0,1044,0,0,0,0,1044,0,0,1249,0,0,0,2,1251,0,0,18931,0,0,0,9,18940,0.09
S509999,華南永昌證券自營,0,0,567,0,0,0,0,567,0,0,975,0,0,0,0,975,0,0,605,0,0,0,0,605,0,0,258,0,0,0,0,258,0,0,1066,0,0,0,0,1066,0,0,1070,0,0,0,0,1070,0,0,305,0,0,0,0,305,0,0,1104,0,0,0,0,1104,0,0,2835,0,0,0,0,2835,0,0,1840,0,0,0,0,1840,0,0,2710,0,0,0,0,2710,0,0,179,0,0,0,0,179,0,0,1006,0,0,0,0,1006,0,0,600,0,0,0,0,600,0,0,767,0,0,0,0,767,0,0,190,0,0,0,0,190,0,0,457,0,0,0,0,457,0,0,258,0,0,0,0,258,0,0,276,0,0,0,0,276,0,0,328,0,0,0,0,328,0,0,167,0,0,0,0,167,0,0,301,0,0,0,0,301,0,0,140,0,0,0,0,140,0,0,18004,0,0,0,0,18004,0.08
S551999,永豐金證券自營,0,0,911,0,0,0,0,911,0,0,204,0,0,0,0,204,0,0,976,0,0,0,0,976,0,0,2685,0,0,0,0,2685,0,0,612,0,0,0,0,612,0,0,544,0,0,0,0,544,0,0,1038,0,0,0,0,1038,0,0,1062,0,0,0,0,1062,0,0,666,0,0,0,0,666,0,0,114,0,0,0,0,114,0,0,616,0,0,0,0,616,0,0,247,0,0,0,0,247,0,0,289,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,306,0,0,0,0,306,0,0,231,0,0,0,0,231,0,0,323,0,0,0,0,323,0,0,50,0,0,0,0,50,0,0,1320,0,0,0,0,1320,0,0,612,0,0,0,0,612,0,0,12836,0,0,0,0,12836,0.06
F007999,日盛期貨自營,0,0,734,0,0,0,0,734,0,0,182,0,0,0,0,182,0,0,374,0,0,0,0,374,0,0,372,0,0,0,0,372,0,0,533,0,0,0,0,533,0,0,657,0,0,0,0,657,0,0,339,0,0,0,0,339,0,0,570,0,0,0,0,570,0,0,600,0,0,0,0,600,0,0,700,0,0,0,0,700,0,0,322,0,0,0,0,322,0,0,585,0,0,0,0,585,0,0,298,0,0,0,0,298,0,0,837,0,0,0,0,837,0,0,325,0,0,0,0,325,0,0,60,0,0,0,0,60,0,0,620,0,0,0,0,620,0,0,391,0,0,0,0,391,0,0,806,0,0,0,0,806,0,0,300,0,0,0,0,300,0,0,77,0,0,0,0,77,0,0,368,0,0,0,0,368,0,0,171,0,0,0,0,171,0,0,10221,0,0,0,0,10221,0.05
S147000,台灣摩根士丹利證券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,2600,0,0,1863,0,0,0,0,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,0,0,201,0,0,0,0,201,0,0,1003,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9096,0,0,0,0,9096,0.04
