期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20120903,,,,,,,,20120904,,,,,,,,20120905,,,,,,,,20120906,,,,,,,,20120907,,,,,,,,20120910,,,,,,,,20120911,,,,,,,,20120912,,,,,,,,20120913,,,,,,,,20120914,,,,,,,,20120917,,,,,,,,20120918,,,,,,,,20120919,,,,,,,,20120920,,,,,,,,20120921,,,,,,,,20120924,,,,,,,,20120925,,,,,,,,20120926,,,,,,,,20120927,,,,,,,,20120928,,,,,,,,99999999,,,,,,,
S980999,元大寶來證券自營,33,119,96191,242,0,0,17,96602,130,112,36617,322,0,0,26,37207,63,241,97514,161,0,0,6,97985,88,137,79554,282,0,0,30,80091,105,204,91051,398,0,0,56,91814,189,299,60998,432,0,0,333,62251,207,688,80665,243,0,0,193,81996,331,422,128821,327,0,0,17,129918,141,159,89562,92,0,0,27,89981,334,1238,185268,162,0,0,126,187128,151,296,106128,170,0,0,33,106778,88,111,85713,65,0,0,12,85989,37,212,111436,211,0,0,0,111896,29,213,75002,362,0,0,88,75694,34,144,61420,160,0,0,24,61782,176,239,93138,240,0,0,0,93793,129,125,60273,175,0,0,66,60768,149,308,80147,408,0,0,71,81083,162,47,42493,106,0,0,156,42964,84,156,121015,183,0,0,113,121551,2660,5470,1783006,4741,0,0,1394,1797271,11.95
S157999,港商法國興業證券自營,32,158,89024,70,0,0,0,89284,37,142,42164,85,0,0,0,42428,40,197,85571,48,0,0,0,85856,80,236,88564,61,0,0,0,88941,83,526,105787,96,0,0,0,106492,39,242,73667,123,0,0,0,74071,203,209,80526,100,0,0,0,81038,133,543,152675,91,0,0,0,153442,128,257,111336,67,0,0,0,111788,77,312,212480,68,0,0,0,212937,168,367,111225,103,0,0,0,111863,44,2,103435,185,0,0,0,103666,0,0,81891,131,0,0,0,82022,0,183,66151,45,0,0,0,66379,0,98,39446,15,0,0,0,39559,0,220,73620,30,0,0,0,73870,0,116,53175,15,0,0,0,53306,82,215,67127,0,0,0,0,67424,14,33,58848,5,0,0,0,58900,8,135,77921,20,0,0,0,78084,1168,4191,1774633,1358,0,0,0,1781350,11.84
F034999,澳帝華期貨自營,32,80,103850,34,0,0,102,104098,55,59,40805,171,0,0,47,41137,101,270,96111,59,0,0,22,96563,93,205,87917,210,0,0,98,88523,275,490,102805,314,0,0,266,104150,343,672,67235,243,0,0,463,68956,142,1097,61968,100,0,0,143,63450,61,385,125125,97,0,0,110,125778,13,32,93300,24,0,0,75,93444,213,274,166239,103,0,0,250,167079,21,238,87866,75,0,0,45,88245,32,77,120086,72,0,0,34,120301,33,75,89491,133,0,0,27,89759,186,153,55955,75,0,0,67,56436,126,156,49532,20,0,0,35,49869,436,222,96400,107,0,0,48,97213,203,86,54363,21,0,0,0,54673,21,1,76046,75,0,0,38,76181,0,0,63681,81,0,0,35,63797,0,0,84140,197,0,0,18,84355,2386,4572,1722915,2211,0,0,1923,1734007,11.53
F021000,元大寶來期貨,95,123,76745,54,2,0,34,77053,46,129,34405,21,0,0,16,34617,50,135,80671,51,0,0,7,80914,170,111,74640,6,5,0,40,74972,133,173,88764,44,12,0,18,89144,130,164,59861,8,1,0,48,60212,106,177,46318,3,1,0,59,46664,209,286,137373,22,0,0,55,137945,177,135,81218,47,0,0,84,81661,300,863,168479,33,15,0,191,169881,92,597,79530,23,8,0,8,80258,204,288,88925,4,4,0,41,89466,46,101,94956,7,2,0,17,95129,50,129,62223,12,6,0,6,62426,36,69,40104,20,2,0,9,40240,85,70,64087,36,10,0,18,64306,82,95,43520,50,4,0,9,43760,261,60,57775,9,0,0,2,58107,88,20,43243,7,4,0,2,43364,59,81,52074,85,2,0,45,52346,2419,3806,1474911,542,78,0,709,1482465,9.86
F004000,凱基期貨,15,19,46078,3,0,0,24,46139,5,10,24182,11,0,0,13,24221,6,45,46081,5,0,0,2,46139,6,4,44380,44,0,0,1,44435,9,11,50424,125,0,0,6,50575,0,30,36523,96,0,0,15,36664,3,7,34234,55,0,0,11,34310,2,38,71327,81,0,0,4,71452,2,42,45657,25,0,0,4,45730,44,77,112786,126,0,0,7,113040,6,120,62501,57,0,0,7,62691,12,9,52610,42,0,0,9,52682,40,84,61616,60,0,0,32,61832,3,12,36021,87,0,0,2,36125,7,5,28262,64,0,0,5,28343,6,12,44622,55,0,0,5,44700,1,3,33516,2,0,0,11,33533,6,11,41718,82,0,0,37,41854,3,3,32206,61,0,0,1,32274,0,17,38566,28,0,0,36,38647,176,559,943310,1109,0,0,232,945386,6.29
F002000,永豐期貨,7,25,35442,50,0,0,3,35527,0,13,14318,61,0,0,35,14427,15,26,38981,34,0,0,0,39056,20,16,40732,36,6,0,2,40812,31,45,49446,47,0,0,4,49573,0,20,35839,40,0,0,78,35977,10,34,30689,58,0,0,11,30802,6,38,71008,10,0,0,19,71081,56,49,55345,54,0,0,1,55505,6,122,97120,30,5,0,34,97317,0,102,47758,10,0,0,15,47885,6,20,53875,20,1,0,5,53927,8,79,56580,80,2,0,16,56765,1,72,45605,38,0,0,4,45720,4,12,22530,40,0,0,14,22600,13,15,39173,53,0,0,10,39264,1,1,34603,25,0,0,0,34630,3,50,46149,32,0,0,20,46254,0,15,31002,25,0,0,5,31047,7,50,34317,6,0,0,38,34418,194,804,880512,749,14,0,314,882587,5.87
F020000,群益期貨,2,13,34157,100,0,0,8,34280,0,19,19869,0,0,0,16,19904,13,126,41834,0,0,0,10,41983,1,7,41167,0,0,0,48,41223,0,288,48021,0,4,0,43,48356,0,11,28884,3,0,0,44,28942,6,1,34875,11,0,0,14,34907,2,407,51127,5,0,0,23,51564,0,3,42358,25,0,0,3,42389,0,94,87138,2,4,0,40,87278,31,44,50377,39,0,0,1,50492,5,21,58499,0,1,0,11,58537,11,36,42130,0,0,0,2,42179,3,3,33106,1,0,0,1,33114,8,4,23264,10,0,0,9,23295,1,1,29022,50,1,0,0,29075,1,3,22563,39,0,0,0,22606,1,2,42795,129,0,0,10,42937,0,6,23506,6,4,0,2,23524,0,4,29803,1,0,0,23,29831,85,1093,784495,421,14,0,308,786416,5.23000000000000064
F026000,富邦期貨,1,12,25062,55,0,0,8,25138,0,9,12314,28,0,0,7,12358,0,15,37082,31,0,0,0,37128,0,10,23769,50,0,0,1,23830,1,1,31361,34,0,0,1,31398,1,0,20067,55,1,0,17,20141,0,5,17939,51,1,0,0,17996,5,18,41373,76,0,0,1,41473,1,2,26373,61,0,0,1,26438,0,24,75187,59,0,0,24,75294,1,11,32073,81,0,0,16,32182,1,1,25512,153,0,0,4,25671,11,29,39430,107,0,0,2,39579,3,8,26324,33,0,0,1,26369,1,11,17805,11,0,0,1,17829,1,11,20449,25,0,0,0,20486,2,4,14405,19,0,0,0,14430,1,14,21446,7,0,0,0,21468,0,10,16728,45,0,0,3,16786,4,17,25557,17,0,0,16,25611,34,212,550256,998,2,0,103,551605,3.67
F039000,大昌期貨,7,27,12737,7,0,0,7,12785,10,5,8346,2,0,0,2,8365,0,25,20418,2,0,0,0,20445,0,17,23502,2,0,0,1,23522,2,4,22212,27,0,0,0,22245,0,6,16629,10,0,0,13,16658,0,4,12969,0,0,0,7,12980,7,13,30897,15,0,0,8,30940,0,1,26026,19,0,0,2,26048,7,33,52995,8,0,0,9,53052,5,48,21574,1,0,0,4,21632,2,2,21512,3,0,0,7,21526,6,42,29972,30,0,0,3,30053,2,6,23646,6,0,0,7,23667,1,1,16198,10,0,0,7,16217,0,8,21390,33,0,0,4,21435,1,0,10227,30,0,0,3,10261,2,1,16136,9,0,0,0,16148,0,24,12575,3,0,0,6,12608,0,8,15773,11,0,0,9,15801,52,275,415734,228,0,0,99,416388,2.77
