期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F008000,統一期貨,6,2,28101,0,0,0,15,28124,25,4,47724,0,0,0,9,47762,1,51,17075,0,0,0,5,17132,2,24,23976,0,0,0,14,24016,35,55,34272,0,0,0,1,34363,9,0,35850,0,0,0,31,35890,24,8,42866,41,0,0,3,42942,9,62,36252,8,0,0,16,36347,1,3,22445,7,0,0,40,22496,21,6,35574,7,0,0,21,35629,21,1,55898,7,0,0,21,55948,13,7,20417,13,0,0,16,20466,9,1,22818,0,0,0,20,22848,1,1,14060,20,0,0,24,14106,16,0,28385,0,0,0,3,28404,15,2,52480,5,0,0,6,52508,8,9,18891,12,0,0,10,18930,49,4,71184,10,0,0,35,71282,44,3,58229,6,0,0,85,58367,7,2,46155,22,0,0,5,46191,32,4,64399,8,0,0,2,64445,348,249,777051,166,0,0,382,778196,3.68
F026000,富邦期貨,62,8,31922,161,0,0,2,32155,56,2,41393,175,0,0,0,41626,0,0,18495,157,0,0,7,18659,1,1,27628,146,2,0,3,27781,0,0,26987,185,0,0,0,27172,4,2,27469,216,0,0,9,27700,1,7,35058,161,0,0,8,35235,6,1,30547,266,1,0,8,30829,0,3,30332,125,0,0,9,30469,7,10,24838,265,0,0,1,25121,1,11,35103,355,2,0,26,35498,4,9,21970,56,0,0,3,22042,1,7,26967,65,2,0,6,27048,4,0,11404,72,0,0,47,11527,0,0,24909,135,1,0,6,25051,1,22,35524,111,0,0,5,35663,4,4,21090,812,0,0,6,21916,3,17,57559,105,0,0,9,57693,1,12,41741,151,0,0,5,41910,0,2,30134,142,0,0,6,30284,0,5,48976,530,0,0,2,49513,156,123,650046,4391,8,0,168,654892,3.1
F039000,大昌期貨,4,0,33574,0,0,0,5,33583,5,11,36941,0,0,0,0,36957,1,12,22376,0,0,0,7,22396,0,9,24063,0,0,0,11,24083,19,11,28747,16,0,0,0,28793,3,0,27727,0,0,0,33,27763,6,5,38821,3,0,0,6,38841,60,67,35763,1,0,0,5,35896,0,2,22227,2,0,0,1,22232,1,0,28149,0,0,0,9,28159,0,4,32120,1,0,0,5,32130,1,0,28739,1,0,0,0,28741,3,0,26979,2,0,0,0,26984,1,7,13345,3,0,0,0,13356,1,4,21770,14,0,0,0,21789,1,14,35705,5,0,0,1,35726,0,8,18376,0,0,0,0,18384,5,4,54318,0,0,0,0,54327,11,5,50179,0,0,0,11,50206,4,1,31263,1,0,0,0,31269,4,5,43207,1,0,0,0,43217,130,169,654389,50,0,0,94,654832,3.1
F007000,日盛期貨,11,1,28647,0,0,0,1,28660,11,7,43123,0,0,0,0,43141,0,6,17696,0,0,0,6,17708,390,2,19672,0,0,0,3,20067,16,15,20941,2,0,0,0,20974,7,1,27233,0,0,0,42,27283,7,71,30466,4,0,0,0,30548,6,34,28008,6,0,0,0,28054,0,18,14507,1,0,0,1,14527,6,5,16660,4,0,0,0,16675,10,18,29057,1,0,0,63,29149,1,9,18134,0,0,0,0,18144,3,10,26719,6,0,0,11,26749,0,6,14415,0,0,0,1,14422,4,3,21835,0,0,0,10,21852,9,10,28952,0,0,0,6,28977,4,8,12400,0,0,0,0,12412,24,11,45550,1,0,0,21,45607,10,11,42628,2,0,0,33,42684,2,19,23295,0,0,0,25,23341,0,1,30997,0,0,0,0,30998,521,266,540935,27,0,0,223,541972,2.56
F018000,元富期貨,3,5,21069,0,0,0,8,21085,13,1,30388,0,0,0,0,30402,15,11,11157,0,0,0,0,11183,13,2,16608,0,0,0,0,16623,2,16,19352,0,0,0,0,19370,37,51,18570,0,0,0,2,18660,17,31,26744,0,0,0,0,26792,12,7,22260,1,0,0,7,22287,15,17,12956,0,0,0,0,12988,3,15,20614,0,0,0,0,20632,26,12,24534,3,0,0,17,24592,1,19,13199,0,0,0,0,13219,7,2,17033,0,0,0,7,17049,0,16,7941,0,0,0,3,7960,7,7,16452,0,0,0,3,16469,0,6,26245,0,0,0,7,26258,5,26,12153,0,0,0,7,12191,10,28,44345,0,0,0,8,44391,10,40,41659,0,0,0,0,41709,10,3,23688,0,0,0,4,23705,6,27,33615,0,0,0,2,33650,212,342,460582,4,0,0,75,461215,2.18
S920999,凱基證券自營,21,21,9669,10,0,0,8,9729,70,65,7748,22,0,0,6,7911,105,20,9246,52,0,0,19,9442,1,74,10996,38,0,0,100,11209,24,101,14169,44,0,0,23,14361,0,138,11738,51,0,0,148,12075,119,125,15965,45,0,0,97,16351,2840,243,18064,35,0,0,58,21240,1950,39,4932,24,0,0,137,7082,21,2,13670,80,0,0,74,13847,52,104,11282,34,0,0,41,11513,49,365,12384,43,0,0,52,12893,0,360,24971,52,0,0,34,25417,8,260,12752,18,0,0,118,13156,23,68,11638,36,0,0,70,11835,0,213,14968,11,0,0,71,15263,14,108,20964,3,0,0,159,21248,0,300,21805,61,0,0,71,22237,4,254,18072,29,0,0,104,18463,24,171,15823,20,0,0,68,16106,214,131,31752,333,0,0,6,32436,5539,3162,312608,1041,0,0,1464,323814,1.53
F014000,華南期貨,1,29,15018,0,0,0,0,15048,0,0,19930,0,0,0,0,19930,0,0,5791,0,0,0,8,5799,0,0,7805,0,0,0,0,7805,0,0,9373,0,0,0,0,9373,0,193,11760,0,0,0,0,11953,0,0,9404,15,0,0,0,9419,0,0,10076,0,0,0,0,10076,0,0,10820,0,0,0,3,10823,0,0,14723,0,0,0,0,14723,0,0,18477,70,0,0,3,18550,0,0,7804,30,0,0,2,7836,0,0,10733,0,0,0,4,10737,0,0,5015,1,0,0,0,5016,0,0,7889,0,0,0,0,7889,0,0,21347,0,0,0,0,21347,0,0,7798,1,0,0,0,7799,12,0,22898,0,0,0,0,22910,0,0,22492,0,0,0,0,22492,0,0,17280,0,0,0,0,17280,0,0,27081,0,0,0,3,27084,13,222,283514,117,0,0,23,283889,1.34
F005000,國票期貨,3,0,14452,0,0,0,1,14456,0,15,14476,25,0,0,0,14516,1,16,6236,39,0,0,0,6292,0,11,11435,20,0,0,0,11466,4,3,9817,13,0,0,0,9837,1,12,10472,25,0,0,4,10514,0,80,11079,40,0,0,0,11199,4,20,10528,25,0,0,3,10580,0,2,6858,20,0,0,0,6880,0,2,10391,15,0,0,0,10408,4,1,14781,0,0,0,0,14786,0,3,18731,5,0,0,5,18744,0,2,18362,0,0,0,1,18365,2,5,5383,0,0,0,1,5391,6,4,8347,0,0,0,0,8357,2,4,18907,14,0,0,0,18927,0,4,7880,0,0,0,0,7884,7,3,24447,1,0,0,0,24458,7,11,20396,5,0,0,0,20419,3,3,14272,9,0,0,1,14288,8,5,20236,21,0,0,0,20270,52,206,277486,277,0,0,16,278037,1.32
F030000,兆豐期貨,3,18,14645,0,0,0,0,14666,1,10,14986,0,0,0,0,14997,0,0,8190,0,0,0,2,8192,0,34,9145,0,0,0,1,9180,0,1,10149,0,0,0,0,10150,0,0,9319,0,0,0,1,9320,1,18,12338,0,0,0,2,12359,3,10,11326,3,0,0,7,11349,0,12,6752,1,0,0,0,6765,0,1,13530,0,0,0,2,13533,0,12,20708,0,0,0,4,20724,0,791,8290,0,0,0,0,9081,0,117,10127,0,0,0,0,10244,0,64,6261,1,0,0,43,6369,0,5,9717,1,0,0,40,9763,0,148,15361,1,0,0,7,15517,0,98,8055,0,0,0,0,8153,0,370,19609,0,0,0,0,19979,0,334,14378,0,0,0,0,14712,0,130,14088,0,0,0,0,14218,1,2,18462,0,0,0,0,18465,9,2175,255436,7,0,0,109,257736,1.22
S585999,統一證券自營,0,0,8038,0,0,0,0,8038,0,68,32653,0,0,0,0,32721,0,0,8800,0,0,0,0,8800,0,0,12524,0,0,0,0,12524,0,10,14854,0,0,0,0,14864,0,40,13756,0,0,0,0,13796,0,46,15255,0,0,0,0,15301,0,0,9686,0,0,0,0,9686,0,0,8950,0,0,0,0,8950,0,0,12250,0,0,0,0,12250,20,0,14021,0,0,0,0,14041,2,78,9904,0,0,0,0,9984,0,0,5278,0,0,0,0,5278,0,10,1903,0,0,0,0,1913,0,0,8216,0,0,0,0,8216,0,0,9092,0,0,0,0,9092,0,0,4943,0,0,0,0,4943,0,40,12599,0,0,0,0,12639,0,0,14667,0,0,0,0,14667,0,0,6887,0,0,0,0,6887,0,24,14221,0,0,0,0,14245,22,316,238497,0,0,0,0,238835,1.12999999999999984
