期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20121203,,,,,,,,20121204,,,,,,,,20121205,,,,,,,,20121206,,,,,,,,20121207,,,,,,,,20121210,,,,,,,,20121211,,,,,,,,20121212,,,,,,,,20121213,,,,,,,,20121214,,,,,,,,20121217,,,,,,,,20121218,,,,,,,,20121219,,,,,,,,20121220,,,,,,,,20121221,,,,,,,,20121222,,,,,,,,20121224,,,,,,,,20121225,,,,,,,,20121226,,,,,,,,20121227,,,,,,,,20121228,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,66,423,159562,23,0,0,0,160074,59,162,116665,16,0,0,0,116902,48,143,163605,76,0,0,0,163872,141,85,115742,50,0,0,0,116018,21,50,115489,130,0,0,0,115690,88,247,145852,0,0,0,0,146187,123,606,135467,10,0,0,0,136206,35,144,150997,15,0,0,0,151191,50,47,174905,47,0,0,0,175049,17,40,166025,1,0,0,0,166083,36,13,221130,630,0,0,0,221809,0,3,139530,5,0,0,0,139538,1199,699,84269,57,0,0,0,86224,2,132,89788,10,0,0,0,89932,0,0,140322,10,0,0,0,140332,0,395,49461,45,0,0,0,49901,73,197,77135,5,0,0,0,77410,101,86,127377,3,0,0,0,127567,0,0,80936,25,0,0,0,80961,0,55,106003,5,0,0,0,106063,0,0,104590,1,0,0,0,104591,2059,3527,2664850,1164,0,0,0,2671600,12.95
F034999,澳帝華期貨自營,105,410,144302,35,0,0,0,144852,144,91,111176,44,0,0,64,111519,28,261,181249,54,0,0,79,181671,477,245,92962,95,0,0,99,93878,30,79,107806,166,0,0,46,108127,128,487,117080,17,0,0,19,117731,211,416,123825,27,0,0,203,124682,120,264,172758,40,0,0,16,173198,34,110,151538,77,0,0,56,151815,1,103,118957,47,0,0,53,119161,60,10,190825,32,0,0,25,190952,0,162,110369,11,0,0,96,110638,543,721,119866,119,0,0,231,121480,75,625,93846,84,0,0,111,94741,161,459,128265,60,0,0,241,129186,123,241,57554,71,0,0,68,58057,196,525,74571,52,0,0,58,75402,283,512,128865,36,0,0,41,129737,111,321,113106,31,0,0,148,113717,231,199,102956,18,0,0,31,103435,2,85,139010,76,0,0,12,139185,3063,6326,2580886,1192,0,0,1697,2593164,12.57
S980999,元大寶來證券自營,312,526,167147,117,0,0,50,168152,262,213,118185,113,0,0,92,118865,49,277,118072,169,0,0,135,118702,432,214,82461,73,0,0,175,83355,86,40,96419,147,0,0,83,96775,207,600,114845,61,0,0,38,115751,129,590,104682,82,0,0,156,105639,152,405,120811,69,0,0,52,121489,36,197,169054,63,0,0,148,169498,39,257,156553,141,0,0,86,157076,488,210,185271,162,0,0,103,186234,54,415,105524,283,0,0,143,106419,821,257,88930,410,0,0,268,90686,132,429,66536,30,0,0,10,67137,312,681,126597,57,0,0,113,127760,64,287,32197,111,0,0,9,32668,242,271,53280,22,0,0,42,53857,814,623,101208,1,0,0,0,102646,282,352,65370,26,0,0,65,66095,342,338,72312,17,0,0,0,73009,64,174,55526,232,0,0,221,56217,5319,7356,2200980,2386,0,0,1989,2218030,10.75
F021000,元大寶來期貨,120,122,109934,21,0,0,18,110215,43,25,79721,5,2,0,30,79826,61,275,143675,14,2,0,41,144068,132,151,79066,2,4,0,21,79376,17,18,88845,22,2,0,6,88910,133,223,80815,37,0,0,8,81216,282,66,91084,5,0,0,22,91459,153,102,134896,0,9,0,13,135173,169,278,127957,4,4,0,23,128435,279,267,90142,36,2,0,9,90735,549,103,135169,7,0,0,60,135888,333,161,82865,7,0,0,21,83387,246,91,121605,19,5,0,108,122074,103,253,79362,0,0,0,15,79733,34,86,118866,25,2,0,33,119046,0,6,43749,13,0,0,25,43793,142,132,52306,2,3,0,13,52598,3,23,106517,5,0,0,8,106556,156,88,80344,5,2,0,82,80677,72,53,77169,2,5,0,11,77312,107,123,82443,0,0,0,23,82696,3134,2646,2006530,231,42,0,590,2013173,9.76
F002000,永豐期貨,5,54,64636,23,0,0,2,64720,0,3,53585,10,0,0,3,53601,10,45,79343,5,0,0,8,79411,22,27,43937,13,0,0,6,44005,0,10,57003,11,0,0,3,57027,0,8,58492,6,0,0,2,58508,21,26,63802,1,0,0,0,63850,0,26,94393,1,0,0,10,94430,7,37,77727,35,0,0,5,77811,10,21,55546,0,0,0,1,55578,25,28,92200,21,0,0,0,92274,0,24,70153,0,0,0,2,70179,1,57,102542,6,0,0,2,102608,0,29,53388,23,0,0,4,53444,3,28,82530,12,0,0,56,82629,0,5,38557,19,0,0,7,38588,0,1,35846,2,0,0,0,35849,0,9,75318,6,0,0,0,75333,0,8,57483,6,0,0,2,57499,0,26,54969,2,0,0,0,54997,4,15,59643,16,0,0,2,59680,108,487,1371093,218,0,0,115,1372021,6.65
F004000,凱基期貨,1,33,69178,13,0,0,2,69227,4,7,43837,24,0,0,7,43879,3,30,87585,14,0,0,5,87637,3,5,45331,10,0,0,5,45354,3,1,52506,56,0,0,11,52577,7,9,48561,7,0,0,3,48587,6,17,58973,7,0,0,2,59005,3,75,90510,21,0,0,9,90618,5,159,93698,111,0,0,20,93993,7,136,63693,68,0,0,4,63908,0,10,93704,27,0,0,6,93747,2,3,60832,10,0,0,12,60859,3,8,77195,90,0,0,27,77323,4,72,45419,47,0,0,24,45566,3,6,72172,28,0,0,23,72232,1,5,29945,98,0,0,1,30050,0,8,28503,31,0,0,3,28545,1,5,80552,2,0,0,3,80563,0,28,60205,16,0,0,26,60275,0,7,42025,22,0,0,11,42065,0,3,49170,55,0,0,35,49263,56,627,1293594,757,0,0,239,1295273,6.28
F020000,群益期貨,1,218,49236,6,0,0,2,49463,0,2,46030,1,1,0,0,46034,0,22,68555,0,0,0,16,68593,6,13,42493,0,0,0,1,42513,6,81,44230,84,0,0,20,44421,4,18,37124,5,0,0,0,37151,0,18,50651,0,0,0,1,50670,0,19,78490,0,0,0,0,78509,6,46,63833,1,0,0,2,63888,4,15,55064,1,0,0,0,55084,11,5,69728,1,0,0,22,69767,3,9,51808,12,0,0,6,51838,0,27,64340,0,0,0,17,64384,3,15,40986,3,0,0,43,41050,4,7,60787,0,0,0,76,60874,21,7,21378,0,0,0,31,21437,3,103,40153,13,0,0,2,40274,9,42,66066,6,0,0,28,66151,6,3,51062,0,0,0,57,51128,3,3,35361,21,0,0,13,35401,17,2,46423,23,0,0,16,46481,107,675,1083798,177,1,0,353,1085111,5.26
B224999,中國信託商業銀行自營,125,404,44786,83,0,0,39,45437,111,153,36261,111,0,0,85,36721,48,265,55920,111,0,0,91,56435,148,123,30117,105,0,0,47,30540,63,33,33760,210,0,0,63,34129,263,107,35483,21,0,0,12,35886,187,313,40814,52,0,0,33,41399,148,55,51951,80,0,0,8,52242,83,298,50797,89,0,0,49,51316,359,92,32953,145,0,0,17,33566,634,258,48460,585,0,0,77,50014,284,470,35167,125,0,0,41,36087,226,542,44889,168,0,0,164,45989,5,158,19652,122,0,0,80,20017,165,258,36631,103,0,0,220,37377,152,174,16097,218,0,0,17,16658,125,265,18885,103,0,0,72,19450,240,244,50928,91,0,0,76,51579,220,107,39979,56,0,0,142,40504,187,151,32626,43,0,0,88,33095,145,78,36279,134,0,0,324,36960,3918,4548,792435,2755,0,0,1745,805401,3.91
F026000,富邦期貨,0,19,35439,11,0,0,0,35469,0,10,33941,3,0,0,4,33958,0,13,48053,74,0,0,1,48141,4,8,28617,61,0,0,8,28698,3,5,35073,85,0,0,0,35166,3,1,29459,10,0,0,1,29474,6,3,34426,0,0,0,4,34439,2,4,46681,13,0,0,8,46708,2,2,48483,1,0,0,5,48493,3,3,44750,8,0,0,4,44768,1,1,50059,381,0,0,4,50446,4,5,33840,195,0,0,9,34053,0,2,44145,316,0,0,47,44510,12,33,27924,33,0,0,0,28002,2,10,43586,20,0,0,32,43650,0,0,23125,22,0,0,11,23158,1,2,20010,20,0,0,7,20040,1,11,43603,5,0,0,0,43620,2,10,28935,1,0,0,0,28948,1,21,32059,16,0,0,0,32097,0,11,30693,5,0,0,0,30709,47,174,762901,1280,0,0,145,764547,3.71
