期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20131202,,,,,,,,20131203,,,,,,,,20131204,,,,,,,,20131205,,,,,,,,20131206,,,,,,,,20131209,,,,,,,,20131210,,,,,,,,20131211,,,,,,,,20131212,,,,,,,,20131213,,,,,,,,20131216,,,,,,,,20131217,,,,,,,,20131218,,,,,,,,20131219,,,,,,,,20131220,,,,,,,,20131223,,,,,,,,20131224,,,,,,,,20131225,,,,,,,,20131226,,,,,,,,20131227,,,,,,,,20131230,,,,,,,,20131231,,,,,,,,99999999,,,,,,,
F021000,元大寶來期貨,77,177,77115,1,0,0,5,77375,147,35,58946,4,4,0,32,59168,14,99,95751,7,0,0,38,95909,60,149,91308,2,0,0,153,91672,26,69,65522,2,0,0,35,65654,117,207,85561,1,0,0,8,85894,90,102,53662,2,0,0,57,53913,287,250,135146,0,28,0,78,135789,51,116,102454,3,8,0,19,102651,107,83,108357,3,0,0,164,108714,62,102,92406,1,12,0,16,92599,15,68,79570,7,8,0,33,79701,107,147,82850,15,0,0,30,83149,222,187,79653,11,4,0,34,80111,99,34,53619,0,0,0,99,53851,256,289,73087,3,12,0,17,73664,116,161,36039,0,0,0,103,36419,85,55,47038,2,0,0,8,47188,90,115,33079,0,0,0,28,33312,85,252,60875,2,16,0,25,61255,35,309,102771,10,8,0,25,103158,67,64,78918,0,4,0,7,79060,2215,3070,1693727,76,104,0,1014,1700206,11.08
S157999,港商法國興業證券自營,6,0,79936,147,0,0,0,80089,0,40,39660,138,0,0,0,39838,0,3,65191,145,0,0,0,65339,0,41,86297,90,0,0,0,86428,0,0,83816,110,0,0,0,83926,20,0,101471,147,0,0,0,101638,0,200,45187,265,0,0,0,45652,0,760,88862,185,0,0,0,89807,1203,5,86944,205,0,0,0,88357,0,2,83332,165,0,0,0,83499,20,160,117335,230,0,0,0,117745,291,440,80215,165,0,0,0,81111,923,40,29723,125,0,0,0,30811,0,2,65308,51,0,0,0,65361,1,20,63305,30,0,0,0,63356,0,0,62998,40,0,0,0,63038,0,1,34710,45,0,0,0,34756,0,0,32403,45,0,0,0,32448,40,0,29057,100,0,0,0,29197,0,58,60317,100,0,0,0,60475,0,0,79270,185,0,0,0,79455,0,0,68471,105,0,0,0,68576,2504,1772,1483808,2818,0,0,0,1490902,9.72
F004000,凱基期貨,10,32,63719,0,0,0,4,63765,4,10,47718,0,0,0,15,47747,4,7,88499,10,0,0,1,88521,13,17,63724,6,0,0,7,63767,8,4,56034,10,0,0,3,56059,12,10,98185,9,0,0,14,98230,19,6,54509,0,0,0,22,54556,32,27,113925,1,0,0,27,114012,12,10,62855,13,0,0,7,62897,21,18,66177,2,0,0,14,66232,23,16,62120,24,0,0,1,62184,6,9,41286,0,0,0,17,41318,3,17,65306,6,0,0,20,65352,6,13,57070,40,0,0,8,57137,8,17,43624,0,0,0,83,43732,8,11,62316,0,0,0,9,62344,2,2,35231,10,0,0,10,35255,1,0,51963,0,0,0,4,51968,10,4,29797,5,0,0,12,29828,3,10,58456,0,0,0,24,58493,21,40,88454,5,0,0,6,88526,12,25,63125,0,0,0,4,63166,238,305,1374093,141,0,0,312,1375089,8.96000000000000128
F034999,澳帝華期貨自營,166,172,71177,31,0,0,0,71546,147,131,64854,32,0,0,197,65361,31,60,108331,6,0,0,36,108464,136,491,78992,14,0,0,74,79707,42,128,57199,14,0,0,32,57415,75,306,73649,6,0,0,4,74040,109,123,59838,23,0,0,46,60139,136,101,111954,16,0,0,25,112232,49,98,60990,12,0,0,10,61159,40,60,56418,7,0,0,44,56569,68,175,55452,7,0,0,59,55761,3,138,36305,10,0,0,33,36489,96,133,40859,21,0,0,100,41209,162,206,48552,61,0,0,29,49010,26,55,35259,18,0,0,91,35449,78,129,37029,42,0,0,6,37284,250,271,18802,21,0,0,14,19358,0,272,28181,34,0,0,19,28506,38,127,16582,752,0,0,104,17603,53,118,33359,12,0,0,168,33710,4,166,57557,65,0,0,9,57801,31,48,42152,30,0,0,110,42371,1740,3508,1193491,1234,0,0,1210,1201183,7.83
S980999,元大寶來證券自營,111,327,42238,112,0,0,47,42835,136,426,37414,111,0,0,209,38296,42,305,60146,95,0,0,42,60630,105,530,69457,80,0,0,38,70210,105,148,64183,109,0,0,69,64614,102,492,69928,75,0,0,17,70614,81,192,36500,126,0,0,101,37000,72,347,129898,115,0,0,37,130469,170,501,77697,115,0,0,21,78504,136,73,63002,110,0,0,0,63321,157,278,66651,153,0,0,49,67288,78,337,51372,142,0,0,39,51968,220,247,32373,130,0,0,60,33030,220,232,53483,60,0,0,38,54033,74,157,46201,43,0,0,208,46683,173,313,48743,0,0,0,55,49284,174,266,18330,30,0,0,25,18825,95,508,23210,10,0,0,0,23823,95,203,24819,47,0,0,91,25255,68,123,54437,20,0,0,79,54727,75,341,71941,16,0,0,45,72418,21,38,43801,16,0,0,74,43950,2510,6384,1185824,1715,0,0,1344,1197777,7.81
F002000,永豐期貨,5,32,42427,38,0,0,26,42528,3,7,42371,15,0,0,207,42603,4,48,73083,18,0,0,12,73165,0,38,59048,12,0,0,15,59113,0,46,38716,47,0,0,41,38850,1,51,64709,13,0,0,3,64777,1,57,44689,9,0,0,40,44796,1,67,99832,26,0,0,14,99940,1,68,57969,48,0,0,13,58099,1,88,63814,15,0,0,15,63933,1,18,59341,30,0,0,21,59411,10,13,47643,10,0,0,19,47695,1,14,45078,53,0,0,34,45180,8,26,51779,47,0,0,30,51890,5,20,35580,38,0,0,48,35691,2,47,42091,25,0,0,30,42195,0,17,24994,7,0,0,86,25104,1,28,38287,12,0,0,17,38345,14,25,22102,45,0,0,26,22212,26,6,44282,19,0,0,26,44359,11,62,77052,10,0,0,35,77170,9,54,57003,18,0,0,38,57122,105,832,1131890,555,0,0,796,1134178,7.39
F029000,康和期貨,104,0,36614,0,0,0,2,36720,250,32,38934,0,0,0,0,39216,7,44,64569,0,0,0,3,64623,120,0,50070,0,0,0,10,50200,0,8,53510,0,0,0,2,53520,0,6,40108,0,0,0,5,40119,0,4,33046,4,0,0,11,33065,42,2,61798,0,0,0,1,61843,46,5,52847,0,8,0,0,52906,22,10,42121,0,0,0,1,42154,222,1,36951,0,0,0,1,37175,10,0,41749,0,0,0,0,41759,0,1,59146,0,0,0,1,59148,173,0,41640,0,4,0,2,41819,0,1,47548,0,0,0,0,47549,180,7,35238,0,0,0,0,35425,87,14,36088,0,0,0,0,36189,1,169,38699,0,0,0,9,38878,0,221,24012,0,0,0,0,24233,0,216,38236,0,0,0,0,38452,0,57,28988,0,0,0,0,29045,2,108,47273,0,4,0,0,47387,1266,906,949185,4,16,0,48,951425,6.2
B224999,中國信託商業銀行自營,93,182,25956,128,0,0,57,26416,131,187,27714,114,0,0,225,28371,8,227,49296,111,0,0,17,49659,133,150,30448,95,0,0,95,30921,92,146,21786,206,0,0,55,22285,166,258,27258,88,0,0,32,27802,85,454,23484,112,0,0,164,24299,185,789,68491,96,0,0,83,69644,1306,353,32877,191,0,0,22,34749,158,163,54833,114,0,0,144,55412,126,572,47448,166,0,0,71,48383,93,397,41189,118,0,0,25,41822,758,133,45855,275,0,0,149,47170,176,213,32880,82,0,0,49,33400,93,48,31260,129,0,0,219,31749,104,143,32250,115,0,0,146,32758,277,77,14174,73,0,0,185,14786,96,261,26814,90,0,0,90,27351,78,366,11892,190,0,0,118,12644,36,278,26301,84,0,0,200,26899,112,217,45300,89,0,0,67,45785,3,45,25417,189,0,0,612,26266,4309,5659,742923,2855,0,0,2825,758571,4.94000000000000064
F020000,群益期貨,9,11,34618,0,0,0,12,34650,6,5,25491,18,0,0,22,25542,0,1,41678,21,0,0,22,41722,9,69,32936,4,0,0,27,33045,5,21,24825,4,0,0,15,24870,2,31,41341,0,0,0,2,41376,2,32,22306,23,0,0,15,22378,4,15,50954,0,0,0,29,51002,9,5,39863,0,0,0,4,39881,7,11,34853,5,0,0,16,34892,6,2,38266,0,0,0,8,38282,37,41,27909,1,0,0,2,27990,28,0,31588,2,0,0,8,31626,0,33,41217,3,0,0,11,41264,15,25,26027,25,0,0,37,26129,1,16,33243,23,0,0,24,33307,1,4,25453,5,0,0,0,25463,0,8,25651,0,0,0,10,25669,3,1,15350,17,0,0,9,15380,16,10,33646,7,0,0,53,33732,14,81,57398,1,0,0,6,57500,5,19,38760,1,0,0,3,38788,179,441,743373,160,0,0,335,744488,4.84999999999999936
