期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F034000,澳帝華期貨,0,0,3184,0,0,0,0,3184,0,0,3143,0,0,0,0,3143,0,0,3170,0,0,0,0,3170,0,0,2401,0,0,0,0,2401,0,0,3071,0,0,0,0,3071,0,0,5581,0,0,0,0,5581,0,0,3130,0,0,0,0,3130,0,0,4482,0,0,0,0,4482,0,0,2889,0,0,0,0,2889,0,0,2406,0,0,0,0,2406,0,0,4297,0,0,0,0,4297,0,0,5845,0,0,0,0,5845,0,0,3205,0,0,0,0,3205,0,0,1508,0,0,0,0,1508,0,0,945,0,0,0,0,945,0,0,1006,0,0,0,0,1006,0,0,954,0,0,0,0,954,0,0,11331,0,0,0,0,11331,0,0,62548,0,0,0,0,62548,0.44
F004999,凱基期貨自營,0,0,3019,0,0,0,0,3019,0,0,1736,0,0,0,0,1736,0,0,1656,0,0,0,0,1656,0,0,1960,0,0,0,0,1960,0,0,2542,0,0,0,0,2542,0,0,2400,0,0,0,0,2400,0,0,1070,0,0,0,0,1070,0,0,2815,0,0,0,0,2815,0,0,1997,0,0,0,0,1997,0,0,3226,0,0,0,0,3226,0,0,592,0,0,0,0,592,0,0,3602,0,0,0,0,3602,0,0,742,0,0,0,0,742,0,0,2426,0,0,0,0,2426,0,0,5012,0,0,0,0,5012,0,0,4768,0,0,0,0,4768,0,0,5722,0,0,0,0,5722,0,0,9800,0,0,0,0,9800,0,0,55085,0,0,0,0,55085,0.39
F021999,元大寶來期貨自營,0,0,3898,7,0,0,44,3949,0,40,4504,55,0,0,20,4619,40,8,3606,35,0,0,23,3712,0,0,4172,14,0,0,0,4186,0,0,3704,85,0,0,21,3810,0,0,3507,74,0,0,4,3585,0,0,3117,70,0,0,4,3191,0,0,1791,4,0,0,5,1800,8,40,3514,45,0,0,1,3608,24,0,3528,23,0,0,0,3575,0,0,1896,67,0,0,0,1963,0,0,2515,27,0,0,20,2562,0,0,3494,40,0,0,8,3542,0,0,2193,56,0,0,3,2252,0,0,2762,45,0,0,5,2812,0,0,2298,0,0,0,0,2298,0,0,2252,2,0,0,0,2254,0,80,1249,20,0,0,13,1362,72,168,54000,669,0,0,171,55080,0.39
F001000,國泰期貨,0,0,2986,1,0,0,7,2994,3,0,3964,0,0,0,1,3968,0,0,2981,2,0,0,3,2986,0,0,1947,0,16,0,5,1968,0,0,4074,6,0,0,1,4081,2,0,4426,4,0,0,3,4435,0,0,2315,1,0,0,1,2317,0,0,3165,0,0,0,7,3172,0,0,4205,0,0,0,9,4214,6,0,4696,3,0,0,11,4716,0,1,2112,2,0,0,0,2115,0,1,2439,0,0,0,9,2449,0,12,2539,0,0,0,5,2556,0,3,1919,3,0,0,4,1929,0,1,2029,1,0,0,3,2034,0,3,2444,0,0,0,0,2447,0,0,2043,0,0,0,2,2045,0,18,4112,0,0,0,6,4136,11,39,54396,23,16,0,77,54562,0.39
S653000,大眾證券,0,4,2261,0,0,0,0,2265,0,0,1951,1,0,0,0,1952,0,0,1387,0,0,0,0,1387,0,0,2188,4,0,0,0,2192,0,0,4125,0,0,0,0,4125,0,0,2694,0,0,0,0,2694,0,0,1624,0,0,0,0,1624,0,0,3872,0,0,0,0,3872,0,0,1400,0,0,0,0,1400,0,4,4840,0,0,0,0,4844,0,0,3093,8,0,0,0,3101,0,0,3242,0,0,0,0,3242,0,0,2486,0,0,0,0,2486,0,0,3775,0,0,0,0,3775,0,0,3292,0,0,0,0,3292,0,0,3675,0,0,0,0,3675,0,0,2428,0,0,0,0,2428,0,0,3427,0,0,0,0,3427,0,8,51760,13,0,0,0,51781,0.37
S616999,中國信託證券自營,0,43,3095,0,0,0,0,3138,0,40,1274,0,0,0,0,1314,0,138,2960,0,0,0,0,3098,0,9,2302,0,0,0,0,2311,0,0,1321,0,0,0,0,1321,0,69,1231,0,0,0,0,1300,0,67,1072,0,0,0,0,1139,0,1,2772,0,0,0,0,2773,0,379,2502,0,0,0,0,2881,0,19,4672,0,0,0,0,4691,0,1,1129,0,0,0,0,1130,0,32,1888,0,0,0,0,1920,0,0,280,0,0,0,0,280,0,101,3243,0,0,0,0,3344,0,0,83,0,0,0,0,83,0,61,2280,0,0,0,0,2341,0,34,2000,0,0,0,0,2034,0,337,3494,0,0,0,0,3831,0,1331,37598,0,0,0,0,38929,0.280000000000000032
S653999,大眾證券自營,0,0,1236,0,0,0,0,1236,0,0,1916,0,0,0,0,1916,0,0,1798,0,0,0,0,1798,0,0,1372,0,0,0,0,1372,0,0,1369,0,0,0,0,1369,0,0,676,0,0,0,0,676,0,0,1331,0,0,0,0,1331,0,0,437,0,0,0,0,437,0,0,1141,0,0,0,0,1141,0,0,1331,0,0,0,0,1331,0,0,1459,0,0,0,0,1459,0,0,1369,0,0,0,0,1369,0,0,1385,0,0,0,0,1385,0,0,2414,0,0,0,0,2414,0,0,2057,0,0,0,0,2057,0,0,1317,0,0,0,0,1317,0,0,2770,0,0,0,0,2770,0,0,5551,0,0,0,0,5551,0,0,30929,0,0,0,0,30929,0.22
S779999,國票證券自營,0,0,629,0,0,0,0,629,0,0,933,0,0,0,0,933,0,0,2200,0,0,0,0,2200,0,0,621,0,0,0,0,621,0,0,4287,0,0,0,0,4287,0,0,1131,0,0,0,0,1131,0,0,743,0,0,0,0,743,0,0,1161,0,0,0,0,1161,0,0,1521,0,0,0,0,1521,0,0,4099,0,0,0,0,4099,0,0,674,0,0,0,0,674,0,0,864,0,0,0,0,864,0,0,366,0,0,0,0,366,0,0,767,0,0,0,0,767,0,0,2548,0,0,0,0,2548,0,0,1057,0,0,0,0,1057,0,0,551,0,0,0,0,551,0,0,4874,0,0,0,0,4874,0,0,29026,0,0,0,0,29026,0.21
S109999,台灣工銀證券自營,0,0,1345,0,0,0,0,1345,0,0,1275,0,0,0,0,1275,0,0,807,0,0,0,0,807,0,0,854,0,0,0,0,854,0,0,1643,0,0,0,0,1643,0,0,2647,11,0,0,0,2658,0,0,1563,0,0,0,0,1563,0,0,1162,0,0,0,0,1162,0,0,2064,0,0,0,0,2064,0,0,2135,0,0,0,0,2135,0,0,844,0,0,0,0,844,0,0,492,0,0,0,0,492,0,0,167,0,0,0,0,167,0,0,1091,0,0,0,0,1091,0,0,1882,0,0,0,0,1882,0,0,1702,0,0,0,0,1702,0,0,972,0,0,0,0,972,0,0,4659,0,0,0,0,4659,0,0,27304,11,0,0,0,27315,0.19
S616000,中國信託證券,0,0,1682,0,0,0,1,1683,1,0,1194,0,0,0,1,1196,2,0,1268,0,0,0,0,1270,0,0,1114,0,0,0,2,1116,0,0,1259,0,0,0,1,1260,0,0,933,0,0,0,0,933,0,0,799,1,0,0,0,800,0,1,1170,5,0,0,2,1178,0,0,1788,20,0,0,2,1810,4,0,3961,22,0,0,1,3988,5,0,1210,5,0,0,1,1221,1,0,833,0,0,0,1,835,0,0,1204,0,0,0,0,1204,0,0,680,5,0,0,1,686,0,0,384,0,0,0,1,385,2,0,879,6,0,0,5,892,0,0,485,0,0,0,0,485,2,0,2286,10,0,0,1,2299,17,1,23129,74,0,0,20,23241,0.17
S844000,摩根大通證券,0,0,1496,0,0,0,0,1496,0,0,3256,0,0,0,0,3256,0,0,39,0,0,0,0,39,0,0,556,0,0,0,0,556,0,0,56,0,0,0,0,56,0,0,1700,0,0,0,0,1700,0,0,2142,0,0,0,0,2142,0,0,1025,0,0,0,0,1025,0,0,619,0,0,0,0,619,0,0,5417,0,0,0,0,5417,0,0,1995,0,0,0,0,1995,0,0,670,0,0,0,0,670,0,0,1496,0,0,0,0,1496,0,0,80,0,0,0,0,80,0,0,230,0,0,0,0,230,0,0,420,0,0,0,0,420,0,0,772,0,0,0,0,772,0,0,700,0,0,0,0,700,0,0,22669,0,0,0,0,22669,0.16
F007999,日盛期貨自營,0,0,460,0,0,0,0,460,0,0,433,0,0,0,0,433,0,0,648,0,0,0,0,648,0,0,560,0,0,0,0,560,0,0,911,0,0,0,0,911,0,0,2201,0,0,0,0,2201,0,0,1184,0,0,0,0,1184,0,0,1552,0,0,0,0,1552,0,0,1709,0,0,0,0,1709,0,0,1172,0,0,0,0,1172,0,0,1373,0,0,0,0,1373,0,0,876,0,0,0,0,876,0,0,851,0,0,0,0,851,0,0,444,0,0,0,0,444,0,0,684,0,0,0,0,684,0,0,948,0,0,0,0,948,0,0,1605,0,0,0,0,1605,0,0,4406,0,0,0,0,4406,0,0,22017,0,0,0,0,22017,0.16
F018999,元富期貨自營,0,0,1554,0,0,0,0,1554,0,0,1038,0,0,0,0,1038,0,0,1230,0,0,0,0,1230,0,0,1414,0,0,0,0,1414,0,0,2589,0,0,0,0,2589,0,0,1517,0,0,0,0,1517,0,0,713,0,0,0,0,713,0,0,1156,0,0,0,0,1156,0,0,914,0,0,0,0,914,0,0,2724,0,0,0,0,2724,0,0,1309,0,0,0,0,1309,0,0,1586,0,0,0,0,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,1017,0,0,0,0,1017,0,0,1080,0,0,0,0,1080,0,0,2040,0,0,0,0,2040,0,0,21905,0,0,0,0,21905,0.16
S116999,日盛證券自營,0,0,898,0,0,0,0,898,0,0,1114,0,0,0,0,1114,0,0,1095,0,0,0,0,1095,0,0,1263,0,0,0,0,1263,0,0,1392,0,0,0,0,1392,0,0,747,0,0,0,0,747,0,0,419,0,0,0,0,419,0,0,1026,0,0,0,0,1026,0,0,755,0,0,0,0,755,0,0,930,0,0,0,0,930,0,0,915,0,0,0,0,915,0,0,1132,0,0,0,0,1132,0,0,1561,0,0,0,0,1561,0,0,986,0,0,0,0,986,0,0,1305,0,0,0,0,1305,0,0,1377,0,0,0,0,1377,0,0,1090,0,0,0,0,1090,0,0,1555,0,0,0,0,1555,0,0,19560,0,0,0,0,19560,0.140000000000000016
S526000,大慶證券,0,2,1087,0,0,0,0,1089,0,4,1091,0,0,0,0,1095,0,2,1374,0,0,0,0,1376,0,2,761,0,0,0,0,763,0,0,1504,0,0,0,0,1504,0,0,1061,0,0,0,0,1061,0,0,545,0,0,0,0,545,0,0,1760,0,0,0,0,1760,0,4,1263,0,0,0,2,1269,0,6,1848,0,0,0,0,1854,0,0,728,0,0,0,0,728,0,0,925,0,0,0,0,925,0,1,1219,0,0,0,0,1220,0,1,556,0,0,0,0,557,0,0,652,0,0,0,0,652,0,0,416,0,0,0,1,417,0,0,689,0,0,0,1,690,0,5,1932,0,0,0,0,1937,0,27,19411,0,0,0,4,19442,0.140000000000000016
S109000,台灣工銀證券,0,0,369,0,0,0,0,369,0,0,921,0,0,0,0,921,0,0,243,0,0,0,0,243,0,0,408,0,0,0,0,408,0,0,1349,0,0,0,0,1349,6,0,1282,0,0,0,0,1288,0,0,166,0,0,0,0,166,0,0,1614,0,0,0,0,1614,0,0,2269,0,0,0,0,2269,0,0,1017,0,0,0,0,1017,0,0,478,0,0,0,0,478,0,0,663,0,0,0,0,663,0,0,943,0,0,0,0,943,0,0,250,0,0,0,0,250,0,0,426,0,0,0,0,426,0,0,545,0,0,0,0,545,0,0,932,0,0,0,0,932,0,0,961,0,0,0,0,961,6,0,14836,0,0,0,0,14842,0.11
S551999,永豐金證券自營,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,3148,0,0,0,0,3148,0,0,989,0,0,0,0,989,0,0,416,0,0,0,0,416,0,0,1209,0,0,0,0,1209,0,0,320,0,0,0,0,320,0,0,110,0,0,0,0,110,0,0,275,0,0,0,0,275,0,0,636,0,0,0,0,636,0,0,96,0,0,0,0,96,0,0,1313,0,0,0,0,1313,0,0,83,0,0,0,0,83,0,0,45,0,0,0,0,45,0,0,48,0,0,0,0,48,0,0,2270,0,0,0,0,2270,0,0,535,0,0,0,0,535,0,0,12393,0,0,0,0,12393,0.09
S218000,亞東證券,0,0,432,0,0,0,2,434,0,0,887,0,0,0,1,888,0,0,705,0,0,0,0,705,0,0,443,0,0,0,0,443,0,0,623,0,0,0,0,623,0,0,559,0,0,0,0,559,0,0,318,0,0,0,1,319,0,0,717,0,0,0,1,718,0,0,644,0,0,0,1,645,0,0,560,0,0,0,1,561,0,0,546,0,0,0,0,546,0,0,399,0,0,0,0,399,0,0,492,0,0,0,0,492,0,0,400,0,0,0,0,400,0,0,715,0,0,0,0,715,0,0,442,0,0,0,0,442,0,0,410,0,0,0,0,410,0,0,1290,0,0,0,2,1292,0,0,10582,0,0,0,9,10591,0.08
S147000,台灣摩根士丹利證券,0,0,0,0,0,0,0,0,0,0,2645,0,0,0,0,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,0,0,0,0,1730,0,0,5000,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9375,0,0,0,0,9375,0.0700000000000000128
S509999,華南永昌證券自營,0,0,354,0,0,0,0,354,0,0,554,0,0,0,0,554,0,0,496,0,0,0,0,496,0,0,741,0,0,0,0,741,0,0,867,0,0,0,0,867,0,0,707,0,0,0,0,707,0,0,325,0,0,0,0,325,0,0,402,0,0,0,0,402,0,0,330,0,0,0,0,330,0,0,316,0,0,0,0,316,0,0,835,0,0,0,0,835,0,0,148,0,0,0,0,148,0,0,147,0,0,0,0,147,0,0,242,0,0,0,0,242,0,0,148,0,0,0,0,148,0,0,810,0,0,0,0,810,0,0,116,0,0,0,0,116,0,0,1115,0,0,0,0,1115,0,0,8653,0,0,0,0,8653,0.06
S153000,港商德意志證券台北,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492,0,0,0,0,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725,0,0,0,0,1725,0,0,5617,0,0,0,0,5617,0.04
S159000,花旗環球國際證券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,1927,0,0,0,0,1927,0,0,1200,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4325,0,0,0,0,4325,0.03
S505000,大展證券,0,0,131,0,0,0,0,131,0,0,296,0,0,0,0,296,0,0,281,0,0,0,0,281,0,0,255,0,0,0,0,255,0,0,321,0,0,0,0,321,0,0,270,15,0,0,0,285,0,2,110,0,0,0,0,112,0,0,176,0,0,0,0,176,0,0,175,0,0,0,0,175,0,0,236,0,0,0,0,236,0,0,185,0,0,0,0,185,0,0,194,2,0,0,0,196,0,0,298,0,0,0,0,298,0,0,128,0,0,0,0,128,0,0,194,0,0,0,0,194,0,2,159,0,0,0,0,161,0,2,96,1,0,0,0,99,0,2,297,0,0,0,0,299,0,8,3802,18,0,0,0,3828,0.03
F029999,康和期貨自營,0,0,139,0,0,0,0,139,0,0,91,0,0,0,0,91,0,0,240,0,0,0,0,240,0,0,24,0,0,0,0,24,0,0,200,0,0,0,0,200,0,0,290,0,0,0,0,290,0,0,180,0,0,0,0,180,0,0,288,0,0,0,0,288,0,0,138,0,0,0,0,138,0,0,24,0,0,0,0,24,0,0,80,0,0,0,0,80,0,0,310,0,0,0,0,310,0,0,100,0,0,0,0,100,0,0,110,0,0,0,0,110,0,0,140,0,0,0,0,140,0,0,230,0,0,0,0,230,0,0,25,0,0,0,0,25,0,0,494,0,0,0,0,494,0,0,3103,0,0,0,0,3103,0.02
S645000,永全證券,0,0,24,0,0,0,0,24,0,0,20,0,0,0,0,20,0,0,67,0,0,0,0,67,0,0,51,0,0,0,0,51,0,0,97,0,0,0,0,97,0,0,75,0,0,0,0,75,0,0,101,0,0,0,0,101,0,0,93,0,0,0,0,93,0,0,74,0,0,0,0,74,0,0,255,0,0,0,0,255,0,0,84,0,0,0,0,84,0,0,62,0,0,0,0,62,0,0,69,0,0,0,0,69,0,0,68,0,0,0,0,68,0,0,352,0,0,0,0,352,0,0,40,0,0,0,0,40,0,0,127,0,0,0,0,127,0,0,393,0,0,0,0,393,0,0,2052,0,0,0,0,2052,0.01
S703000,致和證券,0,0,71,0,0,0,0,71,0,0,29,0,0,0,0,29,0,0,22,0,0,0,0,22,0,0,96,0,0,0,0,96,0,0,32,0,0,0,0,32,0,0,24,0,0,0,0,24,0,0,10,0,0,0,0,10,0,0,47,0,0,0,0,47,0,0,6,0,0,0,0,6,0,0,235,0,0,0,0,235,0,0,24,0,0,0,0,24,0,0,27,0,0,0,0,27,0,0,40,0,0,0,0,40,0,0,40,0,0,0,0,40,0,0,231,0,0,0,0,231,0,0,87,0,0,0,0,87,0,0,48,0,0,0,0,48,0,0,211,0,0,0,0,211,0,0,1280,0,0,0,0,1280,0.01
F005999,國票期貨自營,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,800,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,1080,0.01
S218999,亞東證券自營,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,140,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,60,0,0,160,0,0,0,0,160,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,60,0,0,110,0,0,0,0,110,0,0,272,0,0,0,0,272,0,0,1062,0,0,0,0,1062,0.01
S538999,第一金證券自營,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,72,0,0,110,0,0,0,0,110,0,0,80,0,0,0,0,80,0,0,46,0,0,0,0,46,0,0,20,0,0,0,0,20,0,0,10,0,0,0,0,10,0,0,40,0,0,0,0,40,0,0,40,0,0,0,0,40,0,0,16,0,0,0,0,16,0,0,26,0,0,0,0,26,0,0,12,0,0,0,0,12,0,0,13,0,0,0,0,13,0,0,47,0,0,0,0,47,0,0,8,0,0,0,0,8,0,0,17,0,0,0,0,17,0,0,633,0,0,0,0,633,0
S700999,兆豐證券自營,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,80,0,0,0,0,80,0,0,290,0,0,0,0,290,0
F008999,統一期貨自營,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,77,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,32,0,0,0,0,32,0,0,14,0,0,0,0,14,0,0,72,0,0,0,0,72,0,0,221,0,0,0,0,221,0
S601000,奔亞證券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,8,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,0,0,50,0,0,0,0,50,0
