期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F008000,統一期貨,1,54,36677,4,0,0,89,36825,3,157,26896,3,0,0,143,27202,1,6,21509,4,0,0,73,21593,0,6,25378,8,0,0,12,25404,34,2,35490,1,0,0,92,35619,33,0,31769,24,0,0,16,31842,0,2,18780,7,0,0,35,18824,0,2,33826,21,0,0,54,33903,0,2,25555,14,0,0,22,25593,12,7,55549,12,0,0,63,55643,16,23,21021,32,0,0,41,21133,0,3,17300,4,0,0,33,17340,10,1,21497,0,0,0,17,21525,0,7,21149,4,0,0,23,21183,0,0,33796,6,0,0,60,33862,0,0,20217,2,0,0,28,20247,0,0,17306,2,0,0,76,17384,2,0,46068,9,0,0,243,46322,112,272,509783,157,0,0,1120,511444,3.64
F039000,大昌期貨,0,26,30911,1,0,0,1,30939,0,2,31910,0,0,0,0,31912,1,29,40569,0,0,0,4,40603,0,0,34505,0,0,0,1,34506,8,19,29980,0,0,0,2,30009,2,8,26502,0,0,0,0,26512,2,8,17195,6,0,0,0,17211,0,9,27930,0,0,0,1,27940,4,10,24496,0,0,0,0,24510,14,6,38829,0,0,0,1,38850,0,6,24979,4,0,0,0,24989,0,2,17612,3,0,0,0,17617,0,8,17649,3,0,0,0,17660,0,0,16624,0,0,0,0,16624,0,0,22019,1,0,0,0,22020,0,2,15132,1,0,0,2,15137,0,5,14639,0,0,0,1,14645,3,1,44399,0,0,0,4,44407,34,141,475880,19,0,0,17,476091,3.38
F026000,富邦期貨,0,18,23464,103,0,0,4,23589,2,3,28210,86,0,0,4,28305,1,5,24630,100,0,0,7,24743,1,5,22404,114,0,0,2,22526,1,4,27532,188,0,0,3,27728,1,10,23306,127,0,0,3,23447,12,1,16411,25,0,0,2,16451,0,2,27262,235,0,0,11,27510,1,1,22899,346,0,0,3,23250,1,4,34869,156,0,0,7,35037,2,3,23805,108,0,0,6,23924,1,4,21222,108,0,0,3,21338,2,4,16919,387,0,0,3,17315,1,14,17664,681,0,0,7,18367,2,7,20442,530,0,0,0,20981,4,14,16256,163,0,0,8,16445,0,13,15300,151,0,0,24,15488,18,6,39239,136,0,0,9,39408,50,118,421834,3744,0,0,106,425852,3.03
F007000,日盛期貨,0,22,20502,0,0,0,0,20524,2,8,26023,0,0,0,0,26033,0,5,18260,0,0,0,4,18269,0,5,16791,0,0,0,7,16803,2,1,21601,1,0,0,7,21612,0,0,23875,0,0,0,3,23878,1,2,11731,0,0,0,1,11735,2,0,25602,0,0,0,0,25604,0,2,16768,0,0,0,0,16770,840,7,31431,1,0,0,10,32289,1,2,21413,1,0,0,1,21418,3,0,18626,0,0,0,0,18629,7,5,15211,0,0,0,8,15231,0,15,16296,0,0,0,0,16311,3,4,15350,0,0,0,9,15366,0,4,20346,0,0,0,0,20350,0,3,14560,0,0,0,2,14565,1,8,46768,0,0,0,6,46783,862,93,381154,3,0,0,58,382170,2.72000000000000032
F018000,元富期貨,10,20,19326,1,0,0,0,19357,30,9,19098,9,0,0,2,19148,10,9,16593,2,0,0,1,16615,7,15,13927,0,0,0,1,13950,7,15,19254,0,0,0,1,19277,15,12,17839,1,0,0,0,17867,2,10,11237,1,0,0,1,11251,12,30,16393,3,0,0,0,16438,8,38,12925,0,0,0,0,12971,25,27,20150,0,0,0,1,20203,2,10,14084,2,0,0,0,14098,8,2,13225,1,0,0,0,13236,7,6,13533,1,0,0,1,13548,5,5,12405,0,0,0,0,12415,4,2,13391,2,0,0,1,13400,3,7,12032,0,0,0,0,12042,4,10,9761,1,0,0,0,9776,20,11,28997,10,0,0,4,29042,179,238,284170,34,0,0,13,284634,2.02
F020999,群益期貨自營,0,62,15895,20,0,0,56,16033,0,0,19935,15,0,0,20,19970,0,0,19044,10,0,0,10,19064,0,38,18206,0,0,0,0,18244,0,138,15244,20,0,0,0,15402,0,2,15668,15,0,0,0,15685,0,0,1734,5,0,0,0,1739,0,0,12591,20,0,0,0,12611,0,320,9833,25,0,0,0,10178,40,0,15505,7,0,0,0,15552,0,0,12529,35,0,0,20,12584,0,0,16545,10,0,0,10,16565,0,0,14742,25,0,0,0,14767,0,0,13871,40,0,0,0,13911,0,0,10050,30,0,0,0,10080,0,0,14405,10,0,0,0,14415,0,0,18146,11,0,0,0,18157,0,0,27412,25,0,0,30,27467,40,560,271355,323,0,0,146,272424,1.94
S144000,美林證券,0,0,5464,0,0,0,0,5464,0,0,19846,0,0,0,0,19846,0,0,4175,0,0,0,0,4175,0,0,111,0,0,0,0,111,0,0,3264,0,0,0,0,3264,0,0,4779,0,0,0,0,4779,0,0,6673,0,0,0,0,6673,0,0,7541,0,0,0,0,7541,0,0,1733,0,0,0,0,1733,0,0,7783,0,0,0,0,7783,0,0,6117,0,0,0,0,6117,0,0,6087,0,0,0,0,6087,0,0,5426,0,0,0,11,5437,0,0,4416,0,0,0,0,4416,0,0,6643,0,0,0,0,6643,0,0,22956,0,0,0,0,22956,0,0,33314,0,0,0,0,33314,0,0,61426,0,0,0,0,61426,0,0,207754,0,0,0,11,207765,1.48
S585999,統一證券自營,0,0,7828,0,0,0,0,7828,0,0,5275,0,0,0,0,5275,0,0,6602,0,0,0,0,6602,0,0,6770,0,0,0,0,6770,0,0,12853,0,0,0,0,12853,0,38,8626,0,0,0,0,8664,0,0,6992,0,0,0,0,6992,0,0,12335,0,0,0,0,12335,40,138,7781,0,0,0,0,7959,40,16,10932,0,0,0,0,10988,0,0,5431,0,0,0,0,5431,0,0,4704,0,0,0,0,4704,0,0,3762,0,0,0,0,3762,0,0,6308,0,0,0,0,6308,0,0,12220,0,0,0,0,12220,0,0,14713,0,0,0,0,14713,40,62,29124,0,0,0,0,29226,0,48,43037,0,0,0,0,43085,120,302,205293,0,0,0,0,205715,1.46
F030000,兆豐期貨,0,30,11534,0,0,0,4,11568,1,47,10015,0,0,0,3,10066,0,4,11061,0,0,0,5,11070,0,3,7374,0,0,0,0,7377,0,12,10153,0,0,0,2,10167,0,2,9909,0,0,0,3,9914,1,1,8250,0,0,0,1,8253,0,3,11511,0,0,0,18,11532,4,0,10816,0,0,0,3,10823,6,11,13336,1,0,0,2,13356,0,14,10049,0,0,0,4,10067,0,18,8142,0,0,0,0,8160,12,2,7100,0,0,0,8,7122,0,14,6302,0,0,0,0,6316,0,14,10278,0,0,0,1,10293,0,4,5845,0,0,0,2,5851,0,11,6162,0,0,0,21,6194,0,11,14585,0,0,0,41,14637,24,201,172422,1,0,0,118,172766,1.23
F005000,國票期貨,0,15,11052,7,0,0,0,11074,0,10,10977,0,0,0,4,10991,0,23,10229,1,0,0,8,10261,0,10,7343,3,0,0,0,7356,1,11,10032,0,0,0,0,10044,1,6,9780,4,0,0,1,9792,1,5,5850,15,0,0,1,5872,2,3,9016,5,0,0,4,9030,0,2,9829,0,0,0,0,9831,6,14,14334,36,0,0,2,14392,0,14,7011,5,0,0,0,7030,1,6,5478,8,0,0,0,5493,0,14,6201,0,0,0,3,6218,0,25,5327,0,0,0,0,5352,0,2,8557,0,0,0,1,8560,0,2,6486,0,0,0,8,6496,0,3,6969,0,0,0,5,6977,9,6,15907,0,0,0,10,15932,21,171,160378,84,0,0,47,160701,1.13999999999999984
