期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20130502,,,,,,,,20130503,,,,,,,,20130506,,,,,,,,20130507,,,,,,,,20130508,,,,,,,,20130509,,,,,,,,20130510,,,,,,,,20130513,,,,,,,,20130514,,,,,,,,20130515,,,,,,,,20130516,,,,,,,,20130517,,,,,,,,20130520,,,,,,,,20130521,,,,,,,,20130522,,,,,,,,20130523,,,,,,,,20130524,,,,,,,,20130527,,,,,,,,20130528,,,,,,,,20130529,,,,,,,,20130530,,,,,,,,20130531,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,1,408,82244,50,0,0,0,82703,9,1297,121903,345,0,0,0,123554,0,1493,92793,132,0,0,0,94418,164,284,80249,45,0,0,0,80742,199,1042,186681,286,0,0,0,188208,0,246,127581,130,0,0,0,127957,0,14,104431,110,0,0,0,104555,0,75,143657,40,0,0,0,143772,0,22,139762,35,0,0,0,139819,2,95,115635,38,0,0,0,115770,4,649,159834,20,0,0,0,160507,10,83,64105,30,0,0,0,64228,41,132,73406,26,0,0,0,73605,16,93,73810,30,0,0,0,73949,7,22,53859,35,0,0,0,53923,0,92,175298,40,0,0,0,175430,2,77,127102,30,0,0,0,127211,0,1,102854,45,0,0,0,102900,0,95,67106,35,0,0,0,67236,0,40,91291,50,0,0,0,91381,0,40,156329,45,0,0,0,156414,0,20,200499,20,0,0,0,200539,455,6320,2540429,1617,0,0,0,2548821,11.08
F021000,元大寶來期貨,154,76,103162,8,0,0,21,103421,342,85,97758,4,1,0,11,98201,40,90,70652,2,11,0,85,70880,64,54,96603,6,2,0,12,96741,392,225,235122,12,122,0,67,235940,89,174,111603,5,29,0,8,111908,127,127,84495,14,4,0,18,84785,50,113,90987,10,2,0,17,91179,108,74,113289,10,0,0,7,113488,91,134,124743,12,1,0,3,124984,185,95,168865,24,5,0,90,169264,26,87,64786,5,1,0,149,65054,39,24,67225,8,1,0,77,67374,47,29,87827,8,0,0,86,87997,128,60,81312,2,2,0,90,81594,166,125,157829,6,5,0,45,158176,95,125,108078,21,1,0,78,108398,62,80,79272,1,3,0,22,79440,24,89,53079,1,5,0,12,53210,70,61,117205,10,6,0,23,117375,99,113,100481,2,3,0,33,100731,126,51,123370,3,0,0,42,123592,2524,2091,2337743,174,204,0,996,2343732,10.19
F034999,澳帝華期貨自營,283,190,106088,123,0,0,115,106799,210,359,94099,129,0,0,130,94927,216,201,86874,36,0,0,27,87354,73,25,86680,84,0,0,38,86900,509,242,199839,81,0,0,183,200854,0,80,93735,120,0,0,34,93969,0,20,79492,45,0,0,51,79608,3,22,109056,44,0,0,264,109389,0,57,76564,26,0,0,54,76701,0,23,97418,44,0,0,92,97577,69,191,104464,164,0,0,227,105115,14,47,55772,69,0,0,217,56119,77,68,69914,131,0,0,179,70369,54,108,120765,36,0,0,232,121195,32,28,113389,73,0,0,149,113671,181,191,140577,26,0,0,204,141179,118,171,150772,30,0,0,133,151224,55,92,86158,101,0,0,134,86540,2,105,71368,56,0,0,89,71620,48,132,120629,77,0,0,56,120942,209,377,87412,33,0,0,66,88097,192,318,108706,30,0,0,146,109392,2345,3047,2259771,1558,0,0,2820,2269541,9.86
S980999,元大寶來證券自營,182,467,62225,86,0,0,75,63035,312,1607,84443,75,0,0,22,86459,425,1756,89801,115,0,0,43,92140,28,217,79087,120,0,0,18,79470,564,1185,178242,86,0,0,188,180265,86,674,95501,146,0,0,73,96480,414,425,70074,132,0,0,112,71157,57,229,87824,118,0,0,174,88402,59,245,74889,147,0,0,29,75369,89,187,89205,135,0,0,72,89688,205,623,124210,58,0,0,372,125468,16,109,57872,10,0,0,0,58007,143,236,64703,32,0,0,195,65309,156,245,93442,5,0,0,183,94031,157,47,62868,34,0,0,196,63302,260,287,142729,31,0,0,145,143452,97,282,100519,27,0,0,86,101011,72,141,97649,9,0,0,168,98039,30,181,52163,9,0,0,186,52569,14,431,82891,22,0,0,103,83461,199,786,87930,16,0,0,58,88989,209,837,83461,8,0,0,179,84694,3774,11197,1961728,1421,0,0,2677,1980797,8.61
F002000,永豐期貨,9,24,68367,5,0,0,13,68418,3,40,73001,2,0,0,48,73094,0,23,67840,6,0,0,0,67869,6,37,46187,15,0,0,6,46251,8,31,152721,7,0,0,87,152854,17,65,63902,52,0,0,54,64090,13,26,45184,32,0,0,43,45298,3,51,88875,36,0,0,78,89043,2,67,67787,15,0,0,25,67896,6,87,102598,41,0,0,7,102739,0,74,87739,65,0,0,42,87920,0,11,39841,17,0,0,50,39919,0,16,41565,28,0,0,63,41672,1,12,68750,2,0,0,56,68821,0,0,72185,16,0,0,20,72221,1,13,96554,10,1,0,24,96603,0,30,81289,7,1,0,19,81346,0,8,61869,0,0,0,0,61877,0,10,54343,0,0,0,7,54360,1,11,95461,7,0,0,6,95486,0,29,73161,42,0,0,8,73240,0,15,73818,3,0,0,19,73855,70,680,1623037,408,2,0,675,1624872,7.06
F004000,凱基期貨,9,8,67691,25,0,0,42,67775,19,8,75975,48,0,0,8,76058,9,14,64519,21,0,0,2,64565,1,57,43741,23,0,0,4,43826,8,3,129203,16,0,0,11,129241,1,38,80610,8,0,0,6,80663,0,58,40198,18,0,0,56,40330,0,12,75257,43,0,0,67,75379,1,17,68424,12,0,0,3,68457,1,14,85074,28,0,0,43,85160,13,73,98422,34,0,0,37,98579,0,13,50232,17,0,0,25,50287,0,31,46889,64,0,0,27,47011,2,11,61276,33,0,0,48,61370,0,20,70178,39,1,0,17,70255,3,45,102675,14,0,0,30,102767,22,46,82913,25,0,0,3,83009,11,7,57964,30,1,0,3,58016,4,12,42071,54,4,0,3,42148,2,8,93166,26,4,0,6,93212,0,26,72527,40,0,0,10,72603,0,15,71681,10,0,0,19,71725,106,536,1580686,628,10,0,470,1582436,6.88
F020000,群益期貨,10,15,51404,18,0,0,18,51465,19,70,57707,5,0,0,6,57807,11,2,38925,0,0,0,2,38940,6,6,36249,1,0,0,1,36263,18,34,92970,14,0,0,6,93042,1,36,56881,10,0,0,12,56940,5,71,40914,7,0,0,32,41029,5,12,52293,1,1,0,10,52322,0,88,48978,6,0,0,14,49086,40,34,60657,18,0,0,5,60754,27,12,97492,1,0,0,21,97553,3,10,38781,9,1,0,27,38831,0,16,40201,0,1,0,14,40232,6,1,53033,4,0,0,42,53086,3,5,57819,26,0,0,30,57883,1,46,76336,4,2,0,2,76391,6,17,60329,5,0,0,6,60363,6,4,55787,7,0,0,22,55826,1,24,37603,7,0,0,11,37646,9,1,67394,0,0,0,6,67410,8,7,50445,0,0,0,13,50473,5,13,69049,0,0,0,45,69112,190,524,1241247,143,5,0,345,1242454,5.40000000000000064
F029000,康和期貨,6,4,27229,1,0,0,1,27241,0,0,43009,0,0,0,3,43012,6,11,36293,0,3,0,0,36313,0,9,33147,0,2,0,6,33164,0,13,70700,0,1,0,2,70716,0,4,36770,5,17,0,2,36798,0,3,37814,0,0,0,1,37818,0,16,41828,0,0,0,2,41846,0,11,39360,4,0,0,3,39378,0,7,47473,5,0,0,0,47485,0,36,41219,2,0,0,5,41262,5,14,26881,3,0,0,15,26918,4,4,33009,0,0,0,17,33034,15,18,49640,0,0,0,28,49701,5,9,59115,0,1,0,5,59135,6,24,64920,0,1,0,18,64969,0,5,62413,0,0,0,20,62438,1,0,38446,0,0,0,11,38458,1,3,34040,0,1,0,1,34046,1,12,54597,0,0,0,1,54611,0,6,45754,47,0,0,7,45814,0,23,47891,0,0,0,23,47937,50,232,971548,67,26,0,171,972094,4.23000000000000064
S585999,統一證券自營,0,0,50644,0,0,0,0,50644,0,0,34183,0,0,0,0,34183,0,0,28558,0,0,0,0,28558,0,0,49347,0,0,0,0,49347,0,0,109676,0,0,0,0,109676,0,0,42969,0,0,0,0,42969,0,0,40224,0,0,0,0,40224,0,0,56765,0,0,0,0,56765,0,0,63325,0,0,0,0,63325,0,0,67477,0,0,0,0,67477,0,0,31467,0,0,0,0,31467,0,0,29076,0,0,0,0,29076,0,0,39105,0,0,0,0,39105,0,0,67094,0,0,0,0,67094,0,0,65140,0,0,0,0,65140,0,0,38737,0,0,0,0,38737,0,0,23350,0,0,0,0,23350,0,0,23905,0,0,0,0,23905,0,0,22949,0,0,0,0,22949,0,0,41339,0,0,0,0,41339,0,0,14853,0,0,0,0,14853,0,0,11163,0,0,0,0,11163,0,0,951346,0,0,0,0,951346,4.13
