期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F026000,富邦期貨,9,60,33982,142,0,0,17,34210,18,34,33536,145,0,0,4,33737,2,21,29295,153,0,0,1,29472,8,1,33942,117,2,0,9,34079,3,5,19326,195,0,0,2,19531,5,1,25749,164,0,0,1,25920,10,3,30227,225,0,0,0,30465,8,6,34683,201,0,0,1,34899,4,38,20222,207,0,0,6,20477,115,85,25338,305,0,0,14,25857,34,29,15718,175,0,0,1,15957,122,151,29458,336,1,0,18,30086,14,22,24785,346,0,0,24,25191,1,70,31807,191,0,0,7,32076,3,394,25344,31,0,0,10,25782,2,43,19616,112,0,0,1,19774,1,84,17062,67,0,0,3,17217,1,104,25765,495,0,0,10,26375,0,1,12424,63,0,0,4,12492,1,41,24942,120,0,0,3,25107,361,1193,513221,3790,3,0,136,518704,3.47
F008000,統一期貨,7,0,19643,2,0,0,15,19667,3,102,28874,2,0,0,6,28987,0,40,40534,4,0,0,38,40616,3,2,27838,0,0,0,29,27872,0,2,12902,2,0,0,21,12927,85,1,27764,1,0,0,11,27862,46,1,37206,2,0,0,34,37289,0,1,41450,5,0,0,73,41529,3,13,18618,5,0,0,18,18657,0,10,22723,2,0,0,114,22849,0,1,16150,12,0,0,111,16274,0,0,36823,4,0,0,27,36854,0,2,17474,0,0,0,8,17484,0,7,29038,7,0,0,113,29165,2,44,25850,7,0,0,86,25989,10,3,21427,2,0,0,42,21484,1,45,26850,0,0,0,21,26917,20,66,25772,2,0,0,77,25937,0,2,11370,0,0,0,109,11481,1,1,25938,2,0,0,76,26018,181,343,514244,61,0,0,1029,515858,3.45
F039000,大昌期貨,0,2,28521,0,0,0,5,28528,3,24,24704,1,0,0,9,24741,1,8,24089,1,0,0,1,24100,1,1,27460,2,0,0,2,27466,0,1,17153,1,0,0,9,17164,0,8,24661,30,0,0,7,24706,0,2,31048,19,0,0,13,31082,2,2,29954,17,0,0,7,29982,1,0,18601,18,0,0,16,18636,2,0,21339,11,0,0,86,21438,0,0,11663,0,0,0,32,11695,0,6,28588,0,0,0,14,28608,0,4,17868,0,0,0,38,17910,0,76,26448,20,0,0,27,26571,0,50,18781,9,0,0,34,18874,0,0,18637,2,0,0,5,18644,0,0,18657,1,0,0,25,18683,0,1,22579,5,0,0,0,22585,2,0,13519,0,0,0,0,13521,2,0,24286,10,0,0,0,24298,14,185,448556,147,0,0,330,449232,3
S585999,統一證券自營,0,0,24286,0,0,0,0,24286,0,0,36902,0,0,0,0,36902,20,80,60544,0,0,0,0,60644,0,122,11874,0,0,0,0,11996,0,0,16936,0,0,0,0,16936,0,0,19551,0,0,0,0,19551,0,0,56856,0,0,0,0,56856,0,0,49068,0,0,0,0,49068,0,83,12080,0,0,0,0,12163,0,40,9521,0,0,0,0,9561,0,0,10323,0,0,0,0,10323,0,0,16738,0,0,0,0,16738,0,0,13398,0,0,0,0,13398,0,0,24707,0,0,0,0,24707,0,60,19127,0,0,0,0,19187,0,0,12544,0,0,0,0,12544,0,40,11369,0,0,0,0,11409,0,0,13073,0,0,0,0,13073,0,0,8136,0,0,0,0,8136,0,0,10816,0,0,0,0,10816,20,425,437849,0,0,0,0,438294,2.93
F007000,日盛期貨,0,1,20453,0,0,0,17,20471,0,6,28020,0,0,0,2,28028,120,135,23417,0,0,0,8,23680,120,131,33595,0,0,0,0,33846,0,3,15480,0,0,0,13,15496,0,205,24016,0,0,0,2,24223,0,263,26722,0,0,0,14,26999,1952,293,29652,0,0,0,9,31906,752,229,17714,0,0,0,0,18695,0,174,23013,0,0,0,26,23213,0,4,9403,0,0,0,0,9407,135,97,22798,0,0,0,10,23040,45,60,17693,0,0,0,8,17806,0,135,20994,0,0,0,8,21137,60,74,20864,2,0,0,31,21031,16,5,13643,0,0,0,10,13674,2,7,17620,0,0,0,72,17701,205,13,23962,0,0,0,2,24182,60,2,10554,1,0,0,0,10617,2,367,18227,0,0,0,19,18615,3469,2204,417840,3,0,0,251,423767,2.83
F018000,元富期貨,20,2,17766,0,2,0,0,17790,10,15,20337,1,0,0,0,20363,2,16,16662,0,0,0,0,16680,7,26,16399,2,2,0,2,16438,4,20,9782,0,4,0,0,9810,5,44,16584,3,0,0,0,16636,6,19,23983,0,0,0,0,24008,16,28,21446,0,0,0,2,21492,27,18,13813,2,0,0,2,13862,4,2,15175,0,0,0,5,15186,1,0,8974,0,0,0,2,8977,12,2,16795,0,0,0,2,16811,1,4,11916,3,0,0,3,11927,6,10,15041,7,0,0,11,15075,4,9,12451,2,0,0,1,12467,1,6,10213,2,2,0,1,10225,1,5,11454,1,2,0,2,11465,5,17,14316,1,0,0,1,14340,6,5,7997,3,0,0,5,8016,9,7,15543,0,2,0,4,15565,147,255,296647,27,14,0,43,297133,1.99
S144000,美林證券,0,0,1849,0,0,0,0,1849,0,0,2096,0,0,0,0,2096,0,0,16790,0,0,0,0,16790,0,0,4934,0,0,0,0,4934,0,0,7858,0,0,0,51,7909,0,0,8136,0,0,0,0,8136,0,0,15533,0,0,0,0,15533,0,0,20294,0,0,0,0,20294,0,0,12058,0,0,0,0,12058,0,0,5169,0,0,0,0,5169,0,0,1,0,0,0,0,1,0,0,12669,0,0,0,0,12669,0,0,17910,0,0,0,0,17910,0,0,35422,0,0,0,0,35422,0,0,18626,0,0,0,0,18626,0,0,11716,0,0,0,0,11716,0,0,8168,0,0,0,0,8168,0,0,4844,0,0,0,0,4844,0,0,5019,0,0,0,0,5019,0,0,12318,0,0,0,0,12318,0,0,221410,0,0,0,51,221461,1.48
F005000,國票期貨,1,1,10997,10,0,0,1,11010,4,10,9385,5,0,0,0,9404,1,4,12035,0,0,0,1,12041,1,12,10899,0,0,0,1,10913,1,0,7514,0,0,0,0,7515,0,8,9889,0,0,0,0,9897,2,1,14485,0,0,0,0,14488,1,11,14046,0,0,0,8,14066,14,21,7970,5,0,0,0,8010,19,8,9827,5,0,0,1,9860,7,7,5506,0,0,0,8,5528,16,13,8824,5,0,0,2,8860,1,15,6356,0,0,0,8,6380,6,31,12942,0,0,0,9,12988,1,33,7186,10,0,0,2,7232,0,21,8534,3,0,0,0,8558,1,12,9417,0,0,0,0,9430,0,13,11085,10,0,0,3,11111,0,24,6988,0,0,0,0,7012,0,20,9417,0,0,0,0,9437,76,265,193302,53,0,0,44,193740,1.29
F020999,群益期貨自營,0,0,6204,0,0,0,0,6204,0,0,9533,5,0,0,0,9538,0,0,12655,0,0,0,0,12655,0,2,10413,5,0,0,0,10420,0,0,7278,0,0,0,0,7278,0,0,15321,30,0,0,0,15351,0,0,12078,5,0,0,0,12083,45,1,18009,0,0,0,0,18055,0,0,7972,2,0,0,0,7974,0,0,5305,5,0,0,0,5310,0,0,1565,0,0,0,0,1565,0,0,5468,5,0,0,100,5573,0,0,5541,0,0,0,16,5557,0,2,4688,5,0,0,2,4697,0,0,7913,0,0,0,20,7933,0,0,10187,6,0,0,0,10193,40,0,9228,10,0,0,20,9298,40,120,11310,5,0,0,0,11475,0,40,7049,5,0,0,0,7094,0,0,14277,15,0,0,0,14292,125,165,181994,103,0,0,158,182545,1.22
F030000,兆豐期貨,0,10,10205,0,0,0,2,10217,0,4,10010,0,0,0,1,10015,2,4,7947,0,0,0,1,7954,6,10,9446,0,0,0,0,9462,0,10,6196,1,0,0,1,6208,0,15,6771,0,0,0,0,6786,0,10,9082,0,0,0,1,9093,2,3,11486,0,0,0,0,11491,0,0,6194,0,0,0,0,6194,0,1,7470,0,0,0,1,7472,0,3,4472,0,0,0,0,4475,1,1,9375,0,0,0,0,9377,0,1,7565,0,0,0,0,7566,4,0,9349,0,0,0,0,9353,0,7,8560,0,0,0,0,8567,0,22,6267,1,0,0,0,6290,0,21,6671,0,0,0,0,6692,2,19,7436,0,0,0,1,7458,1,6,4265,0,0,0,0,4272,0,4,11345,0,0,0,0,11349,18,151,160112,2,0,0,8,160291,1.07
