期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20130102,,,,,,,,20130103,,,,,,,,20130104,,,,,,,,20130107,,,,,,,,20130108,,,,,,,,20130109,,,,,,,,20130110,,,,,,,,20130111,,,,,,,,20130114,,,,,,,,20130115,,,,,,,,20130116,,,,,,,,20130117,,,,,,,,20130118,,,,,,,,20130121,,,,,,,,20130122,,,,,,,,20130123,,,,,,,,20130124,,,,,,,,20130125,,,,,,,,20130128,,,,,,,,20130129,,,,,,,,20130130,,,,,,,,20130131,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,95,122,121140,138,0,0,0,121495,59,741,103860,8,0,0,0,104668,33,596,106069,198,0,0,0,106896,84,280,144989,35,0,0,0,145388,20,101,149058,7,0,0,0,149186,2,110,124051,35,0,0,0,124198,51,522,207696,15,0,0,0,208284,6,114,147969,4,0,0,0,148093,1187,810,240518,612,0,0,0,243127,43,8,229411,62,0,0,0,229524,0,40,147957,21,0,0,0,148018,87,248,153464,5,0,0,0,153804,29,294,108747,0,0,0,0,109070,14,125,122634,0,0,0,0,122773,25,182,149140,0,0,0,0,149347,20,0,100440,8,0,0,0,100468,0,0,127471,35,0,0,0,127506,0,0,97208,15,0,0,0,97223,27,289,120983,5,0,0,0,121304,78,33,152795,18,0,0,0,152924,30,171,112300,5,0,0,0,112506,21,235,110714,1,0,0,0,110971,1911,5021,3078614,1227,0,0,0,3086773,12.74
F021000,元大寶來期貨,225,123,133275,39,4,0,47,133713,60,125,90545,58,8,0,7,90803,67,110,70981,5,21,0,73,71257,181,117,87246,8,4,0,33,87589,181,30,108985,1,1,0,17,109215,228,74,111853,4,0,0,10,112169,192,233,158770,10,10,0,4,159219,138,207,92230,19,0,0,53,92647,222,122,133576,15,5,0,77,134017,264,91,120470,11,4,0,22,120862,175,25,145034,2,8,0,6,145250,114,148,167033,3,17,0,40,167355,18,15,99365,23,0,0,36,99457,20,27,89241,2,0,0,24,89314,42,86,103077,0,1,0,32,103238,53,33,108265,2,0,0,12,108365,179,46,130874,7,0,0,57,131163,86,22,106984,1,1,0,87,107181,64,68,96172,0,0,0,17,96321,83,69,149545,7,0,0,15,149719,72,122,140535,4,6,0,14,140753,63,88,83080,2,25,0,7,83265,2727,1981,2527136,223,115,0,690,2532872,10.45
F034999,澳帝華期貨自營,166,208,170754,114,0,0,106,171348,74,234,116465,229,0,0,119,117121,125,159,98127,131,0,0,111,98653,187,183,116467,151,0,0,30,117018,281,116,116190,51,0,0,30,116668,78,107,135244,62,0,0,70,135561,147,335,124616,167,0,0,39,125304,59,30,91368,68,0,0,178,91703,62,9,102664,27,0,0,63,102825,86,78,108455,159,0,0,75,108853,71,108,136985,61,0,0,139,137364,244,248,145727,190,0,0,108,146517,86,132,91457,112,0,0,77,91864,92,72,90162,39,0,0,31,90396,179,122,103851,36,0,0,68,104256,147,173,84762,73,0,0,83,85238,583,229,94868,56,0,0,160,95896,368,190,87215,42,0,0,243,88058,176,430,117379,31,0,0,0,118016,144,100,135504,45,0,0,10,135803,77,595,145648,82,0,0,0,146402,38,222,88263,37,0,0,0,88560,3470,4080,2502171,1963,0,0,1740,2513424,10.37
S980999,元大寶來證券自營,320,266,92149,172,0,0,160,93067,103,281,67782,199,0,0,116,68481,224,265,94606,194,0,0,49,95338,198,188,109860,215,0,0,10,110471,532,85,116139,148,0,0,2,116906,174,160,123230,104,0,0,27,123695,243,759,140177,136,0,0,29,141344,23,326,82756,187,0,0,175,83467,395,452,103376,10,0,0,52,104285,189,236,95591,1,0,0,6,96023,394,196,107208,146,0,0,13,107957,379,357,157858,37,0,0,44,158675,129,147,115726,32,0,0,31,116065,156,287,79323,10,0,0,29,79805,353,209,95346,10,0,0,107,96025,127,139,89549,7,0,0,31,89853,436,148,141282,39,0,0,4,141909,155,243,74315,30,0,0,65,74808,246,786,100659,78,0,0,0,101769,60,126,122083,17,0,0,50,122336,123,474,124245,15,0,0,64,124921,96,360,102792,43,0,0,87,103378,5055,6490,2336052,1830,0,0,1151,2350578,9.69999999999999872
F002000,永豐期貨,0,6,75476,5,0,0,4,75491,10,11,59463,14,0,0,17,59515,13,32,56892,1,0,0,5,56943,27,27,58196,15,0,0,0,58265,79,41,78225,19,0,0,31,78395,4,33,79578,0,0,0,31,79646,5,76,96036,41,0,0,0,96158,1,96,60373,110,0,0,0,60580,9,58,90546,2,0,0,0,90615,8,74,75005,14,0,0,0,75101,5,9,85505,50,0,0,7,85576,7,27,90935,15,0,0,2,90986,40,11,60173,11,0,0,1,60236,0,110,56362,14,0,0,13,56499,0,8,62920,22,0,0,5,62955,0,63,62444,37,0,0,3,62547,0,7,70001,16,0,0,3,70027,0,27,51332,31,0,0,0,51390,0,21,55320,8,0,0,0,55349,0,16,102012,3,0,0,6,102037,7,36,77956,8,0,0,0,78007,0,28,55665,9,0,0,0,55702,215,817,1560415,445,0,0,128,1562020,6.45
F004000,凱基期貨,1,13,90700,186,0,0,6,90906,0,72,66595,178,0,0,1,66846,1,33,44249,115,0,0,12,44410,1,9,46590,216,0,0,3,46819,6,9,56798,76,0,0,8,56897,2,19,75249,96,0,0,1,75367,1,88,82347,161,0,0,6,82603,1,35,52681,73,0,0,4,52794,2,11,77447,29,0,0,4,77493,0,51,74980,114,0,0,0,75145,4,33,96586,40,0,0,7,96670,4,109,83266,46,0,0,7,83432,3,167,57088,52,0,0,11,57321,85,51,47557,0,0,0,5,47698,173,2,64286,14,0,0,7,64482,1,3,62389,24,0,0,3,62420,10,68,62848,49,0,0,5,62980,0,54,59001,61,0,0,0,59116,0,83,53132,43,0,0,3,53261,5,14,91419,142,0,0,4,91584,101,158,88120,111,0,0,4,88494,0,112,50209,41,0,0,14,50376,401,1194,1483537,1867,0,0,115,1487114,6.14
F020000,群益期貨,5,1,77186,5,0,0,9,77206,14,248,66380,6,0,0,4,66652,4,3,43424,5,0,0,34,43470,1,203,43154,4,0,0,0,43362,0,4,63780,0,0,0,15,63799,5,7,67182,2,0,0,0,67196,2,29,73882,0,0,0,0,73913,0,39,50060,9,0,0,7,50115,0,19,70553,2,0,0,16,70590,5,18,71353,1,0,0,10,71387,11,12,79481,5,0,0,11,79520,3,103,84344,0,0,0,42,84492,0,1,52560,0,0,0,7,52568,1,5,32985,2,0,0,0,32993,3,12,49342,0,1,0,9,49367,0,81,41616,0,0,0,1,41698,1,21,46553,0,0,0,23,46598,1,12,33514,0,0,0,20,33547,0,13,39125,11,0,0,0,39149,2,11,73447,7,0,0,43,73510,6,260,57310,0,0,0,2,57578,1,57,40530,0,0,0,16,40604,65,1159,1257761,59,1,0,269,1259314,5.2
S585999,統一證券自營,0,0,26944,0,0,0,0,26944,0,0,27558,0,0,0,0,27558,0,0,23595,0,0,0,0,23595,0,0,29384,0,0,0,0,29384,0,0,29207,0,0,0,0,29207,0,0,39195,0,0,0,0,39195,0,0,57173,0,0,0,0,57173,0,0,38289,0,0,0,0,38289,0,0,58025,0,0,0,0,58025,0,0,79198,0,0,0,0,79198,0,0,42044,0,0,0,0,42044,0,0,26835,0,0,0,0,26835,0,0,21607,0,0,0,0,21607,0,0,26986,0,0,0,0,26986,0,0,43800,0,0,0,0,43800,0,0,39616,0,0,0,0,39616,0,0,44188,0,0,0,0,44188,0,0,34604,0,0,0,0,34604,0,0,35081,0,0,0,0,35081,0,0,67577,0,0,0,0,67577,0,0,63662,0,0,0,0,63662,0,0,37362,0,0,0,0,37362,0,0,891930,0,0,0,0,891930,3.68
B224999,中國信託商業銀行自營,346,175,47552,244,0,0,101,48418,89,536,25942,219,0,0,64,26850,359,193,24399,292,0,0,71,25314,281,189,33823,210,0,0,29,34532,378,106,38562,128,0,0,20,39194,109,80,45502,102,0,0,29,45822,149,432,50613,270,0,0,7,51471,194,395,37014,146,0,0,105,37854,1443,521,57117,285,0,0,36,59402,584,314,49636,141,0,0,33,50708,1042,98,58451,225,0,0,101,59917,217,262,51709,180,0,0,43,52411,125,127,35827,174,0,0,43,36296,99,106,34589,65,0,0,46,34905,285,103,50703,54,0,0,66,51211,62,34,36834,93,0,0,52,37075,254,69,28713,84,0,0,63,29183,194,115,30889,97,0,0,130,31425,109,298,29054,129,0,0,46,29636,133,80,38035,108,0,0,123,38479,120,181,44003,100,0,0,65,44469,73,131,18242,129,0,0,120,18695,6645,4545,867209,3475,0,0,1393,883267,3.65
