期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20140502,,,,,,,,20140505,,,,,,,,20140506,,,,,,,,20140507,,,,,,,,20140508,,,,,,,,20140509,,,,,,,,20140512,,,,,,,,20140513,,,,,,,,20140514,,,,,,,,20140515,,,,,,,,20140516,,,,,,,,20140519,,,,,,,,20140520,,,,,,,,20140521,,,,,,,,20140522,,,,,,,,20140523,,,,,,,,20140526,,,,,,,,20140527,,,,,,,,20140528,,,,,,,,20140529,,,,,,,,20140530,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,0,0,133647,112,0,0,0,133759,46,0,170771,90,0,0,0,170907,0,14,189453,115,0,0,0,189582,5,7,170502,91,0,0,0,170605,26,44,153467,105,0,0,0,153642,3,4,135728,96,0,0,0,135831,0,0,177081,159,0,0,0,177240,2,0,182769,138,0,0,0,182909,3,0,145691,161,0,0,0,145855,20,21,90969,45,0,0,0,91055,80,60,132428,150,0,0,0,132718,2400,60,102738,140,0,0,0,105338,3500,20,106324,160,0,0,0,110004,0,0,76331,185,0,0,0,76516,214,40,187142,95,0,0,0,187491,6,101,159718,204,0,0,0,160029,22,0,128801,85,0,0,0,128908,0,5,94477,100,0,0,0,94582,0,14,125604,95,0,0,0,125713,0,0,127113,85,0,0,0,127198,0,0,148018,75,0,0,0,148093,6327,390,2938772,2486,0,0,0,2947975,13.7100000000000016
F021000,元大寶來期貨,73,127,101811,1,0,0,37,102049,194,304,93539,1,0,0,4,94042,105,674,102477,9,2,0,16,103283,99,141,122471,1,4,0,11,122727,385,352,74813,4,1,0,29,75584,80,155,70283,0,2,0,12,70532,71,118,99172,22,0,0,9,99392,194,148,99509,1,0,0,8,99860,86,103,124200,1,1,0,11,124402,109,163,56923,1,0,0,1,57197,105,315,96777,6,0,0,32,97235,35,273,67397,7,0,0,15,67727,261,169,89144,3,0,0,2,89579,33,193,98803,7,2,0,4,99042,255,231,126273,11,0,0,17,126787,217,323,104223,2,2,0,4,104771,134,105,83424,3,2,0,2,83670,10,79,58420,4,0,0,34,58547,121,231,169457,8,2,0,14,169833,39,323,110965,6,0,0,9,111342,145,292,101837,9,0,0,52,102335,2751,4819,2051918,107,18,0,323,2059936,9.58
F034999,澳帝華期貨自營,71,196,70748,26,0,0,100,71141,107,226,86764,22,0,0,19,87138,206,1094,83041,82,0,0,10,84433,85,450,93580,42,0,0,28,94185,236,733,60750,69,0,0,43,61831,60,411,72669,19,0,0,44,73203,43,407,75992,95,0,0,30,76567,158,327,111277,5,0,0,34,111801,85,100,125625,32,0,0,46,125888,61,130,70537,22,0,0,31,70781,65,320,82416,27,0,0,20,82848,22,429,68202,20,0,0,25,68698,68,231,71988,47,0,0,0,72334,620,270,119219,32,0,0,40,120181,51,32,114681,112,0,0,35,114911,55,240,82780,838,0,0,71,83984,2,51,66827,41,0,0,0,66921,9,324,62806,25,0,0,252,63416,2,10,129617,0,0,0,3,129632,0,0,67345,0,0,0,0,67345,10,0,86225,0,0,0,90,86325,2016,5981,1803089,1556,0,0,921,1813563,8.44
F004000,凱基期貨,6,124,73044,32,0,0,1,73207,11,3,74793,13,0,0,2,74822,17,171,90114,20,2,0,2,90326,7,59,102953,0,0,0,6,103025,11,93,67131,42,0,0,2,67279,23,29,60294,11,0,0,3,60360,31,14,77051,80,0,0,0,77176,24,34,79483,5,0,0,5,79551,7,28,106791,3,0,0,2,106831,13,12,48008,40,0,0,11,48084,3,41,81463,72,0,0,3,81582,9,116,59427,34,0,0,3,59589,4,13,70093,23,0,0,0,70133,7,56,98904,58,0,0,0,99025,22,34,93766,46,0,0,2,93870,15,27,85156,14,0,0,1,85213,6,21,71119,21,2,0,2,71171,2,27,46879,30,0,0,3,46941,6,42,134990,40,2,0,12,135092,1,23,63024,25,0,0,30,63103,1,47,66433,55,0,0,16,66552,226,1014,1650916,664,6,0,106,1652932,7.69
S980999,元大寶來證券自營,207,443,89501,70,0,0,14,90235,137,301,92316,60,0,0,0,92814,74,1174,94938,108,0,0,13,96307,130,209,72374,65,0,0,25,72803,355,542,76205,108,0,0,9,77219,126,187,75898,76,0,0,12,76299,69,406,76779,90,0,0,30,77374,129,292,66053,123,0,0,20,66617,99,114,76581,81,0,0,131,77006,92,97,44175,117,0,0,83,44564,32,152,87403,0,0,0,75,87662,2409,343,65348,31,0,0,50,68181,3297,256,54739,10,0,0,115,58417,407,103,85741,10,0,0,162,86423,312,605,89996,0,0,0,42,90955,62,733,70405,92,0,0,23,71315,291,381,59500,81,0,0,42,60295,2,254,46598,51,0,0,37,46942,199,522,81135,21,0,0,22,81899,25,507,61567,45,0,0,17,62161,311,298,62693,30,0,0,0,63332,8765,7919,1529945,1269,0,0,922,1548820,7.2
F002000,永豐期貨,13,22,54970,5,0,0,10,55020,45,41,66124,7,0,0,1,66218,46,372,81480,35,0,0,0,81933,12,153,79431,27,0,0,12,79635,12,214,53204,22,0,0,29,53481,8,243,47195,12,0,0,2,47460,9,67,61978,20,0,0,0,62074,8,112,66002,5,0,0,21,66148,7,98,97598,38,0,0,7,97748,1,29,35992,1,0,0,11,36034,6,138,73001,33,0,0,0,73178,3,57,54494,0,0,0,2,54556,37,131,61978,27,0,0,14,62187,24,19,112221,23,0,0,0,112287,19,35,88275,40,0,0,1,88370,44,69,71034,38,0,0,1,71186,4,113,58223,57,0,0,2,58399,4,117,37655,25,0,0,1,37802,25,116,130687,18,0,0,14,130860,11,84,47155,36,0,0,12,47298,5,36,55255,10,0,0,26,55332,343,2266,1433952,479,0,0,166,1437206,6.69
B224999,中國信託商業銀行自營,60,210,49813,51,0,0,21,50155,54,216,21476,62,0,0,35,21843,93,785,57661,209,0,0,28,58776,95,214,55849,91,0,0,13,56262,326,425,57545,144,0,0,7,58447,26,119,54082,57,0,0,3,54287,103,178,56660,103,0,0,0,57044,203,267,70939,61,0,0,79,71549,99,186,89201,43,0,0,132,89661,92,63,42072,53,0,0,58,42338,64,266,79724,158,0,0,110,80322,9,369,43789,126,0,0,59,44352,18,144,53921,131,0,0,104,54318,0,15,80053,207,0,0,53,80328,173,181,27878,226,0,0,74,28532,1,99,45317,155,0,0,87,45659,281,151,39426,103,0,0,28,39989,9,46,30333,69,0,0,282,30739,263,266,77412,83,0,0,103,78127,77,177,35856,72,0,0,76,36258,197,283,41135,89,0,0,264,41968,2243,4660,1110142,2293,0,0,1616,1120954,5.21
F029000,康和期貨,4,18,46358,0,0,0,1,46381,5,36,44754,0,0,0,13,44808,3,69,46125,0,0,0,0,46197,13,143,57398,0,4,0,0,57558,10,213,48076,0,0,0,0,48299,0,55,38642,0,0,0,0,38697,2,13,42120,0,0,0,0,42135,16,23,44233,0,0,0,0,44272,15,10,63690,0,0,0,0,63715,9,0,36976,5,0,0,0,36990,4,21,37999,0,0,0,1,38025,1,17,27770,1,0,0,0,27789,4,8,38086,0,0,0,0,38098,1,5,58294,1,0,0,0,58301,8,28,60038,0,0,0,1,60075,3,8,39815,0,0,0,1,39827,2,8,35473,0,0,0,0,35483,2,12,35154,0,0,0,0,35168,16,91,73321,0,0,0,26,73454,2,44,35922,0,0,0,8,35976,1,13,41817,5,0,0,13,41849,121,835,952061,12,4,0,64,953097,4.43
F020000,群益期貨,4,33,32459,11,0,0,18,32525,6,30,38479,3,0,0,0,38518,15,53,46097,25,0,0,16,46206,12,66,48230,2,0,0,3,48313,11,24,33936,8,0,0,4,33983,5,14,30292,0,0,0,0,30311,18,29,45936,0,0,0,0,45983,7,0,45119,0,0,0,31,45157,18,2,49570,0,0,0,5,49595,7,1,25619,0,0,0,5,25632,9,23,44059,12,0,0,16,44119,8,10,32243,1,0,0,2,32264,13,0,39567,0,0,0,0,39580,12,3,48991,16,0,0,3,49025,10,4,54795,30,0,0,11,54850,5,7,45971,10,0,0,11,46004,7,10,42510,25,0,0,5,42557,4,5,27296,11,0,0,37,27353,17,52,74647,0,0,0,13,74729,8,30,34782,0,0,0,17,34837,10,13,37295,0,0,0,2,37320,206,409,877893,154,0,0,199,878861,4.09
