期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
S526000,大慶證券,0,0,1174,0,0,0,0,1174,0,1,1056,0,0,0,0,1057,0,0,1922,0,0,0,0,1922,0,2,2114,0,0,0,0,2116,0,6,1366,0,0,0,0,1372,0,0,525,0,0,0,0,525,0,3,2233,0,0,0,0,2236,0,1,1007,0,0,0,0,1008,0,0,1085,0,0,0,0,1085,0,0,439,0,0,0,0,439,0,1,708,0,0,0,0,709,0,1,1258,0,0,0,0,1259,0,8,870,0,0,0,0,878,0,23,15757,0,0,0,0,15780,0.140000000000000016
S551999,永豐金證券自營,0,0,1100,0,0,0,0,1100,0,0,1161,0,0,0,0,1161,0,0,890,0,0,0,0,890,0,0,4744,0,0,0,0,4744,0,0,716,0,0,0,0,716,0,0,842,0,0,0,0,842,0,0,516,0,0,0,0,516,0,0,836,0,0,0,0,836,0,0,1035,0,0,0,0,1035,0,0,160,0,0,0,0,160,0,0,60,0,0,0,0,60,0,0,1820,0,0,0,0,1820,0,0,390,0,0,0,0,390,0,0,14270,0,0,0,0,14270,0.13
S218000,亞東證券,0,0,695,0,0,0,0,695,0,0,931,0,0,0,0,931,0,0,698,0,0,0,0,698,0,0,1317,0,0,0,0,1317,0,0,871,1,0,0,0,872,0,0,353,0,0,0,0,353,0,0,722,0,0,0,0,722,0,0,682,0,0,0,0,682,0,0,984,0,0,0,0,984,0,0,543,0,0,0,0,543,0,0,645,0,0,0,0,645,0,0,1133,0,0,0,0,1133,0,0,801,0,0,0,0,801,0,0,10375,1,0,0,0,10376,0.09
S109000,台灣工銀證券,0,0,674,0,0,0,0,674,0,1,704,0,0,0,0,705,0,1,1170,0,0,0,0,1171,0,2,1372,0,0,0,0,1374,0,0,505,0,0,0,0,505,0,1,843,0,0,0,0,844,0,1,594,0,0,0,0,595,0,0,1519,0,0,0,0,1519,0,0,813,0,0,0,0,813,0,0,346,0,0,0,0,346,0,0,534,0,0,0,0,534,0,0,718,0,0,0,0,718,0,0,540,0,0,0,0,540,0,6,10332,0,0,0,0,10338,0.09
S147000,台灣摩根士丹利證券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,0,0,0,0,4600,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,7000,0.06
S888999,國泰證券自營,0,0,1083,0,0,0,0,1083,0,0,667,0,0,0,0,667,0,0,434,0,0,0,0,434,0,0,1925,0,0,0,0,1925,0,0,476,0,0,0,0,476,0,0,187,0,0,0,0,187,0,0,237,0,0,0,0,237,0,0,2,0,0,0,0,2,0,0,37,0,0,0,0,37,0,0,4,0,0,0,0,4,0,0,555,0,0,0,0,555,0,0,423,0,0,0,0,423,0,0,609,0,0,0,0,609,0,0,6639,0,0,0,0,6639,0.06
F007999,日盛期貨自營,0,0,1060,0,0,0,0,1060,0,0,997,0,0,0,0,997,0,0,450,0,0,0,0,450,0,0,251,0,0,0,0,251,0,0,235,0,0,0,0,235,0,0,228,0,0,0,0,228,0,0,855,0,0,0,0,855,0,0,452,0,0,0,0,452,0,0,93,0,0,0,0,93,0,0,206,0,0,0,0,206,0,0,156,0,0,0,0,156,0,0,452,0,0,0,0,452,0,0,280,0,0,0,0,280,0,0,5715,0,0,0,0,5715,0.05
S505999,大展證券自營,0,0,420,0,0,0,0,420,0,0,820,0,0,0,0,820,0,0,640,0,0,0,0,640,0,0,160,0,0,0,0,160,0,0,482,0,0,0,0,482,0,0,440,0,0,0,0,440,0,0,424,0,0,0,0,424,0,0,270,0,0,0,0,270,0,0,470,0,0,0,0,470,0,0,249,0,0,0,0,249,0,0,225,0,0,0,0,225,0,0,400,0,0,0,0,400,0,0,260,0,0,0,0,260,0,0,5260,0,0,0,0,5260,0.05
S844000,摩根大通證券,0,0,0,0,0,0,0,0,0,0,2780,0,0,0,0,2780,0,0,2043,0,0,0,0,2043,0,0,65,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4888,0,0,0,0,4888,0.04
S109999,台灣工銀證券自營,0,0,900,0,0,0,0,900,0,0,393,0,0,0,0,393,0,0,474,0,0,0,0,474,0,0,1470,0,0,0,0,1470,0,0,420,0,0,0,0,420,0,0,202,0,0,0,0,202,0,0,772,0,0,0,0,772,0,0,62,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78,0,0,64,0,0,0,0,64,0,0,4835,0,0,0,0,4835,0.04
S538999,第一金證券自營,0,0,580,0,0,0,0,580,0,0,677,0,0,0,0,677,0,0,285,0,0,0,0,285,0,0,561,0,0,0,0,561,0,0,168,0,0,0,0,168,0,0,85,0,0,0,0,85,0,0,198,0,0,0,0,198,0,0,381,0,0,0,0,381,0,0,296,0,0,0,0,296,0,0,108,0,0,0,0,108,0,0,251,0,0,0,0,251,0,0,596,0,0,0,0,596,0,0,114,0,0,0,0,114,0,0,4300,0,0,0,0,4300,0.04
F008999,統一期貨自營,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,22,0,0,0,0,22,0,0,308,0,0,0,0,308,0,0,146,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,22,0,0,0,0,22,0,0,374,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,950,0,0,984,0,0,0,0,984,0,0,662,0,0,0,0,662,0,0,3510,0,0,0,0,3510,0.03
S703000,致和證券,0,0,167,0,0,0,1,168,0,0,330,0,0,0,0,330,0,0,155,0,0,0,0,155,0,0,347,0,0,0,0,347,0,0,254,0,0,0,2,256,0,0,227,0,0,0,17,244,0,0,333,0,0,0,0,333,0,0,275,0,0,0,0,275,0,0,307,0,0,0,0,307,0,0,143,0,0,0,0,143,0,0,113,0,0,0,0,113,0,0,302,0,0,0,0,302,0,0,228,0,0,0,1,229,0,0,3181,0,0,0,21,3202,0.03
S505000,大展證券,0,0,152,0,0,0,0,152,0,0,387,0,0,0,0,387,0,0,259,3,0,0,0,262,0,0,373,2,0,0,0,375,0,0,546,1,0,0,0,547,0,0,233,0,0,0,0,233,0,0,253,3,0,0,0,256,0,0,185,0,0,0,0,185,0,0,170,0,0,0,0,170,0,0,61,1,0,0,0,62,0,0,191,1,0,0,0,192,0,0,173,0,0,0,0,173,0,0,82,0,0,0,0,82,0,0,3065,11,0,0,0,3076,0.03
S218999,亞東證券自營,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,510,0,0,300,0,0,0,0,300,0,0,25,0,0,0,0,25,0,0,290,0,0,0,0,290,0,0,480,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,80,0,0,40,0,0,0,0,40,0,0,360,0,0,0,0,360,0,0,100,0,0,0,0,100,0,0,2205,0,0,0,0,2205,0.02
S509999,華南永昌證券自營,0,0,127,0,0,0,0,127,0,0,205,0,0,0,0,205,0,0,130,0,0,0,0,130,0,0,225,0,0,0,0,225,0,0,159,0,0,0,0,159,0,0,165,0,0,0,0,165,0,0,170,0,0,0,0,170,0,0,237,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,60,0,0,206,0,0,0,0,206,0,0,1684,0,0,0,0,1684,0.01
S645000,永全證券,0,0,104,0,0,0,0,104,0,10,196,0,0,0,0,206,0,15,71,0,0,0,0,86,0,5,180,0,0,0,0,185,0,10,110,0,0,0,0,120,0,1,110,0,0,0,0,111,0,8,148,0,0,0,0,156,0,8,73,0,0,0,0,81,0,7,102,0,0,0,0,109,0,0,52,0,0,0,0,52,0,0,74,0,0,0,0,74,0,5,105,0,0,0,0,110,0,0,70,0,0,0,0,70,0,69,1395,0,0,0,0,1464,0.01
F005999,國票期貨自營,0,0,52,0,0,0,0,52,0,0,104,0,0,0,0,104,0,0,78,0,0,0,0,78,0,0,360,0,0,0,0,360,0,0,418,0,0,0,0,418,0,0,60,0,0,0,0,60,0,0,32,0,0,0,0,32,0,0,130,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,0,0,0,0,1234,0.01
S838000,安泰證券,2,0,35,0,0,0,0,37,0,0,81,0,0,0,0,81,1,0,22,0,0,0,0,23,0,0,71,0,0,0,0,71,0,0,50,0,0,0,0,50,0,0,26,0,0,0,0,26,0,0,42,0,0,0,0,42,1,0,44,0,0,0,0,45,1,0,41,0,0,0,0,42,0,0,50,0,0,0,0,50,0,0,78,0,0,0,0,78,0,0,45,0,0,0,0,45,0,0,26,0,0,0,0,26,5,0,611,0,0,0,0,616,0.01
S700999,兆豐證券自營,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,370,0,0,156,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49,0,0,575,0,0,0,0,575,0.01
S601000,奔亞證券,0,0,21,0,0,0,0,21,0,0,16,0,0,0,0,16,0,0,12,0,0,0,0,12,0,0,13,0,0,0,0,13,0,0,5,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,15,0,0,0,0,15,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,4,0,0,5,0,0,0,0,5,0,0,10,0,0,0,0,10,0,0,6,0,0,0,0,6,0,0,112,0,0,0,0,112,0
F029999,康和期貨自營,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,0
