期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F008000,統一期貨,0,24,27038,2,0,0,196,27260,0,21,30380,3,0,0,84,30488,1,82,22100,9,0,0,70,22262,5,82,31654,3,0,0,21,31765,121,103,37350,9,0,0,178,37761,5,19,17917,22,0,0,72,18035,0,167,50250,0,0,0,134,50551,0,325,19830,20,0,0,139,20314,1,118,19037,11,0,0,104,19271,0,102,15571,0,0,0,9,15682,0,3,21973,0,2,0,51,22029,2,6,32832,2,10,0,80,32932,0,89,31575,0,0,0,11,31675,135,1141,357507,81,12,0,1149,360025,3.18
F026000,富邦期貨,2,30,26579,22,0,0,5,26638,4,126,38890,137,0,0,0,39157,2,7,25909,71,1,0,28,26018,1,20,37430,97,0,0,0,37548,4,11,25271,165,0,0,9,25460,2,13,18056,707,0,0,1,18779,28,40,37862,549,0,0,4,38483,1,23,23203,118,0,0,28,23373,5,19,25925,54,0,0,19,26022,0,30,15896,58,0,0,3,15987,0,19,20737,85,0,0,10,20851,3,27,33057,51,0,0,2,33140,1,16,25917,56,0,0,14,26004,53,381,354732,2170,1,0,123,357460,3.16
F039000,大昌期貨,0,15,32822,10,0,0,6,32853,20,66,36979,5,0,0,3,37073,25,64,21796,12,0,0,1,21898,25,29,42026,21,0,0,4,42105,0,4,27866,40,0,0,3,27913,0,1,16467,37,0,0,14,16519,0,60,35627,18,0,0,18,35723,0,0,17811,79,0,0,36,17926,0,9,19736,11,0,0,43,19799,0,6,13693,10,0,0,54,13763,0,9,18942,42,0,0,35,19028,0,2,32720,5,0,0,8,32735,0,4,22330,39,0,0,22,22395,70,269,338815,329,0,0,247,339730,3
F018000,元富期貨,1,5,24292,1,0,0,5,24304,0,28,18959,3,0,0,5,18995,3,74,13397,8,0,0,19,13501,6,7,29894,9,0,0,0,29916,8,20,32592,18,0,0,40,32678,11,6,16722,1,0,0,6,16746,3,15,37177,15,0,0,36,37246,3,17,19511,5,0,0,76,19612,1,3,26426,17,0,0,12,26459,0,1,16590,0,0,0,0,16591,2,0,24674,0,0,0,1,24677,6,1,43165,0,0,0,2,43174,0,4,27967,0,0,0,0,27971,44,181,331366,77,0,0,202,331870,2.93
F029000,康和期貨,0,6,26809,3,0,0,4,26822,2,17,36969,1,0,0,2,36991,14,24,22378,9,0,0,2,22427,2,37,30942,3,0,0,0,30984,14,5,27645,0,4,0,25,27693,8,2,16500,9,0,0,1,16520,2,22,35135,1,0,0,5,35165,0,13,20422,0,0,0,9,20444,0,2,23035,0,4,0,34,23075,8,7,13508,0,0,0,1,13524,0,2,19383,0,0,0,1,19386,6,5,30466,0,0,0,1,30478,1,1,26600,0,0,0,11,26613,57,143,329792,26,8,0,96,330122,2.92
F007000,日盛期貨,60,31,20310,0,0,0,2,20403,51,236,32018,0,2,0,0,32307,54,243,22210,0,0,0,8,22515,38,250,27020,5,0,0,6,27319,20,23,25933,1,0,0,4,25981,4,52,11885,0,0,0,2,11943,6,433,29251,0,0,0,16,29706,21,466,14858,1,0,0,96,15442,161,404,18992,0,0,0,11,19568,42,64,9529,0,0,0,0,9635,78,87,15787,0,0,0,1,15953,108,220,22005,2,0,0,18,22353,379,84,16968,1,0,0,22,17454,1022,2593,266766,10,2,0,186,270579,2.39
F020999,群益期貨自營,0,0,11001,0,0,0,0,11001,0,1,19790,0,0,0,0,19791,0,0,17293,0,0,0,0,17293,0,60,11460,10,0,0,0,11530,1,0,18916,4,0,0,0,18921,0,0,16206,5,0,0,0,16211,0,0,24797,0,0,0,0,24797,0,48,7761,5,0,0,0,7814,158,103,14215,20,0,0,0,14496,0,0,2925,0,0,0,0,2925,0,0,14183,0,0,0,0,14183,0,0,23187,30,0,0,0,23217,0,0,17624,11,0,0,20,17655,159,212,199358,85,0,0,20,199834,1.77
F013000,大華期貨,4,2,8415,0,0,0,2,8423,0,37,11696,0,0,0,0,11733,2,39,11875,6,0,0,0,11922,4,47,21596,0,0,0,0,21647,4,13,9052,0,0,0,0,9069,3,6,5879,2,0,0,0,5890,5,28,14903,3,0,0,2,14941,0,13,6242,18,0,0,6,6279,2,11,6441,0,0,0,8,6462,2,4,3413,2,0,0,0,3421,0,3,4651,0,0,0,6,4660,15,10,13598,3,0,0,0,13626,1,17,8111,12,0,0,0,8141,42,230,125872,46,0,0,24,126214,1.12000000000000016
F005000,國票期貨,0,66,7660,0,0,0,0,7726,0,90,12938,16,0,0,0,13044,0,61,9275,6,0,0,0,9342,0,30,11653,11,0,0,0,11694,0,15,9381,8,0,0,23,9427,0,13,5829,9,0,0,39,5890,1,33,13634,49,0,0,0,13717,2,16,6843,12,0,0,58,6931,1,26,10261,1,0,0,21,10310,0,12,3865,13,0,0,30,3920,0,2,7982,0,0,0,12,7996,0,20,12118,2,0,0,15,12155,0,6,9616,0,0,0,34,9656,4,390,121055,127,0,0,232,121808,1.08
S144000,美林證券,0,0,3495,0,0,0,0,3495,0,0,2187,0,0,0,0,2187,0,0,7210,0,0,0,0,7210,0,0,16699,0,0,0,0,16699,0,0,6795,0,0,0,0,6795,0,0,8808,0,0,0,0,8808,0,0,9481,0,0,0,0,9481,0,0,9057,0,0,0,0,9057,0,0,6438,0,0,0,0,6438,0,0,0,0,0,0,0,0,0,0,13347,0,0,0,0,13347,0,0,28601,0,0,0,0,28601,0,0,6784,0,0,0,0,6784,0,0,118902,0,0,0,0,118902,1.05
S592999,元富證券自營,0,0,7360,0,0,0,0,7360,0,0,10338,0,0,0,0,10338,0,0,9399,0,0,0,0,9399,0,0,22480,0,0,0,0,22480,0,0,13081,0,0,0,0,13081,0,0,6281,0,0,0,0,6281,0,0,9132,0,0,0,0,9132,0,0,6244,0,0,0,0,6244,0,0,6682,0,0,0,0,6682,0,0,5820,0,0,0,0,5820,0,0,2376,0,0,0,0,2376,0,0,6427,0,0,0,0,6427,0,0,4333,0,0,0,0,4333,0,0,109953,0,0,0,0,109953,0.97
F030000,兆豐期貨,0,0,7571,1,0,0,0,7572,1,49,13522,1,0,0,0,13573,0,10,8342,5,0,0,0,8357,0,53,8740,2,0,0,0,8795,1,12,11902,2,0,0,8,11925,0,26,4874,6,0,0,0,4906,3,17,10363,3,0,0,21,10407,5,5,6401,0,0,0,10,6421,2,8,9364,1,0,0,4,9379,0,2,4441,0,0,0,0,4443,0,9,4893,0,0,0,25,4927,1,8,7860,0,0,0,3,7872,3,11,8668,0,0,0,0,8682,16,210,106941,21,0,0,71,107259,0.95
F014000,華南期貨,0,6,7077,8,0,0,0,7091,0,10,9315,2,0,0,0,9327,0,17,5479,1,0,0,0,5497,0,19,11875,23,0,0,1,11918,0,8,10982,8,0,0,2,11000,0,4,5970,10,0,0,1,5985,0,15,9256,67,0,0,0,9338,0,10,5578,9,0,0,0,5597,1,10,5453,0,0,0,7,5471,0,10,4076,0,0,0,0,4086,0,8,6075,3,0,0,19,6105,0,19,10295,5,0,0,0,10319,0,23,8216,0,0,0,5,8244,1,159,99647,136,0,0,35,99978,0.88
