期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20120801,,,,,,,,20120803,,,,,,,,20120806,,,,,,,,20120807,,,,,,,,20120808,,,,,,,,20120809,,,,,,,,20120810,,,,,,,,20120813,,,,,,,,20120814,,,,,,,,20120815,,,,,,,,20120816,,,,,,,,20120817,,,,,,,,20120820,,,,,,,,20120821,,,,,,,,20120822,,,,,,,,20120823,,,,,,,,20120824,,,,,,,,20120827,,,,,,,,20120828,,,,,,,,20120829,,,,,,,,20120830,,,,,,,,20120831,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,2,112,108670,35,0,0,0,108819,8,162,83088,64,0,0,0,83322,6,553,127319,74,0,0,0,127952,1,266,61944,62,0,0,0,62273,19,250,138354,63,0,0,0,138686,11,423,235979,46,0,0,0,236459,0,13,111090,35,0,0,0,111138,20,27,101004,177,0,0,0,101228,2,195,190050,202,0,0,0,190449,120,0,83758,345,0,0,0,84223,0,41,76600,35,0,0,0,76676,1,70,46369,67,0,0,0,46507,146,63,68559,20,0,0,0,68788,108,128,85116,16,0,0,0,85368,13,110,52086,29,0,0,0,52238,19,993,62109,5,0,0,0,63126,7,68,38713,6,0,0,0,38794,6,73,65191,0,0,0,0,65270,8,259,67133,20,0,0,0,67420,6,120,33880,1,0,0,0,34007,0,221,70005,0,0,0,0,70226,0,138,64889,0,0,0,0,65027,503,4285,1971906,1302,0,0,0,1977996,12.43
F034999,澳帝華期貨自營,26,73,71514,135,0,0,163,71911,528,244,69784,49,0,0,148,70753,280,498,118079,97,0,0,203,119157,140,112,78181,134,0,0,69,78636,290,163,136864,101,0,0,91,137509,297,283,194595,50,0,0,82,195307,227,107,103401,67,0,0,155,103957,113,84,95425,30,0,0,92,95744,221,489,166840,108,0,0,48,167706,101,72,99757,30,0,0,158,100118,169,84,71501,315,0,0,32,72101,136,49,59516,109,0,0,146,59956,118,8,66853,94,0,0,41,67114,144,69,71348,126,0,0,172,71859,64,41,44706,70,0,0,532,45413,0,4,72493,74,0,0,27,72598,160,130,54587,84,0,0,132,55093,0,0,86711,84,0,0,75,86870,40,0,79286,61,0,0,114,79501,89,206,36508,26,0,0,30,36859,49,300,72474,25,0,0,0,72848,9,65,74198,40,0,0,0,74312,3201,3081,1924621,1909,0,0,2510,1935322,12.16
S980999,元大寶來證券自營,68,176,76531,184,0,0,134,77093,154,189,62447,147,0,0,0,62937,147,263,129341,359,0,0,69,130179,125,364,60445,246,0,0,19,61199,279,236,119323,166,0,0,0,120004,502,327,159116,306,0,0,119,160370,101,155,89553,217,0,0,62,90088,103,140,76893,183,0,0,7,77326,186,565,168507,149,0,0,47,169454,69,210,95842,245,0,0,61,96427,131,83,58897,951,0,0,30,60092,110,11,39980,454,0,0,21,40576,130,99,50922,363,0,0,92,51606,100,90,83022,377,0,0,115,83704,81,30,62048,113,0,0,62,62334,6,885,74754,140,0,0,186,75971,222,188,40783,205,0,0,113,41511,157,108,56193,248,0,0,26,56732,104,302,87473,243,0,0,41,88163,65,163,37041,135,0,0,66,37470,66,316,85799,122,0,0,49,86352,182,213,72834,194,0,0,21,73444,3088,5113,1787744,5747,0,0,1340,1803032,11.33
F021000,元大寶來期貨,24,60,82766,0,0,0,35,82885,150,96,74808,4,7,0,46,75111,160,172,133278,1,4,0,59,133674,35,21,58670,10,5,0,67,58808,327,82,114772,7,3,0,2,115193,243,391,182260,4,1,0,10,182909,169,65,87197,3,3,0,8,87445,68,8,63233,0,6,0,31,63346,89,186,139670,7,6,0,4,139962,40,27,93078,5,3,0,18,93171,45,63,79171,7,0,0,47,79333,38,20,48040,3,0,0,33,48134,88,31,70044,0,4,0,12,70179,122,49,77851,2,11,0,13,78048,37,48,56434,32,1,0,165,56717,56,100,70566,5,1,0,90,70818,65,74,43027,8,0,0,36,43210,81,36,66919,1,0,0,62,67099,8,59,62661,0,0,0,36,62764,110,28,41611,1,0,0,8,41758,276,133,61920,13,15,0,2,62359,115,131,48767,1,16,0,31,49061,2346,1880,1756743,114,86,0,815,1761984,11.07
F004000,凱基期貨,6,13,46752,43,0,0,1,46815,4,19,44755,8,0,0,11,44797,10,37,86065,31,0,0,0,86143,8,3,31278,83,0,0,0,31372,10,107,66792,60,0,0,2,66971,13,102,116772,31,0,0,3,116921,2,20,62682,6,0,0,2,62712,7,20,43453,37,0,0,11,43528,27,19,80438,41,0,0,4,80529,2,7,48094,33,0,0,2,48138,3,27,36628,43,0,0,1,36702,16,38,25543,15,0,0,16,25628,2,31,33795,1,1,0,12,33842,5,38,45038,20,0,0,20,45121,5,14,26487,35,1,0,22,26564,28,16,33031,34,0,0,14,33123,12,11,26534,86,0,0,29,26672,1,9,33933,56,0,0,13,34012,2,83,47850,34,0,0,18,47987,2,20,21362,3,0,0,32,21419,1,14,43808,21,0,0,11,43855,0,15,31051,8,0,0,2,31076,166,663,1032141,729,2,0,226,1033927,6.5
F002000,永豐期貨,0,55,41438,23,0,0,0,41516,17,9,37260,46,0,0,30,37362,67,66,65338,3,0,0,33,65507,1,49,37510,14,3,0,6,37583,5,39,47727,24,1,0,0,47796,25,52,80969,69,1,0,4,81120,30,21,40620,192,0,0,1,40864,10,38,36076,58,0,0,1,36183,8,45,65723,59,0,0,6,65841,6,42,56367,49,1,0,13,56478,21,39,47331,122,0,0,2,47515,2,6,32702,43,0,0,6,32759,3,34,54562,31,3,0,4,54637,14,79,36149,32,0,0,4,36278,1,43,24093,63,0,0,21,24221,0,1,24832,45,0,0,27,24905,6,3,22508,12,0,0,24,22553,0,11,22163,25,0,0,14,22213,11,73,37932,9,0,0,1,38026,0,4,17785,0,0,0,20,17809,0,46,27468,7,10,0,18,27549,0,59,21450,2,0,0,2,21513,227,814,878003,928,19,0,237,880228,5.53
F020000,群益期貨,2,8,29781,23,0,0,6,29820,0,5,28399,0,6,0,4,28414,0,1,44939,65,4,0,1,45010,3,7,22291,50,0,0,1,22352,4,38,43818,0,0,0,2,43862,12,19,71868,22,4,0,1,71926,6,7,31585,11,2,0,2,31613,3,6,29385,1,2,0,7,29404,0,31,67874,2,0,0,22,67929,6,1,40112,5,0,0,5,40129,0,15,30698,50,0,0,0,30763,3,10,23603,0,0,0,11,23627,1,2,19927,15,0,0,5,19950,3,15,29462,11,0,0,15,29506,0,0,16012,5,0,0,7,16024,1,6,21079,10,0,0,25,21121,1,0,17921,0,0,0,32,17954,1,2,21911,37,0,0,19,21970,0,4,28326,1,0,0,37,28368,0,0,13936,86,0,0,66,14088,0,2,26378,31,0,0,9,26420,0,6,28254,6,0,0,1,28267,46,185,687559,431,18,0,278,688517,4.33
F026000,富邦期貨,1,2,23579,28,0,0,2,23612,0,4,26419,101,0,0,9,26533,1,17,35733,50,0,0,0,35801,1,4,23930,70,2,0,2,24009,1,5,35640,0,2,0,10,35658,3,3,62760,23,0,0,0,62789,3,1,35169,2,1,0,2,35178,0,1,30026,136,0,0,4,30167,1,4,55637,91,0,0,8,55741,0,1,41848,234,0,0,6,42089,0,0,28261,5,0,0,0,28266,13,24,18427,6,0,0,13,18483,12,3,20101,8,0,0,1,20125,12,8,23681,4,0,0,6,23711,0,9,15780,27,0,0,5,15821,0,5,14913,5,0,0,32,14955,1,1,16041,6,0,0,54,16103,0,0,19081,0,0,0,16,19097,0,1,28522,9,0,0,17,28549,0,3,10962,6,0,0,0,10971,0,8,20896,1,0,0,12,20917,1,2,19918,2,0,0,0,19923,50,106,607324,814,5,0,199,608498,3.82
B224999,中國信託商業銀行自營,59,32,22329,294,0,0,222,22936,75,79,16665,195,0,0,117,17131,112,110,23600,310,0,0,61,24193,46,63,14186,305,0,0,1,14601,146,196,33889,163,0,0,63,34457,304,378,34789,285,0,0,136,35892,60,1,25415,243,0,0,116,25835,40,18,26735,283,0,0,49,27125,44,80,52025,195,0,0,53,52397,126,149,38603,470,0,0,51,39399,70,10,26939,611,0,0,28,27658,50,56,10761,342,0,0,54,11263,132,70,9474,460,0,0,91,10227,99,31,11928,258,0,0,235,12551,91,32,8359,129,0,0,237,8848,20,137,12695,131,0,0,465,13448,32,53,12430,133,0,0,530,13178,87,77,14567,260,0,0,277,15268,144,309,15261,209,0,0,260,16183,130,242,10673,136,0,0,87,11268,206,141,14516,178,0,0,29,15070,119,171,8942,99,0,0,67,9398,2192,2435,444781,5689,0,0,3229,458326,2.88
