期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20131001,,,,,,,,20131002,,,,,,,,20131003,,,,,,,,20131004,,,,,,,,20131007,,,,,,,,20131008,,,,,,,,20131009,,,,,,,,20131011,,,,,,,,20131014,,,,,,,,20131015,,,,,,,,20131016,,,,,,,,20131017,,,,,,,,20131018,,,,,,,,20131021,,,,,,,,20131022,,,,,,,,20131023,,,,,,,,20131024,,,,,,,,20131025,,,,,,,,20131028,,,,,,,,20131029,,,,,,,,20131030,,,,,,,,20131031,,,,,,,,99999999,,,,,,,
F021000,元大寶來期貨,0,38,53935,3,0,0,10,53986,85,54,53126,3,1,0,53,53322,126,289,160303,5,3,0,8,160734,65,113,74826,1,14,0,42,75061,172,10,69037,1,0,0,13,69233,15,205,83109,2,0,0,28,83359,104,335,89776,9,0,0,13,90237,163,254,108917,10,1,0,60,109405,127,154,94826,4,0,0,12,95123,96,197,89294,9,0,0,52,89648,21,45,92288,15,0,0,82,92451,135,118,74645,17,0,0,21,74936,166,199,61145,6,4,0,22,61542,51,85,49806,1,0,0,20,49963,23,39,70179,37,0,0,23,70301,92,154,86286,39,0,0,25,86596,89,109,61129,8,0,0,14,61349,22,54,74247,12,0,0,29,74364,49,25,60277,3,4,0,23,60381,29,45,79226,4,0,0,6,79310,46,18,76890,7,0,0,9,76970,62,18,59327,5,4,0,11,59427,1738,2558,1722594,201,31,0,576,1727698,11.06
S157999,港商法國興業證券自營,0,0,71809,87,0,0,0,71896,411,286,43404,90,0,0,0,44191,20,578,128687,80,0,0,0,129365,50,269,82871,90,0,0,0,83280,0,129,80154,105,0,0,0,80388,0,584,96688,105,0,0,0,97377,0,0,72155,104,0,0,0,72259,0,0,15204,230,0,0,0,15434,0,0,122571,160,0,0,0,122731,400,150,94018,200,0,0,0,94768,80,0,45490,422,0,0,0,45992,741,608,63035,27,0,0,0,64411,5,50,60410,0,0,0,0,60465,0,75,36942,5,0,0,0,37022,0,3,28943,5,0,0,0,28951,0,122,55234,10,0,0,0,55366,22,43,41868,10,0,0,0,41943,4,6,74922,0,0,0,0,74932,0,3,60214,15,0,0,0,60232,0,1,103401,5,0,0,0,103407,0,0,50349,15,0,0,0,50364,0,0,58941,15,0,0,0,58956,1733,2907,1487310,1780,0,0,0,1493730,9.56
F034999,澳帝華期貨自營,64,47,45884,9,0,0,35,46039,414,108,51471,5,0,0,86,52084,369,422,127309,37,0,0,89,128226,358,414,65891,45,0,0,121,66829,148,33,63350,16,0,0,87,63634,150,473,74434,32,0,0,76,75165,95,138,97110,30,0,0,45,97418,268,383,98976,11,0,0,112,99750,235,349,84429,35,0,0,211,85259,88,286,66783,19,0,0,83,67259,13,262,43164,44,0,0,179,43662,193,470,53910,91,0,0,90,54754,227,122,50369,7,0,0,187,50912,216,383,47995,440,0,0,243,49277,105,18,62870,45,0,0,198,63236,139,223,65021,48,0,0,33,65464,327,76,47021,30,0,0,57,47511,68,60,58233,43,0,0,49,58453,1,0,60053,17,0,0,34,60105,0,21,65951,7,0,0,60,66039,0,85,48807,1,0,0,102,48995,22,21,40291,40,0,0,125,40499,3500,4394,1419322,1052,0,0,2302,1430570,9.15
F004000,凱基期貨,4,3,42906,0,0,0,6,42919,25,8,57314,0,1,0,46,57394,9,35,121749,3,0,0,7,121803,0,16,52466,0,0,0,12,52494,25,19,40466,0,0,0,11,40521,6,32,65443,0,0,0,47,65528,21,29,77678,2,0,0,16,77746,16,33,71442,0,1,0,22,71514,12,44,55084,2,0,0,51,55193,9,7,52158,14,0,0,23,52211,21,20,60415,7,0,0,20,60483,10,22,45186,21,0,0,24,45263,133,11,44656,4,0,0,35,44839,43,15,38751,4,0,0,30,38843,82,11,51514,0,0,0,13,51620,118,14,79561,1,0,0,39,79733,9,8,42450,20,0,0,2,42489,17,11,57030,1,0,0,9,57068,5,6,41895,0,0,0,11,41917,4,7,61473,0,0,0,10,61494,30,12,65650,4,0,0,7,65703,9,4,40911,3,0,0,1,40928,608,367,1266198,86,2,0,442,1267703,8.11
S980999,元大寶來證券自營,47,79,48826,16,0,0,30,48998,453,439,38928,9,0,0,0,39829,476,1278,111751,5,0,0,89,113599,476,662,50383,25,0,0,25,51571,354,170,54772,80,0,0,61,55437,234,1379,57053,90,0,0,26,58782,204,876,58484,120,0,0,15,59699,194,932,72889,85,0,0,0,74100,310,715,61206,125,0,0,273,62629,67,295,52558,149,0,0,90,53159,25,343,49357,155,0,0,18,49898,241,350,53041,96,0,0,62,53790,108,401,37688,33,0,0,54,38284,300,692,42338,49,0,0,31,43410,188,179,49641,31,0,0,62,50101,199,740,57987,33,0,0,85,59044,353,349,46789,53,0,0,59,47603,56,216,58177,54,0,0,24,58527,96,159,51861,70,0,0,55,52241,183,338,47464,45,0,0,81,48111,107,253,41838,56,0,0,244,42498,97,213,39376,51,0,0,186,39923,4768,11058,1182407,1430,0,0,1570,1201233,7.69
F002000,永豐期貨,2,0,38962,15,0,0,4,38983,0,8,47958,5,0,0,69,48040,8,24,97045,26,0,0,15,97118,1,20,46890,21,0,0,5,46937,7,25,40960,9,0,0,25,41026,5,11,54502,4,0,0,7,54529,4,56,65475,45,0,0,2,65582,54,28,69257,0,0,0,18,69357,36,25,61628,63,0,0,67,61819,9,11,55431,46,0,0,26,55523,8,25,56963,16,0,0,36,57048,43,20,35617,17,0,0,76,35773,67,12,36921,20,0,0,119,37139,39,11,40709,24,0,0,0,40783,40,31,61241,17,0,0,49,61378,58,16,91197,6,0,0,43,91320,3,4,33621,8,0,0,15,33651,21,1,48304,12,0,0,6,48344,1,11,49413,1,0,0,14,49440,3,1,52718,30,0,0,43,52795,23,11,58937,38,0,0,21,59030,1,11,37523,23,0,0,26,37584,433,362,1181272,446,0,0,686,1183199,7.57
F029000,康和期貨,0,0,36455,0,0,0,1,36456,0,8,45683,0,0,0,13,45704,0,4,67579,0,2,0,6,67591,2,20,54418,0,12,0,2,54454,0,0,35594,0,0,0,0,35594,0,3,34716,0,0,0,17,34736,0,7,58706,3,0,0,1,58717,0,16,70889,0,0,0,0,70905,0,1,58984,1,0,0,4,58990,0,1,59920,0,0,0,2,59923,1,0,50268,1,0,0,8,50278,0,9,53050,0,0,0,4,53063,0,0,61816,0,4,0,0,61820,0,0,38160,5,0,0,0,38165,0,2,40920,0,0,0,1,40923,0,11,51139,1,0,0,4,51155,0,0,21031,5,0,0,0,21036,0,8,34985,0,0,0,0,34993,0,8,23875,0,4,0,0,23887,0,18,43094,0,0,0,2,43114,0,8,54154,0,0,0,0,54162,0,7,34615,0,0,0,1,34623,3,131,1030051,16,22,0,66,1030289,6.59
F020000,群益期貨,0,0,32767,1,0,0,0,32768,5,9,33123,0,0,0,30,33167,20,269,80727,4,0,0,24,81044,5,76,34336,0,0,0,8,34425,4,21,38045,0,0,0,29,38099,2,104,41228,0,0,0,37,41371,2,167,47119,36,0,0,0,47324,2,13,45023,0,0,0,2,45040,11,20,40131,2,0,0,26,40190,10,51,40918,6,0,0,19,41004,23,35,37130,17,0,0,37,37242,26,29,27141,49,0,0,1,27246,39,27,24686,2,0,0,57,24811,11,17,20795,2,0,0,8,20833,13,4,20937,1,0,0,21,20976,5,15,32512,21,0,0,46,32599,65,46,18924,1,0,0,2,19038,6,14,25074,7,0,0,12,25113,13,12,23979,3,0,0,0,24007,0,20,30955,1,0,0,15,30991,12,73,33491,1,0,0,13,33590,8,55,18209,7,0,0,7,18286,282,1077,747250,161,0,0,394,749164,4.79
B224999,中國信託商業銀行自營,20,31,17125,49,0,0,56,17281,69,227,26692,67,0,0,139,27194,237,990,43152,59,0,0,114,44552,288,282,23136,116,0,0,60,23882,228,117,18099,44,0,0,100,18588,81,667,35741,40,0,0,92,36621,112,329,45053,139,0,0,36,45669,0,0,30858,0,0,0,71,30929,209,748,28015,156,0,0,154,29282,411,506,40923,111,0,0,112,42063,39,285,42867,156,0,0,135,43482,588,277,21805,256,0,0,68,22994,184,223,20869,64,0,0,167,21507,145,227,14489,74,0,0,209,15144,62,28,21343,46,0,0,83,21562,100,221,38824,64,0,0,281,39490,55,98,19184,54,0,0,83,19474,37,133,30759,85,0,0,186,31200,99,190,23753,38,0,0,116,24196,134,207,39014,283,0,0,174,39812,45,0,38719,67,0,0,222,39053,45,83,16743,82,0,0,208,17161,3188,5869,637163,2050,0,0,2866,651136,4.17
F026000,富邦期貨,0,0,19056,134,0,0,4,19194,3,15,21387,111,0,0,7,21523,6,17,54399,121,0,0,12,54555,1,62,20799,128,0,0,66,21056,5,0,20206,221,0,0,1,20433,2,65,22828,235,0,0,25,23155,5,22,28707,215,0,0,0,28949,13,12,30988,365,0,0,3,31381,6,283,25716,358,0,0,8,26371,1,4,25395,353,0,0,0,25753,2,112,20976,650,0,0,17,21757,0,66,20659,30,0,0,3,20758,11,10,19486,24,0,0,46,19577,5,5,14614,427,0,0,9,15060,11,0,18752,26,0,0,0,18789,1,0,24884,40,0,0,29,24954,12,12,19047,60,0,0,6,19137,5,5,24133,41,0,0,37,24221,2,4,20903,75,0,0,12,20996,4,0,21979,265,0,0,5,22253,3,3,20036,60,0,0,1,20103,8,12,15653,76,0,0,2,15751,106,709,510603,4015,0,0,293,515726,3.3
