期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20140603,,,,,,,,20140604,,,,,,,,20140605,,,,,,,,20140606,,,,,,,,20140609,,,,,,,,20140610,,,,,,,,20140611,,,,,,,,20140612,,,,,,,,20140613,,,,,,,,20140616,,,,,,,,20140617,,,,,,,,20140618,,,,,,,,20140619,,,,,,,,20140620,,,,,,,,20140623,,,,,,,,20140624,,,,,,,,20140625,,,,,,,,20140626,,,,,,,,20140627,,,,,,,,20140630,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,0,20,195948,150,0,0,0,196118,0,0,114905,137,0,0,0,115042,0,0,111827,121,0,0,0,111948,22,0,138184,214,0,0,0,138420,20,0,101267,185,0,0,0,101472,0,0,168483,195,0,0,0,168678,0,3,87862,160,0,0,0,88025,0,0,98939,175,0,0,0,99114,20,0,137191,162,0,0,0,137373,4450,60,82238,57,0,0,0,86805,0,20,159253,175,0,0,0,159448,166,80,180351,220,0,0,0,180817,20,0,128334,45,0,0,0,128399,2,20,121359,45,0,0,0,121426,0,21,175238,60,0,0,0,175319,0,0,143334,65,0,0,0,143399,0,0,121609,15,0,0,0,121624,0,0,176692,25,0,0,0,176717,0,0,127825,75,0,0,0,127900,0,0,221335,70,0,0,0,221405,4700,224,2792174,2351,0,0,0,2799449,14.13
F021000,元大寶來期貨,233,296,113726,2,0,0,104,114361,125,147,89938,6,0,0,23,90239,78,60,74917,0,0,0,22,75077,116,96,77011,2,0,0,46,77271,134,28,47981,7,0,0,30,48180,140,454,135084,7,1,0,13,135699,569,70,86961,1,3,0,6,87610,171,137,67561,1,0,0,20,67890,428,121,79234,2,2,0,20,79807,166,66,57974,4,5,0,13,58228,395,145,91598,1,3,0,46,92188,503,275,199190,13,1,0,5,199987,48,79,106059,23,0,0,18,106227,70,97,88571,15,0,0,104,88857,730,257,117771,12,2,0,62,118834,471,82,74005,0,3,0,3,74564,89,28,96221,1,0,0,14,96353,178,257,106842,0,4,0,66,107347,235,43,70059,0,2,0,31,70370,258,238,144548,1,0,0,6,145051,5137,2976,1925251,98,26,0,652,1934140,9.76
F034999,澳帝華期貨自營,131,303,101652,35,0,0,64,102185,7,74,73699,6,0,0,13,73799,69,77,81887,68,0,0,19,82120,111,80,82874,7,0,0,39,83111,116,67,80001,64,0,0,3,80251,59,364,99176,46,0,0,15,99660,128,81,81827,33,0,0,6,82075,140,254,55097,5,0,0,24,55520,178,158,75555,12,0,0,48,75951,51,71,33258,10,0,0,23,33413,64,134,78258,15,0,0,85,78556,306,157,111727,29,0,0,27,112246,44,92,91470,156,0,0,185,91947,457,613,89866,83,0,0,133,91152,243,244,87030,76,0,0,24,87617,224,15,64896,63,0,0,27,65225,52,20,93957,70,0,0,36,94135,58,314,74159,273,0,0,81,74885,118,58,61542,11,0,0,12,61741,28,103,102780,100,0,0,1,103012,2584,3279,1620711,1162,0,0,865,1628601,8.22
F004000,凱基期貨,0,30,86457,25,0,0,15,86527,1,22,73455,0,0,0,11,73489,0,9,57733,20,0,0,12,57774,1,10,70151,32,0,0,8,70202,1,9,49207,10,0,0,0,49227,1,40,99148,30,1,0,2,99222,5,49,73922,0,2,0,5,73983,2,7,60838,29,0,0,2,60878,6,21,58840,28,0,0,9,58904,1,3,48091,21,0,0,15,48131,2,25,93961,27,2,0,16,94033,46,92,173133,41,0,0,5,173317,25,31,74972,76,0,0,12,75116,0,38,77247,112,0,0,38,77435,16,5,75423,55,0,0,24,75523,36,4,68367,0,0,0,18,68425,2,3,90122,10,0,0,8,90145,0,61,73869,45,0,0,35,74010,9,45,57419,16,0,0,3,57492,0,39,108352,395,0,0,0,108786,154,543,1570707,972,5,0,238,1572619,7.94
F002000,永豐期貨,12,66,61951,23,0,0,11,62063,48,18,71889,5,0,0,2,71962,23,21,44782,12,0,0,15,44853,36,59,62147,27,0,0,19,62288,25,79,34269,38,0,0,0,34411,12,114,84025,66,0,0,1,84218,10,30,72226,27,0,0,1,72294,8,15,45279,16,0,0,6,45324,8,31,66209,11,0,0,36,66295,12,7,43428,1,0,0,0,43448,42,13,71178,12,0,0,0,71245,19,23,167496,19,0,0,6,167563,12,35,72324,32,0,0,4,72407,26,291,59155,0,0,0,52,59524,15,12,77055,17,0,0,5,77104,16,37,52360,3,0,0,1,52417,7,8,90243,3,0,0,5,90266,11,31,72204,23,0,0,22,72291,39,6,44935,8,0,0,0,44988,20,13,107349,43,0,0,0,107425,401,909,1400504,386,0,0,186,1402386,7.08
S980999,元大寶來證券自營,26,272,88507,24,0,0,0,88829,115,94,39497,41,0,0,13,39760,104,58,55329,0,0,0,5,55496,42,128,61917,42,0,0,42,62171,436,274,38285,56,0,0,17,39068,196,619,97554,151,0,0,20,98540,525,54,55110,180,0,0,11,55880,20,31,44661,184,0,0,6,44902,266,248,72880,180,0,0,1,73575,2746,169,55652,0,0,0,214,58781,586,265,92834,200,0,0,180,94065,856,378,154681,200,0,0,40,156155,351,289,56934,0,0,0,60,57634,527,1139,70087,50,0,0,90,71893,734,409,77465,47,0,0,145,78800,445,276,56186,25,0,0,35,56967,186,33,51989,30,0,0,42,52280,504,424,74522,0,0,0,32,75482,68,197,55216,62,0,0,62,55605,225,499,79153,0,0,0,42,79919,8958,5856,1378459,1472,0,0,1057,1395802,7.05
F029000,康和期貨,4,5,51633,0,0,0,25,51667,0,7,56427,0,0,0,3,56437,0,6,51797,0,0,0,0,51803,0,1,45323,0,0,0,48,45372,4,10,33351,0,0,0,0,33365,6,176,51777,0,0,0,0,51959,0,3,54507,0,0,0,1,54511,0,300,53906,0,0,0,0,54206,1,44,47857,5,0,0,32,47939,0,10,35110,0,0,0,9,35129,15,19,41446,0,0,0,36,41516,0,5,109653,0,0,0,36,109694,6,7,74184,5,0,0,21,74223,2,3,50097,0,0,0,137,50239,4,2,53498,8,0,0,43,53555,4,2,43997,0,0,0,28,44031,0,0,73355,0,0,0,31,73386,4,1,74445,2,0,0,0,74452,5,13,50816,0,0,0,0,50834,6,1,59301,0,0,0,0,59308,61,615,1112480,20,0,0,450,1113626,5.62
F020000,群益期貨,2,16,40173,3,0,0,12,40206,9,21,32933,0,0,0,3,32966,0,0,26247,52,0,0,0,26299,9,0,37949,0,0,0,3,37961,2,1,26559,5,0,0,1,26568,3,19,56037,2,0,0,1,56062,5,21,38490,15,1,0,0,38532,13,34,34136,2,0,0,1,34186,39,35,41132,0,1,0,0,41207,1,6,29191,0,0,0,0,29198,16,4,61452,6,1,0,24,61503,69,4,88338,2,1,0,2,88416,23,14,52102,139,0,0,4,52282,3,11,39387,7,0,0,13,39421,1,24,55421,1,0,0,7,55454,7,10,39493,0,1,0,11,39522,8,10,44005,1,0,0,4,44028,10,6,45114,30,4,0,4,45168,26,30,28270,40,0,0,3,28369,59,33,57162,0,0,0,0,57254,305,299,873591,305,9,0,93,874602,4.41
S920999,凱基證券自營,30,54,62927,104,0,0,4,63119,60,55,36686,124,0,0,0,36925,6,13,35598,141,0,0,0,35758,28,3,42001,149,0,0,26,42207,31,18,25139,147,0,0,21,25356,18,129,44589,213,0,0,0,44949,197,44,31265,117,0,0,140,31763,23,57,27905,126,0,0,1,28112,1422,129,28811,0,0,0,50,30412,181,500,35606,146,0,0,228,36661,262,326,51988,211,0,0,156,52943,430,105,59630,117,0,0,7,60289,71,63,28992,258,0,0,64,29448,133,152,29591,210,0,0,174,30260,166,211,23147,0,0,0,219,23743,178,60,18841,0,0,0,19,19098,79,65,45584,168,0,0,30,45926,246,128,31610,141,0,0,33,32158,85,85,23322,55,0,0,97,23644,32,199,44077,167,0,0,108,44583,3678,2396,727309,2594,0,0,1377,737354,3.72
