期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F039000,大昌期貨,0,3,16834,9,0,0,1,16847,0,7,16870,4,0,0,3,16884,0,3,19350,9,0,0,4,19366,0,19,22472,15,0,0,5,22511,0,27,16688,36,0,0,8,16759,0,20,23597,27,0,0,3,23647,0,4,19600,7,0,0,4,19615,2,31,44222,12,0,0,5,44272,0,13,36835,24,0,0,0,36872,13,2,21808,20,0,0,10,21853,4,13,23987,27,0,0,5,24036,0,1,30584,16,0,0,1,30602,0,1,10210,4,0,0,0,10215,1,0,10929,13,0,0,22,10965,0,0,20936,3,0,0,28,20967,0,0,10390,4,0,0,6,10400,0,0,26318,1,0,0,17,26336,0,0,17472,4,0,0,3,17479,0,0,35597,6,0,0,11,35614,0,0,34190,3,0,0,33,34226,0,0,20038,6,0,0,5,20049,0,6,21289,1,0,0,0,21296,20,150,500216,251,0,0,174,500811,2.72000000000000032
F008000,統一期貨,0,4,11256,6,0,0,98,11364,2,1,18032,0,0,0,37,18072,9,3,11572,13,0,0,19,11616,22,25,23721,48,0,0,103,23919,14,50,17680,31,0,0,57,17832,4,14,26603,48,0,0,75,26744,4,31,24479,50,0,0,78,24642,7,34,50544,52,0,0,253,50890,2,19,29358,22,0,0,197,29598,0,3,23221,23,0,0,36,23283,1,1,32780,6,0,0,134,32922,0,2,41759,48,0,0,107,41916,1,4,7918,96,0,0,205,8224,7,2,13341,45,0,0,175,13570,7,3,17045,34,0,0,290,17379,9,1,11600,16,0,0,146,11772,6,3,19481,8,0,0,210,19708,6,1,18006,13,0,0,69,18095,10,12,30737,15,0,0,100,30874,2,3,26231,68,0,0,54,26358,1,0,19596,13,0,0,34,19644,1,3,13108,58,0,0,2,13172,115,219,488068,713,0,0,2479,491594,2.67
F029000,康和期貨,1,0,11485,0,0,0,17,11503,0,4,13154,0,0,0,20,13178,1,1,13187,0,0,0,3,13192,2,0,27133,0,0,0,4,27139,3,49,15724,0,4,0,7,15787,0,27,23767,15,2,0,7,23818,37,24,18499,0,0,0,3,18563,25,69,41404,6,0,0,12,41516,12,6,31921,0,4,0,24,31967,1,7,23645,0,0,0,37,23690,12,13,18151,0,0,0,25,18201,3,35,30118,0,0,0,48,30204,1,0,9901,0,8,0,42,9952,0,1,15531,0,0,0,44,15576,2,9,22126,0,0,0,42,22179,3,9,13162,0,0,0,34,13208,5,0,26464,0,0,0,79,26548,1,18,15216,0,0,0,83,15318,2,3,39668,0,1,0,24,39698,1,16,22223,0,0,0,26,22266,0,1,22072,5,0,0,0,22078,0,0,19595,0,0,0,0,19595,112,292,474146,26,19,0,581,475176,2.58
S585999,統一證券自營,0,0,12202,0,0,0,0,12202,0,0,11918,0,0,0,0,11918,0,0,9753,0,0,0,4,9757,0,0,20300,0,0,0,0,20300,0,0,13720,0,0,0,0,13720,0,0,31444,0,0,0,0,31444,0,0,26283,0,0,0,0,26283,0,0,41428,0,0,0,0,41428,0,0,52272,0,0,0,0,52272,0,0,33221,0,0,0,0,33221,0,0,28788,0,0,0,0,28788,0,11,46842,0,0,0,0,46853,0,19,6347,0,0,0,0,6366,0,40,6574,0,0,0,0,6614,0,30,5688,0,0,0,0,5718,0,10,1125,0,0,0,0,1135,0,40,6976,0,0,0,0,7016,0,20,5656,0,0,0,0,5676,0,193,17550,0,0,0,0,17743,0,0,15201,0,0,0,0,15201,0,30,9545,0,0,0,0,9575,0,0,8458,0,0,0,0,8458,0,393,411291,0,0,0,4,411688,2.24000000000000032
F007000,日盛期貨,98,2,11320,0,0,0,2,11422,80,45,11070,0,0,0,0,11195,102,60,11659,0,0,0,0,11821,420,272,21565,0,0,0,0,22257,245,71,13415,0,0,0,2,13733,26,14,17593,1,0,0,3,17637,623,417,15894,0,0,0,1,16935,205,141,29629,0,0,0,4,29979,110,27,24140,0,0,0,0,24277,5,2,18421,0,0,0,0,18428,8,11,16135,0,0,0,1,16155,130,114,24656,0,0,0,0,24900,45,103,6009,0,0,0,0,6157,7,3,13751,3,0,0,2,13766,116,277,16858,0,0,0,1,17252,58,0,10985,0,0,0,34,11077,122,202,19998,0,0,0,8,20330,242,298,13514,1,0,0,3,14058,147,183,30979,0,0,0,7,31316,243,135,18725,0,0,0,2,19105,81,361,18997,0,0,0,1,19440,12,124,15001,6,0,0,1,15144,3125,2862,380314,11,0,0,72,386384,2.1
F018000,元富期貨,1,5,7827,2,0,0,0,7835,1,0,10042,2,0,0,0,10045,3,6,7596,2,0,0,0,7607,1,18,15359,4,0,0,0,15382,17,7,8510,8,0,0,0,8542,7,0,15280,3,0,0,0,15290,8,6,11443,1,0,0,1,11459,14,20,21688,1,0,0,2,21725,13,46,20007,5,0,0,0,20071,1,2,13129,3,0,0,1,13136,2,18,12713,2,0,0,4,12739,6,21,19844,3,0,0,5,19879,3,3,6673,7,0,0,0,6686,4,2,11133,12,0,0,6,11157,2,6,15139,5,0,0,9,15161,3,3,8064,2,0,0,110,8182,4,7,12641,4,0,0,44,12700,0,0,11078,0,0,0,5,11083,10,13,19671,12,0,0,1,19707,4,3,12227,4,0,0,1,12239,0,11,15270,3,0,0,0,15284,13,40,9904,0,0,0,1,9958,117,237,285238,85,0,0,190,285867,1.55
S592999,元富證券自營,0,0,5994,0,0,0,0,5994,0,0,6939,0,0,0,0,6939,0,0,6729,0,0,0,0,6729,0,0,7918,0,0,0,0,7918,0,0,4808,0,0,0,0,4808,0,0,6990,0,0,0,0,6990,0,0,7191,0,0,0,0,7191,0,0,16346,0,0,0,0,16346,0,0,13093,0,0,0,0,13093,0,0,5849,0,0,0,0,5849,0,0,11518,0,0,0,0,11518,0,0,13123,0,0,0,0,13123,0,0,6360,0,0,0,0,6360,0,0,9323,0,0,0,0,9323,0,0,14149,0,0,0,0,14149,0,0,6210,0,0,0,0,6210,0,0,15423,0,0,0,0,15423,0,0,5055,0,0,0,0,5055,0,0,29342,0,0,0,0,29342,0,0,9472,0,0,0,0,9472,0,0,7314,0,0,0,0,7314,0,0,12905,0,0,0,0,12905,0,0,222051,0,0,0,0,222051,1.21
F013000,大華期貨,0,8,4427,33,0,0,0,4468,0,52,5992,0,0,0,0,6044,0,46,7175,0,0,0,0,7221,0,36,12658,0,0,0,0,12694,0,37,10246,1,0,0,0,10284,0,12,6543,0,0,0,0,6555,0,16,6538,3,0,0,0,6557,0,37,14967,34,0,0,0,15038,0,129,11899,32,0,0,0,12060,0,10,8198,22,0,0,0,8230,0,25,10535,10,0,0,0,10570,0,8,12539,19,0,0,0,12566,0,7,4087,2,0,0,0,4096,0,10,5550,0,0,0,0,5560,0,36,10602,1,0,0,0,10639,0,8,5692,51,0,0,0,5751,0,68,12561,3,0,0,0,12632,0,19,7733,9,0,0,0,7761,0,160,19864,3,0,0,4,20031,0,33,12798,8,0,0,2,12841,0,35,9338,118,0,0,0,9491,0,7,8428,4,0,0,0,8439,0,799,208370,353,0,0,6,209528,1.13999999999999984
F001000,國泰期貨,3,0,4209,0,0,0,0,4212,3,0,3701,0,0,0,0,3704,0,0,2550,0,0,0,0,2550,5,3,5031,10,0,0,5,5054,17,0,2195,0,0,0,0,2212,4,2,4357,0,0,0,0,4363,11,0,3891,0,0,0,0,3902,59,3,10590,0,0,0,8,10660,53,18,10711,0,0,0,0,10782,8,20,5556,1,0,0,0,5585,1,6,5219,0,0,0,1,5227,21,4,8353,0,0,0,0,8378,7,12,4354,6,0,0,1,4380,12,4,8259,6,0,0,0,8281,10,0,17733,4,0,0,0,17747,0,0,6858,0,0,0,1,6859,13,20,14473,0,0,0,3,14509,7,0,6815,0,0,0,1,6823,19,22,19154,2,0,0,6,19203,33,10,24346,0,0,0,0,24389,23,0,13889,0,0,0,0,13912,13,20,5056,10,0,0,3,5102,322,144,187300,39,0,0,29,187834,1.02
F014000,華南期貨,0,0,8312,0,0,0,0,8312,0,0,7954,1,0,0,0,7955,0,6,8199,1,0,0,3,8209,0,0,9533,1,0,0,0,9534,0,11,6723,0,0,0,3,6737,0,0,11246,1,0,0,4,11251,0,15,9564,1,0,0,0,9580,0,35,14662,0,0,0,0,14697,0,22,12327,5,0,0,0,12354,0,0,7691,0,0,0,0,7691,0,0,10450,45,0,0,6,10501,0,0,11563,35,0,0,6,11604,0,4,5738,26,0,0,0,5768,0,1,6141,0,0,0,5,6147,0,0,8150,0,0,0,0,8150,0,1,3944,0,0,0,8,3953,0,151,6964,5,0,0,0,7120,0,25,6757,0,0,0,0,6782,0,184,11633,0,0,0,0,11817,0,64,6418,1,0,0,0,6483,0,1,7198,5,0,0,0,7204,0,0,5799,0,0,0,0,5799,0,520,186966,127,0,0,35,187648,1.02
