期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20121101,,,,,,,,20121102,,,,,,,,20121105,,,,,,,,20121106,,,,,,,,20121107,,,,,,,,20121108,,,,,,,,20121109,,,,,,,,20121112,,,,,,,,20121113,,,,,,,,20121114,,,,,,,,20121115,,,,,,,,20121116,,,,,,,,20121119,,,,,,,,20121120,,,,,,,,20121121,,,,,,,,20121122,,,,,,,,20121123,,,,,,,,20121126,,,,,,,,20121127,,,,,,,,20121128,,,,,,,,20121129,,,,,,,,20121130,,,,,,,,99999999,,,,,,,
F034999,澳帝華期貨自營,65,255,199757,116,0,0,58,200251,173,166,90408,94,0,0,21,90862,286,181,80735,83,0,0,86,81371,206,198,69528,72,0,0,43,70047,275,679,142748,95,0,0,391,144188,117,417,88583,21,0,0,43,89181,469,210,162880,42,0,0,51,163652,210,81,94028,116,0,0,1,94436,105,1113,195664,65,0,0,36,196983,426,399,164776,13,0,0,42,165656,196,466,205920,6,0,0,4,206592,163,220,189357,30,0,0,12,189782,280,112,174000,29,0,0,26,174447,247,175,170558,32,0,0,71,171083,142,232,241590,54,0,0,33,242051,117,199,82486,62,0,0,41,82905,61,269,218806,232,0,0,17,219385,11,279,151191,135,0,0,61,151677,60,13,131251,69,0,0,60,131453,45,347,109019,56,0,0,4,109471,148,117,160617,66,0,0,20,160968,32,372,143154,32,0,0,10,143600,3834,6500,3267056,1520,0,0,1131,3280041,13.01
S157999,港商法國興業證券自營,15,279,204874,50,0,0,0,205218,52,110,106710,35,0,0,0,106907,34,111,95469,30,0,0,0,95644,76,100,85547,27,0,0,0,85750,107,559,173740,35,0,0,0,174441,38,433,117581,20,0,0,0,118072,212,275,215987,53,0,0,0,216527,19,67,127149,20,0,0,0,127255,48,569,222151,36,0,0,0,222804,109,576,188184,39,0,0,0,188908,53,793,259445,25,0,0,0,260316,0,20,219774,35,0,0,0,219829,0,8,135513,621,0,0,0,136142,0,0,65404,0,0,0,0,65404,0,0,82960,911,0,0,0,83871,0,73,51465,0,0,0,0,51538,0,422,171973,20,0,0,0,172415,0,182,143535,7,0,0,0,143724,0,132,100862,10,0,0,0,101004,0,219,93787,0,0,0,0,94006,0,147,160159,0,0,0,0,160306,0,397,179936,0,0,0,0,180333,763,5472,3202205,1974,0,0,0,3210414,12.73
S980999,元大寶來證券自營,198,547,213570,288,0,0,118,214721,225,249,98683,169,0,2,68,99396,398,232,108912,126,36,0,55,109759,282,253,86576,148,0,0,36,87295,440,529,159900,85,0,0,385,161339,18,530,108299,79,0,0,133,109059,412,204,189596,220,0,0,233,190665,223,132,96621,182,0,0,25,97183,170,594,218846,141,0,0,33,219784,647,450,166530,169,0,0,82,167878,513,1061,199909,53,0,0,30,201566,322,108,175711,72,0,0,30,176243,234,191,127086,83,0,0,61,127655,168,139,128890,42,0,0,204,129443,144,419,198853,106,0,0,113,199635,136,260,64466,132,0,0,49,65043,188,458,188974,233,0,0,56,189909,81,418,133795,183,0,0,10,134487,172,159,109957,110,0,0,98,110496,190,236,92137,132,0,0,102,92797,198,301,138294,151,0,0,170,139114,46,433,171386,109,0,0,55,172029,5405,7903,3176991,3013,36,2,2146,3195496,12.67
F021000,元大寶來期貨,268,74,142907,7,2,0,6,143264,106,39,73701,13,0,0,40,73899,84,46,63052,2,37,0,38,63259,95,84,74612,1,0,0,43,74835,198,132,116108,6,1,0,57,116502,60,99,91950,9,2,0,24,92144,299,77,143684,20,0,0,98,144178,77,61,74039,4,0,0,5,74186,161,154,150671,3,7,0,6,151002,218,100,94838,0,1,0,7,95164,145,112,127769,1,6,0,0,128033,165,84,128637,1,10,0,16,128913,144,132,92799,0,0,0,4,93079,76,56,99053,1,1,0,3,99190,62,59,160217,3,3,0,22,160366,275,112,68405,6,0,0,26,68824,113,132,184959,56,4,0,12,185276,68,127,112305,9,4,0,26,112539,30,42,74498,12,1,0,24,74607,56,63,75810,1,4,0,67,76001,180,120,140583,14,2,0,31,140930,55,76,136587,5,5,0,20,136748,2935,1981,2427184,174,90,0,575,2432939,9.65
F004000,凱基期貨,5,4,98140,27,0,0,6,98182,4,28,77893,13,0,0,6,77944,6,24,58140,0,0,0,11,58181,1,13,49038,19,0,0,3,49074,0,9,77484,0,0,0,23,77516,3,4,56880,5,0,0,8,56900,10,17,98847,20,0,0,8,98902,0,32,54064,11,0,0,6,54113,8,10,98282,0,0,0,18,98318,4,2,62040,0,0,0,2,62048,4,8,83267,0,0,0,5,83284,4,4,73811,0,0,0,5,73824,2,5,60945,0,0,0,8,60960,5,3,63599,1,0,0,1,63609,2,10,88812,9,0,0,6,88839,2,5,37417,8,0,0,9,37441,2,18,109706,63,0,0,13,109802,1,12,84170,77,0,0,8,84268,4,8,56052,5,0,0,12,56081,3,7,58077,26,0,0,5,58118,3,8,93056,6,0,0,11,93084,3,7,93720,4,0,0,2,93736,76,238,1633440,294,0,0,176,1634224,6.48
F002000,永豐期貨,6,5,77836,21,2,0,5,77875,6,20,42918,31,0,0,4,42979,0,4,33527,14,0,0,3,33548,22,33,47960,10,0,0,0,48025,1,51,72158,8,0,0,23,72241,0,5,44794,11,0,0,33,44843,0,42,70416,5,0,0,44,70507,39,100,41281,22,0,0,3,41445,9,24,95644,11,0,0,0,95688,1,6,54335,1,0,0,0,54343,40,75,87506,65,0,0,0,87686,71,21,66032,70,5,0,27,66226,0,57,55193,5,0,0,7,55262,3,107,65226,42,0,0,4,65382,48,51,96366,30,0,0,1,96496,3,50,37473,61,0,0,7,37594,16,70,122850,18,0,0,6,122960,5,66,76867,5,0,0,14,76957,3,12,56772,9,0,0,8,56804,1,3,51498,6,0,0,6,51514,14,40,85476,16,1,0,30,85577,5,53,89137,11,0,0,1,89207,293,895,1471265,472,8,0,226,1473159,5.84
F020000,群益期貨,0,1,68714,0,0,0,3,68718,1,3,39310,0,0,0,2,39316,4,1,25806,28,0,0,4,25843,2,1,37489,25,0,0,31,37548,2,15,46457,21,0,0,20,46515,2,9,42191,52,0,0,3,42257,6,14,61836,82,0,0,1,61939,4,20,37975,10,0,0,0,38009,2,520,69091,5,0,0,4,69622,0,12,45439,9,0,0,0,45460,2,8,59082,0,0,0,0,59092,4,6,47155,0,0,0,0,47165,0,0,56531,0,0,0,0,56531,1,0,48735,1,0,0,8,48745,1,23,75260,21,0,0,12,75317,0,1,24458,3,0,0,1,24463,1,50,76967,0,2,0,10,77030,2,29,52897,27,0,0,1,52956,3,5,48212,36,0,0,0,48256,0,740,44697,11,2,0,1,45451,2,20,52640,79,0,0,8,52749,0,758,60220,0,3,0,4,60985,39,2236,1121162,410,7,0,113,1123967,4.46
B224999,中國信託商業銀行自營,216,340,54378,320,0,0,44,55298,151,133,34702,82,0,0,23,35091,140,67,30256,125,0,0,65,30653,125,99,32710,96,0,0,97,33127,290,149,50169,36,0,0,0,50644,90,287,34727,71,0,0,67,35242,257,103,39318,142,0,0,129,39949,227,135,27121,69,0,0,2,27554,107,528,41094,100,0,0,15,41844,173,197,24212,147,0,0,16,24745,260,457,46097,133,0,0,7,46954,277,58,48624,55,0,0,22,49036,236,89,41381,198,0,0,14,41918,261,89,58452,104,0,0,90,58996,196,148,84484,932,0,0,76,85836,104,160,18864,133,0,0,3,19264,252,125,57360,202,0,0,21,57960,88,133,45797,218,0,0,111,46347,174,55,37305,111,0,0,17,37662,136,340,21972,79,0,0,52,22579,194,112,46822,143,0,0,88,47359,64,197,44900,95,0,0,64,45320,4018,4001,920745,3591,0,0,1023,933378,3.7
F026000,富邦期貨,0,0,50270,0,0,0,3,50273,0,1,24901,25,0,0,0,24927,0,0,23139,20,1,0,3,23163,0,3,33893,25,0,0,4,33925,0,6,35709,30,0,0,0,35745,0,7,28346,25,0,0,4,28382,1,5,52196,15,0,0,3,52220,0,0,29425,20,0,0,2,29447,1,0,53837,36,0,0,2,53876,0,0,31236,67,0,0,1,31304,2,5,43574,22,0,0,0,43603,1,18,38608,25,0,0,3,38655,15,23,44432,500,0,0,0,44970,2,3,40473,15,0,0,2,40495,1,6,42774,120,0,0,0,42901,10,17,21892,31,0,0,3,21953,0,6,50372,46,0,0,5,50429,10,26,32962,6,0,0,2,33006,10,21,30192,10,0,0,0,30233,0,2,26507,0,0,0,0,26509,0,24,50587,1,0,0,9,50621,1,0,47716,4,0,0,0,47721,54,173,833041,1043,1,0,46,834358,3.31
