期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20130603,,,,,,,,20130604,,,,,,,,20130605,,,,,,,,20130606,,,,,,,,20130607,,,,,,,,20130610,,,,,,,,20130611,,,,,,,,20130613,,,,,,,,20130614,,,,,,,,20130617,,,,,,,,20130618,,,,,,,,20130619,,,,,,,,20130620,,,,,,,,20130621,,,,,,,,20130624,,,,,,,,20130625,,,,,,,,20130626,,,,,,,,20130627,,,,,,,,20130628,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,1,34,172508,66,0,0,0,172609,8,202,105703,50,0,0,0,105963,0,130,102774,53,0,0,0,102957,10,178,142607,91,0,0,0,142886,23,321,117993,116,0,0,0,118453,18,81,105960,53,0,0,0,106112,1,38,86720,130,0,0,0,86889,14,185,176206,46,0,0,0,176451,4,477,159889,35,0,0,0,160405,1,44,104357,25,0,0,0,104427,34,204,139781,165,0,0,0,140184,1290,500,99158,202,0,0,0,101150,61,322,137609,10,0,0,0,138002,97,466,146694,20,0,0,0,147277,2,22,109383,20,0,0,0,109427,0,29,196702,45,0,0,0,196776,0,0,92689,10,0,0,0,92699,0,4,95812,20,0,0,0,95836,0,80,123594,25,0,0,0,123699,1564,3317,2416139,1182,0,0,0,2422202,12.42
F021000,元大寶來期貨,87,86,115455,2,2,0,13,115645,1,80,69160,5,0,0,22,69268,11,76,99976,11,7,0,23,100104,84,53,119145,5,1,0,16,119304,10,26,75270,2,1,0,17,75326,20,31,67831,4,1,0,53,67940,0,13,55954,2,5,0,6,55980,112,32,164676,12,2,0,32,164866,122,93,111952,2,0,0,38,112207,3,50,70073,8,1,0,44,70179,166,52,112709,7,0,0,67,113001,128,127,130113,8,0,0,21,130397,70,85,113071,24,1,0,95,113346,239,189,127704,9,0,0,120,128261,0,79,70544,4,3,0,96,70726,86,278,156567,6,8,0,63,157008,103,68,127626,9,1,0,468,128275,66,81,74686,3,0,0,37,74873,3,167,106603,3,2,0,58,106836,1311,1666,1969115,126,35,0,1289,1973542,10.12
F034999,澳帝華期貨自營,110,218,120528,18,0,0,4,120878,84,215,86433,42,0,0,10,86784,62,292,108638,28,0,0,11,109031,45,311,108070,75,0,0,0,108501,26,175,77149,66,0,0,22,77438,171,256,89404,73,0,0,77,89981,63,86,80286,75,0,0,22,80532,137,228,178552,36,0,0,43,178996,21,130,96972,12,0,0,30,97165,20,179,85032,38,0,0,44,85313,20,272,81482,60,0,0,81,81915,30,194,84841,156,0,0,37,85258,23,244,86620,45,0,0,107,87039,35,94,113164,56,0,0,233,113582,44,9,71491,34,0,0,86,71664,59,491,148018,63,0,0,90,148721,87,96,110456,70,0,0,142,110851,102,76,49015,333,0,0,174,49700,0,243,106104,143,0,0,152,106642,1139,3809,1882255,1423,0,0,1365,1889991,9.69
S980999,元大寶來證券自營,125,563,79036,102,0,0,46,79872,92,560,73201,101,0,0,30,73984,162,401,62854,18,0,0,75,63510,82,710,86343,5,0,0,102,87242,183,215,74554,17,0,0,10,74979,179,532,76353,0,0,0,142,77206,82,241,59397,0,0,0,42,59762,388,601,155432,126,0,0,244,156791,133,318,85626,122,0,0,115,86314,108,477,65922,137,0,0,93,66737,156,509,95385,197,0,0,315,96562,44,487,108136,200,0,0,90,108957,34,759,78544,35,0,0,0,79372,148,425,100420,71,0,0,481,101545,69,126,70784,60,0,0,88,71127,184,614,124152,86,0,0,83,125119,161,227,67883,71,0,0,68,68410,250,266,68919,73,0,0,325,69833,347,418,69862,52,0,0,314,70993,2927,8449,1602803,1473,0,0,2663,1618315,8.30000000000000128
F002000,永豐期貨,0,56,91953,5,0,0,11,92025,0,22,57934,0,0,0,13,57969,0,20,69219,6,0,0,5,69250,0,35,63643,26,0,0,10,63714,0,12,54434,12,0,0,0,54458,1,3,74691,11,0,0,15,74721,1,32,62226,17,0,0,1,62277,3,9,129561,18,0,0,5,129596,0,26,66208,39,0,0,1,66274,0,18,54976,27,0,0,14,55035,11,26,68151,10,0,0,18,68216,3,7,81786,6,0,0,34,81836,2,12,57137,33,0,0,23,57207,1,16,75924,26,0,0,126,76093,5,15,52048,13,3,0,57,52141,2,54,97953,5,0,0,82,98096,1,6,95617,9,1,0,140,95774,2,6,54455,0,0,0,95,54558,5,6,69229,9,0,0,47,69296,37,381,1377145,272,4,0,697,1378536,7.07
F004000,凱基期貨,6,16,87368,2,0,0,3,87395,0,28,69567,1,0,0,7,69603,0,17,84830,39,2,0,6,84894,7,27,75453,2,0,0,7,75496,0,10,51530,19,0,0,0,51559,1,20,52813,26,0,0,15,52875,1,28,41739,20,0,0,16,41804,1,38,128302,2,1,0,61,128405,4,28,73013,7,0,0,40,73092,1,14,49220,22,1,0,0,49258,1,6,63077,44,0,0,3,63131,2,20,79922,95,0,0,3,80042,1,31,60000,32,1,0,15,60080,0,27,71480,38,0,0,21,71566,0,19,48877,7,0,0,32,48935,1,9,97261,8,0,0,21,97300,1,23,102202,23,0,0,115,102364,2,12,54071,44,0,0,77,54206,1,4,71292,90,0,0,118,71505,30,377,1362017,521,5,0,560,1363510,6.99
F020000,群益期貨,16,10,64552,2,0,0,1,64581,1,29,39317,4,0,0,5,39356,2,14,54194,0,0,0,0,54210,7,4,56281,1,1,0,8,56302,1,1,42231,0,0,0,14,42247,2,4,46576,5,0,0,7,46594,2,23,44320,0,0,0,2,44347,20,57,110437,8,0,0,77,110599,20,5,60299,22,0,0,12,60358,0,6,44574,12,0,0,10,44602,135,29,53269,3,0,0,42,53478,40,7,60320,3,0,0,0,60370,1,10,55200,1,0,0,35,55247,0,9,68047,17,0,0,68,68141,6,8,33583,20,0,0,16,33633,10,18,64656,18,0,0,64,64766,1,17,63570,5,0,0,231,63824,0,11,39412,25,0,0,12,39460,4,16,61434,5,0,0,13,61472,268,278,1062272,151,1,0,617,1063587,5.45
F029000,康和期貨,0,9,56892,5,0,0,3,56909,0,1,41615,0,0,0,14,41630,0,1,32041,5,0,0,4,32051,0,9,53150,1,0,0,2,53162,0,0,45244,0,0,0,9,45253,0,4,34891,0,0,0,6,34901,0,4,20729,0,2,0,3,20738,0,2,49895,64,1,0,25,49987,4,2,49420,7,0,0,6,49439,0,1,48194,0,0,0,7,48202,0,5,25976,2,0,0,4,25987,4,6,30164,0,0,0,15,30189,0,4,56866,2,0,0,26,56898,0,1,79124,71,0,0,90,79286,0,1,43699,0,0,0,21,43721,0,9,46990,0,8,0,14,47021,4,6,42461,1,0,0,65,42537,0,5,49100,0,0,0,12,49117,0,10,62924,1,2,0,17,62954,12,80,869375,159,13,0,343,869982,4.46
S585999,統一證券自營,0,0,40623,0,0,0,0,40623,0,0,30976,0,0,0,0,30976,0,0,37709,0,0,0,0,37709,0,0,30626,0,0,0,0,30626,0,22,22760,0,0,0,0,22782,80,40,25353,0,0,0,0,25473,0,40,29063,0,0,0,0,29103,0,0,63376,0,0,0,0,63376,0,100,44065,0,0,0,0,44165,0,20,43920,0,0,0,0,43940,0,40,61480,0,0,0,0,61520,0,41,31214,0,0,0,0,31255,0,224,18591,0,0,0,0,18815,0,95,22377,0,0,0,0,22472,0,0,21710,0,0,0,0,21710,40,138,38443,0,0,0,0,38621,0,34,67695,0,0,0,0,67729,40,42,21821,0,0,0,0,21903,0,120,33077,0,0,0,0,33197,160,956,684879,0,0,0,0,685995,3.52
