期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F008000,統一期貨,8,1,70105,0,0,0,108,70222,2,3,22358,4,0,0,5,22372,1,8,34703,5,0,0,253,34970,5,7,29218,10,0,0,119,29359,2,4,27490,0,0,0,228,27724,6,5,47391,2,0,0,103,47507,0,2,19713,18,0,0,101,19834,0,2,36331,8,0,0,232,36573,0,2,21358,3,0,0,467,21830,0,7,32405,1,0,0,62,32475,0,2,32797,14,0,0,46,32859,0,64,23867,15,0,0,109,24055,0,41,27887,14,0,0,164,28106,0,8,21342,0,0,0,77,21427,0,46,25781,0,0,0,187,26014,21,0,44098,1,0,0,17,44137,20,3,16603,0,0,0,2,16628,65,205,533447,95,0,0,2280,536092,3.48
F026000,富邦期貨,5,36,43506,32,0,0,6,43585,0,2,20442,597,0,0,9,21050,92,10,26982,175,0,0,5,27264,40,17,28469,235,0,0,3,28764,10,3,19404,532,0,0,8,19957,45,6,36899,206,0,0,3,37159,205,7,30762,132,0,0,2,31108,249,9,35550,235,0,0,13,36056,67,1,24288,195,0,0,11,24562,11,22,23760,125,0,0,14,23932,177,23,23284,266,0,0,2,23752,5,10,26162,94,0,0,2,26273,196,6,25150,83,0,0,2,25437,2,25,25011,532,0,0,1,25571,322,3,21391,297,0,0,2,22015,173,7,30492,158,0,0,0,30830,329,2,17827,176,0,0,0,18334,1928,189,459379,4070,0,0,83,465649,3.02
F039000,大昌期貨,0,2,58723,0,0,0,3,58728,0,0,19836,0,0,0,6,19842,0,37,23195,0,0,0,1,23233,0,11,25067,0,0,0,5,25083,0,5,20928,0,0,0,1,20934,10,1,40324,0,0,0,22,40357,23,13,20085,0,0,0,28,20149,7,7,38323,0,0,0,21,38358,0,12,26023,0,0,0,56,26091,0,14,27084,0,0,0,3,27101,0,6,27608,0,0,0,10,27624,0,0,22634,0,0,0,6,22640,2,1,25345,0,0,0,3,25351,4,1,22351,0,0,0,6,22362,4,35,17690,0,0,0,9,17738,8,31,31299,2,0,0,2,31342,0,6,17206,0,0,0,0,17212,58,182,463721,2,0,0,182,464145,3.02
F007000,日盛期貨,1,25,44208,0,0,0,0,44234,0,2,17516,0,0,0,1,17519,4,1,23505,1,0,0,8,23519,1,1,16880,0,0,0,2,16884,0,18,18633,0,0,0,17,18668,0,3,32504,0,0,0,9,32516,0,2,21230,2,0,0,0,21234,3,1,32069,0,0,0,8,32081,1,2,17047,1,0,0,9,17060,0,21,18217,0,0,0,3,18241,0,24,28346,3,0,0,2,28375,0,17,19281,1,0,0,9,19308,3,24,22661,1,0,0,0,22689,3,26,16522,0,0,0,2,16553,1,18,13744,0,0,0,1,13764,0,2,22921,2,0,0,5,22930,0,2,14939,1,0,0,3,14945,17,189,380223,12,0,0,79,380520,2.47000000000000032
F018000,元富期貨,17,16,34529,8,0,0,2,34572,4,8,15479,0,0,0,0,15491,5,5,20357,0,0,0,0,20367,12,19,17236,2,0,0,0,17269,8,9,16191,2,0,0,4,16214,19,2,29745,6,0,0,0,29772,3,18,14645,0,0,0,1,14667,10,25,21874,2,0,0,0,21911,2,12,14445,0,0,0,3,14462,5,26,16386,0,0,0,1,16418,13,34,15563,5,0,0,7,15622,3,11,12712,3,0,0,1,12730,5,4,14463,5,0,0,0,14477,3,3,13880,1,0,0,3,13890,2,0,12955,3,0,0,0,12960,1,3,22316,0,0,0,0,22320,1,4,10836,0,0,0,1,10842,113,199,303612,37,0,0,23,303984,1.97
S585999,統一證券自營,0,40,9061,0,0,0,0,9101,0,0,23442,0,0,0,0,23442,0,0,16393,0,0,0,0,16393,0,40,17329,0,0,0,0,17369,0,0,17377,0,0,0,0,17377,0,0,26967,0,0,0,0,26967,0,0,17666,0,0,0,0,17666,0,0,19214,0,0,0,0,19214,0,0,10367,0,0,0,0,10367,20,40,10972,0,0,0,0,11032,40,42,19493,0,0,0,0,19575,0,40,8202,0,0,0,0,8242,0,0,12405,0,0,0,0,12405,0,0,8303,0,0,0,0,8303,0,0,3489,0,0,0,0,3489,0,0,11996,0,0,0,0,11996,0,0,8707,0,0,0,0,8707,60,202,241383,0,0,0,0,241645,1.57
F020999,群益期貨自營,0,1,13424,0,0,0,0,13425,0,0,12807,30,0,0,0,12837,0,0,22636,15,0,0,40,22691,0,40,22903,30,0,0,20,22993,0,0,18431,10,0,0,40,18481,0,0,24081,25,0,0,0,24106,0,0,8271,5,0,0,0,8276,40,38,16135,0,0,0,10,16223,0,0,8244,66,0,0,80,8390,0,0,16596,0,0,0,0,16596,0,0,10957,56,0,0,16,11029,0,0,20228,0,0,0,0,20228,0,0,420,0,0,0,0,420,0,0,532,25,0,0,0,557,0,0,15340,25,0,0,20,15385,0,0,15462,30,0,0,30,15522,0,0,4820,40,0,0,0,4860,40,79,231287,357,0,0,256,232019,1.51
S920999,凱基證券自營,264,186,7282,13,0,0,85,7830,62,80,9328,46,0,0,1,9517,30,40,10812,0,0,0,53,10935,21,92,15208,37,0,0,16,15374,0,8,8611,30,0,0,57,8706,49,63,13302,21,0,0,0,13435,50,1,15039,32,0,0,25,15147,16,24,17790,47,0,0,62,17939,0,0,14291,62,0,0,80,14433,650,270,18693,53,0,0,9,19675,260,320,12259,63,0,0,15,12917,89,22,7996,34,0,0,0,8141,5,46,14871,230,0,0,77,15229,3,53,15545,218,0,0,0,15819,33,32,10522,36,0,0,78,10701,0,0,12183,15,0,0,0,12198,0,0,10935,18,0,0,10,10963,1532,1237,214667,955,0,0,568,218959,1.42
S126999,宏遠證券自營,0,0,29230,0,0,0,0,29230,0,0,15976,0,0,0,0,15976,0,0,14311,0,0,0,0,14311,0,0,13951,0,0,0,0,13951,0,0,11396,0,0,0,0,11396,0,0,15262,0,0,0,0,15262,0,0,13313,0,0,0,0,13313,0,0,16509,0,0,0,0,16509,0,0,15953,0,0,0,0,15953,0,0,6931,0,0,0,0,6931,0,0,5329,0,0,0,0,5329,0,0,8821,0,0,0,0,8821,0,0,11818,0,0,0,0,11818,0,0,7078,0,0,0,0,7078,0,0,5906,0,0,0,0,5906,0,0,5839,0,0,0,0,5839,0,0,1439,0,0,0,0,1439,0,0,199062,0,0,0,0,199062,1.29
F002999,永豐期貨自營,0,0,28951,0,0,0,0,28951,0,0,6295,0,0,0,0,6295,0,0,10742,0,0,0,0,10742,0,0,12346,0,0,0,0,12346,0,0,15488,0,0,0,0,15488,0,0,18392,0,0,0,0,18392,0,0,10432,0,0,0,0,10432,0,0,21056,0,0,0,0,21056,0,0,2931,0,0,0,0,2931,0,0,6364,0,0,0,0,6364,0,0,9654,0,0,0,0,9654,0,0,8405,0,0,0,0,8405,0,0,7033,0,0,0,0,7033,0,0,8728,0,0,0,0,8728,0,0,5502,0,0,0,0,5502,0,0,12190,0,0,0,0,12190,0,0,3288,0,0,0,0,3288,0,0,187797,0,0,0,0,187797,1.22
