期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20130801,,,,,,,,20130802,,,,,,,,20130805,,,,,,,,20130806,,,,,,,,20130807,,,,,,,,20130808,,,,,,,,20130809,,,,,,,,20130812,,,,,,,,20130813,,,,,,,,20130814,,,,,,,,20130815,,,,,,,,20130816,,,,,,,,20130819,,,,,,,,20130820,,,,,,,,20130822,,,,,,,,20130823,,,,,,,,20130826,,,,,,,,20130827,,,,,,,,20130828,,,,,,,,20130829,,,,,,,,20130830,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,423,21,105932,30,0,0,0,106406,0,222,120729,40,0,0,0,120991,3,80,111073,35,0,0,0,111191,20,114,140955,45,0,0,0,141134,0,91,101420,273,0,0,0,101784,12,40,75352,55,0,0,0,75459,32,79,148451,70,0,0,0,148632,6,41,96684,68,0,0,0,96799,22,109,111747,80,0,0,0,111958,10,172,98004,105,0,0,0,98291,2,71,117237,105,0,0,0,117415,6,51,201769,120,0,0,0,201946,0,0,102854,130,0,0,0,102984,0,20,171343,165,0,0,0,171528,808,562,128389,135,0,0,0,129894,360,543,93248,45,0,0,0,94196,282,238,89048,40,0,0,0,89608,0,326,77723,55,0,0,0,78104,0,60,73362,50,0,0,0,73472,0,0,93935,60,0,0,0,93995,0,2,105455,80,0,0,0,105537,1986,2842,2364710,1786,0,0,0,2371324,13.09
F021000,元大寶來期貨,36,56,76116,3,1,0,46,76258,55,79,83764,0,1,0,117,84016,88,24,54726,1,0,0,142,54981,87,80,94177,4,3,0,64,94415,25,18,121439,5,0,0,162,121649,144,82,59773,0,2,0,42,60043,43,128,97870,0,0,0,192,98233,29,28,51768,3,3,0,117,51948,141,96,82902,2,0,0,131,83272,41,80,87247,0,0,0,33,87401,68,54,73884,4,0,0,178,74188,114,111,111262,2,2,0,370,111861,63,16,66259,2,0,0,315,66655,154,73,116668,5,17,0,64,116981,145,36,135371,14,0,0,177,135743,107,58,64394,11,1,0,122,64693,93,21,54013,7,0,0,78,54212,38,55,79676,3,17,0,44,79833,83,108,105329,7,1,0,62,105590,35,38,84136,7,4,0,11,84231,99,111,88195,12,0,0,24,88441,1688,1352,1788969,92,52,0,2491,1794644,9.91
F034999,澳帝華期貨自營,45,103,58414,10,0,0,148,58720,48,613,64791,5,0,0,529,65986,7,23,49929,8,0,0,196,50163,57,63,79489,16,0,0,186,79811,52,121,86656,5,0,0,109,86943,73,100,58284,10,0,0,143,58610,77,150,105388,18,0,0,153,105786,92,107,53294,13,0,0,85,53591,319,218,87280,5,0,0,157,87979,66,41,91822,25,0,0,27,91981,4,67,64334,30,0,0,136,64571,278,33,115655,35,0,0,280,116281,86,41,54028,366,0,0,341,54862,203,52,109111,52,0,0,93,109511,995,692,121835,52,0,0,156,123730,611,335,81045,146,0,0,67,82204,241,51,72870,62,0,0,188,73412,154,0,66139,51,0,0,154,66498,0,0,94027,120,0,0,263,94410,0,0,99177,26,0,0,263,99466,22,10,81699,79,0,0,242,82052,3430,2820,1695267,1134,0,0,3916,1706567,9.42
S980999,元大寶來證券自營,110,167,62619,0,0,0,166,63062,67,460,74542,25,0,0,362,75456,54,46,53547,40,0,0,235,53922,57,241,86599,50,0,0,519,87466,78,383,87836,35,0,0,311,88643,31,227,50206,75,0,0,29,50568,181,206,71420,71,0,0,54,71932,161,202,37608,73,0,0,65,38109,262,388,63344,85,0,0,109,64188,346,235,67381,85,0,0,106,68153,286,477,57987,90,0,0,202,59042,223,566,91150,110,0,0,390,92439,21,39,38448,110,0,0,341,38959,201,93,85254,122,0,0,104,85774,259,51,88783,135,0,0,249,89477,159,269,58935,40,0,0,101,59504,293,163,52065,80,0,0,137,52738,106,645,68595,90,0,0,71,69507,123,192,89481,35,0,0,94,89925,164,36,97229,69,0,0,319,97817,137,295,85291,106,0,0,72,85901,3319,5381,1468320,1526,0,0,4036,1482582,8.19
F004000,凱基期貨,20,18,43425,0,0,0,9,43472,14,9,48898,0,0,0,56,48977,22,21,37592,0,0,0,13,37648,8,15,69123,0,0,0,28,69174,30,42,83869,5,0,0,14,83960,21,4,43643,1,0,0,31,43700,42,10,58494,3,0,0,36,58585,6,6,37416,0,0,0,30,37458,28,20,60623,0,0,0,21,60692,12,44,67878,0,0,0,9,67943,4,45,51659,0,0,0,14,51722,24,2,86042,1,0,0,65,86134,9,5,39769,2,0,0,22,39807,17,31,74182,0,0,0,15,74245,20,5,97085,7,0,0,61,97178,39,7,51258,11,0,0,14,51329,2,1,40096,4,0,0,34,40137,19,4,44217,3,0,0,20,44263,12,11,86257,2,0,0,41,86323,22,7,65630,2,0,0,34,65695,12,14,63036,3,0,0,6,63071,383,321,1250192,44,0,0,573,1251513,6.91
F002000,永豐期貨,2,57,48177,15,0,0,24,48275,2,7,54506,0,0,0,35,54550,2,18,37455,0,0,0,19,37494,0,12,68936,2,0,0,78,69028,7,33,86729,3,0,0,79,86851,9,35,40321,7,0,0,229,40601,7,35,56784,1,0,0,193,57020,12,15,35091,13,0,0,9,35140,4,5,60589,3,0,0,26,60627,3,10,74271,5,0,0,10,74299,3,22,47530,23,0,0,47,47625,1,52,75932,19,0,0,273,76277,1,7,40344,2,0,0,120,40474,0,46,80565,19,0,0,196,80826,1,76,99232,9,0,0,24,99342,0,13,52772,131,0,0,34,52950,0,3,36804,32,0,0,46,36885,0,12,49985,11,0,0,32,50040,2,4,81537,8,0,0,219,81770,1,10,53053,3,0,0,18,53085,0,3,59230,11,0,0,45,59289,57,475,1239843,317,0,0,1756,1242448,6.86
F029000,康和期貨,4,7,43031,0,1,0,12,43055,1,7,55657,0,0,0,18,55683,9,5,28907,0,0,0,8,28929,5,13,32176,0,1,0,14,32209,0,8,55406,0,0,0,9,55423,2,6,40566,0,0,0,4,40578,1,3,55200,0,0,0,9,55213,0,7,32592,0,3,0,1,32603,5,8,40243,0,0,0,21,40277,2,8,46437,0,0,0,7,46454,0,12,44227,1,0,0,0,44240,16,9,56169,0,0,0,3,56197,0,2,25932,0,0,0,2,25936,4,5,50394,5,17,0,1,50426,4,7,47680,2,0,0,14,47707,8,0,47689,2,1,0,1,47701,3,0,41313,2,0,0,1,41319,0,0,43678,2,1,0,23,43704,0,0,56317,0,1,0,7,56325,3,0,61637,1,0,0,10,61651,5,15,47394,0,0,0,0,47414,72,122,952645,15,25,0,165,953044,5.26
F020000,群益期貨,11,21,32336,0,0,0,19,32387,21,8,43706,0,0,0,18,43753,30,5,27757,0,0,0,22,27814,14,40,45763,0,1,0,21,45839,6,9,59294,10,0,0,9,59328,7,7,31918,0,0,0,14,31946,34,10,43243,0,0,0,10,43297,3,22,22460,2,0,0,40,22527,9,3,45105,0,0,0,21,45138,23,42,49399,0,0,0,6,49470,3,41,35313,4,0,0,11,35372,8,9,50168,16,0,0,51,50252,1,1,27584,30,0,0,45,27661,44,45,57186,2,0,0,31,57308,28,9,70826,7,0,0,36,70906,65,10,38894,69,0,0,24,39062,3,9,29076,11,0,0,34,29133,0,7,41857,1,16,0,29,41910,8,12,57102,1,0,0,87,57210,2,13,45265,0,0,0,27,45307,8,29,49535,141,0,0,40,49753,328,352,903787,294,17,0,595,905373,5
S585999,統一證券自營,0,0,10965,0,0,0,0,10965,0,42,27850,0,0,0,0,27892,0,0,24498,0,0,0,0,24498,0,72,47452,0,0,0,0,47524,0,0,50603,0,0,0,0,50603,0,0,34442,0,0,0,0,34442,0,0,36374,0,0,0,0,36374,0,0,18641,0,0,0,0,18641,0,0,49002,0,0,0,0,49002,0,0,49142,0,0,0,0,49142,0,0,37505,0,0,0,0,37505,0,2,62311,0,0,0,0,62313,0,0,30728,0,0,0,0,30728,0,0,44928,0,0,0,0,44928,0,0,81060,0,0,0,0,81060,0,0,23780,0,0,0,0,23780,42,0,21773,0,0,0,0,21815,40,0,42030,0,0,0,0,42070,0,0,87101,0,0,0,0,87101,0,0,10099,0,0,0,0,10099,0,0,10142,0,0,0,0,10142,82,116,800426,0,0,0,0,800624,4.42
