期貨商代號,名稱,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計MSO,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20110901,,,,,,,,,20110902,,,,,,,,,20110905,,,,,,,,,20110906,,,,,,,,,20110907,,,,,,,,,20110908,,,,,,,,,20110909,,,,,,,,,20110913,,,,,,,,,20110914,,,,,,,,,20110915,,,,,,,,,20110916,,,,,,,,,20110919,,,,,,,,,20110920,,,,,,,,,20110921,,,,,,,,,20110922,,,,,,,,,20110923,,,,,,,,,20110926,,,,,,,,,20110927,,,,,,,,,99999999,,,,,,,,
S157999,香港商法國興業證券,304.0000000000000000,272.0000000000000000,139776.0000000000000,40.00000000000000000,0,0,0,0,140392.0000000000000,309.0000000000000000,129.0000000000000000,115312.0000000000000,0,0,0,0,0,115750.0000000000000,90.00000000000000000,147.0000000000000000,139216.0000000000000,10.00000000000000000,0,0,0,0,139463.0000000000000,487.0000000000000000,79.00000000000000000,181074.0000000000000,305.0000000000000000,0,0,0,0,181945.0000000000000,413.0000000000000000,159.0000000000000000,101068.0000000000000,110.0000000000000000,0,0,0,0,101750.0000000000000,40.00000000000000000,108.0000000000000000,120528.0000000000000,80.00000000000000000,0,0,0,0,120756.0000000000000,376.0000000000000000,89.00000000000000000,138561.0000000000000,20.00000000000000000,0,0,0,0,139046.0000000000000,267.0000000000000000,78.00000000000000000,166328.0000000000000,87.00000000000000000,0,0,0,0,166760.0000000000000,209.0000000000000000,331.0000000000000000,226187.0000000000000,140.0000000000000000,0,0,0,0,226867.0000000000000,34.00000000000000000,7.000000000000000000,190160.0000000000000,100.0000000000000000,0,0,0,0,190301.0000000000000,103.0000000000000000,152.0000000000000000,211658.0000000000000,150.0000000000000000,0,0,0,0,212063.0000000000000,40.00000000000000000,335.0000000000000000,186325.0000000000000,10.00000000000000000,0,0,0,0,186710.0000000000000,30.00000000000000000,2.000000000000000000,284364.0000000000000,0,0,0,0,0,284396.0000000000000,0,0,77764.00000000000000,0,0,0,0,0,77764.00000000000000,0,38.00000000000000000,99450.0000000000000,0,0,0,0,0,99488.0000000000000,0,0,99929.0000000000000,0,0,0,0,0,99929.0000000000000,0,0,113687.0000000000000,5.000000000000000000,0,0,0,0,113692.0000000000000,0,0,70891.00000000000000,0,0,0,0,0,70891.00000000000000,2702.000000000000000,1926.000000000000000,2662278.000000000000,1057.000000000000000,0,0,0,0,2667963.000000000000,14.76000000000000000
F034999,澳帝華期貨自營,733.0000000000000000,1164.000000000000000,146862.0000000000000,193.0000000000000000,0,0,0,60.00000000000000000,149012.0000000000000,662.0000000000000000,926.000000000000000,101154.0000000000000,48.00000000000000000,0,0,0,14.00000000000000000,102804.0000000000000,838.0000000000000000,569.0000000000000000,109329.0000000000000,167.0000000000000000,0,0,0,56.00000000000000000,110959.0000000000000,1085.000000000000000,1774.000000000000000,165432.0000000000000,193.0000000000000000,0,0,0,195.0000000000000000,168679.0000000000000,728.0000000000000000,691.0000000000000000,85974.00000000000000,113.0000000000000000,0,0,0,189.0000000000000000,87695.00000000000000,321.0000000000000000,893.0000000000000000,91421.00000000000000,116.0000000000000000,0,0,0,74.00000000000000000,92825.0000000000000,345.0000000000000000,1270.000000000000000,129893.0000000000000,84.00000000000000000,0,0,0,86.00000000000000000,131678.0000000000000,319.0000000000000000,1853.000000000000000,140910.0000000000000,135.0000000000000000,0,0,0,45.00000000000000000,143262.0000000000000,697.0000000000000000,1963.000000000000000,151261.0000000000000,160.0000000000000000,0,0,0,46.00000000000000000,154127.0000000000000,204.0000000000000000,881.0000000000000000,150209.0000000000000,101.0000000000000000,0,0,0,197.0000000000000000,151592.0000000000000,263.0000000000000000,1576.000000000000000,118700.0000000000000,160.0000000000000000,0,0,0,240.0000000000000000,120939.0000000000000,133.0000000000000000,543.0000000000000000,96209.0000000000000,97.0000000000000000,0,0,0,253.0000000000000000,97235.0000000000000,197.0000000000000000,354.0000000000000000,172630.0000000000000,236.0000000000000000,0,0,0,56.00000000000000000,173473.0000000000000,113.0000000000000000,363.0000000000000000,112369.0000000000000,330.0000000000000000,0,0,0,116.0000000000000000,113291.0000000000000,263.0000000000000000,87.00000000000000000,57974.00000000000000,191.0000000000000000,0,0,0,229.0000000000000000,58744.00000000000000,504.0000000000000000,384.0000000000000000,102397.0000000000000,311.0000000000000000,0,0,0,117.0000000000000000,103713.0000000000000,380.0000000000000000,191.0000000000000000,87277.00000000000000,72.00000000000000000,0,0,0,95.0000000000000000,88015.00000000000000,367.0000000000000000,297.0000000000000000,55144.00000000000000,36.00000000000000000,0,0,0,42.00000000000000000,55886.00000000000000,8152.000000000000000,15779.00000000000000,2075145.000000000000,2743.000000000000000,0,0,0,2110.000000000000000,2103929.000000000000,11.64000000000000000
S970999,寶來證券自營,758.0000000000000000,903.0000000000000000,77754.00000000000000,165.0000000000000000,0,0,0,29.00000000000000000,79609.00000000000000,710.0000000000000000,739.0000000000000000,50997.00000000000000,224.0000000000000000,0,0,0,8.000000000000000000,52678.00000000000000,662.0000000000000000,794.0000000000000000,40644.00000000000000,95.0000000000000000,0,0,0,72.00000000000000000,42267.00000000000000,724.0000000000000000,1001.000000000000000,59127.00000000000000,50.00000000000000000,0,0,0,98.0000000000000000,61000.00000000000000,494.0000000000000000,263.0000000000000000,58745.00000000000000,202.0000000000000000,0,0,0,102.0000000000000000,59806.00000000000000,367.0000000000000000,325.0000000000000000,86831.00000000000000,170.0000000000000000,0,0,0,20.00000000000000000,87713.00000000000000,500.0000000000000000,946.000000000000000,98849.0000000000000,60.00000000000000000,0,0,0,25.00000000000000000,100380.0000000000000,537.0000000000000000,826.0000000000000000,84158.00000000000000,226.0000000000000000,0,0,0,15.00000000000000000,85762.00000000000000,597.0000000000000000,801.0000000000000000,132675.0000000000000,246.0000000000000000,0,0,0,28.00000000000000000,134347.0000000000000,497.0000000000000000,1026.000000000000000,107534.0000000000000,35.00000000000000000,0,0,0,43.00000000000000000,109135.0000000000000,318.0000000000000000,1088.000000000000000,69735.00000000000000,90.00000000000000000,0,0,0,47.00000000000000000,71278.00000000000000,79.00000000000000000,192.0000000000000000,150258.0000000000000,210.0000000000000000,0,0,0,166.0000000000000000,150905.0000000000000,104.0000000000000000,370.0000000000000000,191371.0000000000000,146.0000000000000000,0,0,0,30.00000000000000000,192021.0000000000000,138.0000000000000000,183.0000000000000000,100675.0000000000000,45.00000000000000000,0,0,0,5.000000000000000000,101046.0000000000000,254.0000000000000000,110.0000000000000000,56213.00000000000000,5.000000000000000000,0,0,0,270.0000000000000000,56852.00000000000000,414.0000000000000000,284.0000000000000000,80018.00000000000000,0,0,0,0,159.0000000000000000,80875.00000000000000,280.0000000000000000,118.0000000000000000,77558.00000000000000,10.00000000000000000,0,0,0,95.0000000000000000,78061.00000000000000,354.0000000000000000,276.0000000000000000,58190.00000000000000,101.0000000000000000,0,0,0,11.00000000000000000,58932.00000000000000,7787.000000000000000,10245.00000000000000,1581332.000000000000,2080.000000000000000,0,0,0,1223.000000000000000,1602667.000000000000,8.869999999999998976
F021000,寶來曼氏期貨,6.000000000000000000,74.00000000000000000,69586.00000000000000,2.000000000000000000,0,0,0,32.00000000000000000,69700.00000000000000,11.00000000000000000,22.00000000000000000,44181.00000000000000,1.000000000000000000,0,0,0,3.000000000000000000,44218.00000000000000,13.00000000000000000,14.00000000000000000,55452.00000000000000,3.000000000000000000,0,0,0,18.00000000000000000,55500.00000000000000,19.00000000000000000,55.00000000000000000,73082.00000000000000,1.000000000000000000,0,0,0,22.00000000000000000,73179.00000000000000,9.000000000000000000,7.000000000000000000,60314.00000000000000,0,0,0,0,39.00000000000000000,60369.00000000000000,31.00000000000000000,21.00000000000000000,52505.00000000000000,0,0,0,0,14.00000000000000000,52571.00000000000000,4.000000000000000000,21.00000000000000000,55519.00000000000000,0,0,0,0,19.00000000000000000,55563.00000000000000,26.00000000000000000,280.0000000000000000,72993.00000000000000,1.000000000000000000,0,0,0,24.00000000000000000,73324.00000000000000,27.00000000000000000,56.00000000000000000,97753.0000000000000,0,0,0,0,16.00000000000000000,97852.0000000000000,13.00000000000000000,287.0000000000000000,97880.0000000000000,0,0,0,0,6.000000000000000000,98186.0000000000000,22.00000000000000000,103.0000000000000000,97970.0000000000000,0,0,0,0,20.00000000000000000,98115.0000000000000,6.000000000000000000,38.00000000000000000,71393.00000000000000,0,0,0,0,21.00000000000000000,71458.00000000000000,7.000000000000000000,71.00000000000000000,81391.00000000000000,20.00000000000000000,0,0,0,31.00000000000000000,81520.00000000000000,9.000000000000000000,32.00000000000000000,65997.00000000000000,2.000000000000000000,0,0,0,31.00000000000000000,66071.00000000000000,20.00000000000000000,11.00000000000000000,46579.00000000000000,15.00000000000000000,0,0,0,21.00000000000000000,46646.00000000000000,7.000000000000000000,8.000000000000000000,68536.00000000000000,13.00000000000000000,0,0,0,60.00000000000000000,68624.00000000000000,9.000000000000000000,19.00000000000000000,35798.00000000000000,1.000000000000000000,0,0,0,72.00000000000000000,35899.00000000000000,7.000000000000000000,18.00000000000000000,56158.00000000000000,1.000000000000000000,0,0,0,54.00000000000000000,56238.00000000000000,246.0000000000000000,1137.000000000000000,1203087.000000000000,60.00000000000000000,0,0,0,503.0000000000000000,1205033.000000000000,6.670000000000000000
F002000,永豐期貨,3.000000000000000000,373.0000000000000000,53508.00000000000000,5.000000000000000000,0,0,0,48.00000000000000000,53937.00000000000000,0,194.0000000000000000,42056.00000000000000,3.000000000000000000,0,0,0,4.000000000000000000,42257.00000000000000,0,109.0000000000000000,41267.00000000000000,50.00000000000000000,0,0,0,12.00000000000000000,41438.00000000000000,10.00000000000000000,205.0000000000000000,50505.00000000000000,0,0,0,0,10.00000000000000000,50730.00000000000000,0,12.00000000000000000,36461.00000000000000,0,0,0,0,11.00000000000000000,36484.00000000000000,1.000000000000000000,6.000000000000000000,39782.00000000000000,0,0,0,0,10.00000000000000000,39799.00000000000000,0,126.0000000000000000,48538.00000000000000,10.00000000000000000,0,0,0,22.00000000000000000,48696.00000000000000,0,77.00000000000000000,53647.00000000000000,10.00000000000000000,0,0,0,3.000000000000000000,53737.00000000000000,0,38.00000000000000000,66688.00000000000000,10.00000000000000000,0,0,0,3.000000000000000000,66739.00000000000000,10.00000000000000000,27.00000000000000000,60118.00000000000000,5.000000000000000000,0,0,0,3.000000000000000000,60163.00000000000000,0,28.00000000000000000,72028.00000000000000,0,0,0,0,15.00000000000000000,72071.00000000000000,1.000000000000000000,195.0000000000000000,51816.00000000000000,0,0,0,0,4.000000000000000000,52016.00000000000000,1.000000000000000000,91.00000000000000000,85148.00000000000000,0,0,0,0,22.00000000000000000,85262.00000000000000,5.000000000000000000,7.000000000000000000,69801.00000000000000,25.00000000000000000,0,0,0,47.00000000000000000,69885.00000000000000,1.000000000000000000,5.000000000000000000,32562.00000000000000,5.000000000000000000,0,0,0,8.000000000000000000,32581.00000000000000,4.000000000000000000,2.000000000000000000,38453.00000000000000,0,0,0,0,17.00000000000000000,38476.00000000000000,2.000000000000000000,4.000000000000000000,34646.00000000000000,0,0,0,0,6.000000000000000000,34658.00000000000000,4.000000000000000000,32.00000000000000000,37987.00000000000000,0,0,0,0,6.000000000000000000,38029.00000000000000,42.00000000000000000,1531.000000000000000,915011.0000000000000,123.0000000000000000,0,0,0,251.0000000000000000,916958.0000000000000,5.070000000000000000
F004000,凱基期貨,14.00000000000000000,48.00000000000000000,49535.00000000000000,24.00000000000000000,0,0,0,9.000000000000000000,49630.00000000000000,21.00000000000000000,23.00000000000000000,34077.00000000000000,11.00000000000000000,0,0,0,3.000000000000000000,34135.00000000000000,38.00000000000000000,38.00000000000000000,44486.00000000000000,2.000000000000000000,0,0,0,34.00000000000000000,44598.00000000000000,48.00000000000000000,55.00000000000000000,49727.00000000000000,2.000000000000000000,0,0,0,2.000000000000000000,49834.00000000000000,4.000000000000000000,5.000000000000000000,38970.00000000000000,11.00000000000000000,0,0,0,1.000000000000000000,38991.00000000000000,2.000000000000000000,29.00000000000000000,38750.00000000000000,4.000000000000000000,0,0,0,5.000000000000000000,38790.00000000000000,9.000000000000000000,5.000000000000000000,52014.00000000000000,8.000000000000000000,0,0,0,29.00000000000000000,52065.00000000000000,7.000000000000000000,26.00000000000000000,56381.00000000000000,3.000000000000000000,0,0,0,2.000000000000000000,56419.00000000000000,52.00000000000000000,218.0000000000000000,77834.00000000000000,1.000000000000000000,0,0,0,3.000000000000000000,78108.00000000000000,1.000000000000000000,53.00000000000000000,65888.00000000000000,0,0,0,0,1.000000000000000000,65943.00000000000000,42.00000000000000000,28.00000000000000000,70424.00000000000000,3.000000000000000000,0,0,0,15.00000000000000000,70512.00000000000000,0,17.00000000000000000,50877.00000000000000,2.000000000000000000,0,0,0,4.000000000000000000,50900.00000000000000,22.00000000000000000,5.000000000000000000,73363.00000000000000,2.000000000000000000,0,0,0,0,73392.00000000000000,0,17.00000000000000000,49058.00000000000000,25.00000000000000000,0,0,0,0,49100.00000000000000,13.00000000000000000,50.00000000000000000,30791.00000000000000,37.00000000000000000,0,0,0,12.00000000000000000,30903.00000000000000,3.000000000000000000,41.00000000000000000,38894.00000000000000,5.000000000000000000,0,0,2.000000000000000000,65.00000000000000000,39010.00000000000000,1.000000000000000000,22.00000000000000000,40721.00000000000000,5.000000000000000000,0,0,0,16.00000000000000000,40765.00000000000000,1.000000000000000000,24.00000000000000000,37148.00000000000000,6.000000000000000000,0,0,0,18.00000000000000000,37197.00000000000000,278.0000000000000000,704.0000000000000000,898938.0000000000000,151.0000000000000000,0,0,2.000000000000000000,219.0000000000000000,900292.0000000000000,4.980000000000000000
F006000,元大期貨,40.00000000000000000,36.00000000000000000,52058.00000000000000,2.000000000000000000,0,0,0,1.000000000000000000,52137.00000000000000,7.000000000000000000,5.000000000000000000,41460.00000000000000,3.000000000000000000,0,0,0,0,41475.00000000000000,60.00000000000000000,16.00000000000000000,41536.00000000000000,1.000000000000000000,0,0,0,4.000000000000000000,41617.00000000000000,55.00000000000000000,88.00000000000000000,59696.00000000000000,1.000000000000000000,0,0,0,2.000000000000000000,59842.00000000000000,52.00000000000000000,55.00000000000000000,43081.00000000000000,0,0,0,0,7.000000000000000000,43195.00000000000000,13.00000000000000000,26.00000000000000000,46556.00000000000000,7.000000000000000000,0,0,0,22.00000000000000000,46624.00000000000000,67.00000000000000000,18.00000000000000000,53321.00000000000000,2.000000000000000000,0,0,0,3.000000000000000000,53411.00000000000000,30.00000000000000000,46.00000000000000000,49422.00000000000000,3.000000000000000000,0,0,0,3.000000000000000000,49504.00000000000000,24.00000000000000000,47.00000000000000000,67053.00000000000000,1.000000000000000000,0,0,0,5.000000000000000000,67130.00000000000000,31.00000000000000000,23.00000000000000000,60579.00000000000000,1.000000000000000000,0,0,0,7.000000000000000000,60641.00000000000000,117.0000000000000000,30.00000000000000000,57867.00000000000000,3.000000000000000000,0,0,0,3.000000000000000000,58020.00000000000000,45.00000000000000000,21.00000000000000000,46171.00000000000000,1.000000000000000000,0,0,0,6.000000000000000000,46244.00000000000000,13.00000000000000000,26.00000000000000000,50830.00000000000000,2.000000000000000000,0,0,0,0,50871.00000000000000,16.00000000000000000,4.000000000000000000,42516.00000000000000,4.000000000000000000,0,0,0,6.000000000000000000,42546.00000000000000,66.00000000000000000,10.00000000000000000,36872.00000000000000,3.000000000000000000,0,0,0,4.000000000000000000,36955.00000000000000,3.000000000000000000,8.000000000000000000,41612.00000000000000,4.000000000000000000,0,0,0,11.00000000000000000,41638.00000000000000,6.000000000000000000,1.000000000000000000,40984.00000000000000,3.000000000000000000,0,0,0,28.00000000000000000,41022.00000000000000,5.000000000000000000,10.00000000000000000,41645.00000000000000,2.000000000000000000,0,0,0,4.000000000000000000,41666.00000000000000,650.0000000000000000,470.0000000000000000,873259.0000000000000,43.00000000000000000,0,0,0,116.0000000000000000,874538.0000000000000,4.840000000000000000
F020000,群益期貨,0,3.000000000000000000,41817.00000000000000,69.00000000000000000,0,0,0,0,41889.00000000000000,0,0,26443.00000000000000,0,0,0,0,0,26443.00000000000000,15.00000000000000000,2.000000000000000000,45087.00000000000000,36.00000000000000000,0,0,0,3.000000000000000000,45143.00000000000000,1.000000000000000000,23.00000000000000000,37201.00000000000000,41.00000000000000000,0,0,0,108.0000000000000000,37374.00000000000000,10.00000000000000000,8.000000000000000000,31345.00000000000000,46.00000000000000000,0,0,0,8.000000000000000000,31417.00000000000000,19.00000000000000000,32.00000000000000000,28194.00000000000000,2.000000000000000000,0,0,0,5.000000000000000000,28252.00000000000000,1.000000000000000000,6.000000000000000000,43496.00000000000000,25.00000000000000000,0,0,0,3.000000000000000000,43531.00000000000000,1.000000000000000000,43.00000000000000000,44987.00000000000000,0,0,0,0,4.000000000000000000,45035.00000000000000,0,135.0000000000000000,54114.00000000000000,10.00000000000000000,0,0,0,0,54259.00000000000000,1.000000000000000000,1.000000000000000000,56888.00000000000000,15.00000000000000000,0,0,0,0,56905.00000000000000,2.000000000000000000,10.00000000000000000,49601.00000000000000,0,0,0,0,6.000000000000000000,49619.00000000000000,0,32.00000000000000000,38549.00000000000000,8.000000000000000000,0,0,0,104.0000000000000000,38693.00000000000000,2.000000000000000000,46.00000000000000000,58318.00000000000000,13.00000000000000000,0,0,0,15.00000000000000000,58394.00000000000000,4.000000000000000000,8.000000000000000000,50239.00000000000000,38.00000000000000000,0,0,0,2.000000000000000000,50291.00000000000000,0,4.000000000000000000,33183.00000000000000,41.00000000000000000,0,0,0,102.0000000000000000,33330.00000000000000,4.000000000000000000,10.00000000000000000,35763.00000000000000,26.00000000000000000,0,0,0,6.000000000000000000,35809.00000000000000,0,3.000000000000000000,28290.00000000000000,28.00000000000000000,0,0,0,12.00000000000000000,28333.00000000000000,0,2.000000000000000000,28494.00000000000000,32.00000000000000000,0,0,0,2.000000000000000000,28530.00000000000000,60.00000000000000000,368.0000000000000000,732009.0000000000000,430.0000000000000000,0,0,0,380.0000000000000000,733247.0000000000000,4.059999999999999488
S585999,統一證券自營,70.00000000000000000,80.00000000000000000,21440.00000000000000,0,0,0,0,0,21590.00000000000000,0,0,17928.00000000000000,0,0,0,0,0,17928.00000000000000,40.00000000000000000,72.00000000000000000,30996.00000000000000,0,0,0,0,0,31108.00000000000000,1.000000000000000000,242.0000000000000000,37095.00000000000000,0,0,0,0,0,37338.00000000000000,82.00000000000000000,121.0000000000000000,62486.00000000000000,0,0,0,0,0,62689.00000000000000,0,3.000000000000000000,23183.00000000000000,0,0,0,0,0,23186.00000000000000,0,274.0000000000000000,43112.00000000000000,0,0,0,0,0,43386.00000000000000,0,185.0000000000000000,53506.00000000000000,0,0,0,0,0,53691.00000000000000,1.000000000000000000,20.00000000000000000,52694.00000000000000,0,0,0,0,0,52715.00000000000000,0,0,62954.00000000000000,0,0,0,0,0,62954.00000000000000,90.00000000000000000,211.0000000000000000,100188.0000000000000,0,0,0,0,0,100489.0000000000000,0,66.00000000000000000,39558.00000000000000,0,0,0,0,0,39624.00000000000000,0,177.0000000000000000,74112.00000000000000,0,0,0,0,0,74289.00000000000000,0,0,15689.00000000000000,0,0,0,0,0,15689.00000000000000,0,30.00000000000000000,7652.000000000000000,0,0,0,0,0,7682.000000000000000,0,20.00000000000000000,5753.000000000000000,0,0,0,0,0,5773.000000000000000,0,20.00000000000000000,5623.000000000000000,0,0,0,0,2.000000000000000000,5645.000000000000000,0,21.00000000000000000,9988.00000000000000,0,0,0,0,0,10009.00000000000000,284.0000000000000000,1542.000000000000000,663957.0000000000000,0,0,0,0,2.000000000000000000,665785.0000000000000,3.680000000000000000
